fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int,geometry
1,8.448,45.276,8.514000000000001,45.342,8.481000000000002,45.30899999999999,1.780350810546875,115.27886325242288,315.7292785644531,0.3826227440527173,2.0,4.0,1838.1453857421875,2.0,0.8426326747652072,0.0819340633004298,0.0,0.0676143257290933,0.0078189362052695,0.0,0.0,0.0,12.0,0.0,0.0165270018621973,0.419925512104283,7.0,0.0,0.0,0.0,0.0,0.9561086832604978,0.0438913167395021,0.0,0.0,0.0,0.0,0.0,0.041895837577239,0.0,0.0,0.1434100631493176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2038480203253904,0.0,0.0,0.0,0.0,0.0,2962.5149425287354,278.744027349684,0.0003526735298455,100458.01144748264,-1.029453410042657,0.2474565108617147,0.4016031159294976,7.287868737749878e-05,,13.125,19.133928571428573,-0.9451867459346908,0.0357968110070903,0.0002296920689612,0.1332643019851589,,2.237417538960775,3.608469009399414,331.8544311523437,0.06753471493721,25.0765380859375,21.190086364746094,21.619430541992188,35.83881378173828,1.7526483535766602,17.034818013509113,,,,,,,,,,,,,,,,,,,,,,,0.7495994475616863,1.1682537456658395,21.749824561244367,34.46267395301899,14.04898370965834,30.905329914994983,26.557477266517928,3.4214647705950574,97.5650869872177,0.0081555491376149,26.18022951766392,5.192670614827553,2.367932169971807,"MULTIPOLYGON (((8.448 45.275999999999996, 8.448 45.342, 8.514000000000001 45.342, 8.514000000000001 45.27599999999998, 8.448 45.275999999999996)))"
2,8.514000000000001,45.144,8.580000000000002,45.21,8.547000000000002,45.17699999999999,13.64261895263672,102.24767119596598,146.46585083007812,0.5833639975955336,2.0,4.0,1156.989013671875,2.0,0.8521665200820874,0.0830215967946838,0.0012684452262288,0.0421342714746408,0.0092739177171894,0.0073487735756865,0.0029570995797908,0.0018293755496921,12.0,0.0364920192250637,0.1690796890761289,0.3463478312466623,7.0,0.0,0.0,0.0011616650532429,0.0,0.997676669893514,0.0011616650532429,0.0,0.0,0.0,0.0,0.0,0.1761815552488003,0.0,0.0,0.1827877473213698,0.0,0.0,0.0,0.0,0.2198991271701675,0.4397982543403351,0.0,0.2996432159550808,0.7315685133483922,0.0028097828952666,0.0,0.0,0.0,3107.925089179548,278.9452474230812,0.0007105554085302,100562.61834232393,-1.10969586977883,0.3829589173907325,0.4010704623328314,5.981832108372217e-05,,13.544642857142858,19.8125,-1.1212282885393166,0.0366613813794474,0.0001668760624437,0.1331481765151304,,1.60935550265842,2.2958545684814453,346.230224609375,0.0632951060930887,26.525441487630207,22.67822604709201,19.952940199110245,35.077416314019096,1.5443053775363498,18.158947414822048,,,,,,,,,,,,,,,,,,,,,,,0.7581926105267875,1.933537564912152,20.95896495044462,31.95307701857362,13.483726254379416,32.02727653518811,26.194090114248983,3.312918450931758,98.99509340377593,0.0197529945289409,25.180921872529886,5.119244532123627,2.611646428602949,"MULTIPOLYGON (((8.514000000000001 45.144, 8.514000000000001 45.21, 8.580000000000002 45.20999999999999, 8.580000000000002 45.144000000000005, 8.514000000000001 45.144)))"
3,8.514000000000001,45.21,8.580000000000002,45.276,8.547000000000002,45.243,26.83287937402344,109.31106233959368,39.649070739746094,0.5588384892939049,2.0,4.0,616.2735595703125,2.0,0.877877460673909,0.0595482834913273,0.0,0.0282470952975405,0.0272026176217444,0.0034979959084595,0.0013899587531748,0.0022365882538442,12.0,0.0006144298858696,0.0514124207001428,0.5920646380239935,7.0,0.0,0.0,0.0,0.0,0.9942895212715332,0.0057104787284667,0.0,4.0,0.0,0.0,0.0,0.4982959877508685,0.0,0.0,0.1933189548724872,0.0,0.0,0.0,0.0,0.5962833796916105,0.2608739786150795,0.0,0.5025776205890428,0.7518143975988552,0.0018782406152851,0.0,0.0,0.0,3062.991676575505,278.90138390599463,0.0005668982340205,100581.11673022076,-1.110071803436798,0.3177429134883577,0.4008006400802508,6.206866045688156e-05,,13.20408163265306,19.244897959183675,-1.0595730369360858,0.0365728225977249,9.630207985232724e-05,0.1333761206585982,,1.762627124786377,2.7562408447265625,340.3309936523437,0.0660352607568105,25.76617431640625,21.990191141764324,20.544729868570965,35.47992706298828,1.7493732770284016,17.84198506673177,,,,,,,,,,,,,,,,,,,,,,,0.7650413339719476,1.5771355022626723,21.29622004525898,33.68476011482155,13.403301079569138,30.92450875268193,25.96963430722989,3.4615978840185395,97.99605574947566,0.0115997320368554,25.02473165966932,5.238145336230072,2.384107341344176,"MULTIPOLYGON (((8.514000000000001 45.21, 8.514000000000001 45.27599999999998, 8.580000000000002 45.275999999999996, 8.580000000000002 45.20999999999999, 8.514000000000001 45.21)))"
4,8.514000000000001,45.276,8.580000000000002,45.342,8.547000000000002,45.30899999999999,32.66394505834961,121.30177726576218,24.886978149414062,0.4443552417170158,2.0,4.0,3165.40869140625,2.0,0.8628897665927634,0.0312612669932769,0.0,0.0274812672216756,0.0477704200742948,0.0203356483180877,0.0020254077326037,0.0082362230672977,12.0,0.0003359086328518,0.0795108175020838,0.5634680700182884,7.0,0.0,0.0,0.0,0.0,0.9575862733757472,0.0424137266242529,0.0,4.0,0.0,0.0,0.0,0.565563917203221,0.0,0.0,0.3005253017603372,0.0,0.0,0.0,0.0,1.3776658000010022,1.8675025288902476,0.0,0.7193634653427169,0.7411102721614005,0.0039324531617189,0.0,0.0,0.0,3492.7425287356323,278.8530484910996,0.0004223896633471,100521.41038101436,-1.1032627158694797,0.2493215345201038,0.4001338898189484,7.110210388889804e-05,,13.744897959183673,20.112244897959183,-0.976290839124172,0.0377512663686651,0.0002305149223604,0.1333223694064623,,2.2943136427137585,4.149470859103733,342.8874782986111,0.0650937093628777,25.754479302300343,21.957687377929688,22.043414645724827,37.39287990993924,1.9868028428819444,16.97552998860677,,,,,,,,,,,,,,,,,,,,,,,0.7610794904173651,1.2481977709126248,21.776805767085303,35.814070791920344,13.391941181289134,30.084174127784127,25.921353718608344,3.4712970663774065,96.99530901432404,0.0071536766387456,25.30814910536713,5.308042953954979,2.195776063030516,"MULTIPOLYGON (((8.514000000000001 45.27599999999998, 8.514000000000001 45.342, 8.580000000000002 45.342, 8.580000000000002 45.275999999999996, 8.514000000000001 45.27599999999998)))"
5,8.514000000000001,45.342,8.580000000000002,45.408,8.547000000000002,45.375,3.6660439294433593,127.96299162940028,180.57522583007807,0.1987984564838326,2.0,4.0,2366.263671875,2.0,0.9428088257804926,0.0396460357608846,0.0,0.0067643907310352,0.0093156156834731,0.0014651320441143,0.0,0.0,12.0,0.0,0.0318167010533174,0.7767401455098274,7.0,0.0,0.0,0.0,0.0,0.9489766777724892,0.0510233222275107,0.0,0.0,0.0,0.0,0.0,0.0905625505371375,0.0,0.0,0.008283965081932,0.0,0.0,0.0,0.0,0.2727735998929606,0.2727735998929606,0.0,0.4935992788651011,0.5308800770938953,0.0014159072527679,0.0,0.0,0.0,3630.406658739596,278.686910795787,0.0003589219984378,99892.8339921255,-1.0867726273006864,0.1817267943942357,0.3959083046231951,7.354226463386541e-05,,26.64880952380952,38.199404761904766,-1.0124833291397086,0.0384643785943262,0.0001775190827041,0.1334336516888214,,2.7377781338161893,5.727260165744358,348.0935872395833,0.0623038742277357,25.882183498806423,22.003131442599827,23.33332994249132,39.15879991319444,2.166623009575738,16.31061469184028,,,,,,,,,,,,,,,,,,,,,,,0.7446217027147932,0.9449335162442573,22.19756888946413,37.710724199465325,13.462554119676312,29.49190809132591,25.903002324654405,3.32874226357792,95.9241453591903,0.0046732884453722,25.79798653533324,5.332428085940896,2.0379548546365744,"MULTIPOLYGON (((8.514000000000001 45.342, 8.514000000000001 45.408, 8.580000000000002 45.408, 8.580000000000002 45.342, 8.514000000000001 45.342)))"
6,8.514000000000001,45.738,8.580000000000002,45.804,8.547000000000002,45.77100000000001,8.762770874511718,209.77321612892484,0.0,3.35474891546232,3.0,2.0,20479.97265625,5.0,0.0649574052292945,0.1737131151775972,0.0076770881771018,0.5944698219924567,0.1355464986581811,0.0089717990098197,0.0002674520030027,0.0143968197525461,19.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.9846285226302306,0.0,0.0153714773697694,0.0,0.0,0.0,0.0,0.2329636025504782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456476616504353,0.456476616504353,0.0,0.5863646129625559,0.7171897201500708,0.0,0.3423574623782648,0.1141191541260882,0.7988340788826178,4581.062068965517,277.9713556609727,0.0006717700592247,96741.21154314592,-1.0007263522029193,0.1734195428640664,0.3704695885413898,3.316601597708333e-05,,14.685714285714283,15.551020408163266,-1.1852738164780534,0.0365420537659863,0.0001348118462961,0.1334770687855725,,1.1930312050713434,2.3986167907714844,296.5740017361111,0.0468954344590505,19.985212537977432,17.114798651801216,15.901957194010416,30.328250461154514,1.2372915479871962,25.31689453125,,0.0003968253968253,,,,,,,,,,,,,,,,,,,,,0.6213506970762219,-0.1691759919765446,19.757421103964525,37.309437507216856,18.523073329220956,26.928299710019733,24.144845422268567,2.535318682096128,82.63961249708608,0.0002492098100054,28.277538882873703,5.249666177711812,1.7786406983541876,"MULTIPOLYGON (((8.514000000000001 45.738000000000014, 8.514000000000001 45.804, 8.580000000000002 45.80399999999999, 8.580000000000002 45.73800000000001, 8.514000000000001 45.738000000000014)))"
7,8.514000000000001,45.804,8.580000000000002,45.87,8.547000000000002,45.837,1.2120791342773438,193.8804976851852,0.0,0.1405577517397434,3.0,2.0,5331.3681640625,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.8511153601019757,0.0,0.1488846398980242,0.0,0.0077839132459583,0.0,0.0,0.0243330450402501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.806183115339,277.68223669307304,0.0006272291786779,96023.32392976724,-0.9094288305901076,0.1998355169685519,0.3524287563332623,2.994933537641474e-05,,24.975,29.76530612244898,-1.2396314154511632,0.0326388961888735,9.630074734645504e-05,0.1332977237381703,,0.995293829176161,1.5082611507839627,258.5266927083333,0.0494677159521314,16.845458984375,14.43757798936632,13.298362731933594,24.215801662868923,1.0542809168497722,28.453942192925343,,,,,,,,,,,,,,,,,,,,,,,0.6471695708415812,-0.1882419215723291,19.24427672553997,36.16080631626796,19.73035143192475,26.69989378588892,24.012982368057287,2.6016500797343,79.00329672095518,0.0001160177339408,29.330110567860924,5.582403463132137,1.9240067441446875,"MULTIPOLYGON (((8.514000000000001 45.804, 8.514000000000001 45.87, 8.580000000000002 45.870000000000005, 8.580000000000002 45.80399999999999, 8.514000000000001 45.804)))"
8,8.514000000000001,45.87,8.580000000000002,45.936,8.547000000000002,45.903,5.774622341064453,,,,3.0,2.0,15305.6982421875,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0277435470441298,0.0,0.0,0.0093255620316403,0.0,0.0,0.0,0.0,0.1168859283930058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2031.653983353151,276.9887596766154,0.0005330509500082,94324.6603810144,-0.7674148309798466,0.2528184614484273,0.3574834248376271,3.976408720681692e-05,,27.80555555555556,13.175595238095235,-1.2696247673478116,0.0308638224488987,0.0001149075997942,0.1337401638530272,,0.7427976926167806,0.8727842966715494,224.38850911458331,0.0464595506588617,13.832932790120443,11.749832153320312,10.4069029490153,18.497314453125,0.888334592183431,31.995691935221355,,,,,,,,,,,,,,,,,,,,,,,0.667565201048103,-0.1593231040615343,19.20142903751632,35.87221751151242,20.72886982366388,26.70162174426396,24.128009641781965,2.685262613310272,76.2682222036656,0.0001341068194754,30.589076829206927,5.827912887405129,2.089013321701051,"MULTIPOLYGON (((8.514000000000001 45.87, 8.514000000000001 45.93600000000002, 8.580000000000002 45.936, 8.580000000000002 45.870000000000005, 8.514000000000001 45.87)))"
9,8.580000000000002,45.012,8.646000000000003,45.07799999999999,8.613000000000001,45.045,1.9707826494140623,87.09307918410974,172.6531219482422,0.3051894284460411,2.0,4.0,8185.416015625,2.0,0.5856565656565657,0.3005791245791245,0.0047811447811447,0.1043905723905724,0.0045925925925925,0.0,0.0,0.0,4.0,0.0047393364928909,0.1868088467614534,0.0,7.0,0.0,0.0,0.2047429213942553,0.0,0.7776755596442809,0.0175815189614637,0.0,0.0,0.0,0.0,0.0,0.0517017961125235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5074126262971272,0.5074126262971272,4303.368965517241,279.2506547504001,0.0010837834156021,99849.9689127604,-0.9054695727333192,0.5164535215922763,0.4010624052986266,6.24546164785734e-05,,15.387755102040815,22.5,-1.0263046264559783,0.0352312950156166,0.0001152897813357,0.1332982848331795,,1.5884426964653864,1.9526617262098525,349.37944878472223,0.0574878255526224,27.253824869791668,23.55672878689236,19.15187411838108,35.364786783854164,1.5945826636420355,18.63176981608073,,,,,,,,,,,,,,,,,,,,,,,0.7166442176588028,2.933478010039156,20.91719809947419,31.145129871106576,13.404908872871315,33.88793675457623,26.87208938335278,2.8104369000271223,100.09205876563352,0.0563254593704331,25.61340117868916,4.851003521718268,3.013358753898134,"MULTIPOLYGON (((8.580000000000002 45.012, 8.580000000000002 45.07799999999998, 8.646 45.07799999999998, 8.646 45.012, 8.580000000000002 45.012)))"
10,8.580000000000002,45.07799999999999,8.646000000000003,45.144,8.613000000000001,45.11099999999999,19.444967447021483,95.54868746383292,62.26390838623047,0.3880172472588858,2.0,4.0,1397.963134765625,2.0,0.8822104549284486,0.0707005802204426,0.0055446331321628,0.0120222771768542,0.0232567698093561,0.003405969351756,0.0005315833099281,0.0023277320710513,12.0,0.0159335679811157,0.0986363732164309,0.390077349463612,7.0,0.0,0.0,0.0015328019619865,0.0,0.9984671980380136,0.0,0.0,0.0,0.0,0.0,0.0,0.3343673067454455,0.1696044641391761,0.0,0.0,0.0,0.0,0.0,0.0,0.2057087527093138,3.1884856669943646,0.0,0.2496060399980236,1.0782924717752715,0.0014534527260198,0.1028543763546569,0.2057087527093138,0.4114175054186277,3799.425555555556,279.14800718095563,0.0010951217690253,100308.4689127604,-1.0988173219892712,0.4728317923016018,0.399023903740777,5.902612022343434e-05,,15.581632653061224,22.8265306122449,-1.008793049656701,0.0362381341187347,0.0001202101437086,0.1330940594959337,,1.6304050021701388,2.167466057671441,351.51616753472223,0.0598770247565375,27.117506239149307,23.31023661295573,19.651207817925343,35.47148980034722,1.5895188649495442,18.439017401801216,,,,,,,,,,,,,,,,,,,,,,,0.7395885335037877,2.468948026099674,20.59637793197597,31.129833880926064,13.071890358658262,32.738626616280165,25.84451257594908,3.021512391364144,99.2781091450395,0.0345330345159324,24.816139068020703,5.060464564685541,2.7132578217674266,"MULTIPOLYGON (((8.580000000000002 45.07799999999998, 8.580000000000002 45.144000000000005, 8.646 45.144000000000005, 8.646 45.07799999999998, 8.580000000000002 45.07799999999998)))"
