fid,f,f_class,I,I_class,Ex,Ex_class,f_Nones,f_Nzeros,I_Nones,I_Nzeros,Ex_Nones,Ex_Nzeros
1,0.3448275862068966,3.0,1.227989821437358,3.0,0.42344476601288206,3.0,9.0,0.0,16.0,0.0,12.0,0.0
2,0.3448275862068966,3.0,1.347173409758214,3.0,0.46454255508903936,3.0,9.0,0.0,18.0,0.0,14.0,0.0
3,0.3620689655172414,3.0,1.271010743895972,3.0,0.46019354520371397,3.0,10.0,0.0,17.0,0.0,14.0,0.0
4,0.3620689655172414,3.0,1.2742057048684006,3.0,0.4613503414178692,3.0,10.0,0.0,17.0,0.0,14.0,0.0
5,0.3620689655172414,3.0,1.32689355248547,3.0,0.4804269758999115,3.0,10.0,0.0,18.0,0.0,14.0,0.0
6,0.25862068965517243,2.0,0.7730774585441209,3.0,0.19993382548554853,2.0,1.0,1.0,7.0,0.0,4.0,1.0
7,0.20689655172413793,2.0,0.6466079200558954,2.0,0.13378094897708181,2.0,2.0,4.0,5.0,0.0,1.0,1.0
8,0.15517241379310345,2.0,0.5303801956336928,2.0,0.08230037518453853,2.0,3.0,10.0,2.0,1.0,3.0,5.0
9,0.3448275862068966,3.0,1.3832483857408968,3.0,0.4769822019796196,3.0,9.0,0.0,19.0,0.0,14.0,0.0
10,0.3448275862068966,3.0,1.3954128831608767,3.0,0.48117685626237133,3.0,9.0,0.0,19.0,0.0,14.0,0.0
11,0.3620689655172414,3.0,1.3688111462069192,3.0,0.4956040356956087,3.0,10.0,0.0,19.0,0.0,15.0,0.0
12,0.3620689655172414,3.0,1.346084911505715,3.0,0.48737557140724164,3.0,10.0,0.0,18.0,0.0,15.0,0.0
13,0.3620689655172414,3.0,1.3529681546924814,3.0,0.4898677801472778,3.0,10.0,0.0,18.0,0.0,15.0,0.0
14,0.3620689655172414,3.0,1.4265743416081083,3.0,0.5165182960994875,3.0,10.0,0.0,20.0,0.0,16.0,0.0
15,0.27586206896551724,2.0,1.1847807297893098,3.0,0.3268360633901544,3.0,2.0,1.0,15.0,0.0,9.0,0.0
16,0.27586206896551724,2.0,0.9729534173195311,3.0,0.2684009427088362,3.0,2.0,1.0,11.0,0.0,7.0,0.0
17,0.25862068965517243,2.0,0.744533461996449,2.0,0.19255175741287475,2.0,1.0,1.0,7.0,0.0,3.0,1.0
18,0.15517241379310345,2.0,0.7460834849317342,2.0,0.11577157524802771,2.0,3.0,10.0,7.0,0.0,1.0,1.0
19,0.08620689655172414,1.0,0.39833626355235835,2.0,0.03433933306485848,2.0,0.0,23.0,1.0,1.0,4.0,32.0
20,0.3448275862068966,3.0,1.3421657260603803,3.0,0.46281576760702775,3.0,9.0,0.0,18.0,0.0,14.0,0.0
21,0.3448275862068966,3.0,1.4101971856969928,3.0,0.4862748916196527,3.0,9.0,0.0,19.0,0.0,15.0,0.0
22,0.3448275862068966,3.0,1.436010415442262,3.0,0.49517600532491796,3.0,9.0,0.0,20.0,0.0,15.0,0.0
23,0.3620689655172414,3.0,1.4379974927606354,3.0,0.52065426462023,3.0,10.0,0.0,20.0,0.0,16.0,0.0
24,0.3620689655172414,3.0,1.4404588489786074,3.0,0.5215454453198406,3.0,10.0,0.0,20.0,0.0,16.0,0.0
25,0.3620689655172414,3.0,1.4694684337618638,3.0,0.532048915672399,3.0,10.0,0.0,21.0,0.0,16.0,0.0
26,0.3620689655172414,3.0,1.421394883821638,3.0,0.5146429751767999,3.0,10.0,0.0,20.0,0.0,16.0,0.0
27,0.3620689655172414,3.0,1.3140354036367217,3.0,0.47577143924777854,3.0,10.0,0.0,18.0,0.0,14.0,0.0
28,0.29310344827586204,2.0,1.3569678770847913,3.0,0.39773196397312843,3.0,4.0,1.0,18.0,0.0,12.0,0.0
29,0.29310344827586204,2.0,1.2047414350320562,3.0,0.3531138688887061,3.0,4.0,1.0,16.0,0.0,10.0,0.0
30,0.27586206896551724,2.0,0.8910916779795978,3.0,0.24581839392540628,2.0,2.0,1.0,10.0,0.0,6.0,0.0
31,0.1896551724137931,2.0,0.8113086238618161,3.0,0.15386887693930995,2.0,3.0,6.0,8.0,0.0,2.0,1.0
32,0.10344827586206896,2.0,0.4433307527578154,2.0,0.04586180200942918,2.0,1.0,20.0,1.0,0.0,5.0,25.0
33,0.034482758620689655,1.0,0.39565433353595814,2.0,0.01364325288055028,1.0,0.0,31.0,1.0,1.0,0.0,49.0
34,0.017241379310344827,1.0,0.37492460834137437,2.0,0.00646421738519611,1.0,0.0,33.0,1.0,2.0,0.0,53.0
35,0.3448275862068966,3.0,1.3295499295767912,3.0,0.4584654929575142,3.0,9.0,0.0,18.0,0.0,14.0,0.0
36,0.3448275862068966,3.0,1.4142292088849047,3.0,0.48766524444307063,3.0,9.0,0.0,19.0,0.0,15.0,0.0
37,0.3448275862068966,3.0,1.4633920875847708,3.0,0.5046179612361279,3.0,9.0,0.0,20.0,0.0,15.0,0.0
