fid,f,f_class,I,I_class,Ex,Ex_class,f_Nones,f_Nzeros,I_Nones,I_Nzeros,Ex_Nones,Ex_Nzeros
1,0.7777777777777778,4.0,0.8934372229428177,3.0,0.6948956178444138,3.0,29.0,0.0,8.0,0.0,9.0,0.0
2,0.7407407407407407,4.0,0.902973135599739,3.0,0.66886898933314,3.0,28.0,0.0,9.0,0.0,9.0,0.0
3,0.7407407407407407,4.0,0.9000359729422482,3.0,0.6666933132905543,3.0,28.0,0.0,9.0,0.0,9.0,0.0
4,0.8148148148148148,4.0,0.9061104949697276,3.0,0.7383122551605188,3.0,31.0,0.0,9.0,0.0,10.0,0.0
5,0.8148148148148148,4.0,0.9351635627340227,3.0,0.7619851251906851,3.0,31.0,0.0,9.0,0.0,10.0,0.0
6,0.7037037037037037,4.0,0.605889252375763,2.0,0.42636651093109246,3.0,26.0,0.0,2.0,1.0,5.0,0.0
7,0.5555555555555556,3.0,0.554603241491203,2.0,0.30811291193955725,3.0,19.0,0.0,1.0,1.0,4.0,0.0
8,0.4444444444444444,3.0,0.4144970649379325,2.0,0.1842209177501922,2.0,14.0,0.0,1.0,3.0,2.0,0.0
9,0.7407407407407407,4.0,0.8969467681559683,3.0,0.6644050134488654,3.0,28.0,0.0,9.0,0.0,9.0,0.0
10,0.7407407407407407,4.0,0.8908135619006682,3.0,0.6598618977041986,3.0,28.0,0.0,8.0,0.0,9.0,0.0
11,0.7407407407407407,4.0,0.8881383500938219,3.0,0.6578802593287569,3.0,28.0,0.0,8.0,0.0,9.0,0.0
12,0.7777777777777778,4.0,0.8812102595214276,3.0,0.6853857574055549,3.0,29.0,0.0,8.0,0.0,9.0,0.0
13,0.8148148148148148,4.0,0.9379489650419328,3.0,0.7642547122563896,3.0,31.0,0.0,9.0,0.0,10.0,0.0
14,0.8148148148148148,4.0,0.9809144511488677,3.0,0.7992636268620402,3.0,31.0,0.0,10.0,0.0,11.0,0.0
15,0.7037037037037037,4.0,0.8339800895831511,3.0,0.5868748778548101,3.0,26.0,0.0,7.0,0.0,8.0,0.0
16,0.7037037037037037,4.0,0.7232266233215974,2.0,0.5089372534485315,3.0,26.0,0.0,5.0,0.0,7.0,0.0
17,0.6296296296296297,3.0,0.5888742966411292,2.0,0.37077270529256284,3.0,23.0,0.0,2.0,1.0,5.0,0.0
18,0.5185185185185185,3.0,0.4190458044573118,2.0,0.21728300971860612,2.0,18.0,0.0,1.0,3.0,2.0,0.0
19,0.2962962962962963,2.0,0.36535068515225605,2.0,0.10825205485992771,2.0,8.0,0.0,1.0,5.0,6.0,9.0
