fid,f,f_class,I,I_class,Ex,Ex_class,f_Nones,f_Nzeros,I_Nones,I_Nzeros,Ex_Nones,Ex_Nzeros
1,0.4823529411764706,3.0,1.08257430912816,3.0,0.5221829020500537,3.0,21.0,0.0,16.0,0.0,10.0,0.0
2,0.47058823529411764,3.0,1.0833825705424225,3.0,0.5098270920199636,3.0,20.0,0.0,16.0,0.0,10.0,0.0
3,0.4823529411764706,3.0,1.0593091939361552,3.0,0.5109609053103807,3.0,21.0,0.0,15.0,0.0,10.0,0.0
4,0.5058823529411764,3.0,1.0872510728064135,3.0,0.5500211309491269,3.0,23.0,0.0,16.0,0.0,11.0,0.0
5,0.5058823529411764,3.0,1.130182003884078,3.0,0.5717391313766512,3.0,23.0,0.0,17.0,0.0,12.0,0.0
6,0.4,3.0,0.65806930419789,2.0,0.26322772167915603,3.0,15.0,0.0,5.0,1.0,4.0,0.0
7,0.3176470588235294,2.0,0.6010554042039342,2.0,0.19092348133536732,2.0,8.0,1.0,3.0,1.0,2.0,1.0
8,0.24705882352941178,2.0,0.5303801956336928,2.0,0.1310351071565594,2.0,2.0,2.0,2.0,1.0,1.0,0.0
9,0.47058823529411764,3.0,1.1057697803641766,3.0,0.5203622495831419,3.0,20.0,0.0,16.0,0.0,10.0,0.0
10,0.47058823529411764,3.0,1.113720640481033,3.0,0.5241038308146038,3.0,20.0,0.0,16.0,0.0,11.0,0.0
11,0.4823529411764706,3.0,1.1242640472832106,3.0,0.5422920698660192,3.0,21.0,0.0,16.0,0.0,11.0,0.0
12,0.49411764705882355,3.0,1.1017420728473029,3.0,0.5443902007010203,3.0,22.0,0.0,16.0,0.0,11.0,0.0
13,0.5058823529411764,3.0,1.1395328024314062,3.0,0.5764695353476526,3.0,23.0,0.0,17.0,0.0,12.0,0.0
14,0.5058823529411764,3.0,1.1966343209287649,3.0,0.6053561858816104,3.0,23.0,0.0,18.0,0.0,12.0,0.0
15,0.4117647058823529,3.0,1.0003104411965258,3.0,0.41189253461033415,3.0,16.0,0.0,14.0,0.0,8.0,0.0
16,0.4117647058823529,3.0,0.863805736615604,3.0,0.3556847150770134,3.0,16.0,0.0,10.0,0.0,7.0,0.0
17,0.3764705882352941,3.0,0.6166396927438695,2.0,0.2321467078565156,2.0,13.0,0.0,4.0,1.0,4.0,0.0
18,0.27058823529411763,2.0,0.594464440208953,2.0,0.16085508382124608,2.0,4.0,2.0,3.0,1.0,1.0,1.0
19,0.15294117647058825,2.0,0.39833626355235835,2.0,0.06092201677859599,2.0,2.0,7.0,2.0,2.0,8.0,25.0
20,0.47058823529411764,3.0,1.1093389886171356,3.0,0.5220418769962991,3.0,20.0,0.0,16.0,0.0,10.0,0.0
21,0.47058823529411764,3.0,1.1239439312717094,3.0,0.5289147911866868,3.0,20.0,0.0,16.0,0.0,11.0,0.0
22,0.47058823529411764,3.0,1.1319674755939104,3.0,0.5326905767500755,3.0,20.0,0.0,17.0,0.0,11.0,0.0
23,0.4823529411764706,3.0,1.1564577074631521,3.0,0.5578207765410499,3.0,21.0,0.0,17.0,0.0,11.0,0.0
24,0.49411764705882355,3.0,1.17767555952239,3.0,0.5819102764698868,3.0,22.0,0.0,18.0,0.0,12.0,0.0
25,0.5058823529411764,3.0,1.2216077003274344,3.0,0.617989777812702,3.0,23.0,0.0,19.0,0.0,13.0,0.0
26,0.5058823529411764,3.0,1.2653580156828603,3.0,0.6401222902866235,3.0,23.0,0.0,20.0,0.0,13.0,0.0
27,0.5058823529411764,3.0,1.2080349371598436,3.0,0.6111235564455679,3.0,23.0,0.0,18.0,0.0,13.0,0.0
28,0.4588235294117647,3.0,1.1320662466217817,3.0,0.5194186308029352,3.0,19.0,0.0,17.0,0.0,10.0,0.0
29,0.43529411764705883,3.0,0.9978894535578129,3.0,0.43437540919575385,3.0,18.0,0.0,14.0,0.0,8.0,0.0
30,0.4,3.0,0.7899378657980569,3.0,0.3159751463192228,3.0,15.0,0.0,9.0,0.0,6.0,0.0
31,0.3176470588235294,2.0,0.6308865236852288,2.0,0.20039924870001385,2.0,8.0,1.0,4.0,1.0,3.0,0.0
32,0.2,2.0,0.4069192582475915,2.0,0.08138385164951831,2.0,0.0,1.0,1.0,2.0,9.0,13.0
33,0.07058823529411765,1.0,0.3008259381062228,2.0,0.02123477210161573,1.0,0.0,23.0,1.0,7.0,0.0,54.0
34,0.023529411764705882,1.0,0.3139652321603933,2.0,0.007387417227303372,1.0,0.0,31.0,1.0,7.0,0.0,61.0
35,0.4823529411764706,3.0,1.0820838353393072,3.0,0.5219463205754306,3.0,21.0,0.0,15.0,0.0,10.0,0.0
36,0.47058823529411764,3.0,1.1153123074172584,3.0,0.5248528505492981,3.0,20.0,0.0,16.0,0.0,11.0,0.0
37,0.47058823529411764,3.0,1.1396934462413013,3.0,0.5363263276429653,3.0,20.0,0.0,17.0,0.0,11.0,0.0
38,0.49411764705882355,3.0,1.1593812112442659,3.0,0.5728707161442255,3.0,22.0,0.0,17.0,0.0,12.0,0.0
39,0.49411764705882355,3.0,1.2251780505277128,3.0,0.6053820955548699,3.0,22.0,0.0,19.0,0.0,12.0,0.0
40,0.5176470588235295,3.0,1.3084663786790616,3.0,0.6773237724926907,3.0,23.0,0.0,21.0,0.0,14.0,0.0
41,0.5411764705882353,3.0,1.366772547784818,3.0,0.7396651435070779,3.0,25.0,0.0,22.0,0.0,16.0,0.0
42,0.5411764705882353,3.0,1.4210963165043546,3.0,0.7690638889317684,3.0,25.0,0.0,23.0,0.0,16.0,0.0
43,0.5176470588235295,3.0,1.4384362378189757,3.0,0.7446022878121757,3.0,23.0,0.0,24.0,0.0,16.0,0.0
44,0.5058823529411764,3.0,1.3710579646337222,3.0,0.6935940291676477,3.0,23.0,0.0,22.0,0.0,15.0,0.0
45,0.5058823529411764,3.0,1.2372438659027294,3.0,0.6258998380449101,3.0,23.0,0.0,19.0,0.0,13.0,0.0
46,0.4588235294117647,3.0,1.071522572633592,3.0,0.49163976862011866,3.0,19.0,0.0,15.0,0.0,10.0,0.0
47,0.4117647058823529,3.0,0.9179809038787932,3.0,0.37799213689126776,3.0,16.0,0.0,12.0,0.0,7.0,0.0
48,0.3411764705882353,3.0,0.6246538493692779,2.0,0.21311719566716542,2.0,11.0,0.0,4.0,1.0,3.0,0.0
49,0.21176470588235294,2.0,0.5208022237222604,2.0,0.11028752972941984,2.0,1.0,1.0,2.0,1.0,3.0,4.0
50,0.11764705882352941,2.0,0.33460901840396257,2.0,0.03936576687105442,2.0,1.0,14.0,2.0,5.0,4.0,40.0
51,0.047058823529411764,1.0,0.29001871922757483,2.0,0.013647939728356462,1.0,0.0,27.0,1.0,8.0,0.0,58.0
52,0.49411764705882355,3.0,1.130684579348418,3.0,0.5586912039133359,3.0,22.0,0.0,17.0,0.0,11.0,0.0
53,0.49411764705882355,3.0,1.160627209243911,3.0,0.5734863857440501,3.0,22.0,0.0,17.0,0.0,12.0,0.0
54,0.49411764705882355,3.0,1.1830339359834845,3.0,0.5845579448388982,3.0,22.0,0.0,18.0,0.0,12.0,0.0
55,0.5294117647058824,3.0,1.2555241585890118,3.0,0.6646892604294768,3.0,24.0,0.0,19.0,0.0,14.0,0.0
56,0.5411764705882353,3.0,1.3579824008797794,3.0,0.734908122829057,3.0,25.0,0.0,22.0,0.0,16.0,0.0
57,0.5647058823529412,3.0,1.4261526219461635,3.0,0.8053567747460688,3.0,27.0,0.0,23.0,0.0,17.0,0.0
58,0.5882352941176471,3.0,1.3993266777250357,3.0,0.8231333398382563,3.0,28.0,0.0,23.0,0.0,18.0,0.0
59,0.5882352941176471,3.0,1.398231565076376,3.0,0.82248915592728,3.0,28.0,0.0,23.0,0.0,18.0,0.0
60,0.5647058823529412,3.0,1.4451981083192402,3.0,0.816111872933218,3.0,27.0,0.0,24.0,0.0,17.0,0.0
61,0.5176470588235295,3.0,1.454959815105192,3.0,0.7531556689956288,3.0,23.0,0.0,24.0,0.0,16.0,0.0
62,0.5058823529411764,3.0,1.2985351742838696,3.0,0.6569060293436045,3.0,23.0,0.0,20.0,0.0,14.0,0.0
63,0.4823529411764706,3.0,1.1294988524384528,3.0,0.5448170935291361,3.0,21.0,0.0,17.0,0.0,11.0,0.0
64,0.4117647058823529,3.0,1.017379795148912,3.0,0.4189210921201402,3.0,16.0,0.0,14.0,0.0,8.0,0.0
65,0.3411764705882353,3.0,0.7257564073958153,2.0,0.2476110095821017,3.0,11.0,0.0,7.0,0.0,4.0,0.0
66,0.24705882352941178,2.0,0.5435921998465566,2.0,0.13429924937385518,2.0,2.0,2.0,2.0,1.0,1.0,0.0
67,0.1411764705882353,2.0,0.38603796549972724,2.0,0.054499477482314436,2.0,1.0,10.0,2.0,2.0,6.0,31.0
68,0.07058823529411765,1.0,0.28014279546397325,2.0,0.019774785562162816,1.0,0.0,23.0,1.0,8.0,0.0,55.0
