fid,left,bottom,right,top,lng_cen,lat_cen,X_UTM,Y_UTM,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,urban,agricultural
1,8.448,45.276,8.514,45.342,8.481,45.309,459315.3274,5017408.315,1.780350811,115.2788633,315.7292786,0.382622744,2,4,1838.145386,2,0.842632675,0.081934063,0,0.067614326,0.007818936,0,0,0,12,0,0.016527002,0.419925512,7,0,0,0,0,0.956108683,0.043891317,0,0,0,0,0,0.041895838,0,0,0.143410063,0,0,0,0,0,0,0,0.20384802,0,0,0,0,0,0,1
2,8.514,45.144,8.58,45.21,8.547,45.177,464406.7692,5002712.965,13.64261895,102.2476712,146.4658508,0.583363998,2,4,1156.989014,2,0.85216652,0.083021597,0.001268445,0.042134271,0.009273918,0.007348774,0.0029571,0.001829376,12,0.036492019,0.169079689,0.346347831,7,0,0,0.001161665,0,0.99767667,0.001161665,0,0,0,0,0,0.176181555,0,0,0.182787747,0,0,0,0,0.219899127,0.439798254,0,0.299643216,0.731568513,0.002809783,0,0,0,0,1
3,8.514,45.21,8.58,45.276,8.547,45.243,464447.9107,5010044.998,26.83287937,109.3110623,39.64907074,0.558838489,2,4,616.2735596,2,0.877877461,0.059548283,0,0.028247095,0.027202618,0.003497996,0.001389959,0.002236588,12,0.00061443,0.051412421,0.592064638,7,0,0,0,0,0.994289521,0.005710479,0,4,0,0,0,0.498295988,0,0,0.193318955,0,0,0,0,0.59628338,0.260873979,0,0.502577621,0.751814398,0.001878241,0,0,0,0,1
4,8.514,45.276,8.58,45.342,8.547,45.309,464489.0997,5017377.115,32.66394506,121.3017773,24.88697815,0.444355242,2,4,3165.408691,2,0.862889767,0.031261267,0,0.027481267,0.04777042,0.020335648,0.002025408,0.008236223,12,0.000335909,0.079510818,0.56346807,7,0,0,0,0,0.957586273,0.042413727,0,4,0,0,0,0.565563917,0,0,0.300525302,0,0,0,0,1.3776658,1.867502529,0,0.719363465,0.741110272,0.003932453,0,0,0,0,1
5,8.514,45.342,8.58,45.408,8.547,45.375,464530.3361,5024709.317,3.666043929,127.9629916,180.5752258,0.198798456,2,4,2366.263672,2,0.942808826,0.039646036,0,0.006764391,0.009315616,0.001465132,0,0,12,0,0.031816701,0.776740146,7,0,0,0,0,0.948976678,0.051023322,0,0,0,0,0,0.090562551,0,0,0.008283965,0,0,0,0,0.2727736,0.2727736,0,0.493599279,0.530880077,0.001415907,0,0,0,0,1
6,8.514,45.738,8.58,45.804,8.547,45.771,464778.7479,5068704.305,8.762770875,209.7732161,0,3.354748915,3,2,20479.97266,5,0.064957405,0.173713115,0.007677088,0.594469822,0.135546499,0.008971799,0.000267452,0.01439682,19,0,0,0,7,0,0,0,0,0.984628523,0,0.015371477,0,0,0,0,0.232963603,0,0,0,0,0,0,0,0.456476617,0.456476617,0,0.586364613,0.71718972,0,0.342357462,0.114119154,0.798834079,0,0
7,8.514,45.804,8.58,45.87,8.547,45.837,464820.3149,5076037.099,1.212079134,193.8804977,0,0.140557752,3,2,5331.368164,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,0.85111536,0,0.14888464,0,0.007783913,0,0,0.024333045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.514,45.87,8.58,45.936,8.547,45.903,464861.9289,5083369.977,5.774622341,,,,3,2,15305.69824,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,1,0,0,0,0.027743547,0,0,0.009325562,0,0,0,0,0.116885928,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8.58,45.012,8.646,45.078,8.613,45.045,469522.3651,4988022.189,1.970782649,87.09307918,172.6531219,0.305189428,2,4,8185.416016,2,0.585656566,0.300579125,0.004781145,0.104390572,0.004592593,0,0,0,4,0.004739336,0.186808847,0,7,0,0,0.204742921,0,0.77767556,0.017581519,0,0,0,0,0,0.051701796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507412626,0.507412626,0,0
10,8.58,45.078,8.646,45.144,8.613,45.111,469557.431,4995354.053,19.44496745,95.54868746,62.26390839,0.388017247,2,4,1397.963135,2,0.882210455,0.07070058,0.005544633,0.012022277,0.02325677,0.003405969,0.000531583,0.002327732,12,0.015933568,0.098636373,0.390077349,7,0,0,0.001532802,0,0.998467198,0,0,0,0,0,0,0.334367307,0.169604464,0,0,0,0,0,0,0.205708753,3.188485667,0,0.24960604,1.078292472,0.001453453,0.102854376,0.205708753,0.411417505,0,1
