fid,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR,FARMS_BLOCK
1,0.9862813692145932,0.07969723985871609,0.03413287690726361,0.012792185543187947,0.09058071167584807,0.020771935181792323
2,0.9914838772813028,0.06515334181699976,0.045889530359288444,0.04438450539816073,0.10022009483477815,0.038377578075581356
3,0.9903188674333331,0.0714398717386034,0.03930920228563016,0.02599756443298162,0.08924500431041509,0.02518103077942813
4,0.9883158915600695,0.08101628089051047,0.031774998596450804,0.011355516622021809,0.0869381230587369,0.02225196047614206
5,0.9868971740681414,0.08737275818062279,0.028466451204122067,0.008160189156506462,0.08955776495448578,0.019989584703767993
6,0.16203994136965474,0.30315866651846685,0.3913401432704905,0.008504660459195665,0.022207356858488604,0.4131270753707201
7,0.14494749622295922,0.2823880207252482,0.3511112436168934,0.004389385525739301,0.02013478196511949,0.421056578017226
8,0.12362976254473523,0.26997812510039776,0.3747419422816106,0.0027903832127017607,0.015188853892438573,0.4204801393156211
9,0.9796560764705363,0.06461791107393257,0.05881602377120999,0.08719361016308261,0.16528655637083384,0.08579455412349139
10,0.9882668076101708,0.06546081718664105,0.05024782594719451,0.06860058283236484,0.13893018884654104,0.065468098786476
11,0.9898470832622028,0.07065936709621953,0.04355276545490055,0.04901780955171798,0.11143367026225731,0.04430570852136266
12,0.9885496989795007,0.07955276458288815,0.036287621741969193,0.028706128138319693,0.09629673033608506,0.02655422638582652
13,0.9880425961463881,0.08759020469121226,0.02906902005348716,0.012947185235726981,0.08920047424228196,0.02559944899387212
14,0.9861318076818104,0.09462567657728016,0.025087883747785724,0.006809928305798039,0.08979403575365294,0.026283802734467742
15,0.17997781938310475,0.36085484963121955,0.4492789341231987,0.022725440211227542,0.02339896326285283,0.3893834302714918
16,0.16869523859183247,0.32098884079217055,0.4272966476993084,0.010549951464111262,0.021859222936825063,0.4330493213982291
17,0.14768436956590936,0.2918524382194927,0.4108246866805375,0.004673025548109212,0.0184690506469928,0.4460984105478737
18,0.11894994362665476,0.26798040202567613,0.4203452577103011,0.00218951046574785,0.013430318419058646,0.44322280099028477
19,0.09507368926595451,0.24672967200723864,0.4524471155448523,0.0008417377343893224,0.00914096008821464,0.42553490565953866
20,0.9581415343056084,0.07222097376784321,0.07019455930075273,0.1130986459615614,0.1745812725244625,0.09582681758237428
21,0.9690385765896247,0.07018912581731566,0.06318169290707347,0.10268062421831216,0.17046629870554697,0.08841040835819444
22,0.982124736977901,0.07245333840985614,0.050461090892463416,0.07845602421870675,0.15411516313599977,0.07128591002716576
23,0.9824084529470452,0.08326477329179222,0.041784457169933245,0.051355320650878326,0.13575791986303323,0.048266655694461515
24,0.9753107651664247,0.09898090798859185,0.03614433059397073,0.02778566406221705,0.12431337045235659,0.035527128458042435
25,0.959967837000917,0.11332776037178517,0.03764512160728007,0.015899442491269337,0.11944522099277277,0.03468277412201746
26,0.2733874975102364,0.4997635454358443,0.38739236463732835,0.12029035780962849,0.07299783239893322,0.2170140324400354
