fid,X,Y,Ex,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,URBAN_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
1,8.481,45.309,0.423444766012882,0.9680093868731527,0.07371326790173686,0.04129845252776948,0.10195016554373613,0.037945225931408096,0.0016784911822745716,0.10817881003286771,0.387514187383233
2,8.547,45.177,0.4645425550890393,0.9892910332624988,0.05054711287593816,0.0535243573903947,0.07101085250240657,0.02493906216018971,0.03668636765678972,0.10910143195098632,0.3918830412482345
3,8.547,45.243,0.4601935452037139,0.9854135027876759,0.07332752299783828,0.03848931876782355,0.09608282561726139,0.04311145404054317,0.03439564509083699,0.09474452592957074,0.39906621183309066
4,8.547,45.309,0.4613503414178692,0.989286307114935,0.07825567252157122,0.03208679112010832,0.10265293201252694,0.045889960856351754,0.007848443795945789,0.07191483099563462,0.3847574293688284
5,8.547,45.375,0.4804269758999115,0.9858889188991218,0.098471028268474,0.020587060457966554,0.12434174812197211,0.06257943755060677,0.0050120043097801,0.09674743844998734,0.39023535840457757
6,8.547,45.771,0.1999338254855485,0.1792965472357178,0.2758375039470284,0.33310985854226965,0.3988101099273252,0.12435462737492632,0.007867659112414056,0.031581256087678415,0.4310559181913761
7,8.547,45.837,0.1337809489770818,0.1426335167015241,0.24654925262993893,0.32558486192618585,0.37295170071392786,0.09457825264081804,0.0034381059396374216,0.023106302328387538,0.3618433353771723
8,8.547,45.903,0.0823003751845385,0.08131603186102328,0.23962243319263857,0.25095013631485896,0.35514177658986296,0.09929720402837204,0.0023150348053257623,0.007865763300494488,0.3110808089859328
9,8.613,45.045,0.4769822019796196,0.9835579643042851,0.05912828683977411,0.055298689043417885,0.07770788276005786,0.034547517233273116,0.07017774910399935,0.1744453545750025,0.33750781256484635
10,8.613,45.111,0.4811768562623713,0.9858820879339445,0.061042480058022534,0.052608597456321016,0.08229929721609128,0.03357562048374455,0.07007041413313032,0.14307140637402546,0.37021925899511665
11,8.613,45.177,0.4956040356956087,0.9958692088635533,0.058972213046709875,0.044390847012166945,0.07723487917090573,0.0347259679557369,0.04789134505014512,0.1024601690478603,0.374948886712948
12,8.613,45.243,0.4873755714072416,0.9899716968997094,0.07335716992265554,0.0364606554176921,0.09572709120440388,0.043525690502786284,0.03141467675583598,0.08340801300527319,0.3891349039626479
13,8.613,45.309,0.4898677801472778,0.9945233772423793,0.0757802756204338,0.03018302780196633,0.09685668690536793,0.047004708425842354,0.009182193072287282,0.07435312034472212,0.3759233336956718
