fid,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
1,0.9794176804661872,0.07824431295118686,0.034207333146173524,0.04542472474201341,0.008856474482424544,0.09421480477339333,0.38840828571073877
2,0.9896099065115594,0.06172441014587789,0.045889530359288604,0.03462577844654846,0.041273933031424535,0.10539006791328986,0.38704230321157146
3,0.9871718644630322,0.07003063369738388,0.03959935716825076,0.03995780524793047,0.03050458033517214,0.09191462502033282,0.3896469698005167
4,0.9863725512000081,0.08053141135315806,0.03178845980438932,0.04748778540819316,0.010207764076735371,0.082710404501575,0.3869683257243251
5,0.987040019192066,0.08590091042841211,0.0281308577270617,0.05212236824204577,0.005949763336791482,0.09038090278299282,0.3870104629282231
6,0.16764545455284408,0.29256385074726843,0.3796609781051312,0.1419256223816583,0.008192764487080662,0.024824357947110017,0.45244767000278185
7,0.1410062400010143,0.26967733362655605,0.35111124361689117,0.11965828702153965,0.004546122236075948,0.019993380314910165,0.40329823101815726
8,0.10965559977116589,0.2582864159040865,0.3451740809815585,0.1052180822254565,0.002592668319149741,0.012789864166370067,0.37053765091682533
9,0.9776433438394093,0.06251686632292482,0.05881602377120993,0.034972058843620576,0.08967354224363172,0.16640311074759118,0.34966834909033023
10,0.9874561236972575,0.06310757895727909,0.050447043228276874,0.03532149981523613,0.06855533733196036,0.14137001151212594,0.3681500269425603
11,0.9923999011841564,0.06755545873715897,0.043552765454900576,0.04041701701125317,0.04759851403602649,0.1090665342200441,0.3859218807271026
12,0.9897799984109149,0.07754427407975394,0.03620308142438877,0.04640279080104739,0.030262994090183667,0.08762636230401469,0.39003388040369275
13,0.990205405835267,0.0870530068358188,0.029069020053487157,0.05613288292286143,0.011405466700596945,0.08305956015397917,0.39068582686374653
14,0.9894355889390262,0.09286199875184913,0.025087883747785387,0.059146343148124926,0.006476729284900856,0.09157378588705158,0.38827236815212873
15,0.17921165284526944,0.349809730400285,0.4492789341231993,0.24005787825957575,0.022672888217752478,0.02261116768922107,0.5337163586555459
16,0.17430463678236052,0.3118845976260245,0.4267831467858465,0.17148634384120562,0.01017883829667064,0.021469927395236125,0.48671524184122444
17,0.15059915095055063,0.28348609255465285,0.4226039196611927,0.13425133617907403,0.004461536596768347,0.01879907948379849,0.44183828708885164
18,0.11399329669158659,0.25918634764953213,0.41588016166353176,0.10902162664958878,0.0023887611667256854,0.011198739992472178,0.40139015142016254
19,0.09065133638049731,0.23718794957831169,0.4524471155448522,0.08887834495776942,0.0008946860010251562,0.008236580915467017,0.39986973623742034
20,0.950101433132315,0.0699456180789299,0.07577047315244094,0.040778331141366975,0.12275546762408161,0.17364039120998584,0.3445138057167366
21,0.9702166811893589,0.06808614640016268,0.06304073295902986,0.039599156574854674,0.11182742417416008,0.17748028892881434,0.35612051508829673
22,0.9846951053497159,0.07041432126383022,0.050161695786754,0.03845141395539111,0.08239241922759573,0.14765798639839844,0.3719603392195054
23,0.9882603714948178,0.08079677129342373,0.03866931017598951,0.054846290645786416,0.051025671100517804,0.12841705051570998,0.39542026914619954
24,0.9787099160563935,0.09764837777817373,0.03339556319518812,0.07170958594529456,0.027059981965482628,0.10956924239408423,0.41176069926404396
