fid,X,Y,I,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR,ROADS_SURR
1,8.481,45.309,0.8934372229428177,0.9701318307845218,0.07694147774882681,0.04129845252776948,0.037945225931408096,0.001629647702557957,0.11173240068736627,0.39680193511007955
2,8.547,45.177,0.902973135599739,0.9933609326230721,0.05391943428702246,0.0535243573903947,0.02493906216018971,0.04716936188573168,0.08991908941054721,0.4012346837940466
3,8.547,45.243,0.9000359729422482,0.988587917740006,0.07913366952170742,0.03848931876782355,0.04311145404054317,0.029764563896940058,0.09704569555288964,0.4041784697575748
4,8.547,45.309,0.9061104949697276,1.0,0.07188820916659365,0.03208679112010832,0.045889960856351754,0.006357936869484663,0.054034396675306455,0.37156450097164834
5,8.547,45.375,0.9351635627340228,0.982113974903528,0.1043918752386032,0.020587060457966554,0.06257943755060677,0.004778787685034893,0.09973396938703571,0.3941540513010002
6,8.547,45.771,0.605889252375763,0.1915059427700098,0.2881927892575013,0.33310985854226965,0.12435462737492632,0.007057810624329353,0.03554282936601689,0.43646266079297374
7,8.547,45.837,0.554603241491203,0.14412310027270847,0.2540084206967602,0.32558486192618585,0.09457825264081804,0.0033987669968099207,0.023601940513511315,0.36552981619148694
8,8.547,45.903,0.4144970649379325,0.08793687226751555,0.2639775043060328,0.25095013631485896,0.09929720402837204,0.0021367350168267135,0.008605406094793497,0.3360045213292075
9,8.613,45.045,0.8969467681559683,0.9902424694438132,0.06141107181309547,0.055298689043417885,0.034547517233273116,0.06902326955399378,0.17297650575868967,0.3446437968823063
10,8.613,45.111,0.8908135619006682,0.9860654568539369,0.06477215288110853,0.052608597456321016,0.03357562048374455,0.06908193302998773,0.1413510866345352,0.36723481832599375
11,8.613,45.177,0.8881383500938219,0.9966677160905337,0.06031957377501192,0.044390847012166945,0.0347259679557369,0.05158193057347941,0.09883505933697793,0.36241135884961767
12,8.613,45.243,0.8812102595214276,0.9870164799363961,0.07734161936919559,0.0364606554176921,0.043525690502786284,0.02876030575078736,0.09639554238954866,0.3896536106212116
13,8.613,45.309,0.9379489650419328,0.9944573938541026,0.06792288282247719,0.03018302780196633,0.047004708425842354,0.009177581070697745,0.08185932761141694,0.36771526624338396
14,8.613,45.375,0.9809144511488675,0.9906025004683975,0.10070213381674553,0.018263895687516626,0.05628938666809665,0.004112643760868212,0.08942260770772285,0.3954606578886763
15,8.613,45.705,0.8339800895831511,0.17174356373046612,0.31453744239711323,0.48589828897055776,0.20583837918900433,0.02143525764927384,0.019380334751995784,0.5311482915663536
16,8.613,45.771,0.7232266233215974,0.15516132613013786,0.3660883254733341,0.41942967146969656,0.18480023593601563,0.009113447388346942,0.01125072695685362,0.5533923586285218
17,8.613,45.837,0.5888742966411292,0.1582416244478954,0.2918381711270842,0.43378782045687647,0.1353996301713654,0.004057907490732196,0.019452090560201887,0.46161894803098985
18,8.613,45.903,0.4190458044573118,0.13209054274330279,0.2854116234883015,0.4001893440536249,0.12288083979327234,0.0022694502805650166,0.013621189085046472,0.43958542016583024
19,8.613,45.969,0.365350685152256,0.08346720405679596,0.23664136456207485,0.4389805831861551,0.0759822002671473,0.0,0.007030586079651655,0.3752565575493133
20,8.679,44.979,0.8474747035117981,0.9368297269370928,0.059765037689092346,0.0902678238009741,0.03272274155975757,0.1312878433011581,0.16032773116658453,0.3074651322327063
21,8.679,45.045,0.8593996589434629,0.9773400466068574,0.06960077287251314,0.05919668893293218,0.037914617888670926,0.11049624060766858,0.19879835167125737,0.35957034594641263
22,8.679,45.111,0.8621608430699145,0.9855193027577964,0.06699458245832159,0.04915453837078417,0.03339614512752036,0.08490736642892178,0.13608775183882527,0.3760637642182384
23,8.679,45.177,0.8915886920121879,0.9884076740433969,0.08665732241286128,0.0355922427411169,0.05750778749313545,0.04989091322450209,0.14112385709495454,0.40223600924451164
24,8.679,45.243,0.9203434297469548,0.9783615327478423,0.10708961980969112,0.03071883655450558,0.07227742937174657,0.024754647354300326,0.09968848819007133,0.42063084805956624
25,8.679,45.309,0.9934681153169512,0.9698425951386813,0.1230176204408169,0.026333988339831263,0.09080116849687594,0.010167617213102683,0.11717061442198028,0.42759393386947403
26,8.679,45.573,1.0550118533775807,0.22924883544225988,0.49891473056372215,0.42045462158442853,0.5484542000958865,0.11366953868347023,0.054694220322429335,0.5864624959199599
27,8.679,45.639,0.9985893041291716,0.20057167048303898,0.4911454097005959,0.4669890809083597,0.4454677434999798,0.06898115856972047,0.031112308260318876,0.6161284265718582
28,8.679,45.705,0.9522248933942052,0.19547144669033914,0.4000105152486937,0.47593009076023995,0.32971399971379994,0.029255027160071872,0.030038656148104883,0.5180928718702713
29,8.679,45.771,0.893115505238972,0.18918766913486212,0.33861114866212505,0.45779091398966093,0.17891201196874837,0.009505278105971014,0.02547190684971249,0.49804142389844125
30,8.679,45.837,0.7243807316382561,0.1438742975804643,0.26185224336802365,0.5004762159068054,0.13015284221431148,0.004368957965248979,0.02089899785801063,0.39804430973453464
31,8.679,45.903,0.4754804220126175,0.11472645812031602,0.27679594363564275,0.5042373110129311,0.11322559344698058,0.0014210789790415762,0.010456432888209959,0.43110332012417063
32,8.679,45.969,0.3325379115594752,0.08539274731145331,0.22898885527794355,0.5643634214405069,0.07430617442458493,0.0,0.01077140967509117,0.44140743217040845
33,8.679,46.035,0.2051693787518042,0.06174941843858278,0.1939679476706254,0.5075798484450308,0.0537515678672694,0.0,0.0023345438788466605,0.4405007304488558
34,8.679,46.101,0.13108710361745,0.030035167189306156,0.11388882754414237,0.5426819433212285,0.011621545811822533,0.0,0.0,0.3630866770452064
35,8.745,44.979,0.7916299202849822,0.9250641437635648,0.07603728772504503,0.09270385417685545,0.05190247557657389,0.14907259217284385,0.17916909034786155,0.3686581246725588
36,8.745,45.045,0.8325335834308304,0.9651591915572532,0.08917935550824593,0.05828989645987288,0.05552081224953175,0.11773654682619342,0.19368690484683462,0.40732197590262376
37,8.745,45.111,0.8566630192691326,0.9737118095607357,0.06915645096702781,0.05727788206906904,0.0450286971790646,0.08524114440801041,0.14574583960598528,0.36444631068434297
38,8.745,45.177,0.8719188422346991,0.9695427232523952,0.09989834047751002,0.04272128358267946,0.06833963699713845,0.0476831895445846,0.19931521974026367,0.41248968318473456
39,8.745,45.243,0.9733187811397468,0.9578138990390714,0.10542187709436798,0.04590226856207731,0.09273232449111461,0.020307363460704275,0.15856207579524303,0.41163825617572153
40,8.745,45.309,1.054311973145253,0.924237591270139,0.14318968191130244,0.049632507742361866,0.12157918653593855,0.01936104318176749,0.1797465066115872,0.44040064535710444
41,8.745,45.375,1.1233498962084378,0.8263451966441563,0.1800934406525664,0.100600413919987,0.1199414628964049,0.020756127992267056,0.13584209876934975,0.4662473594057773
42,8.745,45.507,1.2630107058919653,0.47172527396229674,0.3686490295512296,0.30396575548160654,0.322813328289818,0.19816098297206733,0.16891943640860335,0.6381495128232878
43,8.745,45.573,1.2621112073360417,0.32824701304386156,0.5648007032194793,0.3080576447085687,0.5041136476656586,0.16053117349460813,0.11080214026362911,0.6980650669096646
