rfuid,fid,Target,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,URBAN_AREA_BLOCK
0,1.0,1,0.939626923842186,0.0786413022381689,0.0308984695528467,0.009136891654088805,0.09799607571887274,0.10730747794197823
1,1.0,1,0.9067687302449323,0.07515018008623872,0.028339640213558524,0.009114432446889148,0.09705309352428411,0.10704009411007166
2,1.0,1,0.8952332721920498,0.07382416223250117,0.027922407799457632,0.009171776134370199,0.09164010413225518,0.10165616532028343
3,1.0,1,0.9644446385743328,0.08005360010588558,0.02802415512856383,0.009181418376114567,0.09880884926963127,0.10228636435992591
4,1.0,1,0.975868577672602,0.0753849905661958,0.03082648671000122,0.009039587437152448,0.09307094289614722,0.10529096953796077
5,1.0,1,0.9030013773510854,0.08032747460280384,0.028575090984972695,0.009779172930255325,0.09025982649385562,0.10535014488395256
6,1.0,1,0.9459888601833433,0.07308480928537729,0.02939873163032693,0.009368007967771286,0.09145140429184592,0.09730081870380171
7,1.0,1,0.9784640287207018,0.07590699091470265,0.029658516039752697,0.00974721436302457,0.09499812732846837,0.10539225313702033
8,1.0,1,0.9340172478677076,0.0750578291571743,0.028960301002757448,0.009193635658557749,0.09635770716349165,0.10422657948530141
9,1.0,1,0.9633698582334624,0.08029503427518189,0.028636522076131772,0.009553807137580129,0.0956607873568837,0.1048762473485892
10,2.0,1,0.9226613111060586,0.059066289463595226,0.041851627890500454,0.041714466463662676,0.10821975149190166,0.08560248772173047
11,2.0,1,0.9207352845254366,0.06051151740843361,0.03854443356371159,0.04388298223719553,0.10983359645996695,0.08961259450187835
12,2.0,1,0.9130831500837701,0.060514148613065526,0.04261361527951383,0.04411366145027197,0.10200427067131883,0.08708172670110031
13,2.0,1,0.9628446398258814,0.05836968075211078,0.039296390835382576,0.04188148303908783,0.10415359457884311,0.08764215683304408
14,2.0,1,0.9272229500910545,0.05739538912106265,0.04244010661150694,0.04490442238309264,0.10691708057491059,0.08233069296522491
15,2.0,1,0.9868383443042892,0.06279997789015172,0.042447892765758465,0.041534348442344694,0.10191806326527317,0.09027939980307517
16,2.0,1,0.9961341146244417,0.06252793169590859,0.041945869298495135,0.04301176946333483,0.10380012087455522,0.08903676937316349
17,2.0,1,0.9320839880371127,0.06122894323863013,0.038853440615592726,0.04217698508306701,0.10968394150694899,0.09019672915637364
18,2.0,1,0.9032972240460408,0.060440260013331394,0.04025887641280815,0.04215607630245493,0.10946366007446148,0.08208346687266199
19,2.0,1,0.936019164064094,0.05808220901979606,0.03871544417735095,0.04485344044047888,0.10896752005656872,0.0822186066307681
20,3.0,1,0.9639653112252267,0.06736414678461146,0.032247664213928134,0.03381123822930487,0.08785787878629328,0.0926382329680523
21,3.0,1,0.9556379004340283,0.06466300294996809,0.034802559922456365,0.03193227863522825,0.0902753850157821,0.09502412187691443
22,3.0,1,0.9948029576878951,0.06928358914748184,0.03407866740075164,0.03276360716488594,0.09197038299754104,0.0885880360892005
23,3.0,1,0.9800253751729306,0.06523964385166127,0.032935609372327423,0.03178203828305892,0.09261331424335677,0.09274130866845076
24,3.0,1,0.9192253669300554,0.06477429512889722,0.03507777601127191,0.03258104594090438,0.0925181938501764,0.09248799297512485
25,3.0,1,0.9528148467398246,0.06471879661861127,0.035000856309331536,0.033677570373969005,0.09614703039064745,0.09293922915524666
26,3.0,1,0.9947824405701622,0.06836263718598705,0.03485297292458717,0.03213747262991809,0.09626644017708863,0.09061809304824263
27,3.0,1,0.9315191568877326,0.06538544761417618,0.03374507784279366,0.03368539910319821,0.09522962565417216,0.09040128699365597
28,3.0,1,0.9761244934000726,0.06994510838761125,0.03302195937611883,0.03338686239109645,0.0882152681959347,0.09603086795072327
29,3.0,1,0.9450942004957762,0.06957847198117649,0.034530070043068815,0.03203091330099103,0.09658030679504741,0.09538711069559833
30,4.0,1,0.9544511619245862,0.08039523248652282,0.027827738016679687,0.01046623271713815,0.08428109218577969,0.10663059298267215
31,4.0,1,0.9290392546679602,0.08094106229288256,0.028273822462011756,0.011309165498073391,0.08224061503670536,0.10749725735807557
32,4.0,1,0.907490583998047,0.08201611086372795,0.02705512531021013,0.010730804322974715,0.07952260587651068,0.09915553245095861
33,4.0,1,0.973454205134662,0.07534077799102021,0.027032507438360918,0.010483374290456433,0.08636362568100384,0.10034094814323455
34,4.0,1,0.9150984922842642,0.07717237434127265,0.02639518554305949,0.010461122619316058,0.08427798399241254,0.10378431633865799
35,4.0,1,0.9383367303042912,0.07579689762553078,0.026601471374983886,0.010634844345459435,0.08594266215768262,0.10781304461986334
