rfuid,fid,Target,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,URBAN_AREA_BLOCK
0,1.0,1,0.9821759224553724,0.08012897083205725,0.025736477488420822,0.0139926330615401,0.09525472859316175,0.1031395819992341
1,1.0,1,0.9374730396566162,0.07939045702150838,0.024991367934699048,0.014766374852058547,0.09060551302183088,0.10588311702543542
2,1.0,1,0.9515171741870087,0.0815997472145741,0.026454083397797833,0.014444727836636757,0.09818250841447752,0.10586822464052852
3,1.0,1,0.9287388697888561,0.07581423245235248,0.025293663938901235,0.014549344674681854,0.09622425068139014,0.10470108743391451
4,1.0,1,0.9823344542108536,0.07831979980950932,0.025535966773140507,0.014860843948652926,0.09835531008491759,0.10432945154465981
5,1.0,1,0.9908443510132054,0.08099966631025413,0.026267950274026324,0.014935070577491574,0.09403729824065467,0.10409980920351328
6,1.0,1,0.9679985148567084,0.08194172843062578,0.02590948409926857,0.014699488386943745,0.09483863404450088,0.10450680726287427
7,1.0,1,0.9951226580176127,0.08328416542893806,0.026296658766868458,0.013806700956336793,0.09790476394432353,0.10025868721665773
8,1.0,1,0.9426247454983268,0.07727347411516622,0.024900968223053925,0.013649891048442853,0.09150770423924144,0.10818975030311674
9,1.0,1,0.9707423989609848,0.0801354591586309,0.024930242508967786,0.014481779610373592,0.0942429540082261,0.10392312238996491
10,1.0,1,0.9719514230771317,0.08062714263774687,0.025505823182094094,0.013998325909121208,0.09030371156093374,0.09930516609244787
11,1.0,1,0.9587360785094744,0.07878359903479898,0.02512562846986282,0.013990953478403931,0.09250981723502744,0.09769316688179808
12,2.0,1,0.9361077429935083,0.06681963781374133,0.03542908102753335,0.0461252606450126,0.11026003582592975,0.0848338246826627
13,2.0,1,0.9435435585847347,0.06522857189734318,0.03739512668645968,0.04448371858190596,0.11074772400638655,0.08371203724882215
14,2.0,1,0.9058293801765412,0.0635592047395841,0.03851288581306517,0.04637662148566947,0.11153457372758513,0.07996865261945821
15,2.0,1,0.9143294276422678,0.06471913995080374,0.036955393452095135,0.046613674543407556,0.10759513151718628,0.08261304861332157
16,2.0,1,0.9517157647651,0.06532386979208113,0.03927068590502923,0.04420062384023652,0.10564667845507485,0.08375736090582173
17,2.0,1,0.9978846235366456,0.06515119488988799,0.03916710887723713,0.046644741974306646,0.11222726389222915,0.08031310335536945
18,2.0,1,0.9576941953822177,0.06624210901264278,0.038089842446601935,0.04227664510137887,0.11042274659637823,0.08232234785753474
