rfuid,fid,Target,BUILT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,NAT_AREA_BLOCK
0,1.0,1,0.07343261839066384,0.04660108276923249,0.026365787462771417
1,1.0,1,0.07593856996272098,0.051587664132705935,0.02420418775216449
2,1.0,1,0.07210845982742414,0.04636806668756302,0.02671498021415907
3,1.0,1,0.07566864881608201,0.04749104828846685,0.022421194140469624
4,1.0,1,0.0779613673311049,0.04619641178010947,0.026173898698861116
5,1.0,1,0.08476164314700073,0.04979672262648817,0.023062854903687747
6,1.0,1,0.07756508821351292,0.04724381596669215,0.026822866006104742
7,1.0,1,0.07220112924821151,0.04619172918380575,0.027556199780648032
8,1.0,1,0.07494346577725697,0.050839283668207697,0.02493667533195173
9,1.0,1,0.07394138121898802,0.0474391492705853,0.023052152751246998
10,2.0,1,0.059140271590338925,0.033532614546412785,0.039484498292717884
11,2.0,1,0.06345186524945474,0.03713259341875562,0.039411115240403825
12,2.0,1,0.06069250908629488,0.03942155025574963,0.038177652531207924
13,2.0,1,0.064865744339009,0.03453824739368413,0.03521061838519885
14,2.0,1,0.059516713361276015,0.03451323818877462,0.037938789565243256
15,2.0,1,0.06325742532565333,0.03718242626438105,0.03258569577488653
16,2.0,1,0.06478125939975585,0.040522675483584056,0.03675016108130346
17,2.0,1,0.05406285680251321,0.03502466836884249,0.03766239099630699
18,2.0,1,0.05790771516616583,0.03992185957908151,0.03964637730840188
19,2.0,1,0.06469690915459667,0.038872650001586365,0.0395734296165105
20,3.0,1,0.06405879481080425,0.03774082671560222,0.033151904850179936
21,3.0,1,0.07470289720018765,0.04026401416984618,0.03241071298155708
22,3.0,1,0.07005705720406925,0.04134721733286736,0.026762619070788092
23,3.0,1,0.06337530045909347,0.03800222693247392,0.03217041968643303
24,3.0,1,0.0676783188294951,0.042089358032122694,0.028561841146589845
25,3.0,1,0.06326264094594233,0.039534493456129,0.029985577281800468
26,3.0,1,0.07315754040617768,0.04186994162615787,0.029488727521822657
27,3.0,1,0.07420984869469673,0.04055235643766287,0.028793262878412305
28,3.0,1,0.06176949295750766,0.04029739961475918,0.02845656517877354
29,3.0,1,0.06322925927716076,0.044009045513968635,0.02744551410159058
30,4.0,1,0.08076701443730137,0.045055542739846584,0.020376682587144933
31,4.0,1,0.07968867866246285,0.051364391807379804,0.025157852623906914
32,4.0,1,0.0823308272367941,0.053527492329181525,0.02424190549171538
33,4.0,1,0.08514927770249399,0.04648748846370994,0.020459757504368545
34,4.0,1,0.07642868264444452,0.052234481845294056,0.021751829028213057
35,4.0,1,0.07958051793413838,0.049760932157887725,0.025447916847025163
36,4.0,1,0.08082178460197949,0.04949875833987985,0.020494841019549258
37,4.0,1,0.08483563625099189,0.045084352761839155,0.024472782116991852
38,4.0,1,0.0743373671050321,0.050374230180278166,0.021503740580908825
39,4.0,1,0.08619699561918014,0.045849704274198426,0.020493417173110172
40,4.0,1,0.08293388166956903,0.04456240756891852,0.020193390633971346
41,5.0,1,0.09152127790091631,0.055218972400356954,0.020041855525020975
42,5.0,1,0.08896373152687045,0.055386689480377706,0.02022530031238571
43,5.0,1,0.08067209217488175,0.05919831437530051,0.01940819471644346
44,5.0,1,0.08713968905249019,0.057615413471094265,0.01863601583135807
45,5.0,1,0.0759757440284514,0.05693741425771941,0.021805742129573417
46,5.0,1,0.08705527902000022,0.056645075897126446,0.020884970802293835
47,5.0,1,0.07623570205396418,0.055644057968733264,0.018103917972462018
48,5.0,1,0.07837087231054263,0.059384485725716966,0.017937558566670373
49,5.0,1,0.08696255590665676,0.05367590297198323,0.018664524002827868
50,5.0,1,0.09103840300556136,0.04927715174777239,0.020458964882959847
51,5.0,1,0.08478340557904716,0.05330289889866042,0.021596224033209408
52,5.0,1,0.09196338537253525,0.05855589015968274,0.02011876368364555
53,6.0,1,0.32402662495887485,0.15307622705500273,0.3648016736954335
54,6.0,1,0.27095922799476363,0.1494534017030649,0.3507098331795228
55,6.0,1,0.31487443258610404,0.1591451085824505,0.33382424968370683
56,6.0,1,0.2839103120527143,0.1783875062976599,0.36677010195832044
57,7.0,1,0.2775969357986613,0.11970602793120247,0.35057478436076966
58,7.0,1,0.28343426111222625,0.11904859113668537,0.3151003822677111
59,7.0,0,0.288181094128545,0.13885801216645496,0.3180394302093042
60,8.0,1,0.2733653855389029,0.10976664409801665,0.315771245289636
61,9.0,1,0.06600754789669194,0.03898728083937914,0.0486802044954025
62,9.0,1,0.05967740966587936,0.03474798369119227,0.04627067645206315
63,9.0,1,0.05746480208581119,0.03555539946251173,0.045293392694791636
64,9.0,1,0.059889708985006784,0.039327327675736566,0.05264395588533833
65,9.0,1,0.05748205776354305,0.036598088900672586,0.052899692968460546
66,9.0,1,0.06350193158599687,0.03449960564352252,0.04635918859548596
67,9.0,1,0.05472007440493129,0.037947043832993625,0.0432232486159259
68,9.0,1,0.05666813631357014,0.03678765409575298,0.04606995668270639
69,9.0,1,0.06316678416801896,0.033934529781883896,0.04333171462869299
70,9.0,1,0.06501363006207744,0.03945173441249293,0.04796037957146514
71,10.0,1,0.06459314354051225,0.0404139249529297,0.045197056445302176
72,10.0,1,0.0679137391898504,0.04045981567870022,0.044025742239144135
73,10.0,1,0.055939694452316696,0.040653958358775104,0.03927890388785819
74,10.0,1,0.058853471395184105,0.04094709071636071,0.040353726152237326
75,10.0,1,0.0566323923032542,0.03772983783467682,0.03632832713872226
76,10.0,1,0.056179321741297805,0.04064531648149045,0.04135326260144022
77,10.0,1,0.0631124074190723,0.03944311732485672,0.03647675761138655
78,10.0,1,0.06677535601759862,0.038492971439160646,0.03573267464478631
79,10.0,1,0.06601765242842177,0.03784485294880249,0.042791597204889814
80,10.0,1,0.06177796779279442,0.04013743489382906,0.03673602650124075
81,10.0,1,0.05596058493232639,0.03778858886108074,0.03925371638526041
82,11.0,1,0.07072153808639428,0.04001529813986104,0.037298689846804164
83,11.0,1,0.07183135016524085,0.04542778431784301,0.03769843576789918
84,11.0,1,0.06908190417791565,0.04753948522394679,0.03192953275948325
85,11.0,1,0.06557714024085264,0.0412652546901358,0.03283336679945571
86,11.0,1,0.060766811496318476,0.04080689645711613,0.031070262585862023
87,11.0,1,0.06915150013112703,0.043591929731548136,0.037628092678821605
88,11.0,1,0.06717316166457096,0.04753209362692322,0.0343066292309163
89,11.0,1,0.07235644791050556,0.03987579128813228,0.03023885692201437
90,11.0,1,0.06277212049139877,0.03924312758982617,0.03346610133963512
91,11.0,1,0.06206314674221819,0.04344501782177773,0.03266650433606827
92,11.0,1,0.06790561142732994,0.04314546632492198,0.03789065552543515
93,12.0,1,0.07777607713635343,0.05481710933288807,0.030587421518137693
94,12.0,1,0.07298614009926246,0.04924406223635764,0.024288579193371282
95,12.0,1,0.07109555874581575,0.04694995980980433,0.02401801093970066
96,12.0,1,0.07163754659934268,0.056478034980574056,0.026199113374092683
97,12.0,1,0.07615184774479077,0.052646782758595814,0.025064708373269698
98,12.0,1,0.08398764315839868,0.04986603056686694,0.02930799441476894
99,12.0,1,0.06975891057116673,0.052784576701793914,0.030176380941235006
100,12.0,1,0.08286510830119675,0.05224196852743905,0.025720973951547148
101,12.0,1,0.08066549727224236,0.04842713283551423,0.025368644589200975
102,12.0,1,0.07994528504794801,0.05506751423676598,0.02974326514198123
103,12.0,1,0.0738108300244213,0.05531161416296358,0.024354443268733903
104,13.0,1,0.0903377475353831,0.0561770182435745,0.019382135629700335
105,13.0,1,0.07773464653519241,0.055895153851016156,0.020208454198281853
106,13.0,1,0.08457100891090447,0.05461927674936747,0.02085977909860949
107,13.0,1,0.09007047214451996,0.058052327258975016,0.019330693153825906
108,13.0,1,0.0826607366325322,0.062262357071133735,0.019113482102727557
109,13.0,1,0.08037747108649577,0.058146816990482936,0.019786058709830138
110,13.0,1,0.09121599146579562,0.0589052240248449,0.021070086073229556
111,13.0,1,0.07778852280226058,0.059504709120971555,0.02267646521231233
112,13.0,1,0.08342030020201678,0.06151759548553563,0.019920704543871424
113,13.0,1,0.08380822836459784,0.05542680437474426,0.02126459595453553
114,13.0,1,0.09273357971194773,0.06068006586845534,0.020816940191025642
115,13.0,1,0.08914776703197873,0.055217436853471184,0.020006748540730222
116,14.0,1,0.0832412356735033,0.060234919358936906,0.014494060609665379
117,14.0,1,0.08258968051850855,0.06041375691474675,0.017445595873065274
118,14.0,1,0.10039700415664127,0.06386807745985516,0.015374927537877179
119,14.0,1,0.09555683418981166,0.06435558797216251,0.015340728005011819
120,14.0,1,0.089619152738779,0.05677901980439,0.016390020424590764
121,14.0,1,0.09385046843486063,0.05876826857503768,0.01578293513482315
122,14.0,1,0.09371446514752603,0.058519513135113735,0.017917038816478447
123,14.0,1,0.08943068996330303,0.05778355893636953,0.01905316740866861
124,14.0,1,0.09254903295928261,0.060423995072996214,0.016050201077856093
125,14.0,1,0.09362333515513069,0.0648154635860808,0.015681628069181476
126,14.0,1,0.08540656222024515,0.06561632985852671,0.019064551037898118
127,14.0,1,0.0858287298625582,0.0627695736013238,0.018804052885127417
128,15.0,1,0.35504147430193367,0.25727681236552297,0.43380273225416005
129,15.0,1,0.3874694287625687,0.26932859565766,0.45796488218310377
130,15.0,1,0.37761029209648317,0.2510932340035925,0.45357875294418065
131,15.0,1,0.3540553136051422,0.27721544546075405,0.41345587882214185
132,15.0,1,0.33874166184648913,0.23722853689448298,0.41472760070577264
133,15.0,1,0.37463870267296956,0.27398987440214284,0.4029024378464911
134,15.0,1,0.3356045821106958,0.24087715061242443,0.4301700748799153
135,15.0,1,0.3274837018969637,0.24629080044672477,0.42184762391824465
136,16.0,1,0.3164596202943769,0.18144251377149045,0.3952476904700168
137,16.0,1,0.33303249349555136,0.20373780756617682,0.4354987969446782
138,16.0,1,0.3429910912959585,0.17916222454464298,0.39945777045461095
139,16.0,1,0.3346708737981005,0.1964560141286849,0.40691524592263706
140,16.0,1,0.31327550272358834,0.20120838231667773,0.36413481096050115
141,16.0,1,0.2907229820471633,0.20358266362241378,0.3859626202567882
142,16.0,1,0.3081128358039232,0.18496994375301154,0.43465156234821317
143,17.0,1,0.2769306969015363,0.12963155497990206,0.3619358534797443
144,17.0,1,0.3045399481464984,0.15039180370323,0.3626409247246569
145,17.0,1,0.28040945175454257,0.15509776522744556,0.3643186387603195
146,17.0,1,0.26431306989571407,0.13183203714825437,0.3784690277452357
147,18.0,1,0.25694283598529294,0.11306272705791513,0.3675612678253602
148,18.0,0,0.23808240898451832,0.1236857896738707,0.35198226275428357
149,19.0,1,0.21603320962206818,0.09058514863044408,0.45110976772000516
150,19.0,1,0.25452316241437384,0.09186199101803273,0.38674408703690333
151,19.0,1,0.22148772534817743,0.10568991129763705,0.4436213200858944
152,19.0,1,0.21915160728878832,0.09534222463529625,0.46050719920076666
153,19.0,1,0.25746716716919227,0.09583009078569889,0.40968651923403443
154,19.0,1,0.22477695230579803,0.08781831353322944,0.37992530107211936
155,19.0,1,0.2322299983651794,0.09348980925549985,0.4450907390705755
156,19.0,1,0.2540847173222378,0.08916890988235525,0.38818639626469376
157,19.0,0,0.25210564084124204,0.08793460667339341,0.40020926991541056
158,19.0,0,0.22256074818779006,0.09758435465263725,0.43941579636551664
159,19.0,0,0.2228720293155205,0.08785612039744434,0.4548481550939576
160,19.0,0,0.2413208981955857,0.09113747287789177,0.3999860094065794
161,19.0,0,0.24489085121857412,0.09956169058174573,0.39318047615981055
162,19.0,0,0.24578951745147407,0.09661253164183661,0.4263928432030755
163,19.0,0,0.25240936077344595,0.09184248063154198,0.423166908717389
164,19.0,0,0.23588860698752664,0.10562425361607906,0.4067333000158828
165,19.0,0,0.23886669338134298,0.10637944585699323,0.3813548122447896
166,19.0,0,0.245806581914458,0.10671142456955118,0.40992526126821877
167,19.0,0,0.2596465301600363,0.10665022820398096,0.4446011761782507
168,19.0,0,0.25752646649097977,0.09402398536242539,0.415171604407219
169,19.0,0,0.25063314945409404,0.08972045528923978,0.394018724073998
170,19.0,0,0.2181079830162071,0.09202966014655041,0.3977821246807315
171,19.0,0,0.21984931180240416,0.08987198923571213,0.4452094048451268
172,19.0,0,0.21917116254084534,0.08971762372692746,0.37862178018308096
173,19.0,0,0.2533376251948031,0.09191569031111144,0.42889867331442455
174,19.0,0,0.21570290186265068,0.09426939759139981,0.43140805781591796
175,19.0,0,0.21823690696101947,0.09695401898280546,0.38945670900996787
176,19.0,0,0.2582420772394415,0.0981813758242324,0.38089006306269535
177,19.0,0,0.25005845984623937,0.09462544346951308,0.3955555697120238
178,19.0,0,0.22567609444464884,0.10120596321059362,0.44962934220326944
179,19.0,0,0.24311076511045251,0.09511452339068557,0.438556500142256
180,19.0,0,0.21555966629972448,0.09558498021392377,0.383288897871984
181,19.0,0,0.2609377056202363,0.0961654467056602,0.3860407619931135
