rfuid,fid,Target,BUILT_AREA_SURR,INDUSTRIAL_AREA_SURR,NAT_AREA_SURR
0,1.0,1,0.07848250703905038,0.04770632139983982,0.022278651768254776
1,1.0,1,0.07443507263658819,0.04685791559840442,0.02352591913688414
2,1.0,1,0.08223793398377686,0.0438542725419422,0.0240421784856283
3,1.0,1,0.0766930810183783,0.046497670193729634,0.021731971615379236
4,1.0,1,0.08371328112150343,0.05132354074803721,0.022566869147971833
5,1.0,1,0.0803519604872466,0.05114828625983558,0.02298603229225806
6,1.0,1,0.07786489848542612,0.04662476566200167,0.02665727198293317
7,1.0,1,0.07977801508205805,0.04319454824058803,0.02115651470640497
8,1.0,1,0.0808558127148922,0.04698289822861448,0.021908155893211434
9,1.0,1,0.06933696080880623,0.049287475339976974,0.022501719272825536
10,1.0,1,0.07899286212359274,0.0482507447501127,0.025227089834705035
11,1.0,1,0.07794451927142822,0.05222316630921232,0.02738568731780512
12,1.0,1,0.07289866917298503,0.047454476567722115,0.024174811398429502
13,1.0,1,0.07896457608062823,0.04997832309019638,0.02300965776247616
14,1.0,1,0.07903413536305814,0.0453551207502503,0.02583233834060237
15,1.0,1,0.08428110767108471,0.04912434801287988,0.025150320280304086
16,2.0,1,0.06693093086973181,0.037188386926274734,0.029736312027318378
17,2.0,1,0.06015265017404049,0.03608680225527151,0.0371081852682298
18,2.0,1,0.059908125791216564,0.042930604395515416,0.03222898518450705
19,2.0,1,0.0641891246544077,0.041947667056362374,0.0338669070678486
20,2.0,1,0.06261001528654042,0.039512014742082276,0.03378638001026743
21,2.0,1,0.06586443526561597,0.04350730033411468,0.03144583194873633
22,2.0,1,0.06647670204256742,0.038621331283592825,0.03719891104063032
23,2.0,1,0.06691710404495296,0.04125357447176534,0.0306329441749576
24,2.0,1,0.05843592841101791,0.036115719845907085,0.033937099984122705
25,2.0,1,0.06787533107204193,0.043549288889411064,0.034768687489874404
26,2.0,1,0.06437566917234011,0.03653611820504642,0.030395564492365405
27,2.0,1,0.06145597156379852,0.038010558940695875,0.03328084359361572
28,2.0,1,0.0673850310642836,0.04047074416538801,0.030717671520657963
29,2.0,1,0.0610975764264216,0.042230446864637304,0.033605603293466194
30,2.0,1,0.06272685698931174,0.039824812928044954,0.0369543809486504
