rfuid,fid,Target,BUILT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,NAT_AREA
0,1.0,1,0.07978952790960214,0.05599874525223695,0.03702487943409528
1,1.0,1,0.07230962521088914,0.05033477623337089,0.03217202217823721
2,1.0,1,0.06984719335616597,0.04998413388018704,0.03910433159035234
3,1.0,1,0.06988612280684978,0.055695506173457913,0.037483341637569056
4,1.0,1,0.0803484757416977,0.053103844084369814,0.0353999636805195
5,1.0,1,0.07719071101539697,0.0487962954898103,0.03985644022584127
6,1.0,1,0.07085101283708634,0.05213685204023882,0.036405239472051966
7,1.0,1,0.08423479512402146,0.0479474012913276,0.03578858407944264
8,1.0,1,0.0842862685370882,0.05540744548341923,0.03719236120693666
9,2.0,1,0.05496417294576968,0.04289734462671913,0.05576176904495162
10,2.0,1,0.06429041093217984,0.04110372457179831,0.049115726290224114
11,2.0,1,0.05825832260028048,0.04075226813446449,0.05630134799419701
12,2.0,1,0.05786472962879156,0.04283995070218749,0.05837422508623209
13,2.0,1,0.06269266037608902,0.04672923770453867,0.052011406023801436
14,2.0,1,0.06102825896156279,0.040378727855043955,0.05232992430190434
15,2.0,1,0.06052376446767812,0.04892123862769961,0.057683462855253435
16,2.0,1,0.059668423416026545,0.043880699419650296,0.05636224690214516
17,2.0,1,0.05923579420056742,0.04299566824222206,0.04990653098900266
18,3.0,1,0.0744246210310566,0.04781466630472729,0.038160176290991527
19,3.0,1,0.06875135623042833,0.052667938753021996,0.034387141263629246
20,3.0,1,0.0748264603361566,0.04451088398245572,0.0422212929098765
21,3.0,1,0.06318235893597907,0.05003443481427252,0.03906814382563011
22,3.0,1,0.06981981762914959,0.05166266178021556,0.035371628692846685
23,3.0,1,0.06402600058751164,0.048299370881790114,0.03840391009096047
24,3.0,1,0.0757367854467642,0.052399207990268114,0.03459483975461003
25,3.0,1,0.06452747142873236,0.05252024419449554,0.036829758388659324
26,3.0,1,0.07206939802589798,0.049377084919384265,0.04028192672103978
27,4.0,1,0.08317419897719654,0.06204824992713429,0.031711729593257465
28,4.0,1,0.07415342659157816,0.05508502603303071,0.03164734353359767
29,4.0,1,0.08587449395841566,0.054277498665164896,0.03554959632246911
30,4.0,1,0.08421441274805681,0.05313401739951772,0.031239794896305857
31,4.0,1,0.0734979267052489,0.058483699020938563,0.03439013781256495
32,4.0,1,0.07691459877854719,0.05755418759941425,0.029038625350266828
