rfuid,fid,Target,AGRI_AREA_SURR,BUILT_AREA_SURR,INDUSTRIAL_AREA_BLOCK,NAT_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
0,1.0,1,0.8952541109000638,0.07023687326305675,0.8613108810779977,0.026518163469586773,0.008006102872360935,0.08617707072037625
1,1.0,1,0.8248813864341104,0.07909020715713762,0.5823290189625611,0.022356300683197505,0.008306692650476918,0.07985950622248891
2,1.0,1,0.8427411925569056,0.08354496299990866,0.7705971880705157,0.023224903427989867,0.00858539043239631,0.0936007975808808
3,1.0,1,0.9642233879879627,0.0821818488856638,0.7424500723238014,0.02444051306463078,0.008575660377566801,0.09456604334810371
4,1.0,1,0.9841750388956406,0.07898981959745122,0.8327270920237042,0.02259405038268602,0.008409022174746648,0.07953509338661445
5,1.0,1,0.9271175693682991,0.07836579160360355,0.640089238704497,0.02651096569380719,0.00850633917996501,0.08689406201638157
6,1.0,1,0.8151684621252677,0.08151256282583476,0.7007309864847614,0.02314307309648057,0.007152037851730404,0.09399974134809165
7,1.0,1,0.8324267010307282,0.07250180439301093,0.5553221708006603,0.0243997830671276,0.007275963535212429,0.09384344797581563
8,2.0,1,0.8204604998065869,0.059737385951120145,0.627903499857873,0.03655190700762233,0.045771121770176906,0.0909470763133416
9,2.0,1,0.87877271276625,0.06582625716574675,0.8917640397312095,0.03261491472900005,0.04601011872317142,0.09827747378825553
10,2.0,1,0.8601515206043088,0.060393240608348345,0.6894674134265484,0.03532566998978238,0.04163229089417744,0.09163385541441514
11,2.0,1,0.8556780763039313,0.06334487698610253,0.8104912806579423,0.033101856288105656,0.04731736592798834,0.10227865103536364
12,2.0,1,0.8923555584350232,0.0720703095402423,0.8261060681556883,0.031305279476318705,0.04962065202892161,0.09015241588626041
13,2.0,1,0.9375936601611761,0.06974403974158865,0.739875002651116,0.030619687520937633,0.046421974075966085,0.09354079093278732
14,2.0,1,0.84080532081479,0.05868583575461712,0.8817851412943589,0.034060106553301675,0.04658637843841999,0.09074334035154795
15,2.0,1,0.8963712572184338,0.06000135674779135,0.6014758407615318,0.03652433176816254,0.049398207059921644,0.09450897864794915
16,2.0,1,0.9786784545681372,0.0631447305838128,0.8152703337118224,0.0344977418833914,0.045775721989676096,0.10029876916356263
17,3.0,1,0.9412353104148545,0.06736028136833458,0.6119936901450471,0.028141288147680618,0.02810165523132519,0.08476483400514569
18,3.0,1,0.8454432890669973,0.07312579546456609,0.7465565987112519,0.028893904614888524,0.028960262217740985,0.08722465762088705
19,3.0,1,0.8597011736520223,0.07426543542193367,0.8518335177428529,0.025291374191628985,0.027803314442051422,0.08595555224664146
20,3.0,1,0.9573181415347014,0.06935450951400719,0.8134546923366708,0.030660698883605984,0.027589064197311206,0.08502608055657158
21,3.0,1,0.8846570942826951,0.06557570154198791,0.7752648854001961,0.030160095411164153,0.029734123108413005,0.07962200823976238
22,3.0,1,1.0,0.07377052820572874,0.7255405590200902,0.027973027046380206,0.029208897446011406,0.08454642408160251
23,3.0,1,0.9213631927542613,0.06379140966813031,0.7724118559693622,0.02550190235988405,0.02696071225641997,0.09178710849746245
24,3.0,1,0.9952736036887848,0.06490756340125005,0.6576390726246744,0.03069694750118524,0.029886706398274548,0.09447709913778396
25,3.0,1,0.9841198522102891,0.06633163725101368,0.5816110638988293,0.02936872317543082,0.03055462206298815,0.08460004878803801
26,4.0,1,0.9690601467914249,0.07146974647467828,0.5479419145247169,0.025429978576504104,0.00840778686364875,0.07684253846280895
27,4.0,1,0.9832607483469579,0.08484485743401345,0.620689178145873,0.027471380378242954,0.00841239670062449,0.09121323146814873
28,4.0,1,0.9009351686903684,0.08648759622843467,0.5882237904790301,0.02915095743476346,0.009246012688282668,0.08892135687960746
29,4.0,1,0.9554107905715645,0.08586029782064156,0.7534072631039861,0.026821923806024443,0.008360946308273259,0.08739083194007521
30,4.0,1,0.9651570811106459,0.07928768674180829,0.6280109895894105,0.025649818957979232,0.008326074007427861,0.08733727167309055
31,4.0,1,0.9789486225243733,0.08568410695742791,0.7132946452530076,0.028628606580640762,0.009613827735538346,0.08830851056902632
