rfuid,fid,Target,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,NAT_AREA_BLOCK,ROADS_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK
0,1.0,1,0.922146206723694,0.07075266092671377,0.04706635725288944,0.030198186091047588,0.3767407078502579,0.009419076899907718,0.0951349808306165
1,1.0,1,0.8527678821689285,0.07693926509917454,0.04461055344429201,0.030943467707125374,0.3616941187143879,0.008062068948592202,0.08698565613163815
2,1.0,1,0.9819059811457799,0.06809681285122322,0.04754569271544685,0.025252132327159206,0.3695851095833615,0.008045546587355483,0.08769368335857829
3,1.0,1,0.9278408433749368,0.07538940166820796,0.04495575099741086,0.0296966264686009,0.37328244342622924,0.008054241211257066,0.08433052271196644
4,1.0,1,0.8344107706416831,0.07614450708104856,0.04469619623652783,0.0309677299123455,0.37071127744550936,0.009735804088888632,0.08193619633122345
5,1.0,1,0.9444662654050389,0.07559116485772023,0.048719996685060656,0.02748356250606582,0.3519161568388827,0.00848521871839971,0.08392326820623675
6,1.0,1,0.9206136276426848,0.0813390537416777,0.04870669192480272,0.027956693212892285,0.3186782073123232,0.008879561186968398,0.08420339741562148
7,1.0,1,0.9836934858075463,0.06919341174287424,0.04195644067237217,0.028898529761873185,0.34723829679057056,0.008320269767316306,0.08877841521945026
8,1.0,1,0.9338227061789458,0.08000144281651161,0.045772189406214664,0.02570358241362416,0.37337695802270454,0.008100618870938677,0.08375981155943155
9,2.0,1,0.8450735306169478,0.05773782801744052,0.0311866920788002,0.04096021243652907,0.37462244970674086,0.04177688118331496,0.10949193038789266
10,2.0,1,0.9743379739562155,0.06341074312493991,0.032995066085803874,0.03910206510150624,0.3764436832571602,0.04476341787666577,0.10864836272336999
11,2.0,1,0.8885954107255556,0.05813828150182912,0.03165951622682189,0.04010467887075414,0.306455626455505,0.04373877943604336,0.1073441456972113
12,2.0,1,0.9324413004400622,0.05472947692320479,0.03649211765384642,0.035614454808934035,0.3670523294493167,0.03946890204658861,0.09640480824823454
