rfuid,fid,Target,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,NAT_AREA_BLOCK,ROADS_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK
0,1.0,1,0.8406967156342088,0.06637114895171733,0.04408180596533302,0.028846279151392668,0.33028499256476707,0.012661722813266553,0.08785027411981257
1,1.0,1,0.9780629000022331,0.07680825064725323,0.04179443883800122,0.028875479660562208,0.36425006689916634,0.012246368885014857,0.09348758072839107
2,1.0,1,0.8812280682489866,0.07877890357033122,0.045540864261511875,0.029648807703735094,0.3399758969060647,0.011250188716851448,0.09820229276453082
3,1.0,1,0.9255634983030636,0.0806946996359022,0.046883346690426604,0.025742397444903097,0.31879569297725185,0.012898731467252225,0.0960030745782792
4,1.0,1,0.9599339986570647,0.06931188636968189,0.04439812141455269,0.02811850615173813,0.3039940099436175,0.011756737621028844,0.09599552476240349
5,1.0,1,0.9661632592621661,0.07924841080740812,0.042603551145514645,0.029661892748145024,0.37377715657843413,0.011263560936787332,0.08439145743781878
6,1.0,1,0.9201635653379503,0.06928944400670663,0.044304729264638396,0.03178410374706089,0.3531390260238641,0.011457901569156504,0.09503179588076499
7,1.0,1,0.93270827658802,0.07966784281875015,0.04427193376641874,0.02699877941304569,0.3686812587064573,0.011515749070603928,0.08264660708518382
8,2.0,1,0.9409105507966952,0.06307025723257267,0.03313244474783622,0.04205985117262398,0.3725498272538521,0.04350159775237205,0.09963112944649949
9,2.0,1,0.8653065705289038,0.061225081582866395,0.030619217675087164,0.041432672131314054,0.3234596632099483,0.04441648098186163,0.09881184681064821
10,2.0,1,0.9908681253205258,0.06297368246496296,0.03273522741684723,0.03667142936410721,0.3335487949919679,0.04555000930902705,0.09125636274440421
11,2.0,1,0.9583999077385338,0.06322637679757948,0.03563750323082011,0.03988812523630452,0.34203699641049234,0.04004061196696056,0.09453165307401734
12,2.0,1,0.8169789477412349,0.052630618886537084,0.0322999650304381,0.036355837629298726,0.3546854399358073,0.03929552915228272,0.10906133011932939
13,2.0,1,0.9476721376084128,0.06064484591282944,0.034160517252746256,0.04052789551370132,0.3251769650220906,0.039416484076370925,0.10848684367057061
14,2.0,1,0.8435330327475408,0.053434241656112075,0.03035130634255771,0.04067015687318005,0.34051131665601164,0.04727467986408921,0.09558006089043171
15,2.0,1,0.8814379093886049,0.05233405246839376,0.03467762417571649,0.0369505151113505,0.3658952272073915,0.0476621791325522,0.09142076811184366
16,2.0,1,0.9088829321743329,0.0599317557555332,0.031166496866722068,0.039559594843345015,0.3154457636391098,0.04010132966798774,0.10437849189314255
17,3.0,1,0.9273396583905387,0.06142252399418951,0.04190865464229147,0.029395137394301177,0.3715391548002584,0.02888627705375565,0.08970428773255892
18,3.0,1,0.8380101738174958,0.060248677297233065,0.04159442878975445,0.03484044113148662,0.3154831179666475,0.025539185604734654,0.08038208871937799
19,3.0,1,0.9331479662253209,0.06233071292196546,0.03591300972910431,0.03165792749233008,0.3772672999498111,0.028519779298163007,0.09421228884592087
20,3.0,1,0.8483547434995843,0.06116473743770158,0.03804782269438746,0.031151948990698734,0.331399795274248,0.025549235795316372,0.09316177068218974
21,3.0,1,0.9164667071497562,0.06331553617852861,0.035096941712602685,0.031590337148936526,0.36643263070622184,0.028415917968385537,0.08994347214009837
