rfuid,fid,Target,AGRI_AREA_SURR,BUILT_AREA_SURR,INDUSTRIAL_AREA_BLOCK,NAT_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
0,1.0,1,0.8618453307584161,0.8753455979545921,0.8254798732569238,0.31220942468486595,0.0075564572042016685,0.07942798335692766
1,1.0,1,0.9708567805845607,0.9381653275902629,0.7480623070160444,0.33951811408651356,0.007853433624388036,0.09578885751273812
2,1.0,1,0.9074333102472295,0.7149054069910754,0.7211371903022178,0.2567255179120865,0.0076796813970508105,0.08971520314701788
3,1.0,1,0.8296018654241747,0.9069092255664877,0.5898957617209535,0.26646864730255704,0.007295574928441448,0.0882019363963243
4,1.0,1,0.8393612025192132,0.8700213498549539,0.7281444991179971,0.36944597577113286,0.007691630709902041,0.08293214166750312
5,1.0,1,0.8880452799341017,0.8927181981544522,0.5892463113728015,0.2791693867467559,0.007999603986315438,0.09071076153370747
6,1.0,1,0.841934213226967,0.8965260820733746,0.7390723790927274,0.37038026672835633,0.00786396733132938,0.08695634674858806
7,1.0,1,0.9493032596777922,0.7358147686975176,0.8371062536619823,0.23149772150760925,0.007258191440892176,0.09427414013393004
8,1.0,1,0.9805120090605273,0.8477261735338485,0.6152639935608499,0.38377035281711036,0.008179500923212882,0.08923032404814199
9,1.0,1,0.9366491378884066,0.6975545840952003,0.5830536671508152,0.28573705070123645,0.007127090064048774,0.08918851306703438
10,1.0,1,0.9567232190375364,0.933531904498579,0.6047262745618048,0.3133759627713076,0.006876219713606273,0.09442569216595327
11,1.0,1,0.8656072034255645,0.7654194753994727,0.8117239941051908,0.36628032284598494,0.007085198049074975,0.09320884406411867
12,1.0,1,0.8402855410345388,0.6281054879828524,0.7434219126013062,0.2084277438221239,0.008085741797640558,0.08324832668205343
13,1.0,1,0.8109788554495012,0.8389720558785023,0.7967702907996955,0.3195435216202134,0.0068283521672391,0.09297290444689471
14,1.0,1,0.9825898135173963,0.8823258072952793,0.5900578720935793,0.3429932055522455,0.006908762240653012,0.09109847357379827
15,1.0,1,0.8410327950361236,0.796444216238669,0.5795936366771175,0.25498103981712356,0.006993693120893462,0.091213220611061
16,2.0,1,0.9133209554027212,0.7854714893979186,0.6081696405677076,0.2938725169427409,0.0477119189341162,0.10065866481486291
17,2.0,1,0.9712735893418546,0.7171445705000202,0.5863524693243433,0.3297036878201864,0.04488310263799077,0.08781519262495378
18,2.0,1,0.8842672242764009,0.7443094179310431,0.5824929500139142,0.24125124487223576,0.04628392756808089,0.09558885294975611
19,2.0,1,0.9418308863604066,0.9008472335055394,0.5845580002791373,0.2752551465773124,0.044660202382958814,0.10353000729802073
20,2.0,1,0.9499415933387876,0.9252437728987141,0.8231809932472762,0.30003099212095796,0.04237847094303528,0.08521772613769382
21,2.0,1,0.9649231487880009,0.8276995071076338,0.8266370160537738,0.3111856274728284,0.04750057432437786,0.09990542830248428
22,2.0,1,0.9534088118501203,0.8639986857495936,0.6225544155393838,0.30172649390256495,0.048007001594403,0.10366910542447752
23,2.0,1,0.8463014436996179,0.9643355876905783,0.690032156495726,0.2804974661570404,0.04542192252880077,0.10317083924463882
24,2.0,1,0.9446724355389432,0.600791836178663,0.8534630577389469,0.3393447191273321,0.04541331274113698,0.08522349920591694
25,2.0,1,0.8713901474692556,0.6089188550464869,0.7319411660577019,0.2576093512352661,0.04645428100927946,0.09168414989431926
26,2.0,1,0.9594643619155648,0.6255383370655755,0.8455902109031843,0.334657441426002,0.04644496893630034,0.09346870697057666
27,2.0,1,0.9068982413171849,0.9627531129863676,0.6717207599939395,0.25311080115004975,0.04643995780130232,0.08826198528643284
28,2.0,1,0.989658839827227,0.6732301363518339,0.8344831429574423,0.29988509720718604,0.046108577070548606,0.09403054644976702
29,2.0,1,0.8208474525469978,0.9208802015416527,0.8314497710938741,0.3317133749290651,0.0427129070209579,0.10209931559979524
30,2.0,1,0.9081348961170732,0.8812391605841443,0.8928218569422567,0.3021540961080343,0.041773994867449975,0.10275674267331653
