rfuid,fid,Target,INDUSTRIAL_AREA_SURR,NAT_AREA_SURR,ROADS_SURR
0,1.0,1,0.05397653749840799,0.025724498383604022,0.41050635190170226
1,1.0,1,0.05438585757291296,0.024271819184718952,0.3727937405345495
2,1.0,1,0.05155847029872204,0.025598605714653194,0.40599594843651077
3,1.0,1,0.052404496330805,0.023842941191746805,0.41356845760038213
4,1.0,1,0.05766835532753732,0.023065381134215263,0.4359765767415817
5,1.0,1,0.04826086611865518,0.02893673583333855,0.3565931399011518
6,1.0,1,0.05837363323678335,0.02694411622106139,0.43943934067308515
7,1.0,1,0.05534941019883364,0.026879979550096498,0.3529278697608265
8,1.0,1,0.04911666987642452,0.0255517697789268,0.425063976080588
9,1.0,1,0.05646723402910568,0.026814745234188645,0.3492473440266507
10,1.0,1,0.05216773890449467,0.02216110177289946,0.3557685251470966
11,1.0,1,0.05828940060904817,0.027761841044506224,0.3727330864046055
12,1.0,1,0.048045154872455906,0.023135401860783222,0.3920642018106223
13,1.0,1,0.05301143803023376,0.025790300041865444,0.4239229310004624
14,1.0,1,0.054597221806091445,0.028908490402167367,0.4368069072654523
15,1.0,1,0.05618442925198889,0.02613682275425253,0.4203906667056146
16,2.0,1,0.04864966282999283,0.033302630581088795,0.42159998027919304
17,2.0,1,0.04198482767491679,0.0307950396426106,0.36602849922365194
18,2.0,1,0.046513319453556586,0.02826455299420536,0.34969392968013074
19,2.0,1,0.04182951136570717,0.030275366950091306,0.38764768106886277
20,2.0,1,0.04116110422819196,0.027351539176159703,0.3546682700808099
21,2.0,1,0.04399075156512616,0.02897099402284232,0.41329335271332973
22,2.0,1,0.04187483739968443,0.033302285922188916,0.370792775072035
23,2.0,1,0.04291462186450646,0.028784226884675943,0.40146819345664725
24,2.0,1,0.04079325611998534,0.03465620558322977,0.4170365399393536
25,2.0,1,0.04678883020772371,0.03077150395624366,0.3883908655291209
26,2.0,1,0.046352088602026574,0.028455234259690862,0.3809624962526671
27,2.0,1,0.04368243434274764,0.029614105063225534,0.33924893996922306
28,2.0,1,0.042303781378923905,0.031215333762252436,0.33099008748796194
29,2.0,1,0.04674960157227598,0.033610687994343566,0.3865795667567291
