rfuid,fid,Target,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,NAT_AREA_BLOCK,ROADS_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK
0,1.0,1,0.9324498663874103,0.06848083634502215,0.04132450078155427,0.025482396669862205,0.31444332297820105,0.013164358214595244,0.0843171443401508
1,1.0,1,0.8990691368516585,0.06958955033984529,0.041253352619739725,0.029252610019548785,0.31026382453446993,0.01343640224233902,0.09709063548543621
2,1.0,1,0.8197178922014662,0.0714877570000049,0.03990103348337959,0.029431665373751414,0.32358891224954345,0.012984971596745921,0.085654852835174
3,1.0,1,0.9194965520464982,0.08013376163905278,0.04571976702945842,0.02960579222482102,0.32334104123058466,0.012110744833773068,0.0918071583288553
4,1.0,1,0.8184340377686449,0.0775064062380649,0.041716182649546324,0.030514535071073108,0.34689324726743076,0.012640296507631127,0.08441717418792372
5,1.0,1,0.8163214613890146,0.07836576397628424,0.04736655963245046,0.0313348051085961,0.3077815208924741,0.011397442408126008,0.09786023890580588
6,1.0,1,0.9078944589806411,0.0762290383394238,0.04032928316941185,0.02623217771361417,0.3765101580445262,0.011909711572000539,0.09351580196351998
7,1.0,1,0.8587023098299229,0.07612066590293676,0.040367403107005824,0.02556276853560359,0.35061159528500185,0.01223452263896659,0.081694147579356
8,2.0,1,0.8473459281878328,0.06281228754489253,0.03377279996208071,0.03686833458582449,0.3739803764066581,0.03916900101087962,0.10558439649197793
9,2.0,1,0.8383808607636427,0.06281988304193858,0.03282608178223774,0.04005674241612342,0.30715107524230695,0.04487613928021841,0.09382262222019172
10,2.0,1,0.9404162733797973,0.05377625404743057,0.030999628330315002,0.036132414699000456,0.37314219385212233,0.04209421994053634,0.10595966674457512
11,2.0,1,0.9772125306159173,0.05489533551565256,0.030497307126227557,0.03761451271792101,0.3053824811215382,0.04101607240784375,0.10106363039244741
12,2.0,1,0.8459046880969248,0.05807612248828677,0.029789019211105806,0.03899251004064582,0.30877176757514024,0.04318358498719353,0.09899500599660795
13,2.0,1,0.93668755128078,0.06277371263584018,0.03641287288702538,0.04317190755262751,0.33963195695447457,0.04215929742163945,0.10259078587595102
14,2.0,1,0.9637273657379839,0.0516317887925273,0.031688279910483376,0.038485654113246205,0.33726925720309237,0.044323356089734284,0.10059326401037436
15,2.0,1,0.968366810325633,0.057579361405969184,0.03592621741568765,0.042343371507768804,0.34708460403868224,0.04273291764338039,0.10454703581308494
16,2.0,1,0.841401978021834,0.06084129500423713,0.03515354697696406,0.038854869648189856,0.34678462802701826,0.04011960909558169,0.09074410358027171
17,3.0,1,0.8950419797558606,0.06742300884801206,0.03622705129006772,0.03136826296389361,0.3743808060004371,0.028265533840261998,0.0816048035223663
18,3.0,1,0.9491770343436349,0.05895572881237159,0.03759621321078118,0.03305765193316612,0.3267984992240584,0.027305296905414878,0.09556501090395192
19,3.0,1,0.9551378049988436,0.06673118964934394,0.0363533919575389,0.029131681732233516,0.3596051049108135,0.026436015465689293,0.09155227171919782
20,3.0,1,0.895965099112318,0.06135560260489352,0.04146171437829983,0.03526892983242171,0.3576283640454668,0.030210546253127725,0.08632044729741152
21,3.0,1,0.9211925217460025,0.0629228510739318,0.0374507026022109,0.031195552590232732,0.33702817448144445,0.02615378318812161,0.08066196034539437
22,3.0,1,0.9812761467682336,0.06567567776544998,0.03772844775734518,0.03468522196716996,0.3726134357850582,0.025462469490622103,0.08049193822813495
23,3.0,1,0.8914300953708657,0.06473640672818419,0.03702190143223729,0.03044800159954956,0.37343156730161037,0.027541160063184578,0.08315497841269862
24,3.0,1,0.916768438709506,0.06668635530908808,0.038411971629827645,0.03310229911528253,0.3223120460695235,0.02729090837817021,0.07938958842905063
25,3.0,1,0.8296865157612963,0.06406613677595388,0.03865070866006008,0.03592165049880379,0.37421485197577015,0.029136970624687467,0.08009687802033486
26,4.0,1,0.9408793484792838,0.07181614158249967,0.041588854788480484,0.02695890391795528,0.3571374822855192,0.011940465878555944,0.08506391199211286
27,4.0,1,0.8401309037367913,0.077025693139029,0.042687026915207586,0.023783090111337436,0.32328196332625964,0.01231967753043116,0.07423065580887615
28,4.0,1,0.8656249220374735,0.07944018265179233,0.04685592614272772,0.02800244095128616,0.3139532634819696,0.012099663166070517,0.07801244735170938
29,4.0,1,0.8624201450601217,0.07988095725151662,0.044390853380606624,0.026482611449858515,0.33506378451101,0.011744360572434708,0.07759247319049621
30,4.0,1,0.8467740236751831,0.08219732825726195,0.04780271868849489,0.02515488606983067,0.32670127861019393,0.011560488257397646,0.07593257538979707
31,4.0,1,0.9970190310899271,0.07987808669543081,0.04847576720176631,0.02611312400873292,0.30405837632637595,0.012200814747265922,0.08423451454573518
32,4.0,1,0.8942434120403236,0.0737813608011214,0.04730278611638899,0.026179797430470806,0.32790676483758363,0.012924486756991595,0.07304551064026298
33,4.0,1,0.9758759201382212,0.0818701741177589,0.04524659610270926,0.028556291542171486,0.32409324079715784,0.013633843289225579,0.07951313391126134
34,4.0,1,0.9559457627051204,0.07120467822250454,0.04335902638450994,0.024541561075964585,0.3551045326614235,0.01192049786207193,0.08404958238137866
35,5.0,1,0.8175461931606375,0.0770723746785127,0.05342295420042756,0.0194772608088377,0.36008647842260855,0.008955461935807884,0.09351016668987083
36,5.0,1,0.8513914452249738,0.08179673410795939,0.05391319073141782,0.019941695604302697,0.3645830223593322,0.008544747100955498,0.08754311998903842
37,5.0,1,0.9753450757059421,0.08450020750413255,0.05201071992013496,0.019312576742829775,0.32104075527739084,0.008693026405171904,0.08896844380540404
38,5.0,1,0.9148816409203289,0.08659224224991253,0.048540100499506494,0.022336618419481563,0.32660716457496985,0.00904420137499598,0.08926538937393488
39,5.0,1,0.9745843531286794,0.08396413113077822,0.05088312605536683,0.02079222679223851,0.3565500483223063,0.009042275947721657,0.08789367804701698
