rfuid,fid,Target,AGRI_AREA_SURR,FARMS_BLOCK,INDUSTRIAL_AREA_BLOCK,NAT_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
0,1.0,1,0.8626711981027241,0.003982834545588233,0.04827406872343023,0.027018709415019306,0.007170552174753758,0.08168105939790192
1,1.0,1,0.955619556752965,0.004112207124928398,0.04439997775179135,0.02791916890887832,0.007812297860412281,0.09057445042271604
2,1.0,1,0.924784034906448,0.0023632168879862874,0.044677532184364994,0.025169472243809114,0.007397444880583761,0.07966602111054895
3,1.0,1,0.9288102510401067,0.0035437530677621294,0.045277307501925795,0.024468479288085248,0.008058473813390492,0.09012836800206449
4,1.0,1,0.9111539809651146,0.004761293647171631,0.04194919259673497,0.02482958916545998,0.007866930423668934,0.09252183632101772
5,1.0,1,0.9621445694835719,0.001746212489377772,0.041698779556437374,0.02785568484846142,0.007919458881986037,0.08571521621918331
6,1.0,1,0.9538034870583814,0.00284055005217399,0.04969206011541387,0.02353855289788057,0.007352819414204777,0.08472574386703764
7,1.0,1,0.9092556825452285,0.0023532269800662616,0.044782026531330184,0.02254710300549075,0.00815607750531651,0.08474309014321665
8,1.0,1,0.8578901567768513,0.004120238916642989,0.0473231735513676,0.023920435294416183,0.007723848833152636,0.09569581661098368
9,1.0,1,0.9769226495809201,0.0036067971320116942,0.043497018044898424,0.024894505135839753,0.007636543041602354,0.09538726625028429
10,1.0,1,0.8844709423764582,0.0020835441795198084,0.04394425967742136,0.024787764405279213,0.008268941888635415,0.09605768066420153
11,1.0,1,0.8538581485347879,0.0032279801505950933,0.04506130885062384,0.023257035096586706,0.007452600355968289,0.08167724565514989
12,2.0,1,0.9017074665580699,0.025642704978378388,0.03667982550726794,0.03546740252916542,0.04886811724375412,0.10338770654252953
13,2.0,1,0.9444450905638456,0.02082248134024746,0.03385549110273509,0.034586602979848016,0.04551653711497514,0.09721323671203042
14,2.0,1,0.8216282232083328,0.023625010847549713,0.03605690579725289,0.04056264836256267,0.04355550159060603,0.09749190796168897
15,2.0,1,0.8465660744218957,0.026878091415232643,0.03157511153096695,0.036225136762269364,0.045715568665010545,0.09847542571079504
16,2.0,1,0.9492788943018183,0.023849777522865632,0.0331825024264888,0.03547376305565952,0.04711945832884982,0.10304566142795342
17,2.0,1,0.8438641717530746,0.023695972275876456,0.032084111671023034,0.035229510282118334,0.04869001434388124,0.09491812174913036
18,2.0,1,0.9274955351028056,0.027639749381673066,0.0342219494741478,0.03595609528174145,0.04631349230153939,0.10225925976169205
19,2.0,1,0.8388774597680406,0.020897883385460395,0.03526618120854972,0.03499756528880589,0.044686007596255156,0.09819094724974081
20,2.0,1,0.9160381010365697,0.021222925857828596,0.031192803637996827,0.04060585918256378,0.04462819611955746,0.10625713133292093
21,2.0,1,0.9226236097598257,0.024063263535656132,0.033652940201388294,0.03443866231582932,0.04781332196520334,0.09798308058211674
22,2.0,1,0.8478988958011552,0.023498935674375568,0.036381165826435094,0.0365496561803161,0.047737981985593404,0.09344005364666481
23,2.0,1,0.9873514686603966,0.02590124955686375,0.03735964556002454,0.0390039199588921,0.04478150697196067,0.08733824464312283
24,2.0,1,0.8188508967873244,0.021605335155911114,0.032654045642718295,0.035421124282952965,0.04425142115372528,0.08929937162647977
25,2.0,1,0.8236429443676413,0.02132477063748227,0.03638274179326832,0.03838213096834125,0.04173088656403608,0.09184337574023563
26,3.0,1,0.8835813493310789,0.009484189322278758,0.039034733041175045,0.03056282453508179,0.030724725812839467,0.08473802076314425
27,3.0,1,0.8368337712377322,0.008006220726133209,0.04339979955235209,0.032501708597361866,0.03156736580260352,0.07841751160514582
28,3.0,1,0.9538258643045422,0.008331625970229958,0.04210950201316637,0.030388627143286082,0.027674072763819467,0.08123972824212934
29,3.0,1,0.8591574331059451,0.008022879451931888,0.038864338427758965,0.02830114186637924,0.026905945965861346,0.07783467638096285
30,3.0,1,0.8516742837900525,0.008974435416082782,0.038739650211945975,0.033104617324503684,0.02777862211130013,0.08503302759810225
31,3.0,1,0.9701148643639482,0.009235003335555547,0.041468534241391165,0.030319474721578824,0.02734207683803724,0.08675439917714665
32,3.0,1,0.9971483079655019,0.006942920533787731,0.04073406503454475,0.02829017616853129,0.02853518232809479,0.09397884992981076
33,3.0,1,0.856606249399785,0.007400972489557637,0.042672657603107914,0.030306821265868308,0.030000849228384148,0.07859073545341462
34,3.0,1,0.8809487725489008,0.010713369091216788,0.04342805572454535,0.030062231208209125,0.030302502010104978,0.08688916328407933
35,3.0,1,0.9011434069331998,0.009170724886414284,0.037610180408230914,0.0273102901841067,0.030174190751949777,0.08628226443483918
36,3.0,1,0.9219619766593381,0.009735512040749008,0.041915499318520275,0.02830711262485786,0.026906730209976398,0.0814046187621654
37,3.0,1,0.8414783139415044,0.009126941529783043,0.037644547063235605,0.028491110135519224,0.027533784066502007,0.09060474132196103
38,3.0,1,0.9140098967074282,0.009969891340605866,0.03693932368289661,0.02890384620682493,0.026454576019290733,0.08792419861058486
39,3.0,1,0.9734800277227642,0.007527849663891696,0.03978725084751766,0.030459246470304093,0.026190537902417637,0.08055416115562956
40,4.0,1,0.9092396945345824,0.0033831711248188323,0.046140312709052105,0.021185100160553832,0.009564094674711244,0.0881112981622205
41,4.0,1,0.9889785835718485,0.004359775556804419,0.04957241280167399,0.02416744585975446,0.008614389067411047,0.09029766753033178
42,4.0,1,0.9193402682664923,0.0019295815143976806,0.05087080773328898,0.02547229237876799,0.009603293100432547,0.08984788799601562
43,4.0,1,0.9437097969597836,0.002726766453565744,0.04403419475569851,0.02233313515025782,0.008496040880936152,0.08043579066542432
44,4.0,1,0.8286569965037132,0.002628772694886489,0.04808229030025825,0.023746799100816788,0.009310273867302871,0.08745427520090555
45,4.0,1,0.8414173439110965,0.002069654845307964,0.05192887681371612,0.025988898813413305,0.009141100363760216,0.08615913573675996
46,4.0,1,0.9086036168157391,0.003585030058042999,0.05196735677012664,0.021440251966584296,0.008918912681845312,0.0776752304293951
47,4.0,1,0.9261524753269014,0.0033022972601568744,0.05281835012806712,0.023531758388901706,0.008713668850429188,0.08715779954387573
48,4.0,1,0.9021190118427864,0.001815098795393912,0.04891342611493779,0.02400027120749505,0.008006683132056833,0.08889798260392802
49,4.0,1,0.8838889050484153,0.0017807521758926494,0.048002516865037974,0.024468712419224787,0.008554362543532604,0.08770959741164416
50,4.0,1,0.8697751412669593,0.0029203917745197084,0.04590906563962846,0.021061171111468043,0.009140536727845634,0.09151127245808
51,4.0,1,0.9137312444822722,0.004904612218362078,0.049278196800845914,0.02534469847827685,0.009578080496300434,0.08927821425618407
52,4.0,1,0.897920830288224,0.0033387087699052517,0.04813119720847986,0.022008482783654446,0.009083956897229541,0.0924161723457539
53,4.0,1,0.9734730591446428,0.0046182051423811175,0.047027537393789,0.020483649334097444,0.008843448656159018,0.09200068970450107
54,5.0,1,0.9818911916481686,0.005420472175188693,0.050378921125850726,0.022467822257226263,0.005180299042253014,0.08809922908286055
55,5.0,1,0.9442450372616966,0.0038787517694350167,0.053256463235800564,0.022156461726753816,0.005037061369378555,0.09296591136077063
56,5.0,1,0.8330060126378889,0.005794366202248078,0.05521684883535553,0.020073378033562544,0.005389031529168754,0.08653979775521818
57,5.0,1,0.9874341540751542,0.0063103896102984485,0.05274792860524465,0.017839304762899445,0.0056348557884861065,0.08665791403071778
58,5.0,1,0.9371535976601165,0.0033229142191786047,0.05283140607705802,0.02109972667388321,0.005752414164179629,0.09077718440367999
59,5.0,1,0.9408666155561757,0.003924901905992216,0.04757384426996526,0.01730657032019997,0.005451236025069471,0.07934412481374976
60,5.0,1,0.9796748492238343,0.005307383509149781,0.05470660239546857,0.02228656767921252,0.005876522529228641,0.08024389054659505
61,5.0,1,0.9860031445560602,0.004480206632806854,0.053697176809335556,0.018483504411480223,0.005437917891608309,0.08576136127672022
62,5.0,1,0.8284903733556334,0.005545820462755724,0.05756582264796443,0.022156474522375968,0.005309420940558993,0.0936667113717506
63,5.0,1,0.96291547855258,0.0033417362814202544,0.05224269093968151,0.017954383230486454,0.005420348707383581,0.08754250342930943
64,5.0,1,0.9832956389029719,0.005671885519309385,0.057708942543134516,0.0175212189007998,0.004974366928312504,0.08541815058921441
65,5.0,1,0.8204158837093833,0.006136239958822971,0.0568324782106204,0.017910226623950243,0.005500815901550376,0.08879349664661483
66,5.0,1,0.895509419343562,0.005361329741166595,0.0488060288964669,0.01999380163300622,0.005522309666454265,0.08375153704864645
67,5.0,1,0.9805420311845627,0.004448478497836287,0.05436908775562896,0.020957131652442042,0.004934227471280326,0.08109482146014683
68,6.0,1,0.1372904488111168,0.36828775886010134,0.15320067152217448,0.3647671551450785,0.008115482873742016,0.02335453187185805
69,6.0,1,0.14488629215982424,0.40869610296336917,0.16069615527362516,0.38967010406188546,0.008515157828773502,0.021608094574387754
70,6.0,1,0.1491277917658394,0.4023205698844085,0.16529254420558745,0.3726053489420932,0.00820791949666172,0.021035249147493686
71,6.0,1,0.1285299000952228,0.41364600012237007,0.14808501883298164,0.3290731184832307,0.00745648706242088,0.021859611708581833
72,6.0,0,0.12152916257649646,0.426288874672429,0.15719634071349012,0.33711432291560656,0.008313055810392015,0.020296237495715148
73,7.0,1,0.105720554646404,0.36958883848998736,0.11612759153962264,0.3309230668332549,0.003934832295061575,0.019121407265236718
74,7.0,0,0.11847889341399329,0.3857346934458181,0.11710922356452926,0.34789296408871856,0.00469475989569878,0.01894779942042721
75,8.0,1,0.09050539078919599,0.43517255075822825,0.10209116164161948,0.31637837406000713,0.0022194248358478035,0.01455087636686247
76,8.0,1,0.10532616015443994,0.3586642364437656,0.10925296713148415,0.37161486898186397,0.002508385353595122,0.015921155230066878
77,8.0,1,0.10779483944916737,0.40270868958677125,0.11104445556253979,0.37179330542878114,0.0025905844023595428,0.014577049280588663
78,8.0,0,0.10300217052024672,0.41764342536904986,0.1217333059519202,0.3299977298253815,0.0026230688258620477,0.013355446411167971
79,8.0,0,0.09740342854982766,0.4197515073433476,0.11421480299027208,0.35133064009494175,0.00264675235866936,0.013595198207372962
80,8.0,0,0.08748317436918654,0.3947710991279521,0.11971543123345435,0.32249613077585004,0.0026382151442544146,0.014152972511737237
81,8.0,0,0.09701810687788487,0.41655817562520076,0.1039380141625675,0.3520580671628525,0.0024834266478653026,0.015146003662629196
82,8.0,0,0.08797039871533914,0.42575592951886726,0.12152950390841295,0.349527897502402,0.0025453557379336734,0.014674686216586658
83,9.0,1,0.8661812761595672,0.07559087737404008,0.0323893107427158,0.04696847627363211,0.07747943906675385,0.1512280883491173
84,9.0,1,0.8909067580516191,0.09290479375822058,0.03786245357142293,0.047307819186946015,0.08447743442052422,0.14407111564921612
85,9.0,1,0.8416371029281297,0.08598979926533967,0.033060366051402015,0.049949240337233095,0.09265950911621393,0.1591097664658641
86,9.0,1,0.9825269084456537,0.07991364822227606,0.035827038899591636,0.04594277710591388,0.0910603157472261,0.15233870734745691
87,9.0,1,0.8968831575136451,0.08415657212693972,0.0385895761664469,0.048459048955497,0.08542205389191415,0.16855226440962326
88,9.0,1,0.9394101190928118,0.09371055684188781,0.03318038342379523,0.0481991327325704,0.09226013835549866,0.16408370542280568
89,9.0,1,0.9534189089846155,0.0817125317301278,0.03620990338015151,0.05285078211891983,0.08235958648447486,0.14548901377352336
90,9.0,1,0.8329937978396281,0.08572248387563385,0.03384858322597037,0.04475451726112313,0.08972423166354511,0.1521321323078693
91,9.0,1,0.9866224423112595,0.0860271169259934,0.03779432878949075,0.05091200494149091,0.0833839889922352,0.16162304906044833
92,9.0,1,0.9368543966213704,0.09320808344381325,0.032637220828329254,0.04490522304936606,0.08244684177779162,0.16135833155218107
93,9.0,1,0.9597130953304263,0.08095313768429307,0.03648415416054557,0.0537165773611662,0.0793869787643213,0.16572870196896672
94,9.0,1,0.8087842132412668,0.07460581924219611,0.03188330079267839,0.04338890585885235,0.08601230914854562,0.1464918241988954
95,9.0,1,0.8619646360433261,0.07585628154591627,0.03342671364432284,0.051110015026187866,0.08543071185640912,0.17248997743914862
96,9.0,1,0.8815122842070336,0.08653062055014711,0.0341871323482631,0.0499004062329494,0.0801576950393442,0.17293477361808351
97,10.0,1,0.9180970627470352,0.056577666705844694,0.03864491184957374,0.04260983371242229,0.06756535668531026,0.13279147497044025
98,10.0,1,0.9690273951301049,0.050384019525497606,0.034238811190695904,0.03897440477070958,0.07063316564058277,0.12683618743350722
99,10.0,1,0.9098584155266537,0.0504701710164486,0.03534655480764811,0.04332118722015846,0.07489896581981238,0.12382804739797205
100,10.0,1,0.940765798710165,0.051658865782809794,0.03935228305557642,0.0378007375365028,0.06402659124582957,0.13801252675515238
101,10.0,1,0.9190461730703411,0.05710658156914217,0.03457090260696035,0.04199426957414705,0.06556053602825862,0.13700436502551744
102,10.0,1,0.9157621414996281,0.05244696022668917,0.039427645645472555,0.03963518282099647,0.07493724721210755,0.1402361930227875
103,10.0,1,0.9766867056598381,0.06207698106872579,0.03554516778274436,0.03942174516792791,0.07335841538461578,0.13506118080596266
104,10.0,1,0.8706351918632694,0.06116213343389753,0.03349949508924447,0.044978560025866664,0.07373560336161565,0.12956647589728582
105,10.0,1,0.8815611910295215,0.06008036405422541,0.037188823237594704,0.04129713253256475,0.06707248408449352,0.14438989579993555
106,10.0,1,0.8728167207347904,0.05179222613913013,0.03676559914895929,0.04245220083471227,0.07551777731836588,0.14036940220972008
107,10.0,1,0.8864866168706601,0.0496689667097316,0.03403211966977482,0.040779752883318685,0.07461297573892661,0.1304438019882633
108,10.0,1,0.9325866761252262,0.06023154782819697,0.03900382555431635,0.04204045088806433,0.06867706600634528,0.14244481579420243
109,10.0,1,0.9004993569708548,0.061754724380023156,0.03460993033667137,0.042390548761995446,0.06873112676959015,0.13860367046001393
