rfuid,fid,Target,AGRI_AREA_SURR,FARMS_BLOCK,INDUSTRIAL_AREA_BLOCK,NAT_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
0,1.0,1,0.8199893132788374,0.0031200835544441664,0.04263456955433697,0.024377116201235508,0.00715139100843835,0.09201294619623479
1,1.0,1,0.9721928444879838,0.0018969466782441913,0.04846791319388102,0.025686518400298286,0.007858971976970119,0.09160913602827143
2,1.0,1,0.9051865051036925,0.004410620235620137,0.04871244110985265,0.0257945915058725,0.008279978687409052,0.0920035083105609
3,1.0,1,0.8435982107675001,0.004663610982412161,0.05030044024975708,0.0238392954925463,0.008379746095902661,0.09419839498309185
4,1.0,1,0.8872678401930492,0.0023633770555720455,0.047072832471164214,0.025829802755326096,0.0074377369218756395,0.09626175311231343
5,1.0,1,0.8894712585901526,0.004827711822659418,0.050802782228344334,0.02763544868194151,0.008177309005467042,0.09055335892364182
6,1.0,1,0.9278099080621881,0.0040424039618163965,0.04841151536201582,0.023865530264947494,0.0074532252592625125,0.09546467726432666
7,1.0,1,0.9168158136489637,0.0032482791213171566,0.04419163259478314,0.024469718424420688,0.007908013639929946,0.09274858570165172
8,1.0,1,0.8845352824112841,0.002435940488021201,0.045196594795711996,0.023991168976076258,0.0075710676637650446,0.09488557665219892
9,2.0,1,0.9538672436338675,0.022392345976905172,0.03756065202271128,0.040489613022241404,0.04185853167985364,0.09733970961200074
10,2.0,1,0.8852676035268696,0.02592507004594474,0.03340700379519241,0.034280607065360715,0.041047910073728135,0.09740689096963716
11,2.0,1,0.987685565710898,0.022617542404580353,0.03343723470640838,0.03506263026684654,0.048081848418394114,0.10256373719056561
12,2.0,1,0.8638749012064605,0.02435341840768594,0.03659221581968645,0.03241282684538727,0.04693254857303507,0.09913575579629319
13,2.0,1,0.8219181476858693,0.025154459815240605,0.035726706677408,0.04063431085870027,0.04672369397358618,0.09130557814121061
14,2.0,1,0.9092128403055321,0.02377595405105932,0.034848116047877256,0.035923712176588074,0.041781460342082806,0.09428487942536608
15,2.0,1,0.8974559582765335,0.02749520961734545,0.03313330277112823,0.03311172467730593,0.04811513610699669,0.09673987231172075
16,2.0,1,1.0,0.02245199780322428,0.037019689292706395,0.03892011428738961,0.04427453409558289,0.10019529213014437
17,2.0,1,0.9056675144013537,0.025362018405957473,0.03168424231096413,0.03666465373199191,0.0484646483108997,0.10000883112698487
18,3.0,1,0.926703979282979,0.01134575534682617,0.03762471509015159,0.029448312439521753,0.02940320735921204,0.09111797710274558
19,3.0,1,0.8464292039943313,0.007319193632755271,0.040173186669121494,0.032304441295496374,0.030029305537041365,0.08402742677513023
20,3.0,1,0.9462757880197269,0.009485687414499466,0.04171339324575663,0.02773277869262186,0.030287062399956523,0.09116445832293073
21,3.0,1,0.9053268200289555,0.009083446635047699,0.04174215272170623,0.026945540763672733,0.026220686378958503,0.08247069447170575
22,3.0,1,0.881392753580261,0.010341218819992143,0.04513324338738944,0.03286801072865357,0.029044588203537395,0.0896841590507275
23,3.0,1,0.9716039229153607,0.008764206754339936,0.03756760514433933,0.03047343472841923,0.0268945301638238,0.08521547427628327
24,3.0,1,0.9293904043969965,0.008016766949141482,0.04344546572186635,0.02790194928979949,0.02943657231617883,0.07909978252180223
25,3.0,1,0.9378078017023019,0.00950956763295989,0.0442255783882688,0.027280823418399693,0.027731546165067376,0.08159893171514636
26,3.0,1,0.9585808846768344,0.006929402423573412,0.04508908384125414,0.032995384823266326,0.030687912859482948,0.08191061887427024
27,3.0,1,0.8318132885745666,0.008993720320479903,0.043341628553328036,0.03175104202916757,0.02733880855534903,0.09089647808205087
28,4.0,1,0.8187525495944036,0.003739778021547611,0.048093861555188806,0.0260794438785369,0.00930925963317384,0.08737964332420077
29,4.0,1,0.8718188532212713,0.004289345581067503,0.045942843242030504,0.024246740880822213,0.008355901279176856,0.08775659705111241
30,4.0,1,0.9705498946052602,0.0033753455608231562,0.04565378582850455,0.023675148795385795,0.008918943565566766,0.07623365746648637
31,4.0,1,0.8349747286081974,0.0031467749604546565,0.047805561337557576,0.022976691767763808,0.009396455181253663,0.09103185829683831
32,4.0,1,0.8821213471483761,0.0035234683985598163,0.05029726456963023,0.02481219951379158,0.009189012816685353,0.0793690488538104
33,4.0,1,0.9400729042540107,0.0035711727811006825,0.04521172038316526,0.022871079527119337,0.008253450024483416,0.08533862891411172
34,4.0,1,0.9848292307373869,0.003232424951109831,0.04892512009445987,0.02515468545035329,0.008130632727446699,0.09208091571041715
35,4.0,1,0.9620729915374236,0.004852540515121273,0.052052396982726803,0.02079410376250287,0.009074742103707392,0.07597570496072997
36,4.0,1,0.8861043032937166,0.0047681002474806704,0.04847197052769565,0.02368294394732947,0.00867042956627057,0.07813093681872856
37,4.0,1,0.9001112959353971,0.0034919341183767363,0.04476455010973186,0.020850979843118463,0.009215827723714182,0.07824723378611821
38,5.0,1,0.9240124340084267,0.003600141546088173,0.04836687728139012,0.01992748737288912,0.004969246745845115,0.08644356125891615
39,5.0,1,0.8747488121959742,0.0046758750443144335,0.05474248876170397,0.022476577177682415,0.0055246191176173435,0.08464933507846228
40,5.0,1,0.8447686519361385,0.003498244939704683,0.05016157052159869,0.018198082173885986,0.005522786804071484,0.08667010907372798
41,5.0,1,0.8778466977546895,0.005098276740649506,0.05418305578566268,0.022284599680486482,0.0053205859324751545,0.09107132504939144
42,5.0,1,0.9162919184282763,0.0061890175261726235,0.05381043576093932,0.020020766236099753,0.00552716157681362,0.07889554732101516
