rfuid,fid,Target,AGRI_AREA_SURR,BUILT_AREA_SURR,INDUSTRIAL_AREA_BLOCK,NAT_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
0,1.0,1,0.9153671729260362,0.07166909242223121,0.8236224071429084,0.023752168155396023,0.006962052701907727,0.08686632126204692
1,1.0,1,0.9286408493250213,0.08261100119690058,0.8648044711353234,0.02549334191966021,0.007592699534527754,0.0958537554180887
2,1.0,1,0.9507882271727387,0.08377691699696763,0.8744713519253645,0.0223904231931886,0.007870973208163263,0.08673888074483982
3,1.0,1,0.8128363338373207,0.07755975404675562,0.8361123784124267,0.025533072875442726,0.008247262724604696,0.0822308286411322
4,1.0,1,0.8744963836973195,0.08212589626018443,0.7730965535871756,0.028248445082152414,0.008098632236958305,0.07927919014164236
5,1.0,1,0.9029883888370919,0.07009854595665616,0.8370070989980224,0.024911851292339075,0.007618652036467868,0.08290401366433228
6,1.0,1,0.9096909568890341,0.07568892631499442,0.5852632038091925,0.025027012022067186,0.007328164189392786,0.0819484829360795
7,1.0,1,0.9559908816497723,0.08001311185021219,0.7322605660998092,0.026160083787552073,0.0070173732713512205,0.07998634005414514
8,1.0,1,0.8981035379501336,0.0730155154626376,0.7904245627341361,0.02390810269462313,0.007616249259556582,0.09552471780578764
9,1.0,1,0.8624296859970213,0.07843108120640034,0.6458344688209859,0.02440113668464236,0.007693432714989229,0.09310827324199775
10,1.0,1,0.9137661093912158,0.07666740911564783,0.6113153015398298,0.02351076421763844,0.007487439531503337,0.08062219191137768
11,1.0,1,0.8330904845793563,0.07653808887130917,0.7414588533466832,0.022271949271793767,0.007463870811262691,0.09216973027510868
12,1.0,1,0.821567114086871,0.07426396139480056,0.8662397597318429,0.024349251627594375,0.007665764317415971,0.09169829212721316
13,1.0,1,0.9589083508701047,0.07950903823652433,0.8617338862440571,0.02268057446116759,0.008279268761038155,0.09148909364101064
14,1.0,1,0.940950603637867,0.0813985196507272,0.706238426096637,0.023270268586180337,0.007149358071811394,0.08724858401195339
15,1.0,1,0.8949533942222545,0.08053468577862626,0.552820220880524,0.026185462869937608,0.008005699321492631,0.0878062925651155
16,1.0,1,0.9433508188212497,0.0834631333045099,0.6960667350726182,0.024311626054394034,0.008398485265936078,0.09352778458014276
17,1.0,1,0.8835486000357832,0.07487261322011897,0.5940206265036064,0.026004481719031046,0.007522378387606225,0.0845861131928112
18,1.0,1,0.991344216097118,0.0720961094258669,0.5874734958736281,0.024879377766433727,0.007993508294936235,0.07878591831745024
19,1.0,1,0.9383791136911337,0.06904158665224479,0.7256510507010224,0.027475500415261207,0.006893906263804662,0.08910853043678044
20,1.0,1,0.8956612109987064,0.07755791660784331,0.8097949299528565,0.027376288408127912,0.007254422103499637,0.0826984307243067
21,1.0,1,0.9240005453756489,0.0792811558204759,0.7035872130135279,0.026236413587955993,0.007299474966238815,0.09500115536831287
22,1.0,1,0.9253056825863644,0.07843094175145417,0.8732942619915527,0.023373326253451766,0.0071843660964053604,0.08517875421500969
23,1.0,1,0.8419708613569362,0.07153954618666845,0.6848465718494173,0.023088768843483095,0.008323787771606441,0.08139998706065942
24,1.0,1,0.8254445805671092,0.07814222788999564,0.6428834545871596,0.025919863325118447,0.008104284215531398,0.09439416205051221
25,1.0,1,0.8461729829027718,0.08441815911540113,0.8680868018760016,0.02635602026983102,0.007955505690526214,0.0950517409441044
26,1.0,1,0.9586203245710511,0.07198937949079684,0.6426555580426612,0.02710248521198432,0.0076055443266122135,0.08878637344341445
27,1.0,1,0.8820384104805897,0.06971499239515855,0.587603315205634,0.02805408532037047,0.007154964630144598,0.09253668267892547
28,1.0,1,0.9489095471442521,0.07587235996989336,0.6169444968571013,0.023841844771138945,0.008098943620413005,0.07993292149425263
29,2.0,1,0.8798083573862264,0.058639179114037064,0.7903062624810169,0.03529949325007241,0.04818034010207404,0.10015232401478825
30,2.0,1,0.9294529795017646,0.058448033028433106,0.7188249218768294,0.030630623412046712,0.04857150997934488,0.0992381534670005
31,2.0,1,0.9402164495384183,0.06762153474429532,0.8957924239355834,0.03512325429684134,0.04057209400568139,0.09287939487705113
32,2.0,1,0.9217196613204935,0.06870933943482105,0.7223247997707248,0.03543506997753604,0.04566608875980733,0.09963425675337557
33,2.0,1,0.9986420660709191,0.06022631809720917,0.6652491302599051,0.03439628915853041,0.04429728489979443,0.09208867844508986
34,2.0,1,0.9182119137995469,0.06140989999404356,0.7486287073133219,0.03623177919920085,0.042388241058991645,0.0883950425452764
35,2.0,1,0.8326056612518565,0.058393766102248404,0.7301996036778573,0.036386823135016094,0.04370985316847981,0.09715201509501475
36,2.0,1,0.8577111851152018,0.05608837384824327,0.8377982911580598,0.03154061291097391,0.04412597181376448,0.09213959733786085
37,2.0,1,0.9569523530933156,0.0566511765878685,0.690162877834143,0.03557814493990561,0.04852389220856649,0.09732419654848286
38,2.0,1,0.9230804601958256,0.059710539166042055,0.8726980270701463,0.03349577351533623,0.040051244046325034,0.10134144424403728
39,2.0,1,0.8500795389916569,0.05948984494161496,0.7919317499586487,0.03349437823552065,0.04521632303966576,0.08812518432615957
40,2.0,1,0.9170322508240192,0.06819175630734699,0.6136657349572168,0.03567596506814735,0.040577755770121765,0.09110889951391204
41,2.0,1,0.8854603732100607,0.06770315198580437,0.7722911580661386,0.03681912741448564,0.0401543509915112,0.08627446089510016
42,2.0,1,0.9167947073069175,0.06640027411272684,0.7288926724598866,0.03602105719974424,0.04197019490693798,0.09535001110554571
43,2.0,1,0.8819302490559741,0.05853639879648934,0.623191341432443,0.03467478069452662,0.040206332322420005,0.08730238723099439
44,2.0,1,0.9124696278020542,0.0644498426998399,0.6971815129496405,0.03515776473630516,0.04488967618810621,0.09908513332264982
45,2.0,1,0.8317125997362916,0.06853960340200507,0.8347914359791958,0.03631994225562389,0.04415813031777916,0.102703513401514
46,2.0,1,0.9469478107436684,0.06550380014020175,0.8826015279430101,0.03202460337705929,0.04443056124291748,0.0977822572077899
47,2.0,1,0.9438483576085507,0.05643616545420329,0.8864564802895704,0.03719068399025559,0.04624859378250814,0.0991422040604454
48,2.0,1,0.9728697364223938,0.06746164365037925,0.8397181164466363,0.0304226137502248,0.04089832510271073,0.10273405461464409
49,2.0,1,0.9307606524086175,0.058285004853319826,0.8310403948210041,0.0375958543790011,0.045332100669066795,0.0851131535824478
50,2.0,1,0.9674354037841019,0.06044490454241126,0.7796287917936419,0.03104836471394658,0.04600228266354914,0.09851340768371206
51,2.0,1,0.8846826699655226,0.06066346128167034,0.8118951259835928,0.030872815731290304,0.04371138622416171,0.09161959641680464
52,2.0,1,0.9353024178224109,0.06178161532770249,0.7738825137770268,0.03825566862077862,0.048468883127569404,0.1019202966599784
53,2.0,1,0.9437327311858942,0.0636960167385267,0.5753874463302345,0.03371249776723343,0.045530629176821893,0.08558731344579784
54,2.0,1,0.9445136862414951,0.06339405771713413,0.6177289328049033,0.03756283639446655,0.04369808177681668,0.09625564630923844
55,2.0,1,0.9643200822659485,0.06534675162915056,0.8927706927697399,0.03152737453659583,0.045669111375264686,0.09697514082532745
56,2.0,1,0.9598899115812655,0.06868259193288516,0.64204580406506,0.03131288509959981,0.045856283289545406,0.09561948240924079
57,3.0,1,0.8548414851398027,0.06380544102796108,0.705153759180249,0.027526107539812897,0.03006111513989426,0.08656626938708772
58,3.0,1,0.8919208700632474,0.07025342268276111,0.8889795646813271,0.030809023402309243,0.029290861411739994,0.07935018368098663
59,3.0,1,0.8399279052016522,0.06463140444651692,0.7815326641708215,0.027451954484595798,0.0297289338916074,0.09227213958388611
60,3.0,1,0.8668606242467016,0.06979838802626877,0.7751676161738353,0.027461206383536083,0.02636525939262153,0.08388998288365192
61,3.0,1,0.840490743996817,0.06861849451083869,0.7851781721723865,0.02749870694493756,0.031111637196941624,0.08119202492221136
62,3.0,1,0.9096985474976779,0.07480963037231289,0.8426929287089925,0.030621140428469928,0.027879831333726846,0.07719469799398776
63,3.0,1,0.9749205077385568,0.07169815463536187,0.6781392388224101,0.027109096108691437,0.031017036281106837,0.09256498970949244
64,3.0,1,0.8223087872312872,0.06194605210444709,0.6071379619848656,0.033503129573692426,0.02817316066269261,0.08490581206739835
65,3.0,1,0.9224223970870417,0.06414170257399994,0.5762859647191602,0.02886445817557978,0.030265881252348314,0.08512528449920483
66,3.0,1,0.960950838833459,0.06416782116558777,0.611355616202094,0.032639257310659,0.027523673068446684,0.0803635506756182
67,3.0,1,0.8201260584339254,0.06928634604138545,0.7051639034798706,0.029781132058849157,0.025856246439211878,0.08148104419706984
68,3.0,1,0.9619648266775934,0.07262723779605357,0.7684539882439111,0.026927812372546305,0.02705551506070422,0.07896049335579608
69,3.0,1,0.9558297320580628,0.07557706983467967,0.6756481095772976,0.028543421056708942,0.02706125203444791,0.0929331393168367
70,3.0,1,0.9911766853310652,0.07311066583813075,0.7417370454991786,0.03115192207796876,0.025809030651689924,0.09209640599615952
71,3.0,1,0.9515942520428913,0.06629664995914185,0.7624204994730581,0.03256636370408597,0.02576932288183365,0.09017049750317477
72,3.0,1,0.9811035946866383,0.06655823526325737,0.726200146469351,0.029343133561825392,0.02743894824833858,0.08964552104917912
73,3.0,1,0.9203674724095066,0.06435281208307159,0.5614569454469927,0.02757744885533812,0.028049300514896378,0.09034769087254417
74,3.0,1,0.8323926607927318,0.06864276108617946,0.6514551889209287,0.026871722782849366,0.030204927343717058,0.07782695692428597
75,3.0,1,0.9817859471489203,0.0628225988852913,0.8129519240797914,0.03149512034670613,0.025913979934003285,0.09304509096908668
76,3.0,1,0.9192928831174032,0.061741021323728246,0.6886202437504948,0.0279456248000238,0.02772133525442197,0.08587468519688414
77,3.0,1,0.8652277375956108,0.06228000014464858,0.714780299757352,0.03341204190864677,0.030193623753489864,0.08954714638998987
78,3.0,1,0.933673917693088,0.06281440736359921,0.6051104417189824,0.027710880972570278,0.026177028435908963,0.07869616293060032
79,3.0,1,0.8650858235790058,0.06193394874948798,0.7212817139587899,0.032158215180289385,0.02722201396446552,0.08748856149532316
80,3.0,1,0.989561887449013,0.06786098624237169,0.7261057042065665,0.028040546091071303,0.028178000611037594,0.076974822641
81,3.0,1,0.8798191578118044,0.0732087683842648,0.6237738885768858,0.030778194302089227,0.03065435138318261,0.09298661184563979
82,3.0,1,0.8890439634863568,0.07226802273635459,0.6223368412803357,0.029637788032751893,0.026033716106368995,0.08549382581977374
83,3.0,1,0.8850348663489785,0.06647097974929315,0.5643881282166638,0.0265367770500559,0.027920735084024463,0.0937482636060656
84,3.0,1,0.8990323902634055,0.0650814792576837,0.8516044176050533,0.03134206984170969,0.028079200656940376,0.08412544672700098
85,4.0,1,0.9241127481221392,0.08610708243452886,0.8326143700680356,0.024952754025499856,0.007986572467748459,0.07498587597706721
86,4.0,1,0.945119710949902,0.07069844557864655,0.6031714773385572,0.022450723145106093,0.008814747438887209,0.06821729599157476
87,4.0,1,0.8735982587056379,0.07816489525339752,0.5951765607534296,0.02409068497736704,0.009630830598756926,0.06677109776108398
88,4.0,1,0.8349306634805905,0.07323392834569356,0.662593267626256,0.022370660606710138,0.008335170204261411,0.07636886746398985
89,4.0,1,0.9167770728800979,0.08447623213952309,0.5677772017054176,0.02418181686559154,0.008177950462056719,0.078450813321002
90,4.0,1,0.8480155084465029,0.08517472227557882,0.8367439442952905,0.024718503599618722,0.008877100956723331,0.06577240570525462
91,4.0,1,0.8470663819909529,0.08278836279928767,0.8541450557502951,0.025851129393282053,0.009317310963327718,0.07059000884468015
92,4.0,1,0.9871223072872439,0.0826120145351128,0.7069977225715487,0.025414498394533316,0.008706572690588124,0.07558216628730792
93,4.0,1,0.916343008903719,0.07178616792675603,0.5997278690227137,0.023880938875959164,0.008265806707605662,0.07221703535055399
94,4.0,1,0.9535423634679938,0.07813330635088218,0.7793885042524804,0.0210258513124776,0.009485453668804334,0.06718887235518048
95,4.0,1,0.9276877075162988,0.07343182071946067,0.626913707202993,0.022414385570015776,0.008773164111801198,0.06747067976456633
96,4.0,1,0.9377139509012233,0.084911249081282,0.7664535114275345,0.02494016311836148,0.009419212857782723,0.06927761607985702
97,4.0,1,0.9839582448689104,0.08497705958454248,0.5925520897809669,0.02437351428253884,0.007927192920892319,0.06692370269075479
98,4.0,1,0.895779647670825,0.07796917369574567,0.8082666664144198,0.020767056881819047,0.009113289235276713,0.06657126510995186
99,4.0,1,0.9065157551276142,0.0785992963237379,0.6039531521389372,0.02501724031588481,0.007966683048647245,0.07798353178926631
100,4.0,1,0.9098846166150519,0.07361946549095964,0.7307353211201573,0.024958135593943165,0.008405071150659162,0.07399921756886742
101,4.0,1,0.8845576881642531,0.07962853521434562,0.8024162370547606,0.026449162541889535,0.008213731420896084,0.06540327007349714
102,4.0,1,0.9803029447421746,0.0829795634313306,0.7840769361993113,0.021134842249862337,0.009149764062460961,0.07840337757348942
103,4.0,1,0.8621566415802437,0.07576711245239405,0.7199093860644328,0.026708856087813548,0.009436894194648535,0.07231968996722697
104,4.0,1,0.8328181736352509,0.07266087232546968,0.7273631358742264,0.022376771021130917,0.00822568810737823,0.06963879853969078
105,4.0,1,0.9705096738181498,0.08545991757380919,0.8693023057924003,0.02171091839494012,0.00832801310912722,0.06669629019188843
106,4.0,1,0.9154385123098536,0.08528163780296923,0.5581826859037898,0.022832576251604276,0.009272105742953868,0.07098379447334008
107,4.0,1,0.8295180270217771,0.08288674928768815,0.6128374795090883,0.023636487387823413,0.008561853517401104,0.0709739013806784
108,4.0,1,0.8942238648595646,0.07806997280132076,0.828416635955403,0.021122545512981507,0.008631350564556677,0.07152011114254186
109,4.0,1,0.9474277987362721,0.08333205883722997,0.5853775162799758,0.0219249958110507,0.008053828069474973,0.0748090444532645
110,4.0,1,0.8794726576895073,0.0791887514255756,0.6830334491114627,0.024043668630024186,0.008200411636171414,0.07525160485068978
111,4.0,1,0.8450488258425841,0.08277486891072199,0.6517694574694999,0.022817299970938926,0.008724974982872488,0.0777333749280523
112,4.0,1,0.9839171196275524,0.08510349682818208,0.684972912148923,0.024018581139138295,0.009510049734529579,0.07749283216540244
113,4.0,1,0.9688269676198792,0.08467998281493809,0.7947276649497952,0.0251440409552549,0.008045384316279837,0.07113414967910515
114,4.0,1,0.8327363633785411,0.07933446936484019,0.836882725477283,0.025591857451836366,0.008092118768380363,0.07901485095760165
115,4.0,1,0.8458682673407881,0.08009395027081141,0.6318669742969696,0.02436508995409954,0.00817718844232148,0.06808025782757843
116,5.0,1,0.9352717090034081,0.08462691874031109,0.5670527663066057,0.021440526120143587,0.005790409200164116,0.0884201861698898
117,5.0,1,0.9475935555490047,0.08561884730910861,0.8470821566849052,0.021258184202692692,0.00519160043258339,0.08442897621786004
118,5.0,1,0.9709256190265242,0.07632921410219118,0.696425884567535,0.020780385112797412,0.005779657806522672,0.07957440777328721
119,5.0,1,0.8698590682352038,0.08120825828821988,0.7802832609100713,0.01795238802239135,0.0055544643328813885,0.07976063019958635
120,5.0,1,0.8598581927759431,0.08510406412494238,0.827668653513056,0.01784070015621982,0.00558374226244087,0.08492029288247116
121,5.0,1,0.8845592803607336,0.07852031095479918,0.7920264298983749,0.020212738561576075,0.0052891614193340064,0.07790937169201917
122,5.0,1,0.9312733078787322,0.09170633412218777,0.7860287539079598,0.019078717627843963,0.005025221615975567,0.08898550278573503
123,5.0,1,0.9516290625765963,0.07685173043255787,0.6336467431471734,0.020272898944343105,0.005639697825995339,0.07967335465470332
124,5.0,1,0.9377409305486664,0.07857896635490655,0.641843971662343,0.020828126324257335,0.005204543987900158,0.07993031568161255
125,5.0,1,0.9886186488360013,0.07639962821594912,0.5554474629677105,0.0216385865447014,0.005085592693352427,0.07634853645221827
126,5.0,1,0.9159178014135582,0.07641514015505542,0.6298204356842919,0.022776960078394408,0.005626951838055581,0.07491648316728232
127,5.0,1,0.9546652800933083,0.0860130023554516,0.7647510244100787,0.01955250059331799,0.005940304513142447,0.08626702730086648
128,5.0,1,0.8281743186579433,0.08416191309917868,0.6481762116910057,0.01989320986380057,0.005750483962457932,0.0885326669055272
129,5.0,1,0.8917953927631068,0.08184802769322243,0.5438917663681214,0.0188272510424941,0.005562968772919448,0.08779162682405375
130,5.0,1,0.9378579238782977,0.09091731663991504,0.8216950833622871,0.01894267442034487,0.00562602306526951,0.07764497158370688
131,5.0,1,0.8262235958847775,0.07591772061675565,0.5667171672415509,0.020113145097104948,0.005492166231188628,0.07780706462601407
132,5.0,1,0.828250630117584,0.08622688501742139,0.8423869803806623,0.0185579874581539,0.005002709340104497,0.07527893346658356
133,5.0,1,0.8503969826333432,0.08593094376301065,0.599764567300362,0.01922783929523489,0.005081411615527185,0.0857390373051844
134,5.0,1,0.9437134107574577,0.08512045219784425,0.8207752028737807,0.020951200467697332,0.005771570555987108,0.07994191382327881
135,5.0,1,0.814005693730777,0.08403486544674867,0.593894261765902,0.021344818971830173,0.005434936224382634,0.08099527716393652
136,5.0,1,0.9748994131421702,0.0912272946860928,0.7821935921530601,0.019432158930168704,0.005147478124781297,0.0910270240478283
137,5.0,1,0.8709547111628664,0.08263236108583442,0.8575410621356553,0.020049930018651196,0.005406658397326136,0.08060985535019778
138,5.0,1,0.8206665079207334,0.0850243039702887,0.7186759063567161,0.020346394755329067,0.005772955356345248,0.08735226238720507
139,5.0,1,0.8390306484546618,0.07630834241979838,0.6610578176456722,0.021074797343816072,0.005085431002960992,0.07867053652832152
140,5.0,1,0.9466513357121155,0.09243213308385911,0.6200532890238306,0.019471703887567634,0.0057098379950259,0.08356296539626805
141,5.0,1,0.8700801674107372,0.08777470650363088,0.8362887138048835,0.023121980858170382,0.005567297769121216,0.09053930415356892
142,5.0,1,0.9863272420818454,0.09061339012691713,0.7393211667062971,0.018148207751615276,0.005717881591571893,0.08260103556542273
143,5.0,1,0.9185633868665218,0.08608846946684791,0.6248664409846361,0.02206077109581547,0.005462821469260409,0.08440216933542329
144,5.0,1,0.8901661372923193,0.08337986783912565,0.8103682762611243,0.020780354620956582,0.005343032039385486,0.07617277066805928
145,5.0,1,0.8288941951497489,0.07935328316921911,0.5622042968303901,0.018410802016814935,0.005577554996755208,0.08896593193170331
146,5.0,1,0.8349516667566205,0.07909798936815819,0.6195709666692045,0.019376981016478997,0.005543474643986742,0.09006227309286143
147,6.0,1,0.14890077139905697,0.32805117333677997,0.6473861095795853,0.35201601966904755,0.007196200175964521,0.021261379069030566
148,6.0,1,0.1466776184577193,0.30361506289243545,0.6842381089799403,0.3638759389859552,0.007466196351988279,0.023589402484536535
149,6.0,1,0.12444965219263183,0.29392661228605677,0.575048561893089,0.3434861979936326,0.007391357462478119,0.025450076058168118
150,6.0,1,0.13069088338168006,0.2798547329085628,0.6523873063767328,0.3465436801292,0.007733950880023506,0.025620796330441273
151,6.0,1,0.1540232768907155,0.3018862387368358,0.7082877147268551,0.3368763967174688,0.0071940762847362,0.024512427503981388
152,6.0,1,0.1311437307526277,0.2733511133410639,0.6918129285272936,0.37676398397257943,0.007321243602588164,0.022856286499672775
153,6.0,1,0.13812781553798195,0.3136623707162029,0.6909286912766402,0.3822679850180545,0.007467252690780832,0.02574297951925134
154,6.0,1,0.1289239100723461,0.3090825722462584,0.6678201584378659,0.3577183162201035,0.007801370085482344,0.02503609278022712
155,6.0,1,0.1398453899813768,0.2828327014028173,0.7369751417669166,0.33170656102455826,0.007292392285742918,0.025622356070137343
156,6.0,1,0.1454747222470684,0.2900474903272961,0.7579893511415733,0.3659830607460206,0.0075291851031333585,0.023324230813950853
157,6.0,1,0.14685680360691994,0.272800538671191,0.727241301889869,0.3855449326240503,0.007625850720962082,0.021465908817662777
158,6.0,1,0.14396706149115424,0.2981895730181694,0.49076670479692897,0.3583654300749005,0.0071759873767839235,0.022118573069732292
159,6.0,1,0.1259745864716941,0.324072202123193,0.5342361909565106,0.34494457500535664,0.007550602702619141,0.022336696507679554
160,6.0,1,0.1487692063762271,0.3255193204705347,0.640836749830391,0.349316615699365,0.0072714256398120885,0.021913736513467796
161,6.0,1,0.13456476349804194,0.2769174040675535,0.5792772556858853,0.3453560041004417,0.007173963560430338,0.022908608967978465
162,6.0,1,0.12544634824352482,0.28518869710226036,0.6329992225241459,0.38930176153070345,0.0071367914850229515,0.024001856292537073
163,6.0,1,0.13527046716318014,0.282741205295249,0.5179785288958068,0.36018178360042763,0.007127347579501496,0.024651261785771292
164,6.0,1,0.12604503977825024,0.28425716647425403,0.595661793380436,0.3915970196847495,0.008169086819628553,0.021109614416063092
165,6.0,1,0.15186302783325314,0.27251998219762563,0.5854930839489818,0.35114327770473724,0.00815134712376751,0.02118006866882661
166,6.0,1,0.12802627457358232,0.3046924945847597,0.6894791088685642,0.3950974249378632,0.007319467065740799,0.022626702351040022
167,6.0,1,0.12681157727946402,0.30531355386280373,0.7416606388357053,0.40086495092447577,0.008256790634813946,0.025287857256607118
168,6.0,1,0.1280364768378758,0.2814314851068936,0.7455536246802771,0.3959941258461354,0.0070416592521811115,0.025001682087731583
169,6.0,1,0.13899144864093899,0.3072934644931941,0.7655832703844602,0.3957355651575329,0.008357587236327313,0.02252850180254413
170,6.0,1,0.13172332916472626,0.29911113657043886,0.7233148221261742,0.3604095026442212,0.007613891407951813,0.02228876968373113
171,6.0,1,0.1447860995223225,0.327389863411903,0.5653145896832988,0.37568697898396564,0.007813567302169365,0.02115112824235014
172,6.0,1,0.14703289040055684,0.33015720622156086,0.5028862764787511,0.4005238508735244,0.007066176265879529,0.02427411052461915
173,7.0,1,0.12828818882063733,0.2731312552026059,0.6563059468117135,0.3697200786867806,0.004008330005620587,0.020637778647926697
174,7.0,1,0.10679521680813822,0.28496310094667937,0.49985160417440644,0.35129478030449685,0.004136972111402642,0.01900106680813061
175,7.0,1,0.1251290688459808,0.2971162683958536,0.5408353668281641,0.32130404200994,0.004424142946438108,0.021028152601321376
176,7.0,1,0.1324425927214107,0.2982412955714633,0.6159128426443631,0.3809013687693399,0.0044406800809733,0.018983339770880295
177,7.0,1,0.12756936148348547,0.28097906895329183,0.5547180707174089,0.37968566718546015,0.003911092304135105,0.018413967434253508
178,7.0,1,0.1200957969176501,0.27784077612976615,0.6903070601007429,0.3357525675283659,0.00421221662338979,0.02118675949989624
179,7.0,1,0.1175070292033017,0.25795960505631355,0.6523200589507575,0.3334028813272553,0.004658754959190127,0.017973678026070618
180,7.0,1,0.1155998367224102,0.2888016734970919,0.7304835180763405,0.32463274005685117,0.0039609882234518355,0.019764587232569776
181,7.0,1,0.11979298132864345,0.30342741376357135,0.6376402792089473,0.3203433545537708,0.004508368416857555,0.020434929758096635
182,7.0,1,0.10703578804258236,0.30615671640309217,0.7596708137769291,0.3165583314305814,0.004435888573920459,0.02055803106116514
183,7.0,1,0.1245735891389734,0.26991154144497304,0.7511360727728774,0.37219506498878824,0.004153702491236219,0.021273092218967636
184,7.0,1,0.11090504917687757,0.2813851411860993,0.5441607571923397,0.32312445279374813,0.004296470275213899,0.01951370733653208
185,7.0,1,0.11022009885542972,0.29137373505866476,0.5227916982697108,0.3164399857717823,0.004510483411101428,0.01828587392815935
186,7.0,1,0.11043715040579173,0.2604768113358565,0.7293285021714084,0.37598785010236224,0.004482986041674925,0.019660549978013885
187,7.0,1,0.12606196852403795,0.2925623148863268,0.5595170194227397,0.32889120292781865,0.004258086265444962,0.02051081446617809
188,7.0,1,0.10768284102239098,0.2673225021897391,0.7233156622694189,0.35433837284180475,0.0042346364068430176,0.019723937843208115
189,7.0,1,0.12387061742958876,0.25951852412376697,0.7110612893962156,0.3624822020956752,0.0043394767268341615,0.02033971851529271
190,7.0,1,0.12080508544657734,0.27886918293597773,0.7220378998582269,0.35218704817171514,0.0039048059291071054,0.018080957725057793
191,7.0,1,0.11251392998579064,0.25828952834611363,0.5065028959162128,0.36426201709892053,0.004583145042145911,0.019871797306056697
192,8.0,1,0.10289457524986233,0.27207888558353477,0.7051181576309071,0.37109907080664634,0.0025804239716687816,0.013307018745496365
193,8.0,1,0.08345601690611729,0.25912573196181987,0.7591654676709761,0.3313498383615238,0.002338372254824904,0.012417768319433914
194,8.0,1,0.08644191051498304,0.2891739312903557,0.7081019268600055,0.3444791149017641,0.0023835798923061394,0.01261577163032085
195,8.0,1,0.09699232759661167,0.27517662850556146,0.724083045673349,0.36126236895296315,0.0024327125454754505,0.011876170047598448
196,8.0,1,0.08873575338429414,0.24506115748672344,0.5668731072263876,0.3672019194618142,0.0022944383302521292,0.01280826726925982
197,8.0,1,0.08746465295435026,0.2652250024204505,0.6419177943642184,0.36363259844125756,0.0022906658855488178,0.0142840917248597
198,8.0,1,0.09766833822650096,0.2702213506450065,0.5090016326398817,0.34032675047071603,0.0021833425691185075,0.013719903575780505
199,8.0,1,0.08552141655121508,0.2593863716636648,0.6260850814644484,0.3491835190706181,0.002188950132314515,0.012800797956493337
200,8.0,1,0.09444842161981644,0.279746013312316,0.6069475075455607,0.3839291063971478,0.0026162529421170848,0.012786398332832767
201,8.0,1,0.08877004500345576,0.25537258756272185,0.6956108317858303,0.3746857428454728,0.002577572548612487,0.012611842785948736
202,8.0,1,0.09060670373142675,0.2907034915696424,0.6331251383983523,0.34603931976739954,0.0022266117430163033,0.011984673741204542
203,8.0,1,0.10224176312324602,0.24906431738872203,0.6733728860803708,0.3224625247529481,0.0023121294377485974,0.011775050979704138
204,8.0,1,0.09319627543771639,0.25400634403916306,0.712707158625955,0.37809244847028,0.0023464773751231964,0.012527119302267074
205,8.0,1,0.0888369464191884,0.281330299027838,0.6978610220561285,0.34916575478858985,0.0023158551408858034,0.014382109068649196
206,9.0,1,0.8264986990367862,0.05615879628700408,0.9114649709784375,0.05410678758740028,0.08411569802122695,0.1486537802176698
207,9.0,1,0.9672842894317495,0.06525028759017396,0.8558518275872372,0.05403285993090896,0.08836407661025159,0.1439921206408585
208,9.0,1,0.8740952928151755,0.0626829504032375,0.9014016556391057,0.05000347829799456,0.0931232060984705,0.17170294029996155
209,9.0,1,0.945209978168225,0.06472602248168201,0.6839379339956385,0.0515978951364454,0.07891349302217694,0.14719619407009382
210,9.0,1,0.9025706660469072,0.05588563658279506,0.782086970701749,0.047992675121208035,0.08275012477935415,0.16485912939678274
211,9.0,1,0.839063140783243,0.06003227987381772,0.8327483466244457,0.049042735904023756,0.08544784411330494,0.15796994709653592
212,9.0,1,0.8605531223543641,0.06810797568604504,0.6263926368289092,0.05376224655072462,0.0886695357461575,0.1584263188070364
