fid,X,Y,Ex,Intercept,NAT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,ROADS_SURR
1,8.481,45.309,0.5221829020500537,-0.2252559069080487,-0.5000144104069257,0.30743318524932617,-0.2852235428021018
2,8.547,45.177,0.5098270920199636,-0.22601116470900148,-0.5061153538044023,0.31484706693520514,-0.1864735435015848
3,8.547,45.243,0.5109609053103807,-0.22732427390511012,-0.4998504415984055,0.3112214951436539,-0.26779171054520834
4,8.547,45.309,0.5500211309491269,-0.22091337262563165,-0.5032860296132826,0.3059040879071859,-0.3037063483214404
5,8.547,45.375,0.5717391313766512,-0.2108506846173325,-0.5114294885377134,0.26180732088863834,-0.3110405744005133
6,8.547,45.771,0.263227721679156,-0.5166593497833447,0.1550355549750291,0.08315796976074846,0.09858805450100405
7,8.547,45.837,0.1909234813353673,-0.6342823139978447,0.2137199768788363,0.1737135972217976,0.0393583376823646
8,8.547,45.903,0.1310351071565594,-0.6875581018940388,0.11715288019480298,0.4045368366660716,0.04485505307776995
9,8.613,45.045,0.5203622495831419,-0.23773258660649443,-0.5144385684860053,0.3111046877610515,-0.1496497685610809
10,8.613,45.111,0.5241038308146038,-0.22582575242484038,-0.5182090704483567,0.31258535999874787,-0.15187994459666582
11,8.613,45.177,0.5422920698660192,-0.21658759966960656,-0.5170345637312459,0.3135441320429846,-0.1866261438119796
12,8.613,45.243,0.5443902007010203,-0.2100979382904205,-0.5145712189406576,0.3102322886303015,-0.26244339019488544
13,8.613,45.309,0.5764695353476526,-0.19703082496540908,-0.5221194780885774,0.3022158284529948,-0.32693976672476543
14,8.613,45.375,0.6053561858816104,-0.187975015705448,-0.5288380579724834,0.24317677088273598,-0.30595424864385057
15,8.613,45.705,0.4118925346103341,-0.29984435529330533,0.03746467464891904,0.06477092980601566,0.19108228070549235
16,8.613,45.771,0.3556847150770134,-0.43316829366303267,0.09920356932438615,0.07222152292871883,0.12724291060165702
17,8.613,45.837,0.2321467078565156,-0.5736360548296612,0.11017237828085774,0.16115909323662314,0.040667731145405187
18,8.613,45.903,0.160855083821246,-0.6817283165532382,-0.038087467407703045,0.4473432526305139,-0.023508901777029034
19,8.613,45.969,0.0609220167785959,-0.7453179599662411,-0.20901760723480275,0.5257693321078118,0.003243104842700087
20,8.679,44.979,0.5220418769962991,-0.2409507056182491,-0.5192228220999314,0.3087811253928102,-0.17822679625657528
21,8.679,45.045,0.5289147911866868,-0.23664450153297428,-0.520081765698966,0.3098224729176097,-0.17469753915087866
22,8.679,45.111,0.5326905767500755,-0.2245270847686046,-0.5229784582025643,0.31067383848060304,-0.17851899744887867
23,8.679,45.177,0.5578207765410499,-0.20310276541844707,-0.5297871790556938,0.31093876112331986,-0.1959708308500901
24,8.679,45.243,0.5819102764698868,-0.17814254136884558,-0.5376430637078942,0.30837464565268036,-0.20548340714483712
25,8.679,45.309,0.617989777812702,-0.1486800341361736,-0.5514531262805912,0.2924954103306619,-0.08170667342712502
26,8.679,45.573,0.6401222902866235,0.05042434689281626,-0.7684165682410901,0.050007053248402045,0.22858493470664235
27,8.679,45.639,0.6111235564455679,-0.03951136750072298,-0.23372335899426594,0.05120037060594364,0.23436147322138012
28,8.679,45.705,0.5194186308029352,-0.16406886293380218,0.060412697441174966,0.05533001889414664,0.229553672437856
29,8.679,45.771,0.4343754091957538,-0.2958664428539009,-0.004289509580398684,0.06047844488830712,0.18941252942904796
30,8.679,45.837,0.3159751463192228,-0.44161716113018656,-0.18207395387274833,0.08528309089377134,0.1397131288902301
31,8.679,45.903,0.2003992487000138,-0.5832346270807967,-0.2527857263834356,0.41086658957611344,0.01487790714424668
32,8.679,45.969,0.0813838516495183,-0.6680736222326984,-0.2697865110989985,0.47379355743051066,-0.12260626139418708
33,8.679,46.035,0.0212347721016157,-0.6949013903775538,-0.31094112428775533,0.4744347757456965,-0.22115687156212624
34,8.679,46.101,0.0073874172273033,-0.6817111416566315,-0.3234202540637384,0.4574127517391515,-0.169514168291423
35,8.745,44.979,0.5219463205754306,-0.24555018616835483,-0.5221947841631449,0.3044615857024333,-0.21076936072942434
36,8.745,45.045,0.5248528505492981,-0.2474705184882065,-0.517137415926332,0.30650588096818143,-0.20355482024513666
37,8.745,45.111,0.5363263276429653,-0.23178356835460984,-0.5216126138997059,0.3082415252287261,-0.2350232649565469
38,8.745,45.177,0.5728707161442255,-0.19639043609088352,-0.5347295352786601,0.3116493077480367,-0.18442995927616346
39,8.745,45.243,0.6053820955548699,-0.1436499224428368,-0.5597632721792203,0.29725473189375473,-0.05195807543197347
40,8.745,45.309,0.6773237724926907,-0.07984071263865272,-0.597481733414474,0.24512075236213451,0.11168432912717069
41,8.745,45.375,0.7396651435070779,-0.006322613563772742,-0.6632134579449547,0.105969324906005,0.21890385087680822
42,8.745,45.507,0.7690638889317684,0.0853935701289807,-0.9207937910854227,0.037692288905161936,0.18982404478040132
43,8.745,45.573,0.7446022878121757,0.044998764142773956,-0.8645905080204923,0.0398647557729874,0.1946910352583216
44,8.745,45.639,0.6935940291676477,-0.007577611518975384,-0.7199555741411154,0.042510650013169615,0.20828483050367738
45,8.745,45.705,0.6258998380449101,-0.09543818778359384,-0.3699729766813667,0.04498400974541352,0.20761526810174524
