fid,X,Y,I,Intercept,NAT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,ROADS_SURR
1,8.481,45.309,1.08257430912816,0.07834916006911262,-0.4414077282119941,0.4254907800199053,-0.16818200275791917
2,8.547,45.177,1.0833825705424225,0.08008697234770067,-0.44783468597698695,0.3833246451918373,-0.1860902002855901
3,8.547,45.243,1.0593091939361552,0.07391522722596541,-0.43800456931995396,0.41705017158840574,-0.17883071256751254
4,8.547,45.309,1.0872510728064135,0.07945143111322836,-0.44186695010178384,0.4313079932277377,-0.17940189117981337
5,8.547,45.375,1.130182003884078,0.09149821515823031,-0.4524535950273786,0.42039438456070577,-0.20536651516384588
6,8.547,45.771,0.65806930419789,-0.32880026293182785,0.3142537002529718,0.2069940829018349,0.03640556607538714
7,8.547,45.837,0.6010554042039342,-0.44696899727763717,0.22960626339540005,0.5116468592921763,-0.1150939437979606
8,8.547,45.903,0.5303801956336928,-0.46628968348387234,0.10755440183355858,0.8670757137996747,-0.13510294991969862
9,8.613,45.045,1.1057697803641766,0.06623053744838873,-0.4509950405806572,0.3405927692509813,-0.17173603962711065
10,8.613,45.111,1.113720640481033,0.080843431983558,-0.45858441822937435,0.34674257776448136,-0.1754824115139996
11,8.613,45.177,1.1242640472832106,0.08799835497603829,-0.45685674879668603,0.36996850336795284,-0.19334908417641195
12,8.613,45.243,1.1017420728473029,0.08769574181065509,-0.44958152657578354,0.40809975103820495,-0.2075851702768905
13,8.613,45.309,1.1395328024314062,0.10103402239005821,-0.4592442494799033,0.41368231093498997,-0.24351824860216315
14,8.613,45.375,1.1966343209287649,0.11479201309725687,-0.47132302654526814,0.39585646306227873,-0.2450204151362029
15,8.613,45.705,1.0003104411965258,-0.0924721873378016,0.37842657972897886,0.08918819466254363,0.15593285313682936
16,8.613,45.771,0.863805736615604,-0.2376513135396619,0.2955146697932507,0.13874793103262922,0.08743790500142735
17,8.613,45.837,0.6166396927438695,-0.37602099331961625,0.0586409507156716,0.38115327550013567,-0.0657853592166037
18,8.613,45.903,0.594464440208953,-0.44650012050151183,-0.07369093876051781,0.9460326423999172,-0.22237738567195456
19,8.613,45.969,0.3983362635523583,-0.4734463542162126,-0.21427961030404172,1.039590780407024,-0.21144064465653695
20,8.679,44.979,1.1093389886171356,0.05467287396551386,-0.4454960274847875,0.3277755019315044,-0.192704848762989
21,8.679,45.045,1.1239439312717094,0.06525850998927905,-0.4536413952597528,0.32527219156443926,-0.19978996895737755
22,8.679,45.111,1.1319674755939104,0.08067199768180439,-0.4606589587198314,0.33040362489420333,-0.233219212214974
23,8.679,45.177,1.156457707463152,0.09790403061712433,-0.465457380881826,0.35046825760630806,-0.2384747599173782
24,8.679,45.243,1.17767555952239,0.11996444083024563,-0.47362313104085896,0.37751936353212334,-0.18930392976963306
25,8.679,45.309,1.2216077003274344,0.14587690628128852,-0.4874077541488737,0.38478188302973015,-0.09910081308237359
26,8.679,45.573,1.2653580156828603,0.26171138046206177,-0.7540042119929669,0.07460561974554358,0.20274240742985083
27,8.679,45.639,1.2080349371598436,0.1711294057924526,-0.18799465617897598,0.07830138744781177,0.20189846470367395
28,8.679,45.705,1.1320662466217817,0.0559793044049024,0.26422878753997237,0.0876420716422399,0.19045115161545362
29,8.679,45.771,0.9978894535578128,-0.06973623668453462,0.06802823664434278,0.09503394597645405,0.15701664622540007
30,8.679,45.837,0.7899378657980569,-0.21513874100941874,-0.2340007020175633,0.22497883283008474,0.09552546781691201
31,8.679,45.903,0.6308865236852288,-0.32990483894623385,-0.27927209412502224,0.765853032903827,-0.11219037076159599
32,8.679,45.969,0.4069192582475915,-0.38138554911958167,-0.267390981445899,0.8460770826048847,-0.3726296337692458
33,8.679,46.035,0.3008259381062228,-0.38558335967110313,-0.3153891136310812,0.8550714664207406,-0.5304370130444428
34,8.679,46.101,0.3139652321603933,-0.36215096040864636,-0.3373332355417752,0.8352487810330254,-0.3856388056495332
35,8.745,44.979,1.0820838353393072,0.0418242062694057,-0.4371468801411891,0.3235418172528554,-0.21790032306607893
36,8.745,45.045,1.1153123074172584,0.04590643509243442,-0.43866171255590536,0.3164793958894202,-0.22898459418101974
37,8.745,45.111,1.139693446241301,0.06544179927788832,-0.4482092943448731,0.3230340075274716,-0.32598696239019687
38,8.745,45.177,1.159381211244266,0.10053162259768691,-0.46484896695500955,0.33858135586938765,-0.2884194281563308
39,8.745,45.243,1.2251780505277128,0.1499317159168933,-0.49190481756562077,0.34181252815092655,-0.16023950179288585
40,8.745,45.309,1.3084663786790616,0.20150233028663656,-0.5230536117182902,0.31078506920205773,0.022153653499021462
41,8.745,45.375,1.366772547784818,0.24867909806965566,-0.5626837108438492,0.10689009638051543,0.13085202356406364
42,8.745,45.507,1.4210963165043546,0.30623344446728923,-0.6820641684529845,0.06132774789765018,0.15999383865937913
43,8.745,45.573,1.4384362378189757,0.2795794786437247,-0.6699141101900321,0.06523533331805806,0.17380481448212487
44,8.745,45.639,1.3710579646337222,0.231161279139664,-0.6192707977390189,0.07292916638327987,0.18716231281881696
45,8.745,45.705,1.2372438659027294,0.14173191834248017,-0.2793746570652237,0.07130073154646377,0.17417645969155504
46,8.745,45.771,1.071522572633592,0.05153579732779303,-0.09562387091088656,0.06185622351964108,0.15934538281486182
47,8.745,45.837,0.9179809038787932,-0.06478951647654883,-0.27591470225617626,0.14215865770467734,0.13806138129199103
