fid,X,Y,f,Intercept,NAT_AREA_SURR,INDUSTRIAL_AREA_SURR,ROADS_SURR
1,8.481,45.309,0.3448275862068966,-0.002462378194043778,-0.40791923770780814,0.06607145527205369,0.0971202706878801
2,8.547,45.177,0.3448275862068966,-0.0056729570487023965,-0.410045987494412,0.06218297831004496,0.06841539808903063
3,8.547,45.243,0.3620689655172414,0.006046580091550407,-0.4098465488502284,0.06130646144203974,0.08532858999424933
4,8.547,45.309,0.3620689655172414,0.001771842247841536,-0.40986296875950334,0.06286605999465222,0.09645125102458205
5,8.547,45.375,0.3620689655172414,0.0008995783376712797,-0.40954907329560525,0.06047648501702405,0.10089515472320845
6,8.547,45.771,0.2586206896551724,-0.18936990147927685,0.0034716667640902373,0.06342961668926893,0.10155134809212471
7,8.547,45.837,0.2068965517241379,-0.2945750475570922,-0.043790202892873026,0.1833072494092327,0.10019325946010454
8,8.547,45.903,0.1551724137931034,-0.4078708556580985,-0.12351168413273561,0.575337881718015,0.09887336303692844
9,8.613,45.045,0.3448275862068966,-0.03616773583280215,-0.41237839392202547,0.05793725881953847,0.027532385162341473
10,8.613,45.111,0.3448275862068966,-0.02773358627603544,-0.41175040935868906,0.06219992183430439,0.04230709171198722
11,8.613,45.177,0.3620689655172414,-0.004630499229506341,-0.4128999954275979,0.05761694716623064,0.06362542401022668
12,8.613,45.243,0.3620689655172414,0.008945946633665772,-0.4133503032913292,0.05381691012822247,0.0821957483583654
13,8.613,45.309,0.3620689655172414,0.007763913604094933,-0.41316348074536563,0.05617101790594081,0.0953270937513425
14,8.613,45.375,0.3620689655172414,0.012557599470929905,-0.41430978804575536,0.05550820528374749,0.10046640279587524
15,8.613,45.705,0.2758620689655172,-0.04265466232921736,-0.10294660005574369,0.04448392633269396,0.10221344612388662
16,8.613,45.771,0.2758620689655172,-0.11364133642079867,-0.004578926898414701,0.03860273704471752,0.10070392685137078
17,8.613,45.837,0.2586206896551724,-0.24267590081415108,-0.033826283429536155,0.1474842158978697,0.09958160048267467
18,8.613,45.903,0.1551724137931034,-0.4243848938687559,-0.1403453598899626,0.6453037278707408,0.09785710620794395
19,8.613,45.969,0.0862068965517241,-0.573298734912753,-0.25051173541197347,0.7926914998313002,0.09465030909455519
20,8.679,44.979,0.3448275862068966,-0.04153007230023771,-0.4159861693601723,0.05095979390275481,0.012179765421231012
21,8.679,45.045,0.3448275862068966,-0.04375355496818503,-0.41394756773640684,0.05517696217102726,0.020194150641274857
22,8.679,45.111,0.3448275862068966,-0.03086098113513875,-0.41298018412727766,0.05862542564522588,0.03864543196869757
23,8.679,45.177,0.3620689655172414,-0.004994472463335495,-0.4139176467748103,0.057065265913062324,0.0584582018498606
24,8.679,45.243,0.3620689655172414,0.006292819977613101,-0.41495400825608786,0.052951891822392405,0.07964566206119489
25,8.679,45.309,0.3620689655172414,0.019347199656056073,-0.41734516620240825,0.05584991649761366,0.09360968525921214
26,8.679,45.573,0.3620689655172414,0.1937686529918456,-0.5217351675478688,0.02645588995164235,0.10246528532167759
27,8.679,45.639,0.3620689655172414,0.15190538263175102,-0.4006984102998524,0.028553827513455955,0.10237267220230427
28,8.679,45.705,0.293103448275862,0.046375053210734034,-0.18737784124675572,0.03410599748506446,0.1012588408212626
29,8.679,45.771,0.293103448275862,-0.03189397152383996,-0.07219765992355597,0.029447421551405284,0.10026353081341258
30,8.679,45.837,0.2758620689655172,-0.12334958665598433,-0.11976429110318262,0.0017867562324080655,0.0987982501711742
31,8.679,45.903,0.1896551724137931,-0.3223720589417902,-0.21189257220936636,0.5916549544707989,0.09638300829079713
32,8.679,45.969,0.1034482758620689,-0.49166115282494083,-0.27763102363423786,0.7112603321572692,0.09266237662913734
33,8.679,46.035,0.0344827586206896,-0.5817885895754683,-0.30767585366843525,0.714323765720273,0.08668067992514347
34,8.679,46.101,0.0172413793103448,-0.567563032646986,-0.30779150336674366,0.6753450586619774,0.07842778773874315
35,8.745,44.979,0.3448275862068966,-0.04590531108806289,-0.4177725613103568,0.043895464177963195,0.007820463538632782
36,8.745,45.045,0.3448275862068966,-0.04732098465909799,-0.4159660302292591,0.050413355459936415,0.016475287944205816
37,8.745,45.111,0.3448275862068966,-0.03315129250219798,-0.4144449447017089,0.05538082001218547,0.03168730591777298
38,8.745,45.177,0.3620689655172414,-0.008815438197464574,-0.4164580830289157,0.055560211306575645,0.054540560959255614
39,8.745,45.243,0.3620689655172414,0.013320947133434437,-0.4185474676855943,0.056466746709462945,0.0765019024687823
40,8.745,45.309,0.3793103448275862,0.060654691690632145,-0.43222864548152684,0.06906023766523689,0.09311312975616806
41,8.745,45.375,0.396551724137931,0.14401013472406163,-0.46557659504796145,0.06504392123437536,0.09850897214117937
42,8.745,45.507,0.396551724137931,0.251017837978755,-0.582894615219295,0.013601583551698184,0.10095542263472755
43,8.745,45.573,0.3793103448275862,0.20381717106389485,-0.5679832364276105,0.014955758433976578,0.10127288826468077
44,8.745,45.639,0.3620689655172414,0.16729142205502467,-0.5010105505683943,0.017791022654661835,0.10116919229074443
45,8.745,45.705,0.3620689655172414,0.10454821412897124,-0.3176877319397454,0.021908908456285715,0.10057165350838886
46,8.745,45.771,0.293103448275862,0.03831531180754299,-0.1331526306956919,0.020481864489258303,0.09940635654288313
47,8.745,45.837,0.293103448275862,-0.047514102007414724,-0.18933937000688764,0.038005254788571405,0.09781258879813733
48,8.745,45.903,0.2068965517241379,-0.20046580451138812,-0.24274160898170055,0.508412075955406,0.09493780437279872
