fid,X,Y,Ex,Intercept,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
1,8.481,45.309,0.5221829020500537,0.34476126445010064,-0.9435752894736941,1.3585299493163814,-0.9979933328025361,-1.0955905270745334,-0.38993838326145963,0.15829781708998591,0.09817080061218583
2,8.547,45.177,0.5098270920199636,0.35538561923113166,-0.8877509940414948,1.3084284131635895,-1.0095845130493872,-1.11421894199597,-0.4229851210076674,0.12830195217489998,-0.11083903889924669
3,8.547,45.243,0.5109609053103807,0.3524260546177428,-0.917209931011283,1.3292258324401702,-1.0066807570133154,-1.1093637092657627,-0.41409142231177426,0.1469585540436627,-0.027004078633485185
4,8.547,45.309,0.5500211309491269,0.3493438968838113,-0.9257971550205333,1.3476966277727076,-1.0170142688995578,-1.1030571897926713,-0.42512445877056326,0.11399582393819208,0.052296807436348874
5,8.547,45.375,0.5717391313766512,0.34916257530093037,-0.9273200318798438,1.3509067498650709,-1.0103937586003955,-1.10197254420292,-0.4176475767858303,0.12526800415326234,0.0650521986352476
6,8.547,45.771,0.263227721679156,-0.10165762662842673,0.5241219912945176,0.24901807212114685,-0.019690637078308783,0.058960757655080624,0.16278002145012757,0.14081819907225823,0.08843324272368291
7,8.547,45.837,0.1909234813353673,-0.12437797974930555,0.5633983476280107,0.25390342423251716,-0.15102226373855604,-0.051964798587463286,0.18166160909302664,0.1754229658408308,0.08525687614493425
8,8.547,45.903,0.1310351071565594,-0.14570493331780277,0.5935214790175606,0.2648726195193037,-0.18131357104388024,-0.12145473606060947,0.19438667071122162,0.20201498936755366,0.09188970051226064
9,8.613,45.045,0.5203622495831419,0.34777971542869845,-0.8166383847520695,1.2720396174769926,-0.9795522598500074,-1.1006679621737714,-0.32480316460339076,0.14296818936319594,-0.10739625929964124
10,8.613,45.111,0.5241038308146038,0.35224806266361214,-0.8389498853678738,1.282032518639109,-0.9915527798513752,-1.1084448107984455,-0.3976096205160495,0.10497359787836709,-0.09657733917412957
11,8.613,45.177,0.5422920698660192,0.3567314276572247,-0.859240392382852,1.295554619299213,-1.012251286004396,-1.1170261412227394,-0.4427303694956808,0.09005746774903145,-0.11923026433957082
12,8.613,45.243,0.5443902007010203,0.3577942473892821,-0.8865703859926282,1.3179628441340125,-1.0057754797330345,-1.119335133086355,-0.42767384228460265,0.12197920499383982,-0.08374240356413543
