fid,X,Y,f,Intercept,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
1,8.481,45.309,0.4823529411764706,0.2919984543939014,-0.8476563813673716,1.7034693264796748,-1.288112487670556,-1.253927369760242,-0.20338742800126125,-0.3879420391190975,-0.00903400453882263
2,8.547,45.177,0.4705882352941176,0.3290095542549213,-0.8175614708199475,1.657534902831813,-1.3061527140366227,-1.2831395397252185,-0.2342133067409481,-0.40255811641957834,-0.1378743364444358
3,8.547,45.243,0.4823529411764706,0.3108139064507032,-0.8330890949319286,1.6769604726671128,-1.2949998779546579,-1.273466608511099,-0.22222869907337806,-0.38283939503855835,-0.129008541034071
4,8.547,45.309,0.5058823529411764,0.2929689147725348,-0.8437495716250538,1.6988422373436551,-1.3014174495059856,-1.2596745920070005,-0.2119086319387983,-0.4220550765884889,-0.06364718520850474
5,8.547,45.375,0.5058823529411764,0.2827246606097247,-0.8447634003434394,1.7082598191351792,-1.2865135858984909,-1.2516483150351658,-0.208085373272034,-0.39887253193886785,-0.013177405959334879
6,8.547,45.771,0.4,-2.177786972832082,-0.538845013251,1.512803156551135,-0.3629892273907134,-0.6802937972591878,-4.773436173306684,3.6655162656862705,0.29757081270967317
7,8.547,45.837,0.3176470588235294,-2.3049309318827476,-0.4297534271131822,1.6178182635741516,-0.6585887814318796,-1.2343912949576339,-4.792453003846669,3.7186391139386687,0.5001617730417587
8,8.547,45.903,0.2470588235294117,-2.4404330174103497,-0.31400269309916296,1.7598167662542106,-0.7110245613614985,-1.6183946401124634,-4.824384728807376,3.75416555626573,0.6747519656822006
9,8.613,45.045,0.4705882352941176,0.36953838144019974,-0.7643335628455918,1.6251399086739453,-1.2974823753338156,-1.2803485042870952,-0.22359027672605036,-0.32178026082689953,-0.09799281049720643
10,8.613,45.111,0.4705882352941176,0.35247891482759774,-0.7838199463012865,1.6384902273171789,-1.2949292582291654,-1.280274585749671,-0.2353957583665758,-0.36861206255326207,-0.09961852402564564
11,8.613,45.177,0.4823529411764706,0.3276930738450887,-0.8042789708318254,1.6549645837323532,-1.3051014766923288,-1.2797510808280448,-0.23602487920715337,-0.41648237187994913,-0.11635726076161433
12,8.613,45.243,0.4941176470588235,0.30484679136266424,-0.8219643144831639,1.6760105237839098,-1.2911142064478396,-1.2741258704429819,-0.23258156802237123,-0.39400126658309453,-0.1477293053755539
13,8.613,45.309,0.5058823529411764,0.2827414306448695,-0.8269524753387605,1.6913191232642069,-1.2938959302288278,-1.2658228234279427,-0.22953032826455416,-0.42948973665790174,-0.10386055975612196
14,8.613,45.375,0.5058823529411764,0.27147598554437974,-0.8351787974039704,1.7074755324198556,-1.279562121816554,-1.2520860355985528,-0.21969382807814306,-0.3966254305957861,0.010493701728224898
