fid,X,Y,Ex,Intercept,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
1,8.481,45.309,0.423444766012882,0.3688636414661337,0.6832937511779147,1.0056835098563632,0.7017432711343577,-0.2175057562310953,-0.01220781968515228,0.10631293395903635,-0.1794186747445179
2,8.547,45.177,0.4645425550890393,0.37811702385099544,0.7000744108645884,0.9616603174531779,0.6814903325563428,-0.25955944299947875,-0.04758793516303897,0.08449691196233321,-0.1935712318473604
3,8.547,45.243,0.4601935452037139,0.37632846968925726,0.6923824470070117,0.980607775734256,0.6904047167540415,-0.24125358885407772,-0.028430492963297176,0.09433797481233094,-0.24542711805529704
4,8.547,45.309,0.4613503414178692,0.3740715025492768,0.6867863674589914,0.9997903577496665,0.6963442733414231,-0.22372200443156498,-0.021298455389652735,0.09899236102730496,-0.24212891491109298
5,8.547,45.375,0.4804269758999115,0.37609590177057745,0.6880690908536965,1.0004314607390046,0.69392914394936,-0.22328738947269117,-0.02440980235135983,0.10012315555076101,-0.25672243023483826
6,8.547,45.771,0.1999338254855485,0.1152639371502488,0.6756927212888397,0.21344244726664918,0.1320799113236755,0.14583719521279065,-0.007692285764543359,0.37409665250281354,0.013535272208787728
7,8.547,45.837,0.1337809489770818,0.08250274547334957,0.7067127514581946,0.19286021171554768,-0.0017287488293423487,0.0731428061937692,0.02552831899871929,0.39694623706702115,-0.01946492815604848
8,8.547,45.903,0.0823003751845385,0.06748994606202363,0.7177369113739411,0.19587913677531124,-0.05031241135078028,0.036170089663150204,0.03618478321355573,0.4154588877807333,-0.0016575821916069919
9,8.613,45.045,0.4769822019796196,0.3455776102454394,0.7056377310130433,0.9497969278276963,0.6822212068772542,-0.2667732954346866,-0.03839778027659959,0.07259045267375377,-0.08199022212894941
10,8.613,45.111,0.4811768562623713,0.36174534119241303,0.7071671088624867,0.9487185159879208,0.6766059371637798,-0.268730894209264,-0.05946720307181435,0.06455962497260301,-0.09883602873840919
11,8.613,45.177,0.4956040356956087,0.37648153618536223,0.7063801233935796,0.9516898244153222,0.6739871600987799,-0.2672325472506032,-0.05728197010239239,0.07438864881178081,-0.17961421221419735
12,8.613,45.243,0.4873755714072416,0.3808635113924977,0.7015199372897137,0.9653963744617682,0.6778093495389144,-0.2546457479620052,-0.04407486867908376,0.08389734922528877,-0.29803120692175633
13,8.613,45.309,0.4898677801472778,0.3834807316049314,0.697464906921838,0.9799068861567621,0.6809608707039831,-0.24197431665897706,-0.04059158993427683,0.08812878046602009,-0.3235177307969809
14,8.613,45.375,0.5165182960994875,0.3870310373908296,0.6967394614470499,0.9820327817732041,0.681008096837884,-0.24061162033129058,-0.04181904333089166,0.08556087739250035,-0.3135573547800433
15,8.613,45.705,0.3268360633901544,0.15903454761487726,0.6353905779273685,0.2108902048212778,0.3083555969595283,0.16635537604008496,-0.050026291108622056,0.3424592760657892,0.016652379399753774
16,8.613,45.771,0.2684009427088362,0.13726189283299153,0.6511706326284578,0.2194264567181779,0.2198627002740173,0.15055609851002424,-0.0355410457289346,0.3509247590564411,0.01510186813795756
17,8.613,45.837,0.1925517574128747,0.1029975620690651,0.6855404794242622,0.21878912824812002,0.025929495728912722,0.08937315444862562,-0.0030776368273497407,0.3774557275353767,-0.0019218291256523704
18,8.613,45.903,0.1157715752480277,0.06802640046906358,0.7153783681142752,0.208982960660566,-0.0815907395227169,0.010329507994268163,0.030727112493584,0.41128257190469497,0.00542648254023427
19,8.613,45.969,0.0343393330648584,0.03587101645151769,0.7374212458633933,0.18127157488363665,-0.14940360272020425,-0.023953732160420436,0.06134260048458779,0.4359517275711207,-0.01690081281589315
20,8.679,44.979,0.4628157676070277,0.32804769959804325,0.7087772979528146,0.94355413608951,0.6824396604284919,-0.27073858086320834,-0.04733307959371974,0.08417882374603329,-0.08684958351570428
21,8.679,45.045,0.4862748916196527,0.335968353228218,0.7093717307374463,0.9433940917749168,0.6799390531001266,-0.2703778481862349,-0.046448897916429276,0.08449747119100218,-0.08589108128655107
22,8.679,45.111,0.4951760053249179,0.35195111365015486,0.7127401253663292,0.939968356726347,0.6721015988344308,-0.27200525670469466,-0.06521832004290402,0.06477705752543833,-0.09318353374302552
