fid,X,Y,Ex,Intercept,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
1,8.481,45.309,0.6948956178444138,0.3036706249436735,-2.2097371426841987,2.738737939929158,-2.4097295717075773,-2.69105523339155,-0.6879581302361943,0.31694497449710485,0.08210197417074691
2,8.547,45.177,0.66886898933314,0.3366360451747416,-2.1174882857276502,2.650842223261705,-2.427690595955844,-2.7351171095504485,-0.7747610949657964,0.26735319951310843,-0.34926679608390465
3,8.547,45.243,0.6666933132905543,0.32252398353424083,-2.160596954922433,2.6866073564038344,-2.4315762403524563,-2.7202503277931327,-0.75340052155526,0.2830468674951516,-0.3287454915475509
4,8.547,45.309,0.7383122551605188,0.3088242791159458,-2.181641673574698,2.725140769465023,-2.43860187289596,-2.6989425324735286,-0.7451111849462962,0.24793427324485895,-0.31813895304332845
5,8.547,45.375,0.7619851251906851,0.304922171768496,-2.190627215147553,2.7361922425879475,-2.4174118967461338,-2.6905293098793477,-0.7207722385110706,0.28192713591524377,-0.1502845159994316
6,8.547,45.771,0.4263665109310924,-0.2161683907436226,0.6469200330451848,0.4424856173322806,-0.03286473870266332,-0.14281485287445306,0.30182038100257536,-0.2503623399309945,-0.02007069004365773
7,8.547,45.837,0.3081129119395572,-0.24030209295177585,0.6931116689224414,0.4446073616445642,-0.05240029986293238,-0.19419143280079965,0.3286939864890166,-0.2053140186593656,-0.02288551699866255
8,8.547,45.903,0.1842209177501922,-0.26649483359301473,0.7300070181977001,0.4363944126474611,-0.05148150771207151,-0.21131159389812165,0.3554192269429747,-0.16430119951850233,-0.019228354564331262
9,8.613,45.045,0.6644050134488654,0.3364431817738961,-2.0109191825987356,2.6147655149910225,-2.358698596352083,-2.6938379859607524,-0.6875222396858598,0.3107264261817349,-0.24306369528578148
10,8.613,45.111,0.6598618977041986,0.33712256897715603,-2.045529571051776,2.6256726752866113,-2.3830876322675603,-2.710954575297328,-0.7477722084180083,0.27004812154956226,-0.23112730111479432
11,8.613,45.177,0.6578802593287569,0.33534072551112415,-2.0847422955333395,2.6444794796978597,-2.408591362564122,-2.7269854254152692,-0.77306686644107,0.25797213359150695,-0.35289105847380403
12,8.613,45.243,0.6853857574055549,0.3294651670948774,-2.125024120520793,2.683392390611968,-2.4042206213459467,-2.7280450205200975,-0.7505211083640384,0.2846594309083214,-0.33349974591035636
13,8.613,45.309,0.7642547122563896,0.32148439877984825,-2.137186009769952,2.6986860576326985,-2.4210054330978616,-2.7175644311720615,-0.7726374730614579,0.23540682429660517,-0.3739921560854404
14,8.613,45.375,0.7992636268620402,0.31117575170324574,-2.1669564807669253,2.7211272646060665,-2.4092013601837436,-2.6978324055695646,-0.7363766632676079,0.27250922754625234,-0.19605167096209045
15,8.613,45.705,0.5868748778548101,-0.17426925543819774,0.5662591141051336,0.4327289122372047,0.19671926363723624,-0.12373193081709383,0.23695413142618085,-0.3307162545706762,0.015379010885979674
16,8.613,45.771,0.5089372534485315,-0.20406896347736417,0.6240686578949923,0.4457834949158026,0.12157863355790738,-0.1227739935075541,0.2788791701754614,-0.2740108013700663,-0.020771747238595067
17,8.613,45.837,0.3707727052925628,-0.23985426812303215,0.6824000920318245,0.45004632203432615,0.1832487857764605,-0.18486626099008566,0.30584164060423497,-0.22221767671814394,-0.032431612302830044
18,8.613,45.903,0.2172830097186061,-0.2788212688578158,0.747144810957934,0.4438947788629791,0.02522073415613444,-0.22170443769074344,0.3566300500378743,-0.151755187611902,-0.031482057695082055
19,8.613,45.969,0.1082520548599277,-0.31424703726983066,0.7721755777197286,0.4276265306889383,0.10368808441387856,-0.23969059965108408,0.35502192659971854,-0.13302841353596884,-0.03823129044358919
20,8.679,44.979,0.6277590396383689,0.33672642725420077,-1.9469587276818219,2.596362935639121,-2.3287306238239363,-2.6803646900124667,-0.4168867758978142,0.33825288275609294,-0.27619385441537114
21,8.679,45.045,0.6365923399581207,0.3334867088975104,-1.9710253818651102,2.608732742671485,-2.33569316212346,-2.6814027721214155,-0.55276275825126,0.3644374268122189,-0.2654315274968576
22,8.679,45.111,0.63863766153327,0.3302602028956212,-1.9987677006176021,2.6212097500879015,-2.3350885308353004,-2.690057356509099,-0.6723562403404806,0.3465708980963865,-0.18318714147650966
23,8.679,45.177,0.6604360681571763,0.3272443498943788,-2.024443891762769,2.6329741401447926,-2.3378531107596077,-2.7049235809395356,-0.7040281109085706,0.29077336844248497,-0.24019286490450215
24,8.679,45.243,0.7158226675809649,0.3254963194831147,-2.047521453556639,2.657131140321057,-2.3382882918062617,-2.717728064578983,-0.7248878818976251,0.2850539786836955,-0.28984454437011853
25,8.679,45.309,0.8094925384064047,0.32460525176926563,-2.046200683137589,2.65090083352876,-2.350160370101825,-2.7015100831336842,-0.77192258413111,0.22334399058794335,-0.22971088625731725
26,8.679,45.573,0.8596392879372879,-0.05926552614793034,0.45645300038910863,0.41646607995202056,-0.525789533688546,-0.12336857743596753,0.1034138081711437,-0.4247798231780404,0.021126256005747475
27,8.679,45.639,0.8136653589200656,-0.10872119833544593,0.48169752127806253,0.4207953493423149,0.08995699751172588,-0.1240858126118875,0.16150061737464366,-0.4057998528107558,0.02717513602879941
