fid,X,Y,I,Intercept,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
1,8.481,45.309,0.8934372229428177,0.2805660240131692,-1.4781208386339166,2.785642031602082,-1.7770078997268417,-2.5132836436293364,-0.3808269296399214,0.09219098134199086,0.2443224834579826
2,8.547,45.177,0.902973135599739,0.3290805810856658,-1.4254364870196017,2.708680949498866,-1.800470235977174,-2.5595368597676966,-0.4503773414096808,0.020471164756464634,-0.33284154918928743
3,8.547,45.243,0.9000359729422482,0.30812580127369177,-1.4520831967568557,2.7390671353228497,-1.8005456255091892,-2.5469894607415675,-0.418879919600659,0.052811950644098236,-0.07803673352788361
4,8.547,45.309,0.9061104949697276,0.28574939208646966,-1.471182433951835,2.7766320181665547,-1.7992134715829393,-2.5239189560767015,-0.3952120430474291,0.035461564551213395,0.14489486139929725
5,8.547,45.375,0.9351635627340228,0.2768528297807564,-1.4713708152738214,2.7884383903266285,-1.7792075648703345,-2.5139340028466544,-0.3904024372437518,0.06512451750726538,0.203151243130883
6,8.547,45.771,0.605889252375763,-1.6271876719705594,-1.3206895263721627,1.3463974304141932,-0.015251275724997904,-0.8683724291464077,-3.3269799026551077,4.471091306108958,0.45256631123213503
7,8.547,45.837,0.554603241491203,-1.72737966020496,-1.2247834787133787,1.4329980285765425,-0.31766896112366083,-1.5749671577977804,-3.3519074241288953,4.500492195291873,0.49841715948023313
8,8.547,45.903,0.4144970649379325,-1.8327820189904576,-1.1277416805726261,1.5664394334837355,-0.32757106787323237,-1.9735932880013847,-3.4031577192095117,4.513884412010744,0.5609751924000056
9,8.613,45.045,0.8969467681559683,0.34047834481007944,-1.3532374403510616,2.7014593549020067,-1.7199909784320013,-2.5031035083584463,-0.4434109281370534,0.08561983055616675,-0.3676400912208089
10,8.613,45.111,0.8908135619006682,0.3374735496404588,-1.3773856433065745,2.701566550046203,-1.7455444116551677,-2.525619382428367,-0.4577657763374563,0.041086279148436974,-0.34211406736377525
11,8.613,45.177,0.8881383500938219,0.3255481741185009,-1.404842355495879,2.7100843142121533,-1.7797933865899855,-2.545741467850959,-0.4453286233572742,0.015096454108696117,-0.30860906662722737
12,8.613,45.243,0.8812102595214276,0.30150860210550334,-1.4366036608387376,2.7455796306088285,-1.7730650833467227,-2.537672857404692,-0.42332299778486826,0.05714269762944538,-0.11819750996061314
13,8.613,45.309,0.9379489650419328,0.28903527726469735,-1.4399878027049158,2.7555752772036155,-1.7924472315098976,-2.5390713226644506,-0.4245792741472517,-0.002195053392568376,0.03859790265242306
14,8.613,45.375,0.9809144511488675,0.2764653899102274,-1.452660059013653,2.7758843363108934,-1.7751017578294606,-2.522768660840582,-0.41037302582306034,0.04582768297191798,0.1778505135411821
15,8.613,45.705,0.8339800895831511,-1.4888922717084863,-1.376151598838174,1.231418564763253,1.3579742288874608,-0.22026513732894157,-3.297079975623551,4.375831406158307,0.49222689664297614
16,8.613,45.771,0.7232266233215974,-1.6082334723836902,-1.317379549509387,1.3029018057950421,1.000463381102708,-0.31058937650438123,-3.3455906635896238,4.4712682534959445,0.45695578407076365
