fid,X,Y,f,Intercept,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
1,8.481,45.309,0.7777777777777778,0.654106413466575,-0.43542851701836716,1.1895713696746406,-0.3696389242597166,-0.44177517340931055,-0.4512675173442212,-0.7050982729942967,-0.06003163089375562
2,8.547,45.177,0.7407407407407407,0.6746134793863975,-0.38929478187058897,1.1637145399567157,-0.38420994756168564,-0.4690513955026136,-0.4482606669331653,-0.6743608326802886,-0.11908383429857945
3,8.547,45.243,0.7407407407407407,0.6489518310739215,-0.4243959962239363,1.178896408750595,-0.3751560537913443,-0.453286107000583,-0.43096582083046375,-0.6657604928044052,-0.11244827705348437
4,8.547,45.309,0.8148148148148148,0.6524639796600777,-0.42786817350299433,1.1928191949945155,-0.36910015556259446,-0.44094058076951426,-0.46235404732461705,-0.7204654979131868,-0.05796042796576354
5,8.547,45.375,0.8148148148148148,0.639607522752278,-0.4265177052456349,1.1963955707530025,-0.3669566781880883,-0.4391507112139825,-0.4616956880132039,-0.7185814269288369,-0.015753154567005538
6,8.547,45.771,0.7037037037037037,-3.6613840116721232,-4.05337917402082,2.4146686311084204,-0.08809176901354254,-1.547820305878819,-6.324212556947556,7.73552175551637,0.676724126837458
7,8.547,45.837,0.5555555555555556,-3.898750431224872,-3.8635959700455436,2.5651131583549622,-0.3188968633944762,-2.593360649757205,-6.3477609034484,7.80856704867513,0.9884884056103783
8,8.547,45.903,0.4444444444444444,-4.163609386661914,-3.6635789543715047,2.6496995969538326,-0.31343375734140677,-3.3319175799840828,-6.404185771319802,7.861259454832967,1.2339134839708892
9,8.613,45.045,0.7407407407407407,0.737489322735565,-0.2912767625283559,1.1330701103458227,-0.4123964549232063,-0.5042117200276603,-0.36699572118051654,-0.5692116014570934,-0.06891489368300188
10,8.613,45.111,0.7407407407407407,0.7097339890822028,-0.32878963910294023,1.1470401589500319,-0.39711582765993425,-0.48708731750238277,-0.412576252973126,-0.624169931590936,-0.07589409754022469
11,8.613,45.177,0.7407407407407407,0.6646614792883306,-0.36907003049626663,1.1654078844745395,-0.37854398423001556,-0.466842706151418,-0.44481991495963163,-0.6556292126275005,-0.09014661892759705
12,8.613,45.243,0.7777777777777778,0.6244699994624308,-0.39255468366958285,1.1814029989479393,-0.3697219655660289,-0.45124633153523286,-0.46300412695139753,-0.6833800376554156,-0.10716069111321386
13,8.613,45.309,0.8148148148148148,0.6118798710611197,-0.3955930614031187,1.189507653541249,-0.3670095206279475,-0.4470728315602249,-0.4919936163704246,-0.7359434737535092,-0.03659846488427371
