fid,X,Y,Ex,Intercept,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
1,8.481,45.309,0.5221829020500537,0.3673588608141659,-0.666127038406597,0.46397620113477556,-0.8767726477536428,0.023586752123451453,0.09588819149865425,-0.37545834036639936
2,8.547,45.177,0.5098270920199636,0.36510367951534706,-0.6556442216591902,0.4545152590724266,-0.8834449059396434,-0.003893665961215419,0.09817733354617444,-0.36368333205959763
3,8.547,45.243,0.5109609053103807,0.36746219950445974,-0.6627650972722744,0.4592969642268805,-0.8804622538570961,0.014339537946090128,0.09706753799391558,-0.317290790806513
4,8.547,45.309,0.5500211309491269,0.36879800064235185,-0.6636800761903084,0.4614147449369552,-0.8790330470209579,0.020213198112990823,0.08977458264996362,-0.399135491384523
5,8.547,45.375,0.5717391313766512,0.3687944900840088,-0.6623702474237406,0.4603513998327713,-0.8801437778065363,0.018766758305833763,0.08730999723631233,-0.4096888933402002
6,8.547,45.771,0.263227721679156,0.10244951744022379,0.2219689071912344,0.22111025908363716,-0.015190847748609137,-0.07612091730558249,0.8587488859112886,0.0601324571755313
7,8.547,45.837,0.1909234813353673,0.07582944835966754,0.2660227576343532,0.20693309958180817,-0.03311750755247456,-0.031587921730288786,0.8740064302240682,0.12785391116827632
8,8.547,45.903,0.1310351071565594,0.056615644372302695,0.3018335768140835,0.19937562534292153,-0.06738497397708076,-0.027778966956103195,0.8845445924920325,0.18119108850307047
9,8.613,45.045,0.5203622495831419,0.35570153450692715,-0.6279681016501917,0.4268677777651938,-0.9026412882570932,-0.0641790906215279,0.05974473120449316,-0.28405891422092905
10,8.613,45.111,0.5241038308146038,0.36070697020575676,-0.6373266658837291,0.4356514463054756,-0.8983269748862561,-0.0421186913251406,0.07043645494427399,-0.33617274223648486
11,8.613,45.177,0.5422920698660192,0.36330490810771887,-0.6485856075199412,0.4475096082547153,-0.8913912237506105,-0.01535882992243126,0.08295224832859496,-0.4117779240927311
12,8.613,45.243,0.5443902007010203,0.3662151355348348,-0.6572777856137619,0.4519995576098586,-0.8892534622891445,0.009067168076893934,0.08534326928913107,-0.3722270113150499
13,8.613,45.309,0.5764695353476526,0.3710964569314855,-0.6553327551994226,0.4487145650064621,-0.8900509522810128,0.007693213526864744,0.07397455143339372,-0.4533320583820084
14,8.613,45.375,0.6053561858816104,0.37243218439292214,-0.6558311009860438,0.44831254166598944,-0.8882383158522851,0.007249534450165103,0.07446451358383732,-0.4283285747721577
15,8.613,45.705,0.4118925346103341,0.15738876483851189,0.1103975901176863,0.23251946314332173,-0.041918781642430784,-0.1414390728305084,0.7628326847514044,-0.11921267341904673
16,8.613,45.771,0.3556847150770134,0.12259068298342424,0.17655752791696294,0.23028517843829624,-0.01354660234217464,-0.11817893061964378,0.8002739003076427,-0.009455992865985193
17,8.613,45.837,0.2321467078565156,0.08942722315349197,0.2433197677183916,0.22172359868291575,-0.050129268917218806,-0.06589515365650558,0.8405333293888533,0.0918263956243281
18,8.613,45.903,0.160855083821246,0.05333516118488529,0.29969302787237617,0.2027083644452345,-0.10226690988745094,-0.07571492905257228,0.852145416311991,0.18084132239706108
19,8.613,45.969,0.0609220167785959,0.019514515173576268,0.3406441362560017,0.1803870140719138,-0.14382570631908898,-0.11164325137700609,0.8624391210242319,0.2291730464141778
