fid,X,Y,f,Intercept,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
1,8.481,45.309,0.4823529411764706,-0.04170855829575762,0.006234805213698346,0.872064426187075,-0.27554447653074243,-0.7770683606407331,-0.5298775381893013,0.3086755457075331
2,8.547,45.177,0.4705882352941176,0.013040290550619019,0.02954894554650423,0.8536167835742834,-0.2827780255895066,-0.7913215200957274,-0.5708539995229219,0.35482388309234814
3,8.547,45.243,0.4823529411764706,-0.015890590280895758,0.020700842195536816,0.8551819907382866,-0.2868683336916096,-0.7948061669313478,-0.5620388828637999,0.34060948021796966
4,8.547,45.309,0.5058823529411764,-0.007520175673361653,0.01273945059522684,0.867139767996643,-0.2836856260868912,-0.7897561927079446,-0.5992861078375256,0.24070781259795135
5,8.547,45.375,0.5058823529411764,-0.036984718256423244,0.01261011851539109,0.874693381243911,-0.2732263112013076,-0.7835342525971625,-0.5722335181481284,0.2966424852313345
6,8.547,45.771,0.4,-4.24145010943489,1.1262729791662482,4.661645274645806,1.8704344204671304,-1.2508131176366761,-14.863639078952279,11.596645365820471
7,8.547,45.837,0.3176470588235294,-4.528529019600246,1.321323219253839,4.881186173558723,0.2655310557115249,-5.296603806673874,-14.961118451834317,11.677692135316633
8,8.547,45.903,0.2470588235294117,-4.8467128734292215,1.661786895571037,5.083854212159451,0.02452862967365732,-7.191693319793584,-15.105898402408405,11.690412647379677
9,8.613,45.045,0.4705882352941176,0.07556990224929128,0.06171749483830127,0.8551926055612089,-0.23954674913458754,-0.744180298389692,-0.4176620499058262,0.3344894619421734
10,8.613,45.111,0.4705882352941176,0.05220649869353587,0.053930282332577906,0.856002610273747,-0.2531836386733634,-0.762575127045118,-0.5113744829871817,0.3557857504946179
11,8.613,45.177,0.4823529411764706,0.028504852927934733,0.046758407933763964,0.8533326341343548,-0.26526537045870846,-0.7862137936478573,-0.6135169329022148,0.33048023163081264
12,8.613,45.243,0.4941176470588235,-0.01934661860416592,0.04378851633340443,0.8518236040350318,-0.27282997235709794,-0.8023403335698771,-0.6202707592475967,0.3671587382433577
13,8.613,45.309,0.5058823529411764,-0.03267588802166448,0.03691239495348932,0.8593932265802648,-0.2694816314204185,-0.8075881333443851,-0.6505891669177527,0.2903443322347239
14,8.613,45.375,0.5058823529411764,-0.052395369113962184,0.02712525480760339,0.8704967391695522,-0.2668371931082014,-0.7967515711116699,-0.5989326580142653,0.32630095369225426
15,8.613,45.705,0.4117647058823529,-4.07607153927442,0.9576750451574747,4.293483301087026,5.936547555532762,0.06202627288232547,-14.385163032082735,11.555787797539487
16,8.613,45.771,0.4117647058823529,-4.327494669471324,1.131867377655096,4.508423323040185,5.168001830898477,-0.2384513691109713,-14.609456079938159,11.714034867600398
17,8.613,45.837,0.3764705882352941,-4.56321695765147,1.4242518627341612,4.787744736987075,5.312494630336025,-4.482113828166488,-15.102393938125447,11.54086937925992
18,8.613,45.903,0.2705882352941176,-5.014208220541109,1.85722706298031,5.1836364380038615,2.4506650843933153,-7.87294168148844,-15.359656176654063,11.537425278992721
19,8.613,45.969,0.1529411764705882,-5.75810662877328,2.2858646837503924,5.287721447452503,3.221772454693107,-8.428221929078894,-15.325330506181292,11.758986788243647
20,8.679,44.979,0.4705882352941176,0.11823331852565443,0.09663364913964509,0.8497877565718139,-0.22336057691734298,-0.7435818075004197,-0.18894206045399692,-0.0990764363489349
21,8.679,45.045,0.4705882352941176,0.09462781290280682,0.08515768338307486,0.8567423627526269,-0.22108534025821497,-0.7407920449543189,-0.41913852599566964,0.21270681414317358
22,8.679,45.111,0.4705882352941176,0.061154111467456286,0.07855285953566704,0.8646209886021857,-0.23182709272168983,-0.7472405404989921,-0.5753804888432034,0.33550565936326027
23,8.679,45.177,0.4823529411764706,-0.0037298332899784754,0.08072327187591093,0.866050185763638,-0.21758675271815173,-0.7670520186538711,-0.6337588493779078,0.3850993916351907
24,8.679,45.243,0.4941176470588235,-0.06560498342847604,0.08933852886325468,0.876162984792259,-0.2185093174031968,-0.7891207328072061,-0.7022973184359993,0.43589294958729113
25,8.679,45.309,0.5058823529411764,-0.12382903585438174,0.1095228820525258,0.8850713823278022,-0.21914766944802722,-0.8152256737839108,-0.74515645291368,0.4335712981021659
26,8.679,45.573,0.5058823529411764,-2.5107515480486664,0.3917552276278355,4.200923304287906,2.516227123225688,0.2470035122525143,-7.249378698390479,10.140393192541048
27,8.679,45.639,0.5058823529411764,-3.367930868040326,0.8771566792107311,4.190471771882095,4.773537568749336,0.17937272434412443,-12.287874141414871,11.064079433410365
28,8.679,45.705,0.4588235294117647,-4.274512096472918,1.2931491232339543,4.121274462858101,6.2681191768135465,0.03517223908039193,-13.529845504960269,11.779856759842556
29,8.679,45.771,0.4352941176470588,-4.665612822951688,1.5394994728221558,4.158014098663385,7.493084252359914,-0.07681623503986594,-14.42309197758125,11.712701659339691
30,8.679,45.837,0.4,-4.887077907752566,1.8581859702327068,4.402894066110067,6.61712317433261,-2.448381867063027,-15.387437290071052,11.25250750087776
31,8.679,45.903,0.3176470588235294,-5.645793370021639,2.339768065549556,4.773175623281232,4.831454680216915,-8.272960416625573,-15.471934435376102,11.514019790002395
32,8.679,45.969,0.2,-6.462726598991804,2.750588782374807,4.8025780215604605,4.282247038886702,-8.392318819809175,-15.406150273611527,11.827807090906962
33,8.679,46.035,0.0705882352941176,-6.719271287905283,3.0597063091052674,3.955004414855343,4.162200087284362,-8.36472215080979,-16.154994693405087,11.353871045656977
34,8.679,46.101,0.0235294117647058,-7.10006138713667,3.2651277320157983,3.763250312051201,3.9323675662174504,-8.240236862930875,-16.18460830499054,11.409199614378082
35,8.745,44.979,0.4823529411764706,0.1408350441197745,0.12696037582612565,0.8429333787741241,-0.19344240195264775,-0.7411725459110821,0.2430159628292012,-0.19916175910571882
36,8.745,45.045,0.4705882352941176,0.11967327553439557,0.13217489038065172,0.8562322624388975,-0.18030712171200922,-0.7297642955127015,-0.28873363636428195,0.19881855930719403
37,8.745,45.111,0.4705882352941176,0.06881144193748412,0.13558432245375357,0.8743358597748438,-0.1663116490031806,-0.7288073659547154,-0.5896826718882696,0.23004853237152922
38,8.745,45.177,0.4941176470588235,-0.03445835498519812,0.1413172442274529,0.886548122978239,-0.13112713316448088,-0.7407075336198148,-0.6701810357389956,0.24878250541990324
39,8.745,45.243,0.4941176470588235,-0.12601495464604448,0.15888581753929107,0.9153772032055921,-0.12789404017714207,-0.7663268423401196,-0.8325512934918979,0.39787938327373906
40,8.745,45.309,0.5176470588235295,-0.24335688391092916,0.21912999088643353,1.2635751948191531,-0.09607792235323406,-0.8865523162819211,-1.0590114786698173,0.3092444756037446
41,8.745,45.375,0.5411764705882353,-0.5496068082821082,0.3104981785005386,3.0735753336701315,-0.010129583102763115,-0.460696906474499,-1.313900565611238,0.23280819429320043
42,8.745,45.507,0.5411764705882353,-1.9392639852667188,0.4818743620250666,4.144192177277013,1.6122184432446538,0.09073500608619,-2.096313698080781,8.874394052622621
43,8.745,45.573,0.5176470588235295,-2.591884819588145,0.6702680629047131,4.13890982308133,2.4993236010905657,0.07931344094849979,-4.922830138444068,9.962318238070978
44,8.745,45.639,0.5058823529411764,-3.1589584496237064,1.2396037164617029,4.105501230929469,1.7762764986822923,0.04559005393093476,-12.289948216899035,10.181308654027486
45,8.745,45.705,0.5058823529411764,-4.700484194298509,1.884516059411153,4.039131679069685,5.29002159683612,-0.04748017759809723,-12.665848551513587,11.73824752556962
46,8.745,45.771,0.4588235294117647,-5.389430161787676,2.2801736419019445,4.00286816846497,5.318310366862692,-0.20099335257659384,-14.143349282569108,11.750921941035816
47,8.745,45.837,0.4117647058823529,-5.814311324342491,2.6310814861583385,4.140466203264458,4.9996103582992495,-1.1935896285541423,-15.409333955423222,11.2367659740957
48,8.745,45.903,0.3411764705882353,-6.585370776968599,3.0758797509618545,4.308608568178637,4.228769316925315,-7.7505213004129505,-15.759432227807958,11.313794613044148
49,8.745,45.969,0.2117647058823529,-7.115918085934867,3.3459181484858687,4.2892906058663804,4.112156509176505,-8.013814674717942,-15.987831507422719,11.364013753274214
50,8.745,46.035,0.1176470588235294,-7.35439804771933,3.4764593090971196,3.8252051813262202,3.9892438085377027,-8.052349960177835,-16.1496128430677,11.412287317087252
51,8.745,46.101,0.0470588235294117,-7.441098217132055,3.5282837396361213,3.7705836535849153,3.8810451071435135,-8.06492174225066,-16.270803586374054,11.352713276656504
52,8.811,45.045,0.4941176470588235,0.2212016373124274,0.24779414172297384,0.831611915600485,-0.09970847823430928,-0.7155746103106966,-0.03329300554522324,-0.2659495290069572
53,8.811,45.111,0.4941176470588235,0.1292408223211895,0.2468171826736497,0.8549938128704135,-0.10017967118211625,-0.7212437399135574,-0.48982029623519147,0.029429517471521283
54,8.811,45.177,0.4941176470588235,-0.03825384740804447,0.24280683447187631,0.8936869335840805,-0.03878835661833663,-0.7260850670154761,-0.6458754369688569,-0.5541075504085113
55,8.811,45.243,0.5294117647058824,-0.2196821954495744,0.2723214707935183,0.9974825066988768,0.016483719916578172,-0.8092334110492059,-0.8024573345825541,0.820655853211669
56,8.811,45.309,0.5411764705882353,-0.4828755795881593,0.3495988969761029,2.296689523659369,0.12990338598161422,-1.0851984680281344,-0.9888212168726327,2.3094614936921314
57,8.811,45.375,0.5647058823529412,-0.9721505246020481,0.4539937483599725,3.6254230208516827,0.40161209172689366,-0.4901767183615642,-1.242019836747454,1.3271922957141058
58,8.811,45.441,0.5882352941176471,-1.5505356004739697,0.6053719362775289,4.032559566382467,1.0139562024281084,-0.14123687260217196,-2.3016908051007228,3.551727126952146
59,8.811,45.507,0.5882352941176471,-1.970055639116114,1.0300958791910535,3.992686722384417,1.8588542928319465,-0.19422476471319372,-2.661697064569933,6.464446319827648
60,8.811,45.573,0.5647058823529412,-3.0338595504164605,1.3430841930489128,4.031562387753099,2.969783851945941,-0.1570490508085197,-4.363203860747116,9.63559757484045
