fid,X,Y,I,Intercept,AGRI_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR,FARMS_BLOCK
1,8.481,45.309,1.227989821437358,1.0930133444335315,-0.857261861870045,-0.6480402796806115,-1.082505682471936,0.09314250162010017,0.7081152331480534,0.32653376362465547
2,8.547,45.177,1.347173409758214,1.0998524873089366,-0.8626848476625061,-0.6510789179246183,-1.082375223584723,0.054048700616998104,0.7016771113562312,0.3071442661099303
3,8.547,45.243,1.271010743895972,1.1010715484813045,-0.8568400273232673,-0.6525104483111256,-1.082426978494389,0.04267771183459333,0.7009546168343237,0.31610161945994397
4,8.547,45.309,1.2742057048684006,1.1120313074548778,-0.8478159691135368,-0.6619266832004753,-1.0824775911224545,-0.008794385531054341,0.6844092874839933,0.31572591958426693
5,8.547,45.375,1.32689355248547,1.13041160316999,-0.8408200872633572,-0.6725923449389108,-1.0825270791658193,-0.006830199211278122,0.6708016710222642,0.3083448026499707
6,8.547,45.771,0.7730774585441209,3.8598881112081753,-1.8481164389628648,-0.38107242794090507,-1.0828015002509022,10.228816599645128,-1.133162581616574,0.8713681578199816
7,8.547,45.837,0.6466079200558954,3.8847913989104574,-1.760487112339892,-0.5022604726990927,-1.0828436831880457,10.450540622665368,-1.0489054721751327,0.8864387495272464
8,8.547,45.903,0.5303801956336928,3.8744219910034996,-1.70112711119208,-0.5483831384777196,-1.0828849089878505,10.653762250138122,-0.9501270047912255,0.8794869138816219
9,8.613,45.045,1.3832483857408968,1.0585569895782658,-0.9239965803334371,-0.5922821843047661,-1.082228172920792,0.0574268054588144,0.7724256358518098,0.32252034524002887
10,8.613,45.111,1.3954128831608767,1.0982128949139152,-0.8897290558062076,-0.6330494714042808,-1.0822847643146545,0.0698752103264256,0.6676950490967315,0.2977614308127896
11,8.613,45.177,1.3688111462069192,1.126639256295853,-0.864794983480929,-0.658360815506088,-1.082340090951031,0.013688306730828631,0.6788734170539737,0.2930001452320005
12,8.613,45.243,1.346084911505715,1.1498840796929206,-0.8512060583473915,-0.6705722716677169,-1.0823941684799816,0.03556682599553361,0.6817952442177997,0.2948995447823687
13,8.613,45.309,1.3529681546924814,1.1720630030038741,-0.8351011878755252,-0.6874828963560353,-1.0824470145327016,-0.013643599905728917,0.6561706291566539,0.28989562456040957
14,8.613,45.375,1.4265743416081085,1.1807929181162007,-0.8249182548471781,-0.6976036436862907,-1.0824986483974177,-0.04734795312365406,0.6348666719213298,0.28588702231705004
15,8.613,45.705,1.1847807297893098,3.7455226353143773,-2.0229894542623987,0.3699968340821984,-1.0827393922683717,9.650608214235614,-1.2538488866332786,0.8961609101793322
16,8.613,45.771,0.9729534173195312,3.842399326110936,-1.9068380905571642,-0.17931744410128686,-1.0827842183615657,10.112533562319433,-1.1726151597420333,0.8702871380907444
17,8.613,45.837,0.744533461996449,3.8747211516453888,-1.7828754698175238,-0.5540951181641419,-1.0828279931837603,10.415710726095256,-1.0459896333011172,0.8740190137299959
