fid,X,Y,Ex,Intercept,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
1,8.481,45.309,0.6948956178444138,0.17994179550825817,-0.5779438240387269,0.9438492720042759,-0.7266428004739932,-0.43028114558882347,-0.08960218100303814,-0.4244817265061416
2,8.547,45.177,0.66886898933314,0.1890035951463036,-0.5629709485376001,0.9204008361355074,-0.7442909167601708,-0.45940627805569245,-0.08089113447948204,-0.36788281892489727
3,8.547,45.243,0.6666933132905543,0.18501328646352405,-0.5708732529458356,0.9322579663254238,-0.7353019109088214,-0.44423373044889297,-0.050355266231033535,-0.3544835016549829
4,8.547,45.309,0.7383122551605188,0.18074001505101772,-0.5766306649418657,0.9419283312468643,-0.7287574197443212,-0.4307554724750137,-0.11994950284083535,-0.45964311591283025
5,8.547,45.375,0.7619851251906851,0.17747732172774106,-0.5777080465972761,0.9451797736364271,-0.7272910633686734,-0.4261271945157618,-0.11483450865032926,-0.4484855264356512
6,8.547,45.771,0.4263665109310924,-0.40114012504598273,0.5337096059690608,0.7665270886081181,0.18716592221286768,-0.37920607740637174,-0.5094981664532876,0.7781304963625562
7,8.547,45.837,0.3081129119395572,-0.45141677268998176,0.5917080550457827,0.7803917932612345,0.05074081771296432,-0.8843072282154227,-0.48300466265790387,0.8589045461570111
8,8.547,45.903,0.1842209177501922,-0.5007693048297206,0.6542200885570643,0.7869653013560449,0.04311404303015662,-1.1158673719598606,-0.45824498089594423,0.9271013267644689
9,8.613,45.045,0.6644050134488654,0.18877024627328245,-0.5369092726793592,0.8911331359760035,-0.7740914453697276,-0.4893310966656281,-0.14803089250941273,-0.306399048332106
10,8.613,45.111,0.6598618977041986,0.18655445766152437,-0.5467283332669677,0.9043656934204666,-0.7622381157866978,-0.4757967987259128,-0.10216540636760163,-0.3066436261087958
11,8.613,45.177,0.6578802593287569,0.17973327424270025,-0.5598510497931819,0.9225182752064213,-0.7461260356748125,-0.4559131213827477,-0.10286140315809021,-0.36079965896931643
12,8.613,45.243,0.6853857574055549,0.17659310074531576,-0.5665006915880422,0.9321078740467524,-0.7394379852297197,-0.44206455799014854,-0.09204257617596354,-0.3334163257467762
13,8.613,45.309,0.7642547122563896,0.18039003765297876,-0.5677520667253647,0.9294854140213772,-0.7398708158599245,-0.44065316997747705,-0.17448140911628046,-0.4867438461650789
14,8.613,45.375,0.7992636268620402,0.17838592525457758,-0.5722008317818594,0.9351267765126392,-0.7346147053162064,-0.43290011769399017,-0.135091017470315,-0.45419022825626915
15,8.613,45.705,0.5868748778548101,-0.32571777762343124,0.44778559074575475,0.7276724518282788,0.43613298615997365,-0.22401300765505167,-0.6002220295195153,0.597707030840293
16,8.613,45.771,0.5089372534485315,-0.37659951540405256,0.5046037363894563,0.7556161926713971,0.3746430867683766,-0.24243925259374347,-0.5268272062708321,0.743572695680457
17,8.613,45.837,0.3707727052925628,-0.43954834177603075,0.5825188562711516,0.7763946773837169,0.1853857038377829,-0.811679486275896,-0.5592597461471591,0.7903277121966381
