fid,X,Y,I,Intercept,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
1,8.481,45.309,0.8934372229428177,-0.9600951480253054,0.8640060827321401,0.9261690033409292,0.08014647563994151,0.26494363338483545,-0.8146868974253707,-0.23767146842440987
2,8.547,45.177,0.902973135599739,-0.9045552704144507,0.9173806896465876,0.855492921618938,0.06783532301602344,0.26484357163909034,-0.9002201181064056,-0.34067337854797697
3,8.547,45.243,0.9000359729422482,-0.938376988335409,0.8864678422078311,0.8970678920885324,0.07700394149926659,0.26488497203602,-0.8277082222004881,-0.2775282547981595
4,8.547,45.309,0.9061104949697276,-0.9700181440449014,0.8618144259314853,0.9310644136506251,0.07821284513181091,0.26492469756825493,-0.8174394436153725,-0.22973004420998464
5,8.547,45.375,0.9351635627340228,-0.9867889351676622,0.8575739497139298,0.9546089384216305,0.07749440219457782,0.2649628182821076,-0.8171390674013816,-0.2159559364575965
6,8.547,45.771,0.605889252375763,-5.553422777440472,1.6972623415053474,2.3066287482396555,0.8403734464447792,0.2651614377348743,-11.079426422556995,3.0835507763800596
7,8.547,45.837,0.554603241491203,-5.6940636334573655,1.6743914136518236,2.287199439304437,0.5679681739660005,0.26519007054568844,-11.458004743401412,3.074304888390534
8,8.547,45.903,0.4144970649379325,-5.783728919116571,1.743715295346287,2.3278739942238564,0.4574441543274059,0.2652175681617397,-11.792937101785533,2.9803709548552595
9,8.613,45.045,0.8969467681559683,-0.8508851754649287,1.0029176884341533,0.7298622294965085,0.039484610533256144,0.2647262703457623,-0.7023535580453775,-0.4729742955081844
10,8.613,45.111,0.8908135619006682,-0.8892154819132717,0.9665131104700375,0.7895742317084522,0.054503728348416325,0.26477369222633207,-0.8528527705410276,-0.3679956426461753
11,8.613,45.177,0.8881383500938219,-0.9303949246601043,0.9294436166238408,0.8459219265020004,0.0696774935757529,0.2648191230714137,-0.8905972874878769,-0.3157659098832884
12,8.613,45.243,0.8812102595214276,-0.9771808201822549,0.898506667326999,0.899805647290348,0.0783904461926865,0.26486264814013144,-0.8495210627053553,-0.2582805770811515
13,8.613,45.309,0.9379489650419328,-1.0024056372316346,0.8779973917572296,0.9434023018139861,0.07709209482337095,0.2649043495941202,-0.9007048109522449,-0.23449331359412418
14,8.613,45.375,0.9809144511488675,-1.009410873063667,0.8660609475780153,0.9589927349187646,0.07290673529338493,0.26494430649894796,-0.8414588719684255,-0.22346566571776882
15,8.613,45.705,0.8339800895831511,-5.204767285192891,1.7681483675809067,2.314543177602012,1.5103540655011214,0.26512047745445516,-10.760674433923645,3.0476569992488787
16,8.613,45.771,0.7232266233215974,-5.510828912335581,1.7839928069906414,2.267376923582529,1.1516594060372405,0.26515145873397944,-10.703695801470369,3.1151983974073656
17,8.613,45.837,0.5888742966411292,-5.742169730959222,1.8155847665727718,2.2291367804412103,0.7131723073086593,0.26518116586586127,-11.346286471773674,3.115306587927785
