,Unnamed: 0,AGRI_AREA,AGRI_AREA_SURR,AGRI_AREA_BLOCK,BUILT_AREA,BUILT_AREA_SURR,BUILT_AREA_BLOCK,NAT_AREA,NAT_AREA_SURR,NAT_AREA_BLOCK,URBAN_AREA,URBAN_AREA_SURR,URBAN_AREA_BLOCK,INDUSTRIAL_AREA,INDUSTRIAL_AREA_SURR,INDUSTRIAL_AREA_BLOCK,SIARL_2,SIARL_2_SURR,SIARL_2_BLOCK,SIARL_9,SIARL_9_SURR,SIARL_9_BLOCK,SIARL_12,SIARL_12_SURR,SIARL_12_BLOCK,ROADS,ROADS_SURR,ROADS_BLOCK,FARMS,FARMS_SURR,FARMS_BLOCK
Cumulated_All,0.6131055160206623,0.584755987429108,0.7965249431058771,0.7861214463750315,0.09941841563414366,-0.006437163602210725,-0.005714698551457571,-0.7145685077484374,-0.7564136834880613,-0.7594046887981792,-0.3722790160026008,-0.33486977567460163,-0.3569049597225733,0.48150128237546497,0.283199075244735,0.30484412816529993,0.42455658707510013,0.47458006718924967,0.47524473503594244,0.5987862587147347,0.8598706787559149,0.8433262290936673,-0.053455189105226994,0.2754253512986309,0.27551204710472127,-0.1310479355561174,-0.0811978470541487,-0.08953509373984031,-0.404226420546906,-0.39013835205721925,-0.4028103890474298
HighestConc_3rdQUART_3rdQUART,0.6235812592565833,0.5834988982407975,0.7911353538272584,0.7808041036014882,0.0884658454647256,-0.018993606184300838,-0.018415634143698314,-0.7084853520210959,-0.7487266553480475,-0.7516020662500454,-0.3775096629700538,-0.3492612794856048,-0.37113752122241084,0.4731206877867282,0.2733302026514466,0.2961745475562619,0.4118701007838745,0.45998627316403556,0.4602752591843368,0.5923418704620165,0.856865224144782,0.8399017447530973,-0.05137448975905788,0.2657587689195536,0.2658310154246288,-0.1319437922190514,-0.08908716540837333,-0.0975978037062457,-0.4002239641657334,-0.3874218834663873,-0.4005129501860348
HighestConc_3rdQUART_90thPERC,0.6268179026839575,0.586099772423509,0.7920890076942527,0.7820611927897989,0.08921720911750894,-0.019918361449264906,-0.01935483870967744,-0.7086731929342918,-0.7471661308384208,-0.750113788245494,-0.3771339811436622,-0.34824982841455043,-0.37022721525846186,0.4729183975725174,0.2711050102951269,0.2940649496080626,0.4138207564209081,0.46112776794422566,0.4614890004696022,0.5947115558284869,0.8582090091391831,0.8415056171657695,-0.054683379691507425,0.2629267059206012,0.2629989524256764,-0.13440017339161217,-0.090835530831196,-0.09928837192500811,-0.39625040638659104,-0.3816132644583318,-0.39471878047899434
HighestConc_3rdQUART_MAXVAL,0.6268179026839575,0.586099772423509,0.7920890076942527,0.7820611927897989,0.08921720911750894,-0.019918361449264906,-0.01935483870967744,-0.7086731929342918,-0.7471661308384208,-0.750113788245494,-0.3771339811436622,-0.34824982841455043,-0.37022721525846186,0.4729183975725174,0.2711050102951269,0.2940649496080626,0.4138207564209081,0.46112776794422566,0.4614890004696022,0.5947115558284869,0.8582090091391831,0.8415056171657695,-0.054683379691507425,0.2629267059206012,0.2629989524256764,-0.13440017339161217,-0.090835530831196,-0.09928837192500811,-0.39625040638659104,-0.3816132644583318,-0.39471878047899434
HighestConc_3rdQUART_MEDIAN,0.6327276667991184,0.5858107864032077,0.7877542173897336,0.7781743308167468,0.08563378246577322,-0.02419535454972368,-0.023212802080699375,-0.7029223711302964,-0.7390745222699853,-0.7424990066105553,-0.37547231152692995,-0.3507495574901565,-0.37216342159448035,0.4676299534010042,0.2671314525159845,0.2900480439258751,0.4125492179315824,0.4571686594660983,0.457804428710761,0.5916338547122784,0.8558104251706824,0.8390347866921938,-0.05773218220568582,0.25658346277498834,0.25665570928006365,-0.13932738503774883,-0.09595058339052846,-0.10449012029043095,-0.39250803742368956,-0.37735072065888814,-0.39084636780695736
HighestConc_90thPERC_3rdQUART,0.6403857963371021,0.5889029368204314,0.7928837192500813,0.7827692085395371,0.07515803922985227,-0.039959541957157854,-0.03860130766174191,-0.695466531806524,-0.7310696095076401,-0.7341039627208035,-0.38262471552938637,-0.3686377921468049,-0.3893869884044359,0.4585124444604992,0.25469060434201496,0.2775349492468302,0.4098471986417656,0.4528338691615793,0.4531662030849257,0.5948271502366073,0.8605208973015932,0.8438030560271647,-0.06093992703102988,0.24941660947151684,0.2494888559765922,-0.1469421666726872,-0.1121193512263844,-0.12071668533034713,-0.38321713687100395,-0.3649821189899939,-0.3788101000614095
HighestConc_90thPERC_90thPERC,0.6403857963371021,0.5889029368204314,0.7928837192500813,0.7827692085395371,0.07515803922985227,-0.039959541957157854,-0.03860130766174191,-0.695466531806524,-0.7310696095076401,-0.7341039627208035,-0.38262471552938637,-0.3686377921468049,-0.3893869884044359,0.4585124444604992,0.25469060434201496,0.2775349492468302,0.4098471986417656,0.4528338691615793,0.4531662030849257,0.5948271502366073,0.8605208973015932,0.8438030560271647,-0.06093992703102988,0.24941660947151684,0.2494888559765922,-0.1469421666726872,-0.1121193512263844,-0.12071668533034713,-0.38321713687100395,-0.3649821189899939,-0.3788101000614095
HighestConc_90thPERC_MAXVAL,0.6403857963371021,0.5889029368204314,0.7928837192500813,0.7827692085395371,0.07515803922985227,-0.039959541957157854,-0.03860130766174191,-0.695466531806524,-0.7310696095076401,-0.7341039627208035,-0.38262471552938637,-0.3686377921468049,-0.3893869884044359,0.4585124444604992,0.25469060434201496,0.2775349492468302,0.4098471986417656,0.4528338691615793,0.4531662030849257,0.5948271502366073,0.8605208973015932,0.8438030560271647,-0.06093992703102988,0.24941660947151684,0.2494888559765922,-0.1469421666726872,-0.1121193512263844,-0.12071668533034713,-0.38321713687100395,-0.3649821189899939,-0.3788101000614095
HighestConc_90thPERC_MEDIAN,0.6491998699562909,0.5992630856482317,0.8004551529819744,0.7908030199039121,0.07366976122530075,-0.045175739623595716,-0.043701910920059296,-0.6931979915471588,-0.7270093559224073,-0.7301593035436911,-0.38392515262074184,-0.3712242170285012,-0.3917855723729364,0.45520355452804967,0.24740815663042298,0.27046924105046416,0.4148900046960228,0.45841129935339375,0.45898927139399615,0.6045515298197448,0.8676877506050644,0.8516779250803741,-0.06946501462991726,0.2448939782538019,0.24496622475887733,-0.14906621392190153,-0.11433009428168907,-0.12263844236535056,-0.3709496803092151,-0.3503016291586894,-0.3640284651229997
HighestConc_MEDIAN_3rdQUART,0.6143770545099879,0.5882960661777985,0.7979843225083983,0.7879276090019144,0.09132680706570814,-0.01819889462847237,-0.01714409565437271,-0.7083986562150054,-0.7466604053028933,-0.7496947585160566,-0.37826102662283706,-0.345417765415598,-0.36648484629556044,0.47420438536285797,0.27221760647328686,0.2943972835314091,0.42262038073908165,0.4704186684969115,0.47090994473142345,0.5972979807101833,0.8618357836939639,0.8451468410215655,-0.05198136040169056,0.27640790376765517,0.2764945995737456,-0.14421124878084024,-0.09605172849763391,-0.10459126539753637,-0.3966260882129827,-0.3851099953039771,-0.39755084347794667
