,AGRI_AREA,AGRI_AREA_SURR,AGRI_AREA_BLOCK,BUILT_AREA,BUILT_AREA_SURR,BUILT_AREA_BLOCK,NAT_AREA,NAT_AREA_SURR,NAT_AREA_BLOCK,URBAN_AREA,URBAN_AREA_SURR,URBAN_AREA_BLOCK,INDUSTRIAL_AREA,INDUSTRIAL_AREA_SURR,INDUSTRIAL_AREA_BLOCK,SIARL_2,SIARL_2_SURR,SIARL_2_BLOCK,SIARL_9,SIARL_9_SURR,SIARL_9_BLOCK,SIARL_12,SIARL_12_SURR,SIARL_12_BLOCK,ROADS,ROADS_SURR,ROADS_BLOCK,FARMS,FARMS_SURR,FARMS_BLOCK
Cumulated_All,0.7467839701623654,0.7726539981850393,0.7739574277060118,0.7189870410294713,0.7958864007467434,0.7986368555263156,-0.8215268132209124,-0.8668823642097714,-0.8695922176386089,0.6338617214909629,0.7121929096335795,0.7156838802917346,0.7838365735992526,0.8573027679712804,0.8600413233436806,0.7177744771020567,0.739303544042014,0.7383911605812954,0.8461712883247289,0.9001889769225192,0.9007959613813487,0.1695722008286173,0.23131481252254618,0.23734227801734772,0.6622816347675099,0.7714257499787746,0.7737160274434162,0.34485491282221914,0.23090822554979343,0.23690587084349043
HighestConc_3rdQUART_3rdQUART,0.786029390618169,0.8138189507205977,0.8152934449721377,0.6817652939711265,0.7580648662204132,0.7610448218554089,-0.8474595496857166,-0.9002495061961072,-0.902835663136901,0.5971486382476133,0.6741655870463569,0.6779492544476611,0.7508279908579291,0.8228233324837442,0.8257595900548138,0.7419227612634554,0.7685793831100729,0.7667500284653891,0.8537972312918164,0.9070326270562068,0.9079540999436083,0.21912207779591553,0.30634550654156284,0.3124095304559879,0.643201408476914,0.7510175498478353,0.7532798995472119,0.28721384040406134,0.1508698308939405,0.15831255166385688
HighestConc_3rdQUART_90thPERC,0.7942455155076944,0.8226140749571471,0.8241276222028259,0.6729945993608669,0.7486019415187434,0.7515493529919568,-0.8506637016211323,-0.905974726748752,-0.9085110208725066,0.5884426305351347,0.6640937281034779,0.667788451020334,0.7433436938460881,0.8147253127945552,0.817657039988918,0.746834865217135,0.7746078234960647,0.7728344964215328,0.8561967252430038,0.9094008384695045,0.9104096214649476,0.2206595385490184,0.3121488904290257,0.3182287419886524,0.6367600443254351,0.7438387952042349,0.7460175909939782,0.2818475231756725,0.14214206016930936,0.14986692591890732
HighestConc_3rdQUART_MAXVAL,0.7942455155076944,0.8226140749571471,0.8241276222028259,0.6729945993608669,0.7486019415187434,0.7515493529919568,-0.8506637016211323,-0.905974726748752,-0.9085110208725066,0.5884426305351347,0.6640937281034779,0.667788451020334,0.7433436938460881,0.8147253127945552,0.817657039988918,0.746834865217135,0.7746078234960647,0.7728344964215328,0.8561967252430038,0.9094008384695045,0.9104096214649476,0.2206595385490184,0.3121488904290257,0.3182287419886524,0.6367600443254351,0.7438387952042349,0.7460175909939782,0.2818475231756725,0.14214206016930936,0.14986692591890732
HighestConc_3rdQUART_MEDIAN,0.7914336999296957,0.8199303142042763,0.821483115156986,0.6765149027745313,0.7517994125821805,0.7547523866698308,-0.8498259546829856,-0.9049408833150724,-0.9075655197845994,0.5921567939292491,0.667476027067223,0.6711952082836388,0.7463596631085718,0.8174857745454588,0.820416498175362,0.7450011235620959,0.7726129093887095,0.7708171598168089,0.855627904906934,0.9084263487053313,0.9094366513841,0.21663923064798693,0.30387430074137306,0.30988212504602414,0.6379195340295375,0.7444716429528685,0.7466936206876726,0.2864386298684238,0.14914025922987548,0.15666269169120592
HighestConc_90thPERC_3rdQUART,0.7835429593114537,0.8089973682812327,0.8105944407632745,0.689207928721232,0.7657454317674083,0.7687519961972361,-0.8372931262974117,-0.8868108031821709,-0.8894297336709095,0.6058562516632287,0.6824746993514423,0.6863453614548152,0.7566720047693969,0.8298760107578668,0.8327869498312674,0.7355988141538256,0.762307592679106,0.7600510349803287,0.8468211393226461,0.8983293146311354,0.8992256984070306,0.2543948166526439,0.32457020846643103,0.3308904853974633,0.6548093805291922,0.7660427735803456,0.7682287376876618,0.2765642150647814,0.1302060372316107,0.13787794345097773
HighestConc_90thPERC_90thPERC,0.7835429593114537,0.8089973682812327,0.8105944407632745,0.689207928721232,0.7657454317674083,0.7687519961972361,-0.8372931262974117,-0.8868108031821709,-0.8894297336709095,0.6058562516632287,0.6824746993514423,0.6863453614548152,0.7566720047693969,0.8298760107578668,0.8327869498312674,0.7355988141538256,0.762307592679106,0.7600510349803287,0.8468211393226461,0.8983293146311354,0.8992256984070306,0.2543948166526439,0.32457020846643103,0.3308904853974633,0.6548093805291922,0.7660427735803456,0.7682287376876618,0.2765642150647814,0.1302060372316107,0.13787794345097773
HighestConc_90thPERC_MAXVAL,0.7835429593114537,0.8089973682812327,0.8105944407632745,0.689207928721232,0.7657454317674083,0.7687519961972361,-0.8372931262974117,-0.8868108031821709,-0.8894297336709095,0.6058562516632287,0.6824746993514423,0.6863453614548152,0.7566720047693969,0.8298760107578668,0.8327869498312674,0.7355988141538256,0.762307592679106,0.7600510349803287,0.8468211393226461,0.8983293146311354,0.8992256984070306,0.2543948166526439,0.32457020846643103,0.3308904853974633,0.6548093805291922,0.7660427735803456,0.7682287376876618,0.2765642150647814,0.1302060372316107,0.13787794345097773
HighestConc_90thPERC_MEDIAN,0.8024610382585439,0.8311555554446857,0.8328429487281499,0.6708268141069161,0.7435250809539606,0.7467817049740126,-0.8526687947394413,-0.9097069543031508,-0.9123922920858878,0.586242645198645,0.6578410053972557,0.6618208266406336,0.7420577836932646,0.8120211940197767,0.815218005597997,0.7535773273799594,0.7857469875790547,0.7835345580432582,0.8581365293248561,0.9132354582721195,0.9141577626843594,0.22289872024599827,0.30912609692821247,0.31560155359806963,0.6382668246793248,0.7440135301133993,0.7464328946408998,0.2788665639762165,0.1342415419658973,0.14240218407740612
HighestConc_MEDIAN_3rdQUART,0.7619735490801943,0.7867716842395103,0.7882476408278352,0.7127787332189326,0.788817378708554,0.7917290632869827,-0.8278633765694708,-0.8758352774527424,-0.8784995403818138,0.6290854714919307,0.7059512261364198,0.7096665077880758,0.7780448023862583,0.8508136914980339,0.8536740795959085,0.7263180220650565,0.7484873631306529,0.7473984956912818,0.8470666111896233,0.898175883961798,0.8990196522867061,0.20830821196439803,0.27204906386503586,0.277928059166261,0.663717649490317,0.7727723901180786,0.7752083564690783,0.3203456321878333,0.1936635685484848,0.20030363846309318
