,Unnamed: 0,AGRI_AREA,AGRI_AREA_SURR,AGRI_AREA_BLOCK,BUILT_AREA,BUILT_AREA_SURR,BUILT_AREA_BLOCK,NAT_AREA,NAT_AREA_SURR,NAT_AREA_BLOCK,URBAN_AREA,URBAN_AREA_SURR,URBAN_AREA_BLOCK,INDUSTRIAL_AREA,INDUSTRIAL_AREA_SURR,INDUSTRIAL_AREA_BLOCK,SIARL_2,SIARL_2_SURR,SIARL_2_BLOCK,SIARL_9,SIARL_9_SURR,SIARL_9_BLOCK,SIARL_12,SIARL_12_SURR,SIARL_12_BLOCK,ROADS,ROADS_SURR,ROADS_BLOCK,FARMS,FARMS_SURR,FARMS_BLOCK
Cumulated_All,0.2751219159773145,0.35119748582162336,0.5283603655673156,0.5160062131994364,0.4477910631073222,0.5755662319835277,0.5669977964815951,-0.8413177762525734,-0.9091716938193115,-0.9124227865477006,-0.05076761911642524,0.27786728317017656,0.24730701152331744,0.7063468554708664,0.7253910342087202,0.7293212440848172,0.5691073944297945,0.6286240653108406,0.6322941877686667,0.47020192898168545,0.5649748943394862,0.5598020445760934,-0.05120109814687715,0.3475707112668424,0.34759960986887256,0.23853628580717404,0.5392262399306432,0.5276379005165625,-0.461676841382798,-0.503666510132572,-0.5056749629736661
HighestConc_3rdQUART_3rdQUART,0.06734096738070292,0.3033125022577033,0.5236209948343747,0.5064263266264494,0.4338185890257558,0.5716649207094604,0.5626052089730157,-0.8231694541776536,-0.9375067731098505,-0.9371599898854889,-0.06862695517104359,0.2553552721887079,0.223032185818011,0.6990644077592745,0.7256511216269912,0.7320666112776791,0.5502944045081816,0.6345627280280316,0.6380594588736768,0.4196871726330238,0.5199797709785788,0.5127984683740923,0.15884839070909942,0.5422461438427915,0.5422750424448216,0.2484629556045226,0.5288805404038577,0.5154137918578188,-0.6349095112523933,-0.7099591807246324,-0.7105227034642198
HighestConc_3rdQUART_90thPERC,0.05596936748184808,0.30532095509879703,0.5343857240905968,0.5171332586786113,0.4256402846512298,0.5576490987248489,0.5484015460752085,-0.8209009139182889,-0.9428963623884693,-0.9419716071235051,-0.07823574034606073,0.24031354983202685,0.20761478163493843,0.6951486471841924,0.7116064010403497,0.7187732543438208,0.5445291334031713,0.626673409673807,0.6303579814326481,0.4210887548314849,0.5256438969764838,0.5181736083516959,0.1793808474515045,0.5513347541812665,0.5513492034822816,0.23996676660766533,0.5125672795578514,0.49894158870064637,-0.6463533576563233,-0.7204927211646135,-0.7214174764295775
HighestConc_3rdQUART_MAXVAL,0.05596936748184808,0.30532095509879703,0.5343857240905968,0.5171332586786113,0.4256402846512298,0.5576490987248489,0.5484015460752085,-0.8209009139182889,-0.9428963623884693,-0.9419716071235051,-0.07823574034606073,0.24031354983202685,0.20761478163493843,0.6951486471841924,0.7116064010403497,0.7187732543438208,0.5445291334031713,0.626673409673807,0.6303579814326481,0.4210887548314849,0.5256438969764838,0.5181736083516959,0.1793808474515045,0.5513347541812665,0.5513492034822816,0.23996676660766533,0.5125672795578514,0.49894158870064637,-0.6463533576563233,-0.7204927211646135,-0.7214174764295775
HighestConc_3rdQUART_MEDIAN,0.04497344940938482,0.2906838131705379,0.5128129176751074,0.49558935086515193,0.44336957699671276,0.5841635660874903,0.5755084347794673,-0.8161904417873784,-0.9321171838312321,-0.9315103131885991,-0.05732760177726395,0.2726510855037387,0.24016905682187614,0.6990210598562292,0.7306650290792186,0.7363725029801682,0.5525051475634865,0.639648881985334,0.6424953942853013,0.40728967236209945,0.5047646570097172,0.49745331069609494,0.15923852183650616,0.5363219304266154,0.5363508290286456,0.2493732615684716,0.540295488205758,0.5256727955785138,-0.6383050969909331,-0.7094390058880902,-0.7102915146479789
HighestConc_90thPERC_3rdQUART,0.016334934797529167,0.282982335729509,0.5056027164685908,0.4871365097713397,0.4520825055087958,0.6008091608568432,0.5925152620741969,-0.8143842791604954,-0.9213235559729798,-0.9220171224217025,-0.04767546869920166,0.2858721959325216,0.25441606762272867,0.7051331141856013,0.7457212007369143,0.7521800382906475,0.5604667124227862,0.6357331214102517,0.6401546075208612,0.39281147274500594,0.491514647978904,0.48335079290539307,0.16367445724813062,0.5417259690062491,0.5417548676082794,0.2506448000577971,0.553545497236571,0.5376368168189863,-0.6368890654914567,-0.7121410251779068,-0.7126323014124191
HighestConc_90thPERC_90thPERC,0.016334934797529167,0.282982335729509,0.5056027164685908,0.4871365097713397,0.4520825055087958,0.6008091608568432,0.5925152620741969,-0.8143842791604954,-0.9213235559729798,-0.9220171224217025,-0.04767546869920166,0.2858721959325216,0.25441606762272867,0.7051331141856013,0.7457212007369143,0.7521800382906475,0.5604667124227862,0.6357331214102517,0.6401546075208612,0.39281147274500594,0.491514647978904,0.48335079290539307,0.16367445724813062,0.5417259690062491,0.5417548676082794,0.2506448000577971,0.553545497236571,0.5376368168189863,-0.6368890654914567,-0.7121410251779068,-0.7126323014124191
HighestConc_90thPERC_MAXVAL,0.016334934797529167,0.282982335729509,0.5056027164685908,0.4871365097713397,0.4520825055087958,0.6008091608568432,0.5925152620741969,-0.8143842791604954,-0.9213235559729798,-0.9220171224217025,-0.04767546869920166,0.2858721959325216,0.25441606762272867,0.7051331141856013,0.7457212007369143,0.7521800382906475,0.5604667124227862,0.6357331214102517,0.6401546075208612,0.39281147274500594,0.491514647978904,0.48335079290539307,0.16367445724813062,0.5417259690062491,0.5417548676082794,0.2506448000577971,0.553545497236571,0.5376368168189863,-0.6368890654914567,-0.7121410251779068,-0.7126323014124191
HighestConc_90thPERC_MEDIAN,0.0522847957230069,0.3008127731820972,0.5330563883972111,0.51564498067406,0.4395983094317813,0.5606979012390273,0.5530108730990135,-0.8210887548314848,-0.9401654444966223,-0.9398331105732759,-0.06861250587002851,0.24638225625835347,0.21492612794856042,0.6989488133511539,0.7098146877144819,0.7161579308600946,0.5548314850269115,0.6469168803959109,0.6492432178593363,0.41330058158436583,0.5224361521511398,0.51450348589387,0.16623198352779678,0.5440956543727198,0.5441245529747498,0.2354152367879204,0.5151681537405628,0.5000108369757611,-0.6426687858974823,-0.7126323014124191,-0.7138026947946394
HighestConc_MEDIAN_3rdQUART,0.12113571505978396,0.3097135426073763,0.5047068598056568,0.48999747137232236,0.4603619549904272,0.6220785319510165,0.6124263988729544,-0.8248600223964164,-0.9200086695806089,-0.9210923671567386,-0.02915146479789043,0.3254921793158256,0.2931835422461438,0.7013040494166095,0.7526424159231295,0.7550554491926452,0.587299064407759,0.6622186901708628,0.6662644944550805,0.42227359751472016,0.5068164577538561,0.5015135642813278,0.04267601054798976,0.44571036376115303,0.44572481306216816,0.26811400498500887,0.5840768702814002,0.5705378752302855,-0.5486471841924647,-0.6031354983202685,-0.6035978759527507
