fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int
"1",8.448,45.276,8.514,45.342,8.481,45.309,1.78035081054688,115.278863252423,315.729278564453,0.382622744052717,2,4,1838.14538574219,2,0.842632674765207,0.0819340633004299,0,0.0676143257290933,0.00781893620526954,0,0,0,12,0,0.0165270018621974,0.419925512104283,7,0,0,0,0,0.956108683260498,0.0438913167395022,0,0,0,0,0,0.0418958375772391,0,0,0.143410063149318,0,0,0,0,0,0,0,0.20384802032539,0,0,0,0,0,2693.97356321839,279.488879203796,0.00313507115321953,98990.8015407986,-1.2939510345459,-0.101065542962816,0.400017579396566,5.40599582764382e-05,0.000297483970304782,80.9899022108844,116.723852040816,-0.975964013352686,0.0351892299337722,4.34319043357455e-05,0.167635922827556,1860.47236950209,3.79022407531738,1.44273153940837,297.599405924479,0.0661467512448629,14.6918360392253,13.1581993103027,18.5573018391927,21.435053507487,1.01425139109294,46.4802602132161,,,,,,,,,,,,,,,,,,,,,,,0.587233361116119,3.86492835816443,19.4214475463884,20.9017562244086,48.8343174147387,21.7298153747997,19.75187120708,4.16815208488776,77.9320654230212,0.0581315324286718,132.818242398267,6.29671510966122,2.85827884268391
"2",8.514,45.144,8.58,45.21,8.547,45.177,13.6426189526367,102.247671195966,146.465850830078,0.583363997595534,2,4,1156.98901367188,2,0.852166520082087,0.0830215967946839,0.00126844522622887,0.0421342714746409,0.00927391771718948,0.0073487735756865,0.00295709957979087,0.00182937554969217,12,0.0364920192250638,0.169079689076129,0.346347831246662,7,0,0,0.00116166505324298,0,0.997676669893514,0.00116166505324298,0,0,0,0,0,0.1761815552488,0,0,0.18278774732137,0,0,0,0,0.219899127170168,0.439798254340335,0,0.299643215955081,0.731568513348392,0.00280978289526662,0,0,0,2997.22235434007,279.440818377904,0.00294890425970425,99090.8362630208,-1.22032029288156,0.209842032856411,0.399134136381603,6.15704678753412e-05,0.00133971825002434,57.8983630952381,84.077593537415,-1.24939996625833,0.0349505830278262,8.3810996785825e-05,0.167399553952077,1859.74670455445,3.94944339328342,1.12518458896213,297.26708984375,0.0653460688061184,15.1574350992839,13.6647330390082,16.3463711208767,20.7297854953342,1.05119493272569,46.4384290907118,,,,,,,,,,,,,,,,,,,,,,,0.627522119251908,4.21189799194263,17.5055217908835,18.4045560498398,47.0718917068195,22.1503729113725,19.8564677445193,4.79318384617839,79.8676759373679,0.0653364428992701,136.412544890906,6.23817614219521,2.96582400326001
"3",8.514,45.21,8.58,45.276,8.547,45.243,26.8328793740234,109.311062339594,39.6490707397461,0.558838489293905,2,4,616.273559570313,2,0.877877460673909,0.0595482834913273,0,0.0282470952975406,0.0272026176217444,0.00349799590845957,0.00138995875317486,0.00223658825384423,12,0.000614429885869649,0.0514124207001429,0.592064638023993,7,0,0,0,0,0.994289521271533,0.00571047872846674,0,4,0,0,0,0.498295987750868,0,0,0.193318954872487,0,0,0,0,0.59628337969161,0.26087397861508,0,0.502577620589043,0.751814397598855,0.00187824061528511,0,0,0,3012.30202140309,279.532895135771,0.0030685522166406,99110.0469347895,-1.29112912738134,0.0397209112876667,0.398956947586163,5.97206800769519e-05,0.000184773861903494,89.8267735665695,129.433673469388,-1.13838489321069,0.0352155792077009,5.57406722969306e-05,0.167761306904742,1860.4476160283,3.59517129262288,1.24735673268636,297.884501139323,0.0670774082342784,14.922129313151,13.4250577290853,17.1324501037598,20.9555104573568,1.08878580729167,46.8711547851563,,,,,,,,,,,,,,,,,,,,,,,0.610908617085655,4.05623232100138,18.7925258024508,20.4448860642831,46.9055912878747,22.5089425347254,19.6357365141749,4.31678670318967,78.6281131882672,0.0578548585319667,134.374893588403,6.41222494755772,2.83852918025913
"4",8.514,45.276,8.58,45.342,8.547,45.309,32.6639450583496,121.301777265762,24.8869781494141,0.444355241717016,2,4,3165.40869140625,2,0.862889766592763,0.0312612669932769,0,0.0274812672216757,0.0477704200742949,0.0203356483180877,0.00202540773260376,0.0082362230672977,12,0.000335908632851864,0.0795108175020839,0.563468070018288,7,0,0,0,0,0.957586273375747,0.0424137266242529,0,4,0,0,0,0.565563917203221,0,0,0.300525301760337,0,0,0,0,1.377665800001,1.86750252889025,0,0.719363465342717,0.7411102721614,0.00393245316171897,0,0,0,3116.37471264368,279.600207086593,0.00319303904407364,99052.3774336557,-1.35513659885951,-0.137573346259102,0.398636288113064,6.49511203289646e-05,0.000421249410880706,96.7598396501458,139.106413994169,-1.0715420370876,0.0350787340584461,5.63568416056886e-05,0.167792864867142,1856.37272064688,3.82673899332682,1.49010690053304,299.763888888889,0.0671037170622084,14.9172193739149,13.3611645168728,18.4791666666667,21.5819837782118,1.13145849439833,46.4412333170573,,,,,,,,,,,,,,,,,,,,,,,0.590603421217271,3.89521097959008,20.1979458357767,22.682196415665,46.7814271721335,22.1424205551038,19.4311968127228,3.96266695423431,77.4106672686438,0.0558134120755237,131.572917977161,6.46981173447349,2.73323050027802
"5",8.514,45.342,8.58,45.408,8.547,45.375,3.66604392944336,127.9629916294,180.575225830078,0.198798456483833,2,4,2366.263671875,2,0.942808825780493,0.0396460357608846,0,0.00676439073103529,0.00931561568347316,0.00146513204411432,0,0,12,0,0.0318167010533174,0.776740145509827,7,0,0,0,0,0.948976677772489,0.0510233222275107,0,0,0,0,0,0.0905625505371376,0,0,0.00828396508193205,0,0,0,0,0.272773599892961,0.272773599892961,0,0.493599278865101,0.530880077093895,0.00141590725276792,0,0,0,3265.96076099881,279.404246935769,0.00334284815917429,98435.2923642113,-1.38253078763447,-0.327981840996515,0.397583736313714,5.67589211054518e-05,0.000295115027855137,102.925701530612,148.397640306122,-1.07067681394197,0.0347024451593697,0.000130078390723099,0.168074054846323,1854.17285410224,4.18749109903971,1.74835533565945,301.552517361111,0.0661789642439948,14.8952416314019,13.2840126885308,19.6707577175564,21.9612257215712,1.16091791788737,45.7260267469618,,,,,,,,,,,,,,,,,,,,,,,0.567911114545821,3.75473187057664,21.3237167496764,24.4052715575001,46.8393787447832,20.997395066748,19.2047216370937,3.71335968012536,76.1160969087828,0.0566434223359866,128.098224855582,6.44599913944165,2.64147200595335
"6",8.514,45.738,8.58,45.804,8.547,45.771,8.76277087451172,209.773216128925,0,3.35474891546232,3,2,20479.97265625,5,0.0649574052292945,0.173713115177597,0.00767708817710185,0.594469821992457,0.135546498658181,0.00897179900981974,0.000267452003002757,0.0143968197525461,19,0,0,0,7,0,0,0,0,0.984628522630231,0,0.0153714773697694,0,0,0,0,0.232963602550478,0,0,0,0,0,0,0,0.456476616504353,0.456476616504353,0,0.586364612962556,0.717189720150071,0,0.342357462378265,0.114119154126088,0.798834078882618,4343.6908045977,278.243219792978,0.00343279165089818,95339.3799846762,-1.00990196366429,0.0221984929778949,0.359969030972781,4.02201933612279e-05,0.000279444870369906,77.7500566893424,106.909701976029,-1.37270111788977,0.0354840699268323,7.12467872585308e-05,0.169558851485589,,2.1142881181505,0.789584795633952,249.096408420139,0.048131717575921,10.7632793850369,9.56993781195747,11.1442498101128,13.9612681070964,0.53885014851888,51.344231499566,,0.058531746031746,,,,,,,,,,,,,,,,,,,,,0.381536735748849,3.49535306357335,22.3812970106414,26.3965766157789,57.2555616880467,17.6013267185105,17.2991660316441,3.42484100466125,67.0502575856711,0.0578300080080033,116.843026681113,6.04211988224279,2.33452984743577
"7",8.514,45.804,8.58,45.87,8.547,45.837,1.21207913427734,193.880497685185,0,0.140557751739743,3,2,5331.3681640625,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,0.851115360101976,0,0.148884639898024,0,0.00778391324595835,0,0,0.0243330450402501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4864.77764565993,277.900679977573,0.00349870485278657,94631.239395107,-0.918100936612845,0.0740949147953198,0.344834585038442,3.41468703267031e-05,0.000300116686259121,70.5125356125356,96.1142938127632,-1.38895717209444,0.0350114051090127,4.36052193290778e-05,0.169745040947962,,1.62369018130832,0.602661609649658,232.346598307292,0.0478030343850454,9.36232672797309,8.28048536512587,8.98507605658637,11.836048550076,0.44550085067749,53.7155965169271,,,,,,,,,,,,,,,,,,,,,,,0.380279215022282,3.58013546280098,20.9394127734888,23.8266329287071,60.1204755239609,17.5009660856598,17.0243916111995,3.43601927071603,63.9935806140691,0.0539855837928888,123.113196027316,6.372709109855,2.45850731537764
"8",8.514,45.87,8.58,45.936,8.547,45.903,5.77462234106445,,,,3,2,15305.6982421875,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,1,0,0,0,0.0277435470441299,0,0,0.0093255620316403,0,0,0,0,0.116885928393006,0,0,0,0,0,0,0,0,0,0,0,2354.26040428062,277.133956621564,0.00363226095937475,92955.7454892113,-0.776434671311152,0.161148209420462,0.352613766988119,3.60703814819021e-05,0.000200087645510419,71.6757142857143,69.8303571428571,-1.43639403449809,0.0351452805592984,5.14404188120795e-05,0.169904923220494,,1.22490390141805,0.460317452748617,215.048990885417,0.0428962111473083,7.84185409545898,6.92121378580729,6.97907829284668,10.0998643239339,0.386432488759359,56.1918741861979,,,,,,,,,,,,,,,,,,,,,,,0.382005847375522,3.71799839855174,19.6224486010595,21.4798182001146,62.5855802178221,17.3434996555839,16.739219852302,3.3924610725324,61.1431971881438,0.0497683294538471,128.267142672255,6.62024688946157,2.54517593669097
"9",8.58,45.012,8.646,45.078,8.613,45.045,1.97078264941406,87.0930791841097,172.653121948242,0.305189428446041,2,4,8185.416015625,2,0.585656565656566,0.300579124579125,0.00478114478114478,0.104390572390572,0.00459259259259259,0,0,0,4,0.004739336492891,0.186808846761453,0,7,0,0,0.204742921394255,0,0.777675559644281,0.0175815189614638,0,0,0,0,0,0.0517017961125236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507412626297127,0.507412626297127,4216.36551724138,279.283047100854,0.00287440618565263,98387.6800130208,-0.821098842318096,0.51495641564566,0.400185690985786,6.54586052941832e-05,0.000449920156313307,68.7643343051506,99.0926870748299,-1.23677387816669,0.0348200930086462,8.96614755276361e-05,0.166790038406028,1857.00737643772,5.06568739149306,1.1756969028049,300.3583984375,0.0621361467573378,15.5925750732422,13.8602939181858,17.0951334635417,20.5526123046875,1.05394723680284,43.9276123046875,,,,,,,,,,,,,,,,,,,,,,,0.647370505878663,4.50113295609062,16.3228723934423,17.0922853682311,45.6306557216996,20.4874784377538,20.0943348804884,5.81955327015486,81.5486924209642,0.102034003755498,137.72195421265,5.82179843979741,3.16016730922105
"10",8.58,45.078,8.646,45.144,8.613,45.111,19.4449674470215,95.5486874638329,62.2639083862305,0.388017247258886,2,4,1397.96313476563,2,0.882210454928449,0.0707005802204427,0.00554463313216285,0.0120222771768542,0.0232567698093561,0.00340596935175607,0.00053158330992814,0.00232773207105132,12,0.0159335679811158,0.098636373216431,0.390077349463612,7,0,0,0.00153280196198651,0,0.998467198038014,0,0,0,0,0,0,0.334367306745446,0.169604464139176,0,0,0,0,0,0,0.205708752709314,3.18848566699436,0,0.249606039998024,1.07829247177527,0.00145345272601986,0.102854376354657,0.205708752709314,0.411417505418628,3354.43666666667,279.328534762065,0.0027994480230043,98838.8744574653,-1.05139901902941,0.426532944043477,0.400489171346029,6.61542743043507e-05,0.000524708884736656,63.6658163265306,92.1028911564626,-1.19523841910362,0.0348218170791952,1.61259825939462e-05,0.167703326831651,1857.1338949428,4.37566460503472,1.11189874013265,297.324327256944,0.0637849569320679,15.3385467529297,13.7381337483724,16.6508958604601,20.4499155680339,1.11424435509576,45.1404758029514,,,,,,,,,,,,,,,,,,,,,,,0.641336366884451,4.45866566883433,16.6113664196454,17.4428827062796,45.4426721333634,21.2889003436202,19.7329895848093,5.26098464600348,80.6334889759632,0.0791412438766304,136.344717123457,6.1148573767883,2.98264977435045
