fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int
1,8.448,45.276,8.514,45.342,8.481,45.309,1.78035081054688,115.278863252423,315.729278564453,0.382622744052717,2,4,1838.14538574219,2,0.842632674765207,0.0819340633004299,0.0,0.0676143257290933,0.0078189362052695,0.0,0.0,0.0,12,0.0,0.0165270018621974,0.419925512104283,7.0,0.0,0.0,0.0,0.0,0.956108683260498,0.0438913167395022,0.0,0,0.0,0.0,0.0,0.0418958375772391,0.0,0.0,0.143410063149318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20384802032539,0.0,0.0,0.0,0.0,0.0,2801.41724137931,285.973101298014,0.0012782942432264,100729.415039063,-0.794944836033715,-0.0325637062390645,0.373139765527513,6.04689989284533e-05,,357.142857142857,126.142857142857,-1.11664768739365,0.0335870381900599,4.80616644370276e-05,0.120349292695798,,1.76759401957194,3.93284924825033,333.684977213542,0.194580435752869,25.6895802815755,21.8908564249674,24.4988454182943,41.515744527181,1.54300276438395,15.4094327290853,,,,,,,,,,,,,,,,,,,,,,,0.669823266662991,4.68314331985961,20.9139893554663,29.481887710884,16.2126921179715,37.0894636339068,28.207352420559,1.28044811264599,99.4083887273499,0.0154122010524053,55.4524580582566,12.057330958499,1.64149053718301
2,8.514,45.144,8.58,45.21,8.547,45.177,13.6426189526367,102.247671195966,146.465850830078,0.583363997595534,2,4,1156.98901367188,2,0.852166520082087,0.0830215967946839,0.0012684452262288,0.0421342714746409,0.0092739177171894,0.0073487735756865,0.0029570995797908,0.0018293755496921,12,0.0364920192250638,0.169079689076129,0.346347831246662,7.0,0.0,0.0,0.0011616650532429,0.0,0.997676669893514,0.0011616650532429,0.0,0,0.0,0.0,0.0,0.1761815552488,0.0,0.0,0.18278774732137,0.0,0.0,0.0,0.0,0.219899127170168,0.439798254340335,0.0,0.299643215955081,0.731568513348392,0.0028097828952666,0.0,0.0,0.0,3099.75267538644,286.071585640075,0.0010806553290932,100831.888253348,-0.738770270158374,0.085027485612839,0.350921676272438,4.7485876781938e-05,,428.0,10.6785714285714,-1.2070980225964,0.0351861301985399,7.15189113305949e-05,0.120446579667333,,1.32073783874512,2.31203333536784,333.133192274306,0.204571816656325,27.1326429578993,22.6663513183594,20.0020955403646,38.8021002875434,1.61481804317898,18.8985070122613,,,,,,,,,,,,,,,,,,,,,,,0.706866505286282,5.60792978588069,20.0654319291492,26.3398322048257,17.7894941551628,37.9322405348477,28.0686792805022,1.18914712023812,99.2923508663172,0.0163415963436132,57.6820552867211,11.9694194385368,1.82624472108323
3,8.514,45.21,8.58,45.276,8.547,45.243,26.8328793740234,109.311062339594,39.6490707397461,0.558838489293905,2,4,616.273559570313,2,0.877877460673909,0.0595482834913273,0.0,0.0282470952975406,0.0272026176217444,0.0034979959084595,0.0013899587531748,0.0022365882538442,12,0.0006144298858696,0.0514124207001429,0.592064638023993,7.0,0.0,0.0,0.0,0.0,0.994289521271533,0.0057104787284667,0.0,4,0.0,0.0,0.0,0.498295987750868,0.0,0.0,0.193318954872487,0.0,0.0,0.0,0.0,0.59628337969161,0.26087397861508,0.0,0.502577620589043,0.751814397598855,0.0018782406152851,0.0,0.0,0.0,2881.70154577883,286.067295359916,0.0011037820639987,100850.160450769,-0.776248295426098,0.0349247500199039,0.358667574772218,4.91901343381932e-05,,345.0,9.95918367346939,-1.13943129258501,0.0339049112140702,6.5603606514841e-05,0.120410107247338,,1.41658385594686,2.91274134318034,335.364217122396,0.195599834124247,26.6261596679688,22.5277811686198,21.6307423909505,41.0885442097982,1.74728616078695,17.482852935791,,,,,,,,,,,,,,,,,,,,,,,0.696296299962701,5.14345391406598,20.647459840487,28.9257651097827,16.7974064682306,37.8101067157905,27.8337962016025,1.15107414227886,98.5734273139134,0.0140562900449713,57.0667432531242,12.035782912876,1.68639694132081
4,8.514,45.276,8.58,45.342,8.547,45.309,32.6639450583496,121.301777265762,24.8869781494141,0.444355241717016,2,4,3165.40869140625,2,0.862889766592763,0.0312612669932769,0.0,0.0274812672216757,0.0477704200742949,0.0203356483180877,0.0020254077326037,0.0082362230672977,12,0.0003359086328518,0.0795108175020839,0.563468070018288,7.0,0.0,0.0,0.0,0.0,0.957586273375747,0.0424137266242529,0.0,4,0.0,0.0,0.0,0.565563917203221,0.0,0.0,0.300525301760337,0.0,0.0,0.0,0.0,1.377665800001,1.86750252889025,0.0,0.719363465342717,0.7411102721614,0.0039324531617189,0.0,0.0,0.0,3370.12643678161,286.034155346098,0.00113934102585,100792.128704737,-0.809940532086387,-0.0192171704201471,0.366143438551161,5.11111855823735e-05,,344.0,19.8367346938776,-1.18363340986046,0.0340622891262804,5.71954636703499e-05,0.120508254980638,,1.84741465250651,4.04582680596246,342.975802951389,0.18391227722168,26.8346727159288,22.7695939805773,24.5948130289714,44.027092827691,1.81868320041233,15.663096110026,,,,,,,,,,,,,,,,,,,,,,,0.678887377471751,4.69638878252536,21.1046138746779,31.1723580602351,15.7506077188687,37.7189747066562,27.7672883777086,1.24573003813779,98.1469820473298,0.0137634374474165,55.5269790195986,12.0771851033902,1.54500894556869
5,8.514,45.342,8.58,45.408,8.547,45.375,3.66604392944336,127.9629916294,180.575225830078,0.198798456483833,2,4,2366.263671875,2,0.942808825780493,0.0396460357608846,0.0,0.0067643907310352,0.0093156156834731,0.0014651320441143,0.0,0.0,12,0.0,0.0318167010533174,0.776740145509827,7.0,0.0,0.0,0.0,0.0,0.948976677772489,0.0510233222275107,0.0,0,0.0,0.0,0.0,0.0905625505371376,0.0,0.0,0.008283965081932,0.0,0.0,0.0,0.0,0.272773599892961,0.272773599892961,0.0,0.493599278865101,0.530880077093895,0.0014159072527679,0.0,0.0,0.0,3126.22116527943,285.741574847509,0.0014048654986779,100177.637385293,-0.80161601494229,-0.100744032670581,0.373259517881605,5.89298418780453e-05,,,0.0,-1.21746925063009,0.0357752004116406,1.57563386884703e-05,0.120374835691996,,2.26551818847656,5.3773676554362,353.405002170139,0.172373877631293,27.0897335476345,22.9925604926215,27.2707027859158,46.3735724555122,1.83226585388184,14.1373672485352,,,,,,,,,,,,,,,,,,,,,,,0.651519009192123,4.30463106892544,21.3262918304799,32.532450074438,14.6921297357433,37.1209441391196,27.6932928042657,1.44413168909901,97.8192638231817,0.0145565395575562,53.2570217872759,12.0875111360499,1.40736733787763
6,8.514,45.738,8.58,45.804,8.547,45.771,8.76277087451172,209.773216128925,0.0,3.35474891546232,3,2,20479.97265625,5,0.0649574052292945,0.173713115177597,0.0076770881771018,0.594469821992457,0.135546498658181,0.0089717990098197,0.0002674520030027,0.0143968197525461,19,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.984628522630231,0.0,0.0153714773697694,0,0.0,0.0,0.0,0.232963602550478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456476616504353,0.456476616504353,0.0,0.586364612962556,0.717189720150071,0.0,0.342357462378265,0.114119154126088,0.798834078882618,4544.65977011494,284.605498938874,0.0045036997181765,97073.986556211,-0.44613086433908,-0.119097674379543,0.347827219368379,6.59103725203193e-05,,90.6875,68.1428571428571,-1.05774560035362,0.0320217828378679,0.0001452160097514,0.120442776780469,,1.00437842475043,2.00953907436795,294.145941840278,0.1492813428243,19.0293680826823,16.1057603624132,18.1748589409722,33.0544942220052,0.738660282558865,21.3459862603082,,0.0232142857142857,,,,,,,,,,,,,,,,,,,,,0.499136816172578,3.02582147108198,22.0347861771696,32.3604522511889,12.9685764466495,27.3861897024869,24.8189683671191,2.06182577136807,90.8251487836621,0.0236957203340655,46.999678978245,11.7082153052605,1.1371243744407
7,8.514,45.804,8.58,45.87,8.547,45.837,1.21207913427734,193.880497685185,0.0,0.140557751739743,3,2,5331.3681640625,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.851115360101976,0.0,0.148884639898024,0,0.0077839132459583,0.0,0.0,0.0243330450402501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5208.8275862069,284.341492962134,0.0047922368172481,96365.6295550772,-0.36227070487816,-0.107078800260886,0.330637004099736,5.8408118665453e-05,,73.5731707317073,100.959183673469,-1.2228741777712,0.0307192941342035,0.0003194343353085,0.120225299665621,,0.768518182966444,1.27998055352105,273.882297092014,0.146382146411472,16.8243035210503,14.1815812852648,15.5107693142361,27.7969258626302,0.592488553788927,23.4523501925998,,,,,,,,,,,,,,,,,,,,,,,0.514145552177766,2.95722230139146,21.8993235650736,31.7192755542901,13.4354464770748,26.0912347300681,24.3116862219489,2.04125578963447,89.5441240550345,0.0266352463737157,50.74600055366,11.775853089626,1.22154439518079
8,8.514,45.87,8.58,45.936,8.547,45.903,5.77462234106445,,,,3,2,15305.6982421875,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0277435470441299,0.0,0.0,0.0093255620316403,0.0,0.0,0.0,0.0,0.116885928393006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2629.60642092747,283.693056015741,0.0052387286145243,94691.6039031498,-0.229343123852261,-0.079217151043907,0.338769488864475,6.08524437867978e-05,,70.6086956521739,69.1160714285714,-1.19423413953802,0.0278374529459083,0.0003273748503109,0.120173820381187,,0.528354048728943,0.775537888209025,253.086100260417,0.128140280644099,14.1091613769531,12.0402463277181,12.0576082865397,22.4319712320964,0.486395041147868,23.659792582194,,,,,,,,,,,,,,,,,,,,,,,0.528807836977437,2.93158107677561,21.9459850829268,31.5939636218739,13.8582920216192,24.996847335571,23.9174632320191,2.00989976701325,88.8991823829194,0.0307421232104624,53.5576976009009,11.7706756256472,1.3124137662493
9,8.58,45.012,8.646,45.078,8.613,45.045,1.97078264941406,87.0930791841097,172.653121948242,0.305189428446041,2,4,8185.416015625,2,0.585656565656566,0.300579124579125,0.0047811447811447,0.104390572390572,0.0045925925925925,0.0,0.0,0.0,4,0.004739336492891,0.186808846761453,0.0,7.0,0.0,0.0,0.204742921394255,0.0,0.777675559644281,0.0175815189614638,0.0,0,0.0,0.0,0.0,0.0517017961125236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.507412626297127,0.507412626297127,4544.05977011494,285.883152431912,0.00111007038702,100136.054299975,-0.569376276599036,0.234571368921371,0.327158943055168,5.16826348183237e-05,,453.0,90.4285714285714,-1.19160721778701,0.0335974094184649,9.26205222471945e-05,0.12041997718283,,1.64402537875705,1.87450790405273,334.835557725694,0.236970027287801,28.5328572591146,22.9837324354384,18.7615000406901,36.9787868923611,1.58982849121094,19.7482672797309,,,,,,,,,,,,,,,,,,,,,,,0.718826840017765,6.58904045657676,19.2144062951048,22.7403692199532,19.2607221980682,38.9380919913726,29.0119505500779,1.45727580280229,99.9008041893942,0.0276254661844494,57.1443327309998,11.759242006559,2.03994224706646
10,8.58,45.078,8.646,45.144,8.613,45.111,19.4449674470215,95.5486874638329,62.2639083862305,0.388017247258886,2,4,1397.96313476563,2,0.882210454928449,0.0707005802204427,0.0055446331321628,0.0120222771768542,0.0232567698093561,0.003405969351756,0.0005315833099281,0.0023277320710513,12,0.0159335679811158,0.098636373216431,0.390077349463612,7.0,0.0,0.0,0.0015328019619865,0.0,0.998467198038014,0.0,0.0,0,0.0,0.0,0.0,0.334367306745446,0.169604464139176,0.0,0.0,0.0,0.0,0.0,0.0,0.205708752709314,3.18848566699436,0.0,0.249606039998024,1.07829247177527,0.0014534527260198,0.102854376354657,0.205708752709314,0.411417505418628,3921.99,286.032240973579,0.001062174030299,100585.530490451,-0.614121827814314,0.128744158479903,0.329239951239692,4.83103515579081e-05,,406.6,58.3469387755102,-1.2733272688218,0.0347386633004408,7.10604127145249e-05,0.120334443127164,,1.48638237847222,2.00943501790365,336.729465060764,0.220506310462952,28.2113596598307,23.0811496310764,19.1357218424479,38.4433763292101,1.7092711130778,19.6376749674479,,,,,,,,,,,,,,,,,,,,,,,0.715044244043375,6.21550790918422,19.3841983513791,24.1155606025417,18.4725233025973,38.1680539741285,27.8760901574604,1.31193905988895,98.8634836438958,0.0201555774154761,57.303170774388,11.8901548508417,1.87387999876031
