fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int
1,8.448,45.276,8.514,45.342,8.481,45.309,1.78035081054688,115.278863252423,315.729278564453,0.382622744052717,2,4,1838.14538574219,2,0.842632674765207,0.0819340633004299,0.0,0.0676143257290933,0.0078189362052695,0.0,0.0,0.0,12,0.0,0.0165270018621974,0.419925512104283,7.0,0.0,0.0,0.0,0.0,0.956108683260498,0.0438913167395022,0.0,0,0.0,0.0,0.0,0.0418958375772391,0.0,0.0,0.143410063149318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20384802032539,0.0,0.0,0.0,0.0,0.0,2980.31149425287,276.852358394199,0.0009738857692036,101195.297010634,-0.446261545022329,0.600413514508141,0.370353526539273,0.0001960505685928,,280.901360544218,389.568282312925,-0.714976807274243,0.0370145106250137,4.05786340289995e-05,0.14328802448296,,1.47995233535767,6.8262316385905,463.549967447917,0.0859656532605489,29.8983052571615,27.4583129882813,36.0468393961589,55.040293375651,2.10762882232666,11.4521115620931,,,,,,,,,,,,,,,,,,,,,,,1.11704107271652,6.50145502114147,33.372204774038,54.9890378879533,12.5965182189094,65.7074935080037,60.4230468770343,4.78314192929164,94.9672249924014,0.0072423479085787,60.3142526409839,3.56150861629662,1.47765543241877
2,8.514,45.144,8.58,45.21,8.547,45.177,13.6426189526367,102.247671195966,146.465850830078,0.583363997595534,2,4,1156.98901367188,2,0.852166520082087,0.0830215967946839,0.0012684452262288,0.0421342714746409,0.0092739177171894,0.0073487735756865,0.0029570995797908,0.0018293755496921,12,0.0364920192250638,0.169079689076129,0.346347831246662,7.0,0.0,0.0,0.0011616650532429,0.0,0.997676669893514,0.0011616650532429,0.0,0,0.0,0.0,0.0,0.1761815552488,0.0,0.0,0.18278774732137,0.0,0.0,0.0,0.0,0.219899127170168,0.439798254340335,0.0,0.299643215955081,0.731568513348392,0.0028097828952666,0.0,0.0,0.0,3003.76099881094,276.94272845132,0.0009574610508963,101303.138652499,-0.491921594218602,0.751815458138784,0.370851721082415,0.0001004227553815,,236.432142857143,336.295833333333,-0.643365187021202,0.0378128117668996,8.8374062684626e-05,0.142963584150768,,1.15443568759494,4.87678866916233,492.876736111111,0.0829114781485664,33.8427293565538,31.5384555392795,34.9023098415799,60.0829196506076,2.24556816948785,13.1922047932943,,,,,,,,,,,,,,,,,,,,,,,1.10225399707927,6.53252750508605,31.9104399403164,48.8590426800918,12.5327848280198,66.3016526923913,61.7897868127025,4.99425984632927,96.7115231763505,0.0168995770779292,57.7580359106299,3.67112753381072,1.57985343816556
3,8.514,45.21,8.58,45.276,8.547,45.243,26.8328793740234,109.311062339594,39.6490707397461,0.558838489293905,2,4,616.273559570313,2,0.877877460673909,0.0595482834913273,0.0,0.0282470952975406,0.0272026176217444,0.0034979959084595,0.0013899587531748,0.0022365882538442,12,0.0006144298858696,0.0514124207001429,0.592064638023993,7.0,0.0,0.0,0.0,0.0,0.994289521271533,0.0057104787284667,0.0,4,0.0,0.0,0.0,0.498295987750868,0.0,0.0,0.193318954872487,0.0,0.0,0.0,0.0,0.59628337969161,0.26087397861508,0.0,0.502577620589043,0.751814397598855,0.0018782406152851,0.0,0.0,0.0,3105.81212841855,276.930601450862,0.0009721049339319,101321.273785719,-0.480375206254237,0.675353761297775,0.369723726562362,0.0001620805741027,,226.375510204082,322.97619047619,-0.54403203429929,0.0360731613217206,0.0001109792190553,0.142927034565855,,1.16835927963257,5.51369285583496,487.398763020833,0.0844518740971883,32.5488001505534,30.0681025187174,35.8035202026367,58.8226572672526,2.35244846343994,12.3399810791016,,,,,,,,,,,,,,,,,,,,,,,1.11815841526547,6.54617598586949,32.5910139920066,53.6016564929758,12.1905083565365,67.0147298367639,60.6530659029821,5.03290456976675,95.789788431739,0.0101294451810973,59.0899191907315,3.919858035998,1.45802588541477
4,8.514,45.276,8.58,45.342,8.547,45.309,32.6639450583496,121.301777265762,24.8869781494141,0.444355241717016,2,4,3165.40869140625,2,0.862889766592763,0.0312612669932769,0.0,0.0274812672216757,0.0477704200742949,0.0203356483180877,0.0020254077326037,0.0082362230672977,12,0.0003359086328518,0.0795108175020839,0.563468070018288,7.0,0.0,0.0,0.0,0.0,0.957586273375747,0.0424137266242529,0.0,4,0.0,0.0,0.0,0.565563917203221,0.0,0.0,0.300525301760337,0.0,0.0,0.0,0.0,1.377665800001,1.86750252889025,0.0,0.719363465342717,0.7411102721614,0.0039324531617189,0.0,0.0,0.0,3396.51379310345,276.902088483175,0.0009843739452272,101260.018116784,-0.461560600333744,0.592832015620337,0.368292384677463,0.0002049136581099,,413.765014577259,558.761224489796,-0.618547592442103,0.0363896089637613,8.12562062234492e-05,0.143011143061718,,1.50273376040988,7.23073493109809,487.316080729167,0.0860211584303114,31.6063673231337,28.924323187934,37.0527004665799,58.9322306315104,2.44760661655002,11.2189212375217,,,,,,,,,,,,,,,,,,,,,,,1.12810883493158,6.57728588689305,33.4628374221303,59.0914461566245,11.8093256145372,66.7332875124018,59.6827093229993,4.88171297013777,94.9229212921709,0.0061612790378562,59.8345890864986,3.78965823139329,1.37330194983917
5,8.514,45.342,8.58,45.408,8.547,45.375,3.66604392944336,127.9629916294,180.575225830078,0.198798456483833,2,4,2366.263671875,2,0.942808825780493,0.0396460357608846,0.0,0.0067643907310352,0.0093156156834731,0.0014651320441143,0.0,0.0,12,0.0,0.0318167010533174,0.776740145509827,7.0,0.0,0.0,0.0,0.0,0.948976677772489,0.0510233222275107,0.0,0,0.0,0.0,0.0,0.0905625505371376,0.0,0.0,0.008283965081932,0.0,0.0,0.0,0.0,0.272773599892961,0.272773599892961,0.0,0.493599278865101,0.530880077093895,0.0014159072527679,0.0,0.0,0.0,3398.42330558859,276.810534053379,0.0009435753177274,100621.814123729,-0.43226287762324,0.469022625022464,0.360610842704773,0.0003153758939653,,249.689583333333,346.019047619048,-0.656733714218596,0.0357025221525328,7.4809613896802e-05,0.143226014196043,,1.85243606567383,9.13023969862196,489.57763671875,0.0866644117567274,31.1809556749132,28.2610100640191,38.2577379014757,59.3866780598958,2.4758366478814,10.3761461046007,,,,,,,,,,,,,,,,,,,,,,,1.12150594243662,6.62969449354646,34.4235785160736,64.1739801263902,11.4269430875138,65.2355451682696,58.7109719716038,4.52091930257603,93.9771990872227,0.0038575758930182,60.007469518596,3.40528392544389,1.30739026604107
6,8.514,45.738,8.58,45.804,8.547,45.771,8.76277087451172,209.773216128925,0.0,3.35474891546232,3,2,20479.97265625,5,0.0649574052292945,0.173713115177597,0.0076770881771018,0.594469821992457,0.135546498658181,0.0089717990098197,0.0002674520030027,0.0143968197525461,19,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.984628522630231,0.0,0.0153714773697694,0,0.0,0.0,0.0,0.232963602550478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456476616504353,0.456476616504353,0.0,0.586364612962556,0.717189720150071,0.0,0.342357462378265,0.114119154126088,0.798834078882618,4209.95517241379,277.141242217585,0.0003447712585105,97422.7521020452,-0.593277304756398,0.0122778579221021,0.30827735502974,0.0001441389915861,,92.6717893217893,129.026315634479,-1.37172455838704,0.0345470056091073,0.0001302002040075,0.145042822699235,,0.737119250827365,2.19569502936469,322.379069010417,0.0943259530597263,19.0679287380642,17.4152170817057,19.4274054633247,33.1531575520833,1.16454039679633,21.4092305501302,,0.0009920634920634,,,,,,,,,,,,,,,,,,,,,0.914250520683267,6.45467565732149,42.176859596367,77.0143684357542,16.5433688564426,50.4159066511126,48.0784642447492,3.92751608208283,77.1540734583057,0.0010333771840697,64.9583363852962,1.99177468960382,1.3223821351857
7,8.514,45.804,8.58,45.87,8.547,45.837,1.21207913427734,193.880497685185,0.0,0.140557751739743,3,2,5331.3681640625,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.851115360101976,0.0,0.148884639898024,0,0.0077839132459583,0.0,0.0,0.0243330450402501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4663.56242568371,277.044757122896,0.0003084738485347,96695.61548073,-0.491099332330449,0.0052682954708194,0.288227105086623,0.0001266031521721,,83.7689204545455,118.709977324263,-1.37805501838446,0.0346413638189466,0.0001866181832902,0.145356218348304,,0.582091861300998,1.36054282718235,283.267876519097,0.0919747749964396,15.1852586534288,13.9119228786892,15.9181060791016,26.5154673258464,0.927457067701552,24.1589118109809,,,,,,,,,,,,,,,,,,,,,,,0.918617354128253,6.39861977640388,42.9650355251332,73.4375880703257,18.6534058254538,48.3655264156661,46.3891398869134,3.89991347926665,68.9595317224448,0.0004976090372733,69.3796692336347,2.62297203729771,1.48496417138556
8,8.514,45.87,8.58,45.936,8.547,45.903,5.77462234106445,,,,3,2,15305.6982421875,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0277435470441299,0.0,0.0,0.0093255620316403,0.0,0.0,0.0,0.0,0.116885928393006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2212.07015457788,276.580375081017,0.0002544695885189,94975.4744659908,-0.331802764582255,0.0072360218517364,0.295104632301936,0.0001086458138247,,83.9455885384457,84.0817569830963,-1.35079968861244,0.0351656128784445,0.0001525274335913,0.145525751405912,,0.44608207543691,0.81921911239624,241.031188964844,0.0861305395762126,11.9078661600749,10.9980392456055,12.0826034545898,19.9453493754069,0.803839524586995,27.0118281046549,,,,,,,,,,,,,,,,,,,,,,,0.918913024277631,6.40128106725663,43.4468857134003,70.2918339298715,20.510558413536,46.9100647969495,45.210024908292,3.84598851023463,60.8746872344834,0.0001572849809901,72.4737999434306,3.32533302764644,1.64098414529079
9,8.58,45.012,8.646,45.078,8.613,45.045,1.97078264941406,87.0930791841097,172.653121948242,0.305189428446041,2,4,8185.416015625,2,0.585656565656566,0.300579124579125,0.0047811447811447,0.104390572390572,0.0045925925925925,0.0,0.0,0.0,4,0.004739336492891,0.186808846761453,0.0,7.0,0.0,0.0,0.204742921394255,0.0,0.777675559644281,0.0175815189614638,0.0,0,0.0,0.0,0.0,0.0517017961125236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.507412626297127,0.507412626297127,4126.91379310345,276.934859518021,0.0008972921191126,100582.358394562,-0.294477828911373,0.827654122360169,0.371729169573103,0.0001069138312167,,182.099368318756,260.856851311953,-0.836291496536387,0.0369006769371817,0.0001389981774709,0.142557012852203,,1.51510047912598,4.23219935099284,518.405815972222,0.0812199645572239,35.9356486002604,33.6978488498264,34.8353644476997,62.3153483072917,2.0821475982666,14.4327053493924,,,,,,,,,,,,,,,,,,,,,,,1.06364160898487,6.52960624914121,31.5875373273799,45.6265455405808,12.5739527193124,63.6054253816679,64.1138132790781,4.64314037272393,98.0539373934231,0.0442570743030571,53.3793593572694,2.84631754916745,1.82403273917201
10,8.58,45.078,8.646,45.144,8.613,45.111,19.4449674470215,95.5486874638329,62.2639083862305,0.388017247258886,2,4,1397.96313476563,2,0.882210454928449,0.0707005802204427,0.0055446331321628,0.0120222771768542,0.0232567698093561,0.003405969351756,0.0005315833099281,0.0023277320710513,12,0.0159335679811158,0.098636373216431,0.390077349463612,7.0,0.0,0.0,0.0015328019619865,0.0,0.998467198038014,0.0,0.0,0,0.0,0.0,0.0,0.334367306745446,0.169604464139176,0.0,0.0,0.0,0.0,0.0,0.0,0.205708752709314,3.18848566699436,0.0,0.249606039998024,1.07829247177527,0.0014534527260198,0.102854376354657,0.205708752709314,0.411417505418628,3406.86777777778,277.006078826057,0.0009089159044262,101046.5964898,-0.448319362269507,0.818475597434574,0.371377309163411,0.0001156019558752,,188.640136054422,269.709523809524,-0.835436432485659,0.0366334298970282,0.0002282956781261,0.142778661617914,,1.32042524549696,4.60723368326823,514.050944010417,0.0810223288006253,35.4234958224826,33.1647813585069,34.9676378038194,61.9582926432292,2.25880389743381,13.8143293592665,,,,,,,,,,,,,,,,,,,,,,,1.07161243481598,6.61063710679425,31.3697361079177,46.9092486490779,12.2394884706666,64.8501122082357,62.1761188202958,4.81027326501733,97.2792121486148,0.0283419180533195,54.9770631810311,3.23902726935313,1.63289310993616
