fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int
1,8.448,45.276,8.514,45.342,8.481,45.309,1.78035081054688,115.278863252423,315.729278564453,0.382622744052717,2,4,1838.14538574219,2,0.842632674765207,0.0819340633004299,0.0,0.0676143257290933,0.0078189362052695,0.0,0.0,0.0,12,0.0,0.0165270018621974,0.419925512104283,7.0,0.0,0.0,0.0,0.0,0.956108683260498,0.0438913167395022,0.0,0,0.0,0.0,0.0,0.0418958375772391,0.0,0.0,0.143410063149318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20384802032539,0.0,0.0,0.0,0.0,0.0,2799.78045977012,276.305635028415,0.003640040759453,99836.7362738715,-0.773316052224901,0.06510415342119,0.403787202305264,0.0001118369466083,,258.5,13.1607142857143,-1.28908875189723,0.0381390794394024,9.49638740861499e-05,0.144620814915845,1821.9948902841,1.91534900665283,6.22747739156087,431.724324544271,0.0124466270208359,25.9392954508464,24.0325673421224,31.9863586425781,51.5110880533854,1.73522504170736,18.1993497212728,,,,,,,,,,,,,,,,,,,,,,,0.981585208869089,2.64472904886939,36.6320467991466,67.6472502689144,13.405834571715,46.2297205202193,49.2485234166148,2.54488742654908,97.6670649471499,0.0450817095148228,36.9703583217928,1.47698731941993,2.41511667735002
2,8.514,45.144,8.58,45.21,8.547,45.177,13.6426189526367,102.247671195966,146.465850830078,0.583363997595534,2,4,1156.98901367188,2,0.852166520082087,0.0830215967946839,0.0012684452262288,0.0421342714746409,0.0092739177171894,0.0073487735756865,0.0029570995797908,0.0018293755496921,12,0.0364920192250638,0.169079689076129,0.346347831246662,7.0,0.0,0.0,0.0011616650532429,0.0,0.997676669893514,0.0011616650532429,0.0,0,0.0,0.0,0.0,0.1761815552488,0.0,0.0,0.18278774732137,0.0,0.0,0.0,0.0,0.219899127170168,0.439798254340335,0.0,0.299643215955081,0.731568513348392,0.0028097828952666,0.0,0.0,0.0,3007.29250891795,276.175380434309,0.0035400681069913,99943.7946816096,-0.745061013433668,0.34878344952114,0.402332493237087,9.38444601814834e-05,,,0.0,-1.01443694310901,0.0378924903630051,7.75301640870787e-05,0.144594866052823,1819.63491871781,1.61020056406657,4.70575375027127,450.940700954861,0.0139147655831443,28.4498731825087,26.5749681260851,30.1226569281684,53.4420878092448,1.4163818359375,17.3061116536458,,,,,,,,,,,,,,,,,,,,,,,0.8928883486964,3.50570169522381,34.6309137382275,59.3227899685055,11.93000472123,46.0598299056227,48.5301217056034,2.70342606655501,98.703704568333,0.0453144033177986,35.0273943794624,1.46838943692783,2.70776641508752
3,8.514,45.21,8.58,45.276,8.547,45.243,26.8328793740234,109.311062339594,39.6490707397461,0.558838489293905,2,4,616.273559570313,2,0.877877460673909,0.0595482834913273,0.0,0.0282470952975406,0.0272026176217444,0.0034979959084595,0.0013899587531748,0.0022365882538442,12,0.0006144298858696,0.0514124207001429,0.592064638023993,7.0,0.0,0.0,0.0,0.0,0.994289521271533,0.0057104787284667,0.0,4,0.0,0.0,0.0,0.498295987750868,0.0,0.0,0.193318954872487,0.0,0.0,0.0,0.0,0.59628337969161,0.26087397861508,0.0,0.502577620589043,0.751814397598855,0.0018782406152851,0.0,0.0,0.0,2978.71581450654,276.286383938087,0.0036125295808471,99961.384055901,-0.787858716214325,0.193533540312665,0.402031913636223,0.0001638591100066,,,0.0,-1.14714112195707,0.0381260821702088,0.0001130681326284,0.144776349681842,1822.6038679896,1.69014898935954,5.55780029296875,448.341959635417,0.0135216861963272,27.8073247273763,25.831298828125,31.0349248250326,54.7059071858724,1.67735656102498,17.6160024007161,,,,,,,,,,,,,,,,,,,,,,,0.941852921865964,3.01886595194896,35.5615932958159,64.0501222642623,12.0378806884358,45.1388395337062,48.3755314412219,2.56910531039625,98.0615898222138,0.0408761091990934,34.3092325462702,1.54651924891604,2.43888243308778
4,8.514,45.276,8.58,45.342,8.547,45.309,32.6639450583496,121.301777265762,24.8869781494141,0.444355241717016,2,4,3165.40869140625,2,0.862889766592763,0.0312612669932769,0.0,0.0274812672216757,0.0477704200742949,0.0203356483180877,0.0020254077326037,0.0082362230672977,12,0.0003359086328518,0.0795108175020839,0.563468070018288,7.0,0.0,0.0,0.0,0.0,0.957586273375747,0.0424137266242529,0.0,4,0.0,0.0,0.0,0.565563917203221,0.0,0.0,0.300525301760337,0.0,0.0,0.0,0.0,1.377665800001,1.86750252889025,0.0,0.719363465342717,0.7411102721614,0.0039324531617189,0.0,0.0,0.0,3448.51494252874,276.375402813866,0.0036850862141973,99900.3902917287,-0.821768520370362,0.0295579565895928,0.401714688255673,0.0002061359921455,,,0.0,-1.33554385702914,0.0370293016146022,8.74010747365431e-05,0.144772621560353,1823.1062194015,1.98176405164931,7.67571343315972,456.673502604167,0.0129676601952977,27.8588358561198,25.7538655598958,32.8381008572049,56.4380357530382,1.95087729560004,17.4491034613715,,,,,,,,,,,,,,,,,,,,,,,0.992236619470344,2.60980173055905,36.6425269474526,69.8905161919407,12.2964408050273,45.4816866339488,48.4719763829693,2.49554969124422,97.3508380841389,0.0415469197713537,34.890077283279,1.59010980660704,2.22146845761068
5,8.514,45.342,8.58,45.408,8.547,45.375,3.66604392944336,127.9629916294,180.575225830078,0.198798456483833,2,4,2366.263671875,2,0.942808825780493,0.0396460357608846,0.0,0.0067643907310352,0.0093156156834731,0.0014651320441143,0.0,0.0,12,0.0,0.0318167010533174,0.776740145509827,7.0,0.0,0.0,0.0,0.0,0.948976677772489,0.0510233222275107,0.0,0,0.0,0.0,0.0,0.0905625505371376,0.0,0.0,0.008283965081932,0.0,0.0,0.0,0.0,0.272773599892961,0.272773599892961,0.0,0.493599278865101,0.530880077093895,0.0014159072527679,0.0,0.0,0.0,3538.65517241379,276.350783605424,0.0037850041574634,99268.7809167287,-0.837545260550484,-0.168440937995911,0.398694123540606,0.0001557024505808,,294.0,52.1785714285714,-1.33703354157485,0.0354950287365102,8.72866810529155e-05,0.144390241710913,1828.23146790952,2.25700929429796,9.69859822591146,463.413682725694,0.0123091795378261,27.8286268446181,25.667958577474,34.3630981445313,57.1506822374132,2.22792646620009,17.3697238498264,,,,,,,,,,,,,,,,,,,,,,,1.02981636878606,2.27613814803367,37.6015411969989,75.7536586523468,12.6397015965401,46.9710628849075,48.6258044702732,2.48887856761785,96.5092238752372,0.045031370701203,36.4125072954424,1.59387014718623,2.04272125875223
6,8.514,45.738,8.58,45.804,8.547,45.771,8.76277087451172,209.773216128925,0.0,3.35474891546232,3,2,20479.97265625,5,0.0649574052292945,0.173713115177597,0.0076770881771018,0.594469821992457,0.135546498658181,0.0089717990098197,0.0002674520030027,0.0143968197525461,19,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.984628522630231,0.0,0.0153714773697694,0,0.0,0.0,0.0,0.232963602550478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456476616504353,0.456476616504353,0.0,0.586364612962556,0.717189720150071,0.0,0.342357462378265,0.114119154126088,0.798834078882618,4113.80114942529,276.131169459717,0.0043639078151625,96107.7059096425,-0.82844425788542,0.0653203368997898,0.36965076507084,5.88280476451508e-05,,106.55632183908,144.490816326531,-1.32332753451117,0.0345071994133113,7.12593825078661e-05,0.143907411450666,1856.44506694037,0.847829447852241,2.36848746405707,318.07080078125,0.0098761932717429,17.7439609103733,15.8941294352214,19.4871758355035,28.5895453559028,0.976747830708822,34.1327921549479,,0.0629183400267738,,,,,,,,,,,,,,,,,,,,,0.904672389381935,1.19805515197299,36.6165544142822,68.3220138522179,24.292963414914,43.7405303313154,44.6133612990171,2.80389770634896,79.9432606989973,0.0618885531927616,47.5970683549858,2.01533229601953,1.72141809560728
7,8.514,45.804,8.58,45.87,8.547,45.837,1.21207913427734,193.880497685185,0.0,0.140557751739743,3,2,5331.3681640625,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.851115360101976,0.0,0.148884639898024,0,0.0077839132459583,0.0,0.0,0.0243330450402501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4456.79785969084,275.790922960727,0.0044506793073309,95386.9294073749,-0.740729887469285,0.0852404957185256,0.347689745377521,4.84241453014105e-05,,98.2876543209877,94.9853741496599,-1.24231300939536,0.0342990870010256,7.15798714139084e-05,0.143793631533769,,0.665509435865614,1.35750177171495,275.422797309028,0.0102233348621262,14.4142591688368,12.7220603095161,15.6261749267578,22.3563605414497,0.83322885301378,38.1121893988715,,,,,,,,,,,,,,,,,,,,,,,0.921494745110669,1.14416082761376,36.0295434336405,63.0824554425207,27.1965279656908,41.2346127573203,43.6270686049057,2.66334231796653,73.4093572406152,0.0605776679106911,49.5393347625098,2.61324788698696,1.86497967494976
8,8.514,45.87,8.58,45.936,8.547,45.903,5.77462234106445,,,,3,2,15305.6982421875,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0277435470441299,0.0,0.0,0.0093255620316403,0.0,0.0,0.0,0.0,0.116885928393006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.85493460166,274.817956137279,0.0045912805194221,93681.9180695064,-0.602832992871602,0.127639515059335,0.339822678338914,5.59650564904652e-05,,79.7516290726817,79.1478316326531,-1.36904055878831,0.0351883940790453,2.00110368206134e-05,0.14353035632393,,0.503938555717468,0.762997627258301,242.173156738281,0.0100554103652636,11.5216331481934,9.96717071533203,12.3253211975098,17.7078539530436,0.746492465337118,41.5321655273438,,,,,,,,,,,,,,,,,,,,,,,0.932318768170346,1.12926009282141,35.9813502543021,59.7129847821211,29.4540367567016,39.4750345657372,43.036884735476,2.54216568392363,67.6091705914562,0.0578627557027986,51.6921846986734,3.08611678739202,2.08862487164929
9,8.58,45.012,8.646,45.078,8.613,45.045,1.97078264941406,87.0930791841097,172.653121948242,0.305189428446041,2,4,8185.416015625,2,0.585656565656566,0.300579124579125,0.0047811447811447,0.104390572390572,0.0045925925925925,0.0,0.0,0.0,4,0.004739336492891,0.186808846761453,0.0,7.0,0.0,0.0,0.204742921394255,0.0,0.777675559644281,0.0175815189614638,0.0,0,0.0,0.0,0.0,0.0517017961125236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.507412626297127,0.507412626297127,4057.15517241379,275.926918423365,0.0032302279971194,99230.3724345858,-0.339794720922198,0.641423772251795,0.404927147759332,7.75417028644397e-05,,243.5,28.3469387755102,-1.26932213295054,0.0378966668307694,0.0001921137574963,0.145034990684967,1818.48973700163,1.71845520867242,4.36044311523438,457.211317274306,0.0145853840642505,29.7914089626736,27.5528089735243,29.2100490993924,53.4265679253472,1.47857517666287,17.5663689507378,,,,,,,,,,,,,,,,,,,,,,,0.817049702288741,4.78408054853461,33.3674295050875,54.0226411537959,11.4979108297081,48.9938492479371,49.019335325912,3.04082714481785,98.9065615014269,0.0736802244968822,37.4400322929081,1.34753034569771,3.19067790407754
10,8.58,45.078,8.646,45.144,8.613,45.111,19.4449674470215,95.5486874638329,62.2639083862305,0.388017247258886,2,4,1397.96313476563,2,0.882210454928449,0.0707005802204427,0.0055446331321628,0.0120222771768542,0.0232567698093561,0.003405969351756,0.0005315833099281,0.0023277320710513,12,0.0159335679811158,0.098636373216431,0.390077349463612,7.0,0.0,0.0,0.0015328019619865,0.0,0.998467198038014,0.0,0.0,0,0.0,0.0,0.0,0.334367306745446,0.169604464139176,0.0,0.0,0.0,0.0,0.0,0.0,0.205708752709314,3.18848566699436,0.0,0.249606039998024,1.07829247177527,0.0014534527260198,0.102854376354657,0.205708752709314,0.411417505418628,3577.01222222222,276.024752934774,0.0034442906578154,99690.1859266493,-0.600920557975769,0.502275241745843,0.401807149251302,5.02662232940646e-05,,,0.0,-1.08191500604219,0.0379621292311369,0.000241308873696,0.144611552709359,1829.46688209978,1.69646263122559,4.79421149359809,461.675455729167,0.0145631664329105,29.8145480685764,27.6672515869141,29.9353705512153,55.1156073676215,1.49211798773872,17.1685502794054,,,,,,,,,,,,,,,,,,,,,,,0.828526295943861,4.11334565140655,33.4951438228826,55.7745473123552,10.9906816674655,47.4441114527364,47.8804326398465,2.87418731705438,98.6575314882447,0.0530794666611749,35.1805742548971,1.46051067324932,2.84427126304018
