fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int
1,8.448,45.276,8.514,45.342,8.481,45.309,1.78035081054688,115.278863252423,315.729278564453,0.382622744052717,2,4,1838.14538574219,2,0.842632674765207,0.0819340633004299,0.0,0.0676143257290933,0.0078189362052695,0.0,0.0,0.0,12,0.0,0.0165270018621974,0.419925512104283,7.0,0.0,0.0,0.0,0.0,0.956108683260498,0.0438913167395022,0.0,0,0.0,0.0,0.0,0.0418958375772391,0.0,0.0,0.143410063149318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20384802032539,0.0,0.0,0.0,0.0,0.0,2661.01724137931,274.793278588189,0.0021781970124731,99796.2659776475,-0.665263573328654,-0.169111510117849,0.419738054275513,6.95488570148293e-05,,92.9642857142857,134.875,-1.07781364789126,0.0376005561447889,0.0001025488659106,0.142059700018916,1888.42050394954,1.2230585416158,1.51269149780273,363.968424479167,0.0584813455740611,26.3499704996745,23.7277755737305,22.0786616007487,37.5497029622396,1.49664942423503,26.1411895751953,,,,,,,,,,,,,,,,,,,,,,,0.826840714394524,-0.408399173814724,20.3628095271454,23.5222357146234,24.5355925921599,22.4111474092828,19.9659595151796,3.34571558382143,99.6731901264357,0.0158932471594195,45.2216558155668,0.751133935268671,2.02060088563916
2,8.514,45.144,8.58,45.21,8.547,45.177,13.6426189526367,102.247671195966,146.465850830078,0.583363997595534,2,4,1156.98901367188,2,0.852166520082087,0.0830215967946839,0.0012684452262288,0.0421342714746409,0.0092739177171894,0.0073487735756865,0.0029570995797908,0.0018293755496921,12,0.0364920192250638,0.169079689076129,0.346347831246662,7.0,0.0,0.0,0.0011616650532429,0.0,0.997676669893514,0.0011616650532429,0.0,0,0.0,0.0,0.0,0.1761815552488,0.0,0.0,0.18278774732137,0.0,0.0,0.0,0.0,0.219899127170168,0.439798254340335,0.0,0.299643215955081,0.731568513348392,0.0028097828952666,0.0,0.0,0.0,2823.94768133175,274.405382973807,0.002258965971072,99906.8924657428,-0.530385808339195,0.262797778561002,0.418535185238672,7.69012965827655e-05,,95.875,138.991071428571,-1.05317707248247,0.0378429557724723,0.0002216482307943,0.142236574072378,1879.97344389765,1.27178711361355,1.42456330193414,400.273301866319,0.0519559582074483,29.2517598470052,26.1840481228299,23.0811309814453,44.1822984483507,1.37351968553331,24.7861039903429,,,,,,,,,,,,,,,,,,,,,,,0.863821663301195,0.341493438298296,19.2866862864207,21.0532216799293,22.9195753334484,23.6851584046973,19.7140407296316,3.19019600134321,100.822511165664,0.0205820126462516,42.4676491641348,0.816236925374742,2.21266580402254
3,8.514,45.21,8.58,45.276,8.547,45.243,26.8328793740234,109.311062339594,39.6490707397461,0.558838489293905,2,4,616.273559570313,2,0.877877460673909,0.0595482834913273,0.0,0.0282470952975406,0.0272026176217444,0.0034979959084595,0.0013899587531748,0.0022365882538442,12,0.0006144298858696,0.0514124207001429,0.592064638023993,7.0,0.0,0.0,0.0,0.0,0.994289521271533,0.0057104787284667,0.0,4,0.0,0.0,0.0,0.498295987750868,0.0,0.0,0.193318954872487,0.0,0.0,0.0,0.0,0.59628337969161,0.26087397861508,0.0,0.502577620589043,0.751814397598855,0.0018782406152851,0.0,0.0,0.0,2858.80975029727,274.620430243529,0.0021866082795947,99923.6780383052,-0.592549725724997,0.0346196720929913,0.418042963594536,6.07139453399738e-05,,100.571428571429,145.755102040816,-1.08173044893429,0.0371711297505858,0.0002263385273766,0.141965027687324,1882.33057457005,1.16152056058248,1.47535387674967,385.43701171875,0.05732328693072,28.2034556070964,25.3382339477539,22.7104517618815,41.4993311564128,1.5637731552124,24.7921396891276,,,,,,,,,,,,,,,,,,,,,,,0.865922298059317,-0.0103071975467842,20.1872021765948,23.6722756449771,22.9591142108246,23.1079682804797,19.7712566137613,3.33569807512535,99.452405620832,0.0150942531323412,43.4681807667566,0.95959972507075,2.08212615114853
4,8.514,45.276,8.58,45.342,8.547,45.309,32.6639450583496,121.301777265762,24.8869781494141,0.444355241717016,2,4,3165.40869140625,2,0.862889766592763,0.0312612669932769,0.0,0.0274812672216757,0.0477704200742949,0.0203356483180877,0.0020254077326037,0.0082362230672977,12,0.0003359086328518,0.0795108175020839,0.563468070018288,7.0,0.0,0.0,0.0,0.0,0.957586273375747,0.0424137266242529,0.0,4,0.0,0.0,0.0,0.565563917203221,0.0,0.0,0.300525301760337,0.0,0.0,0.0,0.0,1.377665800001,1.86750252889025,0.0,0.719363465342717,0.7411102721614,0.0039324531617189,0.0,0.0,0.0,3304.19425287356,274.803198012095,0.0021124602435155,99861.3617117746,-0.652960690241011,-0.205605568393828,0.417477834792364,5.70155949796196e-05,,98.7959183673469,143.275510204082,-1.03661281611666,0.0378925191902072,0.0001096456648201,0.142107795252817,1884.86654582872,1.2699106004503,1.71041054195828,377.939534505208,0.0636103683047824,27.6248558892144,24.8463948567708,23.4474860297309,39.9705539279514,1.75430319044325,24.5683441162109,,,,,,,,,,,,,,,,,,,,,,,0.847345120187336,-0.319652439520278,21.1910562552703,26.2437456150504,23.1733913249709,22.4292770035101,19.7524301973422,3.37913599023576,98.2777450534887,0.0131883318379945,44.2036821085861,1.03662969596638,1.94349420780255
5,8.514,45.342,8.58,45.408,8.547,45.375,3.66604392944336,127.9629916294,180.575225830078,0.198798456483833,2,4,2366.263671875,2,0.942808825780493,0.0396460357608846,0.0,0.0067643907310352,0.0093156156834731,0.0014651320441143,0.0,0.0,12,0.0,0.0318167010533174,0.776740145509827,7.0,0.0,0.0,0.0,0.0,0.948976677772489,0.0510233222275107,0.0,0,0.0,0.0,0.0,0.0905625505371376,0.0,0.0,0.008283965081932,0.0,0.0,0.0,0.0,0.272773599892961,0.272773599892961,0.0,0.493599278865101,0.530880077093895,0.0014159072527679,0.0,0.0,0.0,3327.8644470868,274.761419447642,0.0019598015012321,99225.1012951079,-0.715065657146393,-0.454091133579375,0.415298715470329,6.01328399875486e-05,,92.3869047619047,134.127976190476,-1.09837948853756,0.0381972240010409,4.43750438268216e-05,0.141874039271121,1882.50858686777,1.40615950690375,2.03047264946832,373.043918185764,0.0677041610081991,27.2256164550781,24.4913991292318,24.4139760335286,38.6962619357639,1.90185546875,24.4286804199219,,,,,,,,,,,,,,,,,,,,,,,0.808108386794421,-0.579889095462536,21.903583987482,27.8176107635589,23.5724406041316,21.6514251255559,19.6117059927093,3.29774487094743,97.2479423277516,0.0134824241489576,44.8220456064244,1.05194248817025,1.80256587282367
6,8.514,45.738,8.58,45.804,8.547,45.771,8.76277087451172,209.773216128925,0.0,3.35474891546232,3,2,20479.97265625,5,0.0649574052292945,0.173713115177597,0.0076770881771018,0.594469821992457,0.135546498658181,0.0089717990098197,0.0002674520030027,0.0143968197525461,19,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.984628522630231,0.0,0.0153714773697694,0,0.0,0.0,0.0,0.232963602550478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456476616504353,0.456476616504353,0.0,0.586364612962556,0.717189720150071,0.0,0.342357462378265,0.114119154126088,0.798834078882618,4177.35747126437,273.985554727567,0.0012319554153262,96042.1489850172,-0.644516040408422,0.0727705199972572,0.364906451599398,3.86735270730883e-05,,82.9197916666667,96.7547619047619,-1.0455152028346,0.0364905973921077,0.0001959444092067,0.141852359460162,,0.733809683057997,1.26306109958225,305.798665364583,0.0693453285429213,20.8630727132161,17.8810221354167,16.1619601779514,30.0961303710938,1.00152111053467,38.0045810275608,,0.0397863818424566,,,,,,,,,,,,,,,,,,,,,0.590731645024154,-1.30277059144406,18.3883117738605,21.9785416548855,31.8507343846028,18.1252037717173,17.2265473695335,2.39350750509907,89.6209028398369,0.0373865061171063,46.7011422645149,0.667845976998931,1.33975692492257
7,8.514,45.804,8.58,45.87,8.547,45.837,1.21207913427734,193.880497685185,0.0,0.140557751739743,3,2,5331.3681640625,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.851115360101976,0.0,0.148884639898024,0,0.0077839132459583,0.0,0.0,0.0243330450402501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4365.73959571938,273.533548843834,0.001261145299936,95314.6155383052,-0.610595994525486,0.126803795091149,0.34252738087626,4.57105214627166e-05,,,15.2962585034014,-1.0919573576584,0.035508932886231,0.000195786824139,0.141756621527389,,0.676385879516602,0.95808654361301,282.833957248264,0.0746279093954298,18.5569068060981,15.6285095214844,13.8229565090603,26.3563317192925,0.932637850443522,40.9469672309028,,,,,,,,,,,,,,,,,,,,,,,0.624406249648975,-1.31156458865864,17.886671168656,21.3994590441008,33.7928291894235,17.8513908843386,17.2575517289355,2.4105711311969,87.1910590511625,0.0337649882741529,46.7396292401694,0.989381961579346,1.41712587186688
8,8.514,45.87,8.58,45.936,8.547,45.903,5.77462234106445,,,,3,2,15305.6982421875,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0277435470441299,0.0,0.0,0.0093255620316403,0.0,0.0,0.0,0.0,0.116885928393006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1836.32936979786,272.233253660656,0.0013101516739789,93594.2109181238,-0.552690101048303,0.221859476869068,0.340650437370179,4.50190115677609e-05,,105.39880952381,68.8214285714286,-1.27174999473719,0.0382042857919896,0.0002450323789965,0.141872864612391,,0.588226556777954,0.714049418767293,257.457234700521,0.0788571089506149,15.6424331665039,13.0456606547038,10.9803746541341,21.5000457763672,0.842433134714762,43.8501688639323,,,,,,,,,,,,,,,,,,,,,,,0.647721098170272,-1.29661065080205,17.9447521866405,21.6668835376395,35.4808189956721,17.8807661534177,17.6211974531467,2.42078984313176,86.0438425273025,0.0288499110759226,47.0185719025215,1.20841422902944,1.56410801104991
9,8.58,45.012,8.646,45.078,8.613,45.045,1.97078264941406,87.0930791841097,172.653121948242,0.305189428446041,2,4,8185.416015625,2,0.585656565656566,0.300579124579125,0.0047811447811447,0.104390572390572,0.0045925925925925,0.0,0.0,0.0,4,0.004739336492891,0.186808846761453,0.0,7.0,0.0,0.0,0.204742921394255,0.0,0.777675559644281,0.0175815189614638,0.0,0,0.0,0.0,0.0,0.0517017961125236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.507412626297127,0.507412626297127,3916.4816091954,273.658992282928,0.002427911873101,99188.6613149492,-0.192502752182976,0.574207683404287,0.41927538977729,7.5549216299465e-05,,113.071428571429,163.816326530612,-1.22507779741196,0.0381380712684457,0.0001203638349176,0.142555280843771,1879.07740634334,1.79635598924425,1.74689409467909,423.838406032986,0.04072172443072,31.3575608995226,28.1952955457899,25.307868109809,49.0103047688802,1.57121149698893,23.7513444688585,,,,,,,,,,,,,,,,,,,,,,,0.806796613514428,1.34418112631619,18.6011719606797,18.6721080823411,22.2361912733794,24.4987539718253,19.2320134391963,2.73292963978481,102.449002108929,0.0479147349191264,39.1408237129307,0.587285683635387,2.40240950830381
10,8.58,45.078,8.646,45.144,8.613,45.111,19.4449674470215,95.5486874638329,62.2639083862305,0.388017247258886,2,4,1397.96313476563,2,0.882210454928449,0.0707005802204427,0.0055446331321628,0.0120222771768542,0.0232567698093561,0.003405969351756,0.0005315833099281,0.0023277320710513,12,0.0159335679811158,0.098636373216431,0.390077349463612,7.0,0.0,0.0,0.0015328019619865,0.0,0.998467198038014,0.0,0.0,0,0.0,0.0,0.0,0.334367306745446,0.169604464139176,0.0,0.0,0.0,0.0,0.0,0.0,0.205708752709314,3.18848566699436,0.0,0.249606039998024,1.07829247177527,0.0014534527260198,0.102854376354657,0.205708752709314,0.411417505418628,3377.08888888889,273.953999413384,0.0023042949959856,99654.1097276475,-0.379249016443888,0.543364584445953,0.418809572855631,7.50228981175949e-05,,98.9795918367347,143.622448979592,-1.15086055402545,0.0376165618262332,0.0002163801803213,0.142707471578304,1875.20339435339,1.56794325510661,1.67089949713813,417.07470703125,0.0447586245006985,31.0252549913194,27.8018951416016,24.6277838812934,47.6464029947917,1.52920627593994,23.8341776529948,,,,,,,,,,,,,,,,,,,,,,,0.84950906690249,0.898975351152246,18.8499100622807,19.874423913657,21.827377519035,24.1958527755756,19.2600480271624,2.9110440607567,101.028659142547,0.0303498366967328,39.9895202954373,0.89703061620235,2.26755846759257
