fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int
1,8.448,45.276,8.514,45.342,8.481,45.309,1.78035081054688,115.278863252423,315.729278564453,0.382622744052717,2,4,1838.14538574219,2,0.842632674765207,0.0819340633004299,0.0,0.0676143257290933,0.0078189362052695,0.0,0.0,0.0,12,0.0,0.0165270018621974,0.419925512104283,7.0,0.0,0.0,0.0,0.0,0.956108683260498,0.0438913167395022,0.0,0,0.0,0.0,0.0,0.0418958375772391,0.0,0.0,0.143410063149318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20384802032539,0.0,0.0,0.0,0.0,0.0,2461.58965517241,282.281095398797,0.0010883305431102,100251.393907335,-0.259543697039286,-0.158737825022803,0.377233876122369,6.03277929371554e-05,0.0006252179009679,76.1741071428571,110.491071428571,-1.13437833106491,0.0376836628741652,5.04090963131303e-05,0.151871793581631,1865.48747382945,4.97282886505127,1.11485981941223,295.357259114583,0.0788443386554718,21.8885142008464,19.2260004679362,17.5635579427083,21.9846572875977,1.72192064921061,50.2847544352214,,,,,,,,,,,,,,,,,,,,,,,0.581510592919202,4.00066102664797,14.9737893836233,16.7675649948083,54.8813749450741,20.9896867745378,16.5802866851209,4.43582224278385,82.2421948641282,0.0019024977202188,130.747870103299,9.86957019357468,2.52573007258599
2,8.514,45.144,8.58,45.21,8.547,45.177,13.6426189526367,102.247671195966,146.465850830078,0.583363997595534,2,4,1156.98901367188,2,0.852166520082087,0.0830215967946839,0.0012684452262288,0.0421342714746409,0.0092739177171894,0.0073487735756865,0.0029570995797908,0.0018293755496921,12,0.0364920192250638,0.169079689076129,0.346347831246662,7.0,0.0,0.0,0.0011616650532429,0.0,0.997676669893514,0.0011616650532429,0.0,0,0.0,0.0,0.0,0.1761815552488,0.0,0.0,0.18278774732137,0.0,0.0,0.0,0.0,0.219899127170168,0.439798254340335,0.0,0.299643215955081,0.731568513348392,0.0028097828952666,0.0,0.0,0.0,2770.34244946492,282.458764863393,0.0010099435971008,100353.632250589,-0.166892693156288,-0.0064323430969601,0.377591025261652,4.95277851980417e-05,0.0008120138642877,56.4696428571429,81.9580357142857,-1.16791565143648,0.0358343440920378,6.20020954681422e-05,0.151484157682538,1859.0979910047,5.30192142062717,0.83713330162896,287.677490234375,0.0777402851316664,21.8434346516927,18.8873172336155,14.4319152832031,19.9009552001953,1.62053606245253,54.4075147840712,,,,,,,,,,,,,,,,,,,,,,,0.599278295883395,4.46108167105658,11.5476967746194,12.4439292983943,58.7284207875171,20.0144850187508,16.2095300934821,4.60131422927741,82.3368293371197,0.0006962192454831,136.186469402051,10.0006506548545,2.84645526720678
3,8.514,45.21,8.58,45.276,8.547,45.243,26.8328793740234,109.311062339594,39.6490707397461,0.558838489293905,2,4,616.273559570313,2,0.877877460673909,0.0595482834913273,0.0,0.0282470952975406,0.0272026176217444,0.0034979959084595,0.0013899587531748,0.0022365882538442,12,0.0006144298858696,0.0514124207001429,0.592064638023993,7.0,0.0,0.0,0.0,0.0,0.994289521271533,0.0057104787284667,0.0,4,0.0,0.0,0.0,0.498295987750868,0.0,0.0,0.193318954872487,0.0,0.0,0.0,0.0,0.59628337969161,0.26087397861508,0.0,0.502577620589043,0.751814397598855,0.0018782406152851,0.0,0.0,0.0,2892.62782401902,282.414865569463,0.00106635470707,100373.016940924,-0.211380159773794,-0.03986946214624,0.37672730746453,5.33622888635166e-05,0.000950405502591,70.9336734693878,102.901020408163,-1.24306899760154,0.035615622698738,6.28981823411759e-05,0.151479693380711,1869.28234799882,4.8170207341512,0.8739226659139,292.523396809896,0.0781228442986806,21.8755645751953,19.1365458170573,15.4944750467936,20.6809272766113,1.73286453882853,53.073008219401,,,,,,,,,,,,,,,,,,,,,,,0.591018916004487,4.25858523318491,13.5307086038044,15.054325858835,56.3937369379987,20.4849526008086,16.1701240852725,4.57026463355775,81.6123879243179,0.0009712647259127,132.746889933981,10.0501353712495,2.65442288196187
4,8.514,45.276,8.58,45.342,8.547,45.309,32.6639450583496,121.301777265762,24.8869781494141,0.444355241717016,2,4,3165.40869140625,2,0.862889766592763,0.0312612669932769,0.0,0.0274812672216757,0.0477704200742949,0.0203356483180877,0.0020254077326037,0.0082362230672977,12,0.0003359086328518,0.0795108175020839,0.563468070018288,7.0,0.0,0.0,0.0,0.0,0.957586273375747,0.0424137266242529,0.0,4,0.0,0.0,0.0,0.565563917203221,0.0,0.0,0.300525301760337,0.0,0.0,0.0,0.0,1.377665800001,1.86750252889025,0.0,0.719363465342717,0.7411102721614,0.0039324531617189,0.0,0.0,0.0,3169.63448275862,282.357318136427,0.0011224666086757,100315.436442057,-0.24773303100041,-0.0776863467125666,0.375682694571359,5.21392676140753e-05,0.0012839080448908,84.1571428571429,121.612244897959,-1.13731313846192,0.0367981502617908,6.25583708537362e-05,0.151791917774935,1870.61550225071,5.02085367838542,1.04998440212674,298.680121527778,0.0801588164435493,22.1663970947266,19.4552714029948,17.7190110948351,21.9275495741102,1.86159091525608,50.9219563802083,,,,,,,,,,,,,,,,,,,,,,,0.57916650340303,4.04436514112769,15.7236097807061,17.9249502098094,53.6223947419239,20.9413930322085,16.2265866522525,4.45353792070908,80.9220744634296,0.0016929038348966,128.974890503235,9.99792322721481,2.44419482446755
5,8.514,45.342,8.58,45.408,8.547,45.375,3.66604392944336,127.9629916294,180.575225830078,0.198798456483833,2,4,2366.263671875,2,0.942808825780493,0.0396460357608846,0.0,0.0067643907310352,0.0093156156834731,0.0014651320441143,0.0,0.0,12,0.0,0.0318167010533174,0.776740145509827,7.0,0.0,0.0,0.0,0.0,0.948976677772489,0.0510233222275107,0.0,0,0.0,0.0,0.0,0.0905625505371376,0.0,0.0,0.008283965081932,0.0,0.0,0.0,0.0,0.272773599892961,0.272773599892961,0.0,0.493599278865101,0.530880077093895,0.0014159072527679,0.0,0.0,0.0,3069.45897740785,282.166785028246,0.0012232256825542,99697.3756781684,-0.256553034933787,-0.114778767502497,0.37285448066772,5.88771115431114e-05,0.0011521135580843,90.4428571428572,130.566964285714,-1.15403511067124,0.0382269064897491,7.20859937105067e-05,0.151641065243686,1873.51747205491,5.42934756808811,1.34853659735786,304.652886284722,0.0819582343101501,22.4757080078125,19.710940890842,20.015387641059,23.0049947102865,1.9448913998074,48.5722283257378,,,,,,,,,,,,,,,,,,,,,,,0.56380212571169,3.84868644673875,17.7026971902981,20.4579069033432,50.6638787063186,21.2833404929026,16.3368654705499,4.21858103108929,80.2800324784737,0.0026452589363814,124.817889625383,9.87314235097439,2.2237085363005
6,8.514,45.738,8.58,45.804,8.547,45.771,8.76277087451172,209.773216128925,0.0,3.35474891546232,3,2,20479.97265625,5,0.0649574052292945,0.173713115177597,0.0076770881771018,0.594469821992457,0.135546498658181,0.0089717990098197,0.0002674520030027,0.0143968197525461,19,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.984628522630231,0.0,0.0153714773697694,0,0.0,0.0,0.0,0.232963602550478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456476616504353,0.456476616504353,0.0,0.586364612962556,0.717189720150071,0.0,0.342357462378265,0.114119154126088,0.798834078882618,4626.25632183908,281.717461265945,0.0014495746663255,96575.0033354813,-0.176419678999453,-0.203318358143441,0.334195807407232,5.18317879469677e-05,0.0009675244932399,71.6361111111111,102.960544217687,-1.42297093407125,0.0328365731731525,0.0001221785090861,0.152607307470101,,3.17749701605903,1.02428330315484,271.891872829861,0.106778899828593,18.2946556939019,15.7933858235677,14.1515519883898,19.045659383138,0.950531641642253,46.1618381076389,,0.0146825396825397,,,,,,,,,,,,,,,,,,,,,0.455132728104718,3.55612391848568,19.7562523790528,24.3513420150746,48.0300809904088,21.561995671456,16.9408176107313,3.18480065959366,76.5762660247364,0.0134166891175212,105.525874653361,8.87233061131637,1.60745051057242
7,8.514,45.804,8.58,45.87,8.547,45.837,1.21207913427734,193.880497685185,0.0,0.140557751739743,3,2,5331.3681640625,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.851115360101976,0.0,0.148884639898024,0,0.0077839132459583,0.0,0.0,0.0243330450402501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5106.14030915577,281.555530152353,0.0013805581318389,95862.1137379756,-0.112837654392735,-0.166882307486199,0.318901585343203,4.87699188120246e-05,0.000836741512416,66.2519379844961,93.4622448979592,-1.54195005784181,0.0327618606659462,0.000240020348742,0.152915676392034,,2.3821955786811,0.787910196516249,252.218424479167,0.117028686735365,15.9744533962674,13.9281760321723,11.8920118543837,17.1682603624132,0.791580465104845,48.4241197374132,,,,,,,,,,,,,,,,,,,,,,,0.458237796031345,3.70725033720271,18.5145977555212,23.0809522577461,50.0317768765804,20.9026370692692,17.010250211364,3.21834180936309,74.5158809494692,0.011603967432126,108.90347217849,9.07615752330785,1.68528419515275
8,8.514,45.87,8.58,45.936,8.547,45.903,5.77462234106445,,,,3,2,15305.6982421875,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0277435470441299,0.0,0.0,0.0093255620316403,0.0,0.0,0.0,0.0,0.116885928393006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2038.74791914388,281.0381333336,0.0012527383288583,94178.6804896763,-0.0157543874922253,-0.0922131983060685,0.332835318550231,4.5875241245688e-05,0.0006135745375885,74.2291666666667,88.3139880952381,-1.50978123148176,0.0348532853482682,0.0001695400629925,0.153875867446214,,1.65988349914551,0.5878560145696,230.100016276042,0.126399447520574,13.4382286071777,11.8194669087728,9.41075325012207,14.3593902587891,0.645468831062317,50.3883361816406,,,,,,,,,,,,,,,,,,,,,,,0.46275530548393,3.92894649316196,17.5562487029444,22.1777855240079,51.7931675702361,20.3855762023573,17.1014509737279,3.19848847831756,72.6824616769063,0.009109508406024,112.077639154438,9.21699625152094,1.7254904017432
9,8.58,45.012,8.646,45.078,8.613,45.045,1.97078264941406,87.0930791841097,172.653121948242,0.305189428446041,2,4,8185.416015625,2,0.585656565656566,0.300579124579125,0.0047811447811447,0.104390572390572,0.0045925925925925,0.0,0.0,0.0,4,0.004739336492891,0.186808846761453,0.0,7.0,0.0,0.0,0.204742921394255,0.0,0.777675559644281,0.0175815189614638,0.0,0,0.0,0.0,0.0,0.0517017961125236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.507412626297127,0.507412626297127,4676.12413793103,282.536674302722,0.0008602541652663,99649.4195769779,0.31013556321462,0.0372133037400624,0.380063268873427,3.93799771702348e-05,0.0004165526690552,45.680612244898,66.0530612244898,-1.21014184914989,0.0334904899215369,9.16751791688729e-05,0.151777318354061,1856.19175292197,6.25563218858507,0.928021536933051,275.788519965278,0.0791861481136746,21.3280063205295,18.0490417480469,14.0063001844618,18.2312825520833,1.56055619981554,55.9847751193576,,,,,,,,,,,,,,,,,,,,,,,0.601607230504561,4.85982415841496,9.0155446199623,9.5035123308916,61.0895728568605,19.0493093297048,16.2704007654613,4.48912537264173,82.560198717848,0.0009651654351917,140.911148328888,9.80074275841876,3.13916863863684
10,8.58,45.078,8.646,45.144,8.613,45.111,19.4449674470215,95.5486874638329,62.2639083862305,0.388017247258886,2,4,1397.96313476563,2,0.882210454928449,0.0707005802204427,0.0055446331321628,0.0120222771768542,0.0232567698093561,0.003405969351756,0.0005315833099281,0.0023277320710513,12,0.0159335679811158,0.098636373216431,0.390077349463612,7.0,0.0,0.0,0.0015328019619865,0.0,0.998467198038014,0.0,0.0,0,0.0,0.0,0.0,0.334367306745446,0.169604464139176,0.0,0.0,0.0,0.0,0.0,0.0,0.205708752709314,3.18848566699436,0.0,0.249606039998024,1.07829247177527,0.0014534527260198,0.102854376354657,0.205708752709314,0.411417505418628,3364.47666666667,282.582456482781,0.000912929751608,100103.193386502,-0.0003570583131578,0.0902945134374831,0.379698753356934,4.44907929285506e-05,0.0004734297502866,39.9316326530612,58.215306122449,-1.10571195456474,0.032881209275901,6.75385691401921e-05,0.151451992422169,1862.85373323483,5.68665991889106,0.883208062913683,282.473551432292,0.0786777602301704,21.6982167561849,18.4925231933594,14.1418431599935,19.0132276746962,1.60202980041504,55.5969543457031,,,,,,,,,,,,,,,,,,,,,,,0.598491340693595,4.78126416360888,9.86889897968978,10.3722666161258,59.9613512200109,19.2785837890908,15.9254046358075,4.52255255308332,81.6836081777629,0.0005536752087401,137.71501037775,9.98917536590626,2.95465166530444
