fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int
1,8.448,45.276,8.514,45.342,8.481,45.309,1.78035081054688,115.278863252423,315.729278564453,0.382622744052717,2,4,1838.14538574219,2,0.842632674765207,0.0819340633004299,0.0,0.0676143257290933,0.0078189362052695,0.0,0.0,0.0,12,0.0,0.0165270018621974,0.419925512104283,7.0,0.0,0.0,0.0,0.0,0.956108683260498,0.0438913167395022,0.0,0,0.0,0.0,0.0,0.0418958375772391,0.0,0.0,0.143410063149318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20384802032539,0.0,0.0,0.0,0.0,0.0,2825.35977011494,282.047643449571,0.0024979095401188,100807.990804036,-0.480039371384515,-0.142503420511882,0.409610655572679,0.0001177938248228,,227.95652173913,133.571428571429,-0.518951882650718,0.032760873179432,0.000216624749427,0.129323927523486,,1.53600041071574,1.08588568369548,305.953125,0.469910065333049,27.4134572347005,24.7491836547852,18.7985038757324,39.393549601237,1.61735280354818,22.4559936523438,,,,,,,,,,,,,,,,,,,,,,,0.355727022244618,6.64672152351529,22.1949321401869,25.7769600366337,21.2980296476606,21.9507945003735,21.0168594379667,3.12716218637791,97.7332374899508,0.023204933805766,37.6775085836677,8.98512837900559,2.29002554253514
2,8.514,45.144,8.58,45.21,8.547,45.177,13.6426189526367,102.247671195966,146.465850830078,0.583363997595534,2,4,1156.98901367188,2,0.852166520082087,0.0830215967946839,0.0012684452262288,0.0421342714746409,0.0092739177171894,0.0073487735756865,0.0029570995797908,0.0018293755496921,12,0.0364920192250638,0.169079689076129,0.346347831246662,7.0,0.0,0.0,0.0011616650532429,0.0,0.997676669893514,0.0011616650532429,0.0,0,0.0,0.0,0.0,0.1761815552488,0.0,0.0,0.18278774732137,0.0,0.0,0.0,0.0,0.219899127170168,0.439798254340335,0.0,0.299643215955081,0.731568513348392,0.0028097828952666,0.0,0.0,0.0,3372.02140309156,282.052945999872,0.0030302370052663,100912.44913737,-0.803004781405131,-0.0048886405097113,0.402061027193826,0.0001051734716073,,,0.0,-0.30652327482841,0.0324096441534776,0.0003058753163829,0.129422672877803,,1.15804237789578,0.649817572699653,303.500352647569,0.55591090520223,27.7564290364583,25.188239203559,15.6384531656901,35.6797146267361,1.42375310262044,25.5359785291884,,,,,,,,,,,,,,,,,,,,,,,0.391428093231761,6.8813332672746,22.0161151254859,24.1988319213293,22.7267778227701,22.5797112952446,22.5095456148246,2.97252135873111,97.3248052124986,0.0295480121452453,35.8180857439449,9.06072406624406,2.56560941820008
3,8.514,45.21,8.58,45.276,8.547,45.243,26.8328793740234,109.311062339594,39.6490707397461,0.558838489293905,2,4,616.273559570313,2,0.877877460673909,0.0595482834913273,0.0,0.0282470952975406,0.0272026176217444,0.0034979959084595,0.0013899587531748,0.0022365882538442,12,0.0006144298858696,0.0514124207001429,0.592064638023993,7.0,0.0,0.0,0.0,0.0,0.994289521271533,0.0057104787284667,0.0,4,0.0,0.0,0.0,0.498295987750868,0.0,0.0,0.193318954872487,0.0,0.0,0.0,0.0,0.59628337969161,0.26087397861508,0.0,0.502577620589043,0.751814397598855,0.0018782406152851,0.0,0.0,0.0,3187.11533888228,282.065045873594,0.0027523584389491,100931.295774983,-0.650994683339212,-0.0869557711542869,0.404571141785775,0.0001158896308005,,178.75,62.9591836734694,-0.523182877309063,0.0336216686430963,0.0002002149532703,0.129233180187056,,1.13415877024333,0.742684364318848,304.274617513021,0.524293224016825,27.3103332519531,24.8785018920898,16.7433204650879,37.5066426595052,1.60093800226847,24.2802200317383,,,,,,,,,,,,,,,,,,,,,,,0.381550213278824,6.60583575765511,22.2262105160448,25.7067397069254,21.5678675983958,21.7992217757002,20.8205752607524,3.02016791565131,97.4561639253561,0.0246580777607598,34.8485554642568,8.96229508084606,2.40844058582706
4,8.514,45.276,8.58,45.342,8.547,45.309,32.6639450583496,121.301777265762,24.8869781494141,0.444355241717016,2,4,3165.40869140625,2,0.862889766592763,0.0312612669932769,0.0,0.0274812672216757,0.0477704200742949,0.0203356483180877,0.0020254077326037,0.0082362230672977,12,0.0003359086328518,0.0795108175020839,0.563468070018288,7.0,0.0,0.0,0.0,0.0,0.957586273375747,0.0424137266242529,0.0,4,0.0,0.0,0.0,0.565563917203221,0.0,0.0,0.300525301760337,0.0,0.0,0.0,0.0,1.377665800001,1.86750252889025,0.0,0.719363465342717,0.7411102721614,0.0039324531617189,0.0,0.0,0.0,3296.14252873563,282.056410713801,0.002461485280471,100872.460174076,-0.492693569925096,-0.171627725873675,0.407016042679075,0.0001245602773225,,221.6,161.510204081633,-0.529058512191035,0.0340955236741334,0.0001970011155169,0.129453258520071,,1.53805393642849,1.08917702568902,308.720974392361,0.483304871453179,27.8930291069878,25.3754306369358,19.1697285970052,40.4410434299045,1.89601156446669,22.2396155463325,,,,,,,,,,,,,,,,,,,,,,,0.365929413138526,6.35795335332763,22.2644944150221,26.8204492853613,20.4432709949895,21.3976101506274,19.8074967974819,3.05183694506086,97.4934926845848,0.021647191537491,35.3421885807234,8.92318892001131,2.22396749720682
5,8.514,45.342,8.58,45.408,8.547,45.375,3.66604392944336,127.9629916294,180.575225830078,0.198798456483833,2,4,2366.263671875,2,0.942808825780493,0.0396460357608846,0.0,0.0067643907310352,0.0093156156834731,0.0014651320441143,0.0,0.0,12,0.0,0.0318167010533174,0.776740145509827,7.0,0.0,0.0,0.0,0.0,0.948976677772489,0.0510233222275107,0.0,0,0.0,0.0,0.0,0.0905625505371376,0.0,0.0,0.008283965081932,0.0,0.0,0.0,0.0,0.272773599892961,0.272773599892961,0.0,0.493599278865101,0.530880077093895,0.0014159072527679,0.0,0.0,0.0,3359.66706302021,281.885649605403,0.002054741021139,100249.549583798,-0.350610507859124,-0.214305711170984,0.407184657596406,0.000123160736766,,288.791666666667,175.544642857143,-0.412898462249224,0.0346175374624379,0.0001677254567228,0.129287453337365,,1.94354311625163,1.82604726155599,315.043782552083,0.446971363491482,28.7652248806424,26.066418117947,21.865232679579,43.1600206163194,2.1398253970676,20.0075327555339,,,,,,,,,,,,,,,,,,,,,,,0.345004647053044,6.15491510196011,21.9814215238973,27.2218280776808,19.4363953700989,21.3777848823252,19.3614131738516,3.09753015507699,97.3618078528085,0.0194325011921683,36.6998112511515,8.91567207248621,2.0267287194045
6,8.514,45.738,8.58,45.804,8.547,45.771,8.76277087451172,209.773216128925,0.0,3.35474891546232,3,2,20479.97265625,5,0.0649574052292945,0.173713115177597,0.0076770881771018,0.594469821992457,0.135546498658181,0.0089717990098197,0.0002674520030027,0.0143968197525461,19,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.984628522630231,0.0,0.0153714773697694,0,0.0,0.0,0.0,0.232963602550478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456476616504353,0.456476616504353,0.0,0.586364612962556,0.717189720150071,0.0,0.342357462378265,0.114119154126088,0.798834078882618,3894.15747126437,281.550455841618,0.0008668573246587,97118.7723906294,-0.504926413094916,0.180358421775489,0.358822119749593,9.63288193832555e-05,,96.6583333333333,127.767006802721,-0.240749866133691,0.0321803096557488,0.0002030331556505,0.12837436012678,,1.27106200324164,1.92095692952474,309.556369357639,0.35334661271837,25.1748877631293,22.6025051540799,18.4940456814236,42.1483018663194,1.18917475806342,19.8631507025825,,0.0121031746031746,,,,,,,,,,,,,,,,,,,,,0.353196149121526,5.98155630267729,22.7210376109142,36.7528076206001,15.5800878955909,24.6196937158044,19.8160025860668,2.70948737889505,88.7404845704322,0.0121175951577758,47.7629585283547,8.81577411813439,1.43558396168089
7,8.514,45.804,8.58,45.87,8.547,45.837,1.21207913427734,193.880497685185,0.0,0.140557751739743,3,2,5331.3681640625,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.851115360101976,0.0,0.148884639898024,0,0.0077839132459583,0.0,0.0,0.0243330450402501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4873.42806183115,281.293851034982,0.00083552662194,96405.8966820126,-0.460953420251946,0.214430986348193,0.340330839697736,8.95629206870583e-05,,74.4457364341085,97.5578231292517,-0.20485972878875,0.031894187757045,0.0001134797531541,0.128380726750866,,1.07583215501573,1.40400314331055,277.416124131944,0.336189455456204,21.7478654649523,19.3636288113064,15.7661471896701,36.2643432617188,1.07014189826118,22.1088460286458,,,,,,,,,,,,,,,,,,,,,,,0.389353711801242,6.10265202612021,23.3255064582361,37.8024545926699,15.127492001719,24.422848512472,20.2314928037464,2.57377684310369,85.3933409013212,0.0104051912058455,51.8717842349023,8.92454215465045,1.48013922841934
8,8.514,45.87,8.58,45.936,8.547,45.903,5.77462234106445,,,,3,2,15305.6982421875,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0277435470441299,0.0,0.0,0.0093255620316403,0.0,0.0,0.0,0.0,0.116885928393006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2469.79191438763,280.650017329625,0.0007966440192812,94720.231999473,-0.381657541744293,0.274951980227516,0.346880625164698,7.49577223984078e-05,,69.2371794871795,51.1994047619048,-0.100531783871482,0.0329141890385807,0.0001607110827591,0.128521476756538,,0.859209616978963,0.982368071873983,241.503560384115,0.317126075426737,17.8740844726563,15.7860895792643,12.7224820454915,29.1460113525391,0.948344866434733,25.1525650024414,,,,,,,,,,,,,,,,,,,,,,,0.416423152305212,6.25548063025297,24.084681263103,38.9738632318733,14.8480960832795,24.4031017450228,20.8750960594651,2.50145188928038,81.5491020359632,0.0086740411720412,56.7138538523641,9.01606987179902,1.54959970963048
9,8.58,45.012,8.646,45.078,8.613,45.045,1.97078264941406,87.0930791841097,172.653121948242,0.305189428446041,2,4,8185.416015625,2,0.585656565656566,0.300579124579125,0.0047811447811447,0.104390572390572,0.0045925925925925,0.0,0.0,0.0,4,0.004739336492891,0.186808846761453,0.0,7.0,0.0,0.0,0.204742921394255,0.0,0.777675559644281,0.0175815189614638,0.0,0,0.0,0.0,0.0,0.0517017961125236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.507412626297127,0.507412626297127,4851.33908045977,281.974980127244,0.0034903058903813,100201.540531219,-0.974639758231148,0.079542599027119,0.396791109963069,8.55883350831814e-05,,,0.0,-0.313206272726273,0.0326257267301404,0.0002657953867336,0.12916291820955,,1.5762759314643,0.56590912077162,298.496066623264,0.596571233537462,27.8194563123915,25.3023461235894,14.9224819607205,34.123782687717,1.69831275939941,26.8056216769748,,,,,,,,,,,,,,,,,,,,,,,0.403772080516559,7.23815745086619,22.0571458106076,22.575303148052,24.3913974127181,24.3943137370241,27.0316389877946,2.69911975318455,96.247074232994,0.0506385869570545,38.9964522638053,9.30426763821338,2.77167353180215
10,8.58,45.078,8.646,45.144,8.613,45.111,19.4449674470215,95.5486874638329,62.2639083862305,0.388017247258886,2,4,1397.96313476563,2,0.882210454928449,0.0707005802204427,0.0055446331321628,0.0120222771768542,0.0232567698093561,0.003405969351756,0.0005315833099281,0.0023277320710513,12,0.0159335679811158,0.098636373216431,0.390077349463612,7.0,0.0,0.0,0.0015328019619865,0.0,0.998467198038014,0.0,0.0,0,0.0,0.0,0.0,0.334367306745446,0.169604464139176,0.0,0.0,0.0,0.0,0.0,0.0,0.205708752709314,3.18848566699436,0.0,0.249606039998024,1.07829247177527,0.0014534527260198,0.102854376354657,0.205708752709314,0.411417505418628,4099.52777777778,282.002548641629,0.0034027377013787,100659.219102648,-1.07341595490774,0.100666575961643,0.396008915371365,0.0001000453263206,,,0.0,-0.325238996960331,0.0326350698908705,,0.129213097858206,,1.41522439320882,0.581192864312066,300.736762152778,0.58277702331543,27.8057810465495,25.3261583116319,15.1882595486111,35.1406792534722,1.5181360244751,26.2964952256944,,,,,,,,,,,,,,,,,,,,,,,0.403635342512782,6.95753239644633,21.627236975736,22.985987805214,23.2736163412402,23.4096576351443,23.9410751411068,2.82889520156909,96.5216124512878,0.0367945194372793,35.9199580535005,9.18416229453763,2.65361599077097
