fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int
"1",8.448,45.276,8.514,45.342,8.481,45.309,1.78035081054688,115.278863252423,315.729278564453,0.382622744052717,2,4,1838.14538574219,2,0.842632674765207,0.0819340633004299,0,0.0676143257290933,0.00781893620526954,0,0,0,12,0,0.0165270018621974,0.419925512104283,7,0,0,0,0,0.956108683260498,0.0438913167395022,0,0,0,0,0,0.0418958375772391,0,0,0.143410063149318,0,0,0,0,0,0,0,0.20384802032539,0,0,0,0,0,3132.44022988506,288.067311286926,5.678630664215e-07,100333.909152561,0.552539348602295,-0.465507507324219,0.254596246613397,4.49605621145009e-05,0.00113576496852285,171.707738095238,245.333928571429,-1.28722637310495,0.0397113184857139,0.000140689099778414,0.151642252997529,,3.27678998311361,0.589470982551575,256.022766113281,1.79400475819906,21.4993515014648,14.8344065348307,7.88604482014974,12.6474278767904,1.86743561426799,77.273427327474,,,,,,,,,,,,,,,,,,,,,,,0.378098931090494,2.6967989789705,8.6181731790539,10.6034171169386,81.3617895541038,21.914708378395,16.7791528505372,5.44234127624316,62.4240709816916,0.00484633072416034,246.539185717529,14.9602207407051,3.07945629285438
"2",8.514,45.144,8.58,45.21,8.547,45.177,13.6426189526367,102.247671195966,146.465850830078,0.583363997595534,2,4,1156.98901367188,2,0.852166520082087,0.0830215967946839,0.00126844522622887,0.0421342714746409,0.00927391771718948,0.0073487735756865,0.00295709957979087,0.00182937554969217,12,0.0364920192250638,0.169079689076129,0.346347831246662,7,0,0,0.00116166505324298,0,0.997676669893514,0.00116166505324298,0,0,0,0,0,0.1761815552488,0,0,0.18278774732137,0,0,0,0,0.219899127170168,0.439798254340335,0,0.299643215955081,0.731568513348392,0.00280978289526662,0,0,0,3865.8418549346,287.810615342761,5.59403553035409e-07,100438.935442243,0.659198526352171,-0.315293448311942,0.246661859845358,4.1967060353144e-05,0.000304704427500727,150.65,215.853571428571,-1.31130336742985,0.0397231497086749,9.26762056476093e-05,0.151581372181356,1850.03598853261,3.27920002407498,0.410487784279717,251.220323350694,1.95356750488281,20.6170026991102,13.880485534668,6.41198137071398,10.0801332261827,1.70890235900879,81.5032958984375,,,,,,,,,,,,,,,,,,,,,,,0.34597180729793,3.3952270848561,8.8368701206634,10.9194161070737,81.7758029309543,21.2255252991988,16.4574336876757,6.29780353649413,61.9859041541881,0.00599342663097724,250.825708159489,15.0314460486059,3.29737497165055
"3",8.514,45.21,8.58,45.276,8.547,45.243,26.8328793740234,109.311062339594,39.6490707397461,0.558838489293905,2,4,616.273559570313,2,0.877877460673909,0.0595482834913273,0,0.0282470952975406,0.0272026176217444,0.00349799590845957,0.00138995875317486,0.00223658825384423,12,0.000614429885869649,0.0514124207001429,0.592064638023993,7,0,0,0,0,0.994289521271533,0.00571047872846674,0,4,0,0,0,0.498295987750868,0,0,0.193318954872487,0,0,0,0,0.59628337969161,0.26087397861508,0,0.502577620589043,0.751814397598855,0.00187824061528511,0,0,0,3436.95362663496,287.952973997242,5.61025448131338e-07,100456.378947771,0.626001923532983,-0.359020674309763,0.250591511629066,4.61176646307201e-05,0.00100406234217733,158.039455782313,226.130612244898,-1.26224366671801,0.0402666437023246,9.47230536894422e-05,0.151661516783213,,3.06718794504801,0.448439915974935,253.70469156901,1.90374263127645,20.9191398620605,14.1745491027832,6.56914901733398,11.319450378418,1.83846696217855,80.5394744873047,,,,,,,,,,,,,,,,,,,,,,,0.373167209044282,3.01981317503516,8.93493680203828,11.0184223052984,80.936511707735,21.5325713781267,16.2506081229704,5.83275905419086,61.6375494695416,0.00539689110434119,247.363060225623,15.0937410042884,3.16880477018743
"4",8.514,45.276,8.58,45.342,8.547,45.309,32.6639450583496,121.301777265762,24.8869781494141,0.444355241717016,2,4,3165.40869140625,2,0.862889766592763,0.0312612669932769,0,0.0274812672216757,0.0477704200742949,0.0203356483180877,0.00202540773260376,0.0082362230672977,12,0.000335908632851864,0.0795108175020839,0.563468070018288,7,0,0,0,0,0.957586273375747,0.0424137266242529,0,4,0,0,0,0.565563917203221,0,0,0.300525301760337,0,0,0,0,1.377665800001,1.86750252889025,0,0.719363465342717,0.7411102721614,0.00393245316171897,0,0,0,3481.45977011494,288.060460090637,5.6318797492591e-07,100398.046181331,0.593113800835988,-0.403375655885727,0.253464835030692,4.34312163634636e-05,0.00114127001922438,200.810884353741,286.03537414966,-1.27361903997757,0.0401977772217266,0.00010563908139101,0.15159072881531,,3.25778918796115,0.529961691962348,258.184190538194,1.86002731323242,21.3677385118273,14.6991797553168,7.55226304796007,12.7206395467122,1.98452377319336,79.1953667534722,,,,,,,,,,,,,,,,,,,,,,,0.395500267087993,2.68120204627729,8.8834178495447,10.9769414740029,79.7992104937823,21.7435479589557,16.147771484401,5.32746194317677,61.4368392617679,0.0048211226707114,243.594076875809,15.0097659900237,2.99952567219104
"5",8.514,45.342,8.58,45.408,8.547,45.375,3.66604392944336,127.9629916294,180.575225830078,0.198798456483833,2,4,2366.263671875,2,0.942808825780493,0.0396460357608846,0,0.00676439073103529,0.00931561568347316,0.00146513204411432,0,0,12,0,0.0318167010533174,0.776740145509827,7,0,0,0,0,0.948976677772489,0.0510233222275107,0,0,0,0,0,0.0905625505371376,0,0,0.00828396508193205,0,0,0,0,0.272773599892961,0.272773599892961,0,0.493599278865101,0.530880077093895,0.00141590725276792,0,0,0,3080.23424494649,287.907558547126,1.90860631679768e-06,99788.2189243862,0.550609596191891,-0.427397228422619,0.248999930563427,4.40547985546563e-05,0.000765494493580663,217.898511904762,309.928571428571,-1.27715020070713,0.039715925964189,0.000174462788703106,0.151377258948754,,3.58292643229167,0.724885728624132,264.74072265625,1.81881035698785,22.0268096923828,15.4109615749783,9.1492436726888,14.2149081759983,2.12002944946289,77.719482421875,,,,,,,,,,,,,,,,,,,,,,,0.40670714507466,2.40782047973433,8.65195107870542,10.7019798802352,78.4100022132922,21.7539919821829,16.1387062242388,4.77920081850842,61.2631986243831,0.00420516712555754,239.28124660699,14.8323212437669,2.803755640326
"6",8.514,45.738,8.58,45.804,8.547,45.771,8.76277087451172,209.773216128925,0,3.35474891546232,3,2,20479.97265625,5,0.0649574052292945,0.173713115177597,0.00767708817710185,0.594469821992457,0.135546498658181,0.00897179900981974,0.000267452003002757,0.0143968197525461,19,0,0,0,7,0,0,0,0,0.984628522630231,0,0.0153714773697694,0,0,0,0,0.232963602550478,0,0,0,0,0,0,0,0.456476616504353,0.456476616504353,0,0.586364612962556,0.717189720150071,0,0.342357462378265,0.114119154126088,0.798834078882618,5827.33448275862,286.954152903049,3.25569989662369e-05,96699.2689704463,0.350669012048077,-0.326392331631546,0.252213138571672,4.59807123878981e-05,0.000159817669517362,82.8716553287982,124.961030126336,-1.67141817834087,0.0387322581197253,9.49431339893174e-05,0.152372548418087,,2.85091590881348,0.731787363688151,269.821153428819,1.21488253275553,24.8257107204861,18.9891781277127,9.6451416015625,18.9078504774306,1.66621589660645,79.5428195529514,,0.00138888888888889,,,,,,,,,,,,,,,,,,,,,0.247100681531731,2.30096915206867,9.02451473189793,10.1750111943634,82.9132088606753,22.0028383609336,18.035770077493,3.29072950093656,59.7585783369948,0.00135423398898052,234.607054506578,13.7821805631484,2.37976003195865
"7",8.514,45.804,8.58,45.87,8.547,45.837,1.21207913427734,193.880497685185,0,0.140557751739743,3,2,5331.3681640625,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,0.851115360101976,0,0.148884639898024,0,0.00778391324595835,0,0,0.0243330450402501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6826.112960761,286.616980306145,3.97541932998243e-05,95993.7431767955,0.364843008469562,-0.293858655726288,0.2333400536016,4.06381646924012e-05,0.000703292074034269,71.2774074074074,108.462585034014,-1.71820262511033,0.0382305437832706,0.000158642378090472,0.152736319089553,,2.22259691026476,0.556187894609239,259.201958550347,1.11758232116699,23.2765553792318,17.7469584147135,8.09762064615885,16.9353892008464,1.52541340721978,82.0273234049479,,,,,,,,,,,,,,,,,,,,,,,0.254129417393048,2.53002936196913,9.69903804708622,10.9850737833733,85.2728082467643,22.1938659969545,18.4354507806945,3.22451488152917,57.6855144203939,0.0008611949983738,246.651898996142,14.0727194436886,2.52831854148488
"8",8.514,45.87,8.58,45.936,8.547,45.903,5.77462234106445,,,,3,2,15305.6982421875,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,1,0,0,0,0.0277435470441299,0,0,0.0093255620316403,0,0,0,0,0.116885928393006,0,0,0,0,0,0,0,0,0,0,0,3161.11890606421,285.797136987959,5.10131388024185e-05,94329.1463797433,0.391615436190651,-0.235282897949219,0.238243269541907,4.54530855263102e-05,0.000623631034590295,83.4549382716049,116.059226190476,-1.66949809757568,0.0372719508710683,0.000136510818652313,0.152936151641348,,1.71050882339478,0.399799227714539,247.014139811198,1.04208048184713,21.6911087036133,16.4366162618001,6.31484731038411,14.9147567749023,1.41643269856771,83.3035837809245,,,,,,,,,,,,,,,,,,,,,,,0.26117018303761,2.82736272405063,10.3440014715127,11.78569375811,87.6005371029985,22.2538437148262,18.7534641172501,3.13402896025861,55.245560484599,0.000353854076292834,255.310669880485,14.3459966579469,2.56728083335482
"9",8.58,45.012,8.646,45.078,8.613,45.045,1.97078264941406,87.0930791841097,172.653121948242,0.305189428446041,2,4,8185.416015625,2,0.585656565656566,0.300579124579125,0.00478114478114478,0.104390572390572,0.00459259259259259,0,0,0,4,0.004739336492891,0.186808846761453,0,7,0,0,0.204742921394255,0,0.777675559644281,0.0175815189614638,0,0,0,0,0,0.0517017961125236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507412626297127,0.507412626297127,6131.84597701149,287.216064861843,5.78916978408305e-07,99749.50054641,0.851771104903448,-0.164038400801401,0.234438820490761,3.94828490055242e-05,0.000311582413393266,100.561224489796,145.187074829932,-1.45810823266724,0.0394084015991837,0.000137936523866441,0.152110743013047,1834.84107072556,3.61894353230794,0.446578979492188,245.719509548611,2.16702609592014,20.1769578721788,13.5257364908854,7.43241458468967,9.47642347547743,1.55854606628418,82.4088677300347,,,,,,,,,,,,,,,,,,,,,,,0.290498859970388,4.28199188902138,8.54435745292832,10.9532754894524,81.5085082643009,20.4679581543009,16.6788331483277,7.09801020607636,61.8947176353828,0.00810971887487377,254.256312276662,14.6468503455266,3.41759987920343
"10",8.58,45.078,8.646,45.144,8.613,45.111,19.4449674470215,95.5486874638329,62.2639083862305,0.388017247258886,2,4,1397.96313476563,2,0.882210454928449,0.0707005802204427,0.00554463313216285,0.0120222771768542,0.0232567698093561,0.00340596935175607,0.00053158330992814,0.00232773207105132,12,0.0159335679811158,0.098636373216431,0.390077349463612,7,0,0,0.00153280196198651,0,0.998467198038014,0,0,0,0,0,0,0.334367306745446,0.169604464139176,0,0,0,0,0,0,0.205708752709314,3.18848566699436,0,0.249606039998024,1.07829247177527,0.00145345272601986,0.102854376354657,0.205708752709314,0.411417505418628,5101.86777777778,287.440573480394,5.59403553035409e-07,100196.901340061,0.747922208574083,-0.16804928249783,0.232684241400825,4.18602767695888e-05,0.000444871969980255,126.581972789116,181.971428571429,-1.33871338456316,0.0401643562640631,7.63537496223615e-05,0.152188825032328,1846.52400958329,3.39721891615126,0.424552758534749,250.083468967014,2.10531044006348,20.3589918348524,13.676506890191,6.9485969543457,9.88238271077474,1.62982092963325,82.3011203342014,,,,,,,,,,,,,,,,,,,,,,,0.315699396939966,3.9136193098231,8.8026717685163,10.9247598732143,80.9296302449375,20.4847998953782,16.2020879831772,6.67996304603036,61.3996485108711,0.00680752801142997,250.79803762835,14.8764219346189,3.31016628867338
"11",8.58,45.144,8.646,45.21,8.613,45.177,37.7078272724609,102.557282933973,47.9277038574219,0.378096222012756,2,4,1666.59655761719,2,0.900302016600314,0.0399355829824881,0.0094915465030661,0.00590607100004664,0.0286300996216666,0.0102321019479152,0.000185138861212278,0.00531744248329157,12,0.0188599577762139,0.0758837221891409,0.692924809180967,7,0,0,0,0,1,0,0,4,0,0,0,0.992141260028936,0,0,0,0,0,0,0.0265196929214303,0.79559078764291,0.556913551350037,0,0.707164696289828,0.810774303777228,0.00500969228621961,0.0530393858428607,0.0265196929214303,0.132598464607152,3569.6908045977,287.833604282803,5.59403553035409e-07,100569.98554145,0.690819581349691,-0.240408155653212,0.245389620463053,4.15706199174677e-05,0.000185645372573893,173.654464285714,247.951785714286,-1.28805542131614,0.0402943710058594,9.65581098056869e-05,0.151880610310206,,3.22633425394694,0.424354659186469,253.827989366319,2.04649247063531,20.5903930664063,13.8865017361111,6.67588975694444,10.5590345594618,1.73149956597222,82.1180555555556,,,,,,,,,,,,,,,,,,,,,,,0.350157126698445,3.49218637583062,9.10220385008106,11.1716267248341,80.4794485488687,20.8143114299973,15.836347471356,6.19514855670123,60.9070403403095,0.00585402778511802,247.687876582401,15.0890941536816,3.21608508065611
"12",8.58,45.21,8.646,45.276,8.613,45.243,37.9793629555664,109.513052613706,102.190444946289,0.342393111544036,2,4,1505.34204101563,2,0.910654015469071,0.0318269989652209,0.0109595383832892,0.00449690443201151,0.0266587158215971,0.0118378729150955,0,0.00356595401371521,12,0.00323770800391537,0.00549657405315865,0.789559736250497,7,0,0,0,0,0.997341183173488,0.0026588168265122,0,4,0,0,0,0.936158657011192,0,0,0.0638413429888084,0,0,0,0.0263300888213934,0.710912398177621,0.526601776427867,0,0.608445634947005,0.698661699321233,0.00237720539788733,0,0,0,3291.18620689655,287.958262049963,5.59403553035409e-07,100550.232689267,0.660884138137575,-0.28864506312779,0.25040774875217,4.96882796138188e-05,0.000850765931939799,183.110204081633,261.167346938776,-1.25293609010822,0.0404070273084552,4.47544147534721e-05,0.151874241483814,,3.13842264811198,0.46168041229248,256.746785481771,1.97783915201823,20.9357884724935,14.2349980672201,6.83944702148438,11.8248875935872,1.91996351877848,81.6004689534505,,,,,,,,,,,,,,,,,,,,,,,0.38554256802192,3.07087983988654,9.30191286119721,11.4624379494357,79.8132600462859,21.308469279217,15.6160657148503,5.73523832475645,60.5704334646037,0.00535812913660449,244.766845638665,15.1944813830683,3.10696297441405
"13",8.58,45.276,8.646,45.342,8.613,45.309,37.0212279611816,120.385111179316,16.2720851898193,0.294805861560848,2,4,5379.6142578125,2,0.900688522537292,0.0113501504501269,0.0014875886741749,0.0033861174223478,0.0499252607238447,0.0262613017516411,0.000819001408423336,0.00608205703214904,12,0.002363805063403,0.0280895153095038,0.671221225643971,7,0,0,0,0,0.948189467712962,0.0518105322870379,0,7,0,0,0,0.43539645145879,0,0,0.539711042651686,0,0,0,0,0.540230594754201,0.756322832655881,0,0.354142125200055,1.04189572983589,0.00407248143397788,0.02701152973771,0.0540230594754201,0.13505764868855,3148.32222222222,288.049609396193,5.59403553035409e-07,100452.831895616,0.631846904754639,-0.339178297254774,0.254678514268663,4.56880235862689e-05,0.000557028184406614,215.625850340136,306.626870748299,-1.24476291796565,0.0407589027431749,8.1351831186691e-05,0.151842557764854,,3.30249977111816,0.525615639156765,261.623914930556,1.92089017232259,21.3613433837891,14.780263264974,7.64664459228516,13.3693118625217,2.15190209282769,80.4456380208333,,,,,,,,,,,,,,,,,,,,,,,0.416655451795916,2.68887637295283,9.29822371295376,11.5470388448343,78.6116682668956,21.6522878894082,15.5092511897322,5.22839622401635,60.5139915987952,0.00480039222838563,241.490089986118,15.0677224824438,2.92712357499129
"14",8.58,45.342,8.646,45.408,8.613,45.375,4.3550258996582,125.174416843381,210.100860595703,0.291360468597664,2,4,1696.228515625,2,0.944947172764625,0.0302472608100176,0,0.0153162297006457,0.00731877323420074,0.00217056349051066,0,0,12,0,0.166436908372392,0.609318996415771,7,0,0,0,0,0.995442028297408,0.00455797170259235,0,0,0,0,0,0.0791209153559534,0,0,0.0370791703762324,0,0,0,0,0.459239519139706,0,0,0.228252394004414,0.178581773032817,0.00245542415733614,0,0,0,3673.68045977011,287.997782071431,1.1239079160921e-06,100049.195610894,0.592350376976861,-0.3831787109375,0.258121795124478,4.39099431149663e-05,0.000772905435816373,199.810416666667,284.720833333333,-1.28804209190893,0.039947651704349,0.000130564133577731,0.151823344250204,,3.58870357937283,0.730794111887614,268.751220703125,1.87113274468316,22.0299224853516,15.5190972222222,9.26563008626302,15.3037533230252,2.3424809773763,78.9199083116319,,,,,,,,,,,,,,,,,,,,,,,0.436076847005111,2.38434848906641,9.02413906590661,11.2850392968846,76.8782108029623,21.6980091822105,15.5094378049536,4.6347664778044,60.5218385838997,0.00415380487005282,237.663712034893,14.8282440860802,2.71153988276868
"15",8.58,45.672,8.646,45.738,8.613,45.705,6.8845268190918,200.627220080959,0,1.43154208715433,1,2,21140.73828125,5,0.128523591143558,0.221523196733355,0.0147014469440943,0.248281222207614,0.242365069176456,0.0976358588475489,0.000502679669314113,0.0464669352780592,17,0.00777448071216617,0.00225519287833828,0,7,0,0,0,0,1,0,0,0,0,0,0,0.121418849384191,0,0,0.0130465093118215,0,0.0484015536301165,0,0,0.871519591348112,4.35759795674056,0,0.239830550611651,2.8513737394149,0.00161851115955394,0.145253265224685,0,0.435759795674056,6654.0632183908,287.248326301575,1.24731923683748e-05,97515.2207845052,0.333134068383111,-0.385205586751302,0.369742923312717,4.51654375434792e-05,0.000426731092218478,72.4392857142857,104.985714285714,-1.62969655881935,0.0394398958195865,5.74494492046605e-05,0.152455914709887,1845.01015014866,3.76814100477431,0.909454133775499,285.547227647569,1.40521494547526,26.2975921630859,20.3138190375434,11.8596818712023,21.2849561903212,1.96151415506999,78.4874471028646,,,,,,,,,,,,,,,,,,,,,,,0.233558841640487,2.07843189762956,8.4252329890485,9.4453565059395,78.8952357439123,21.4819094471094,17.0787982335316,3.17592165034368,59.5471623376435,0.00148171933742212,212.925749044443,13.6733523080252,2.12125202438128
