fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int
"1",8.448,45.276,8.514,45.342,8.481,45.309,1.78035081054688,115.278863252423,315.729278564453,0.382622744052717,2,4,1838.14538574219,2,0.842632674765207,0.0819340633004299,0,0.0676143257290933,0.00781893620526954,0,0,0,12,0,0.0165270018621974,0.419925512104283,7,0,0,0,0,0.956108683260498,0.0438913167395022,0,0,0,0,0,0.0418958375772391,0,0,0.143410063149318,0,0,0,0,0,0,0,0.20384802032539,0,0,0,0,0,2784.54597701149,276.31345155504,0.000487254204051638,101822.393446181,-0.482464538680183,0.0176316897074382,0.381961584091186,0.000223979898289982,,137.516369047619,198.115178571429,-0.85139664016819,0.0385828102137664,3.33866962202065e-05,0.160205128356351,,2.06532716751099,7.30842208862305,488.857991536458,2.02530717849731,41.3348388671875,33.5638631184896,42.1111907958984,64.7468109130859,2.99073028564453,12.7885932922363,,,,,,,,,,,,,,,,,,,,,,,0.902984284007256,6.0668720049423,37.2420921249719,67.5962750635677,14.176534210275,60.2392773161935,51.3279707449966,4.52370960227763,84.3748853542402,0.00260607456676653,79.420858482162,2.2421434865906,1.35361009111505
"2",8.514,45.144,8.58,45.21,8.547,45.177,13.6426189526367,102.247671195966,146.465850830078,0.583363997595534,2,4,1156.98901367188,2,0.852166520082087,0.0830215967946839,0.00126844522622887,0.0421342714746409,0.00927391771718948,0.0073487735756865,0.00295709957979087,0.00182937554969217,12,0.0364920192250638,0.169079689076129,0.346347831246662,7,0,0,0.00116166505324298,0,0.997676669893514,0.00116166505324298,0,0,0,0,0,0.1761815552488,0,0,0.18278774732137,0,0,0,0,0.219899127170168,0.439798254340335,0,0.299643215955081,0.731568513348392,0.00280978289526662,0,0,0,2954.83709869203,276.199456532796,0.000522279643524389,101928.627077133,-0.764311811280629,0.152430375417074,0.383622069207449,0.000267624209781977,,124.696130952381,179.917261904762,-0.997180026348029,0.0395285048973948,9.77558314020531e-05,0.16036215022321,,1.88714663187663,4.80441368950738,472.399576822917,1.62618086073134,41.7240329318576,33.9764472113715,38.3386400010851,63.0272420247396,3.03414450751411,16.2708943684896,,,,,,,,,,,,,,,,,,,,,,,0.919089255943316,6.55650248465679,34.9580038848255,63.0928933315345,13.1316753755276,60.2204056383641,53.302395190881,4.69544693936877,87.1508965972635,0.00373221822615471,80.7921467857434,2.33990158749658,1.42195792277611
"3",8.514,45.21,8.58,45.276,8.547,45.243,26.8328793740234,109.311062339594,39.6490707397461,0.558838489293905,2,4,616.273559570313,2,0.877877460673909,0.0595482834913273,0,0.0282470952975406,0.0272026176217444,0.00349799590845957,0.00138995875317486,0.00223658825384423,12,0.000614429885869649,0.0514124207001429,0.592064638023993,7,0,0,0,0,0.994289521271533,0.00571047872846674,0,4,0,0,0,0.498295987750868,0,0,0.193318954872487,0,0,0,0,0.59628337969161,0.26087397861508,0,0.502577620589043,0.751814397598855,0.00187824061528511,0,0,0,2953.88466111772,276.245704503827,0.000493581257506825,101948.658079117,-0.649008131621917,0.0582298432347996,0.381750887483696,0.000269669000117959,,125.094897959184,180.310544217687,-0.895048894912739,0.0393114182136007,7.53234829000037e-05,0.160122266644632,,1.88618723551432,5.72237205505371,480.486857096354,1.71976645787557,41.6362762451172,34.1557439168294,40.0408833821615,65.8934173583984,3.15145874023438,14.5829111735026,,,,,,,,,,,,,,,,,,,,,,,0.927146619914116,6.39277075271622,36.2721409287697,68.1688709339866,13.2919388776549,61.077763568089,51.9325612969705,4.7278176514397,86.0310409434749,0.00249753042841942,80.3878769610177,2.43657493907259,1.33311366647853
"4",8.514,45.276,8.58,45.342,8.547,45.309,32.6639450583496,121.301777265762,24.8869781494141,0.444355241717016,2,4,3165.40869140625,2,0.862889766592763,0.0312612669932769,0,0.0274812672216757,0.0477704200742949,0.0203356483180877,0.00202540773260376,0.0082362230672977,12,0.000335908632851864,0.0795108175020839,0.563468070018288,7,0,0,0,0,0.957586273375747,0.0424137266242529,0,4,0,0,0,0.565563917203221,0,0,0.300525301760337,0,0,0,0,1.377665800001,1.86750252889025,0,0.719363465342717,0.7411102721614,0.00393245316171897,0,0,0,3203.08390804598,276.270015595451,0.000464397731390999,101888.527126736,-0.527085355349949,-0.0383856258695088,0.379584191337464,0.000255765917915878,,121.884693877551,175.792857142857,-0.868537346787088,0.0387948518618047,5.25714373515225e-05,0.159976267184468,,2.1375363667806,7.77618577745226,502.864420572917,1.92883978949653,42.3717651367188,34.3272332085503,42.7795749240451,69.5750935872396,3.23651419745551,13.071287367079,,,,,,,,,,,,,,,,,,,,,,,0.922846046334347,6.23008293954478,37.753250448449,73.2324978036644,13.4442742108946,61.083175644299,50.5990190286135,4.59452921256723,84.6350975798385,0.0018830411925102,78.9342142900551,2.40887699673442,1.27593491083949
"5",8.514,45.342,8.58,45.408,8.547,45.375,3.66604392944336,127.9629916294,180.575225830078,0.198798456483833,2,4,2366.263671875,2,0.942808825780493,0.0396460357608846,0,0.00676439073103529,0.00931561568347316,0.00146513204411432,0,0,12,0,0.0318167010533174,0.776740145509827,7,0,0,0,0,0.948976677772489,0.0510233222275107,0,0,0,0,0,0.0905625505371376,0,0,0.00828396508193205,0,0,0,0,0.272773599892961,0.272773599892961,0,0.493599278865101,0.530880077093895,0.00141590725276792,0,0,0,3243.54577883472,276.116968245733,0.000375341133924625,101246.849175347,-0.414071134158543,-0.113543215252104,0.371392407114544,0.000141664762099278,,142.0125,204.051785714286,-0.819434478880902,0.0394282416028031,0.000113613211845764,0.160041809555221,,2.39098146226671,9.79054938422309,519.821831597222,2.17877027723524,43.1429511176215,34.453620062934,45.1793348524306,71.6471082899306,3.25739203559028,12.0453872680664,,,,,,,,,,,,,,,,,,,,,,,0.902738232478519,6.08543190746604,39.1018268175167,76.6202566063587,13.6186117365009,59.9982549218136,49.2519476933124,4.27278601307265,82.9835445108033,0.00162999547839904,76.6720655736299,2.27993329205261,1.23464697140334
"6",8.514,45.738,8.58,45.804,8.547,45.771,8.76277087451172,209.773216128925,0,3.35474891546232,3,2,20479.97265625,5,0.0649574052292945,0.173713115177597,0.00767708817710185,0.594469821992457,0.135546498658181,0.00897179900981974,0.000267452003002757,0.0143968197525461,19,0,0,0,7,0,0,0,0,0.984628522630231,0,0.0153714773697694,0,0,0,0,0.232963602550478,0,0,0,0,0,0,0,0.456476616504353,0.456476616504353,0,0.586364612962556,0.717189720150071,0,0.342357462378265,0.114119154126088,0.798834078882618,4390.62643678161,276.663130165498,2.72924435700196e-05,98025.3329657384,-0.359395761608807,-0.00668886513396456,0.30696000858229,0.000106252364869194,,91.3995181405896,128.416034985423,-0.915268427782333,0.0331499029979425,4.37699409497298e-05,0.160716069063254,,0.989441553751628,3.74273300170898,387.115776909722,5.26668124728733,32.2507765028212,23.2783983018663,28.6266208224826,44.9870266384549,1.76922045813666,17.9613596598307,,0.000198412698412698,,,,,,,,,,,,,,,,,,,,,0.708892221720456,5.10335878804044,44.7251801054131,76.1547033755272,19.3058980725879,46.2614267962329,40.5165145597203,4.08040815180331,66.6382665351707,0.000337084431603724,72.1419820978557,1.44690618037864,1.27181740606412
"7",8.514,45.804,8.58,45.87,8.547,45.837,1.21207913427734,193.880497685185,0,0.140557751739743,3,2,5331.3681640625,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,0.851115360101976,0,0.148884639898024,0,0.00778391324595835,0,0,0.0243330450402501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4900.4970273484,276.562847604557,2.79212172421246e-05,97292.8794509992,-0.304334300175275,0.0128601002855366,0.285449421595013,8.31810165314346e-05,,90.0147321428571,128.934766763848,-0.954480166579807,0.0333667616082316,3.52383254070954e-05,0.160702147267847,,0.754458003573947,2.40639623006185,335.816243489583,5.78011237250434,28.3209703233507,19.6119079589844,24.2724083794488,36.7658928765191,1.44949340820313,20.5232069227431,,,,,,,,,,,,,,,,,,,,,,,0.721008921405394,4.96978492710902,45.4563063606661,73.5980265837355,20.6709517103685,45.4373405809958,39.7086604401833,4.02865534828906,58.2133548043814,0.000304696939631342,76.3630941011878,2.08391912670026,1.43655655445449
"8",8.514,45.87,8.58,45.936,8.547,45.903,5.77462234106445,,,,3,2,15305.6982421875,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,1,0,0,0,0.0277435470441299,0,0,0.0093255620316403,0,0,0,0,0.116885928393006,0,0,0,0,0,0,0,0,0,0,0,2208.08085612366,276.121425023155,3.2088716816123e-05,95560.3326822917,-0.217340172283233,0.052378979940263,0.289786369081527,8.09215014748481e-05,,81.8607898715042,87.4190263605442,-0.933743117615028,0.0332089180524767,2.86958196660832e-05,0.160919797407795,,0.531930367151896,1.46869961420695,281.905069986979,6.1829891204834,23.7829971313477,15.9592971801758,19.0743687947591,27.5204747517904,1.20390812555949,24.0392049153646,,,,,,,,,,,,,,,,,,,,,,,0.735634134917656,4.88885563525751,45.9840527353026,71.2341083742397,21.7373942348662,45.1011308635152,39.348347336826,3.96323357738159,49.1802010669849,0.000282728285657527,79.0910572140465,2.83318152019141,1.62554221262589
"9",8.58,45.012,8.646,45.078,8.613,45.045,1.97078264941406,87.0930791841097,172.653121948242,0.305189428446041,2,4,8185.416015625,2,0.585656565656566,0.300579124579125,0.00478114478114478,0.104390572390572,0.00459259259259259,0,0,0,4,0.004739336492891,0.186808846761453,0,7,0,0,0.204742921394255,0,0.777675559644281,0.0175815189614638,0,0,0,0,0,0.0517017961125236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507412626297127,0.507412626297127,3965.10689655172,276.126354338631,0.000736609324242412,101195.663039435,-0.811444757476685,0.275846609993586,0.386162197779095,0.000176888961235437,,134.710544217687,194.17074829932,-0.973988352358743,0.036997760901984,7.88478555283644e-05,0.159475955107453,1876.61224758578,2.13372929890951,4.06237411499023,481.187282986111,1.56388907962375,41.2105136447483,34.2190619574653,38.5489230685764,60.9810045030382,2.9218741522895,17.9949205186632,,,,,,,,,,,,,,,,,,,,,,,0.879487295705457,6.99585498979702,33.6652895795527,58.4922863767289,12.2106378479948,57.3477365946155,55.6727145666476,4.42166198192122,88.5043362103264,0.00754523334679719,78.9483998765144,2.13144860191913,1.60722738523127
"10",8.58,45.078,8.646,45.144,8.613,45.111,19.4449674470215,95.5486874638329,62.2639083862305,0.388017247258886,2,4,1397.96313476563,2,0.882210454928449,0.0707005802204427,0.00554463313216285,0.0120222771768542,0.0232567698093561,0.00340596935175607,0.00053158330992814,0.00232773207105132,12,0.0159335679811158,0.098636373216431,0.390077349463612,7,0,0,0.00153280196198651,0,0.998467198038014,0,0,0,0,0,0,0.334367306745446,0.169604464139176,0,0,0,0,0,0,0.205708752709314,3.18848566699436,0,0.249606039998024,1.07829247177527,0.00145345272601986,0.102854376354657,0.205708752709314,0.411417505418628,3246.22555555556,276.071604834663,0.000529981759057657,101665.603515625,-0.992998189396328,0.249413543277317,0.38532829284668,0.000203094999725975,,124.855442176871,180.29387755102,-0.991381203830152,0.0387241757451935,0.000110145697169593,0.159708409665803,1883.35552259848,2.05745633443197,4.50611453586155,482.237467447917,1.54480870564779,41.843251546224,34.4399108886719,38.8346150716146,63.2871839735243,3.07285647922092,17.3400234646267,,,,,,,,,,,,,,,,,,,,,,,0.903791324401019,6.93430871931782,33.8941986560994,61.0169807667377,12.2963768552236,58.6253812225408,54.0063618493794,4.52137064515318,88.0164558016503,0.00493362939584698,79.4358798358297,2.2731352798102,1.46901456409773
