fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int
"1",8.448,45.276,8.514,45.342,8.481,45.309,1.78035081054688,115.278863252423,315.729278564453,0.382622744052717,2,4,1838.14538574219,2,0.842632674765207,0.0819340633004299,0,0.0676143257290933,0.00781893620526954,0,0,0,12,0,0.0165270018621974,0.419925512104283,7,0,0,0,0,0.956108683260498,0.0438913167395022,0,0,0,0,0,0.0418958375772391,0,0,0.143410063149318,0,0,0,0,0,0,0,0.20384802032539,0,0,0,0,0,8405.88390804598,297.773535304599,0.00144396958590167,99997.6522894965,0.267310427294837,-0.0119309690263536,0.240599407090081,3.6161083566911e-05,0.000464369444832094,73.7764294733045,106.899210858586,-1.88526303256972,0.0274019833690946,0.000164231271026571,0.137730104883436,1869.24904807385,1.8199512163798,0.392415523529053,185.699096679688,0.317143201828003,9.00797843933105,7.36187171936035,6.53755124409993,13.9691123962402,0.890442132949829,77.0777180989583,,,,,,,,,,,,,,,,,,,,,,,0.187529388642108,3.62275667743195,6.14646016782665,7.52172894545124,82.2604545844653,15.114532786829,12.6415953721634,1.72853205801806,77.1196147100865,0.0171348815370409,261.249827332072,24.688049078202,2.41731917541805
"2",8.514,45.144,8.58,45.21,8.547,45.177,13.6426189526367,102.247671195966,146.465850830078,0.583363997595534,2,4,1156.98901367188,2,0.852166520082087,0.0830215967946839,0.00126844522622887,0.0421342714746409,0.00927391771718948,0.0073487735756865,0.00295709957979087,0.00182937554969217,12,0.0364920192250638,0.169079689076129,0.346347831246662,7,0,0,0.00116166505324298,0,0.997676669893514,0.00116166505324298,0,0,0,0,0,0.1761815552488,0,0,0.18278774732137,0,0,0,0,0.219899127170168,0.439798254340335,0,0.299643215955081,0.731568513348392,0.00280978289526662,0,0,0,8278.94411414982,297.925659376477,0.00107521097392191,100099.718137711,0.596378323577699,0.151662686514476,0.207527359326681,3.26041829711984e-05,0.000371524003907885,84.7092049319728,122.569012188209,-1.9203048132628,0.0283560999450256,0.000139630527446,0.137531716503248,1879.65776602847,1.58830367194282,0.262546380360921,174.751410590278,0.331367360221015,8.9197260538737,7.18209923638238,5.25029373168945,11.4122263590495,0.787646134694417,82.2468668619792,,,,,,,,,,,,,,,,,,,,,,,0.184593420508117,4.69889488849689,5.06323052895709,6.01091520958967,82.3953205001733,14.7042804134099,12.8344903675369,1.66384913303449,75.5389489445131,0.0198961406556086,285.372074476868,24.734785800329,2.51871102613445
"3",8.514,45.21,8.58,45.276,8.547,45.243,26.8328793740234,109.311062339594,39.6490707397461,0.558838489293905,2,4,616.273559570313,2,0.877877460673909,0.0595482834913273,0,0.0282470952975406,0.0272026176217444,0.00349799590845957,0.00138995875317486,0.00223658825384423,12,0.000614429885869649,0.0514124207001429,0.592064638023993,7,0,0,0,0,0.994289521271533,0.00571047872846674,0,4,0,0,0,0.498295987750868,0,0,0.193318954872487,0,0,0,0,0.59628337969161,0.26087397861508,0,0.502577620589043,0.751814397598855,0.00187824061528511,0,0,0,8357.10344827586,297.882036643774,0.00125749609161693,100115.615778017,0.473642765935046,0.109548593054012,0.218729306781103,3.28496298417272e-05,0.000362665720198401,68.9135023706452,99.9001855287569,-1.89830219395577,0.0277661822486429,0.00014458730727043,0.137558927829707,1865.04965784855,1.57025527954102,0.27892412741979,180.205078125,0.324562470118205,8.97639719645182,7.26584752400716,5.44433720906575,12.6292139689128,0.899396578470866,80.4787292480469,,,,,,,,,,,,,,,,,,,,,,,0.186611235811164,4.06354426764094,5.74696281296269,7.1286980734304,81.9443713050422,15.085324210184,12.4520439555898,1.71666697327077,75.6894530575053,0.0179484924092211,277.99845311535,24.7601639696671,2.42676926260789
"4",8.514,45.276,8.58,45.342,8.547,45.309,32.6639450583496,121.301777265762,24.8869781494141,0.444355241717016,2,4,3165.40869140625,2,0.862889766592763,0.0312612669932769,0,0.0274812672216757,0.0477704200742949,0.0203356483180877,0.00202540773260376,0.0082362230672977,12,0.000335908632851864,0.0795108175020839,0.563468070018288,7,0,0,0,0,0.957586273375747,0.0424137266242529,0,4,0,0,0,0.565563917203221,0,0,0.300525301760337,0,0,0,0,1.377665800001,1.86750252889025,0,0.719363465342717,0.7411102721614,0.00393245316171897,0,0,0,8328.27126436782,297.801348444015,0.00142752734362362,100059.059655568,0.347118132644229,0.0694428209274534,0.228783758859786,3.66586342996575e-05,0.000159312023675626,76.9780045351474,111.484652648938,-1.90328090193148,0.0279066369434763,0.000123197041778196,0.137588197811098,1868.1784861525,1.81974495781793,0.361151801215278,186.431016710069,0.316962295108371,9.15296596950955,7.43889872233073,6.47220823499891,14.3323025173611,1.01537598503961,79.3386773003472,,,,,,,,,,,,,,,,,,,,,,,0.194466249747118,3.46207444006807,6.61948880101558,8.34538142629103,81.3224868600016,15.2557104186226,12.1697906511328,1.76646962450341,75.8978240112774,0.0172467689351293,265.900651533372,24.6539653750656,2.31933186073306
"5",8.514,45.342,8.58,45.408,8.547,45.375,3.66604392944336,127.9629916294,180.575225830078,0.198798456483833,2,4,2366.263671875,2,0.942808825780493,0.0396460357608846,0,0.00676439073103529,0.00931561568347316,0.00146513204411432,0,0,12,0,0.0318167010533174,0.776740145509827,7,0,0,0,0,0.948976677772489,0.0510233222275107,0,0,0,0,0,0.0905625505371376,0,0,0.00828396508193205,0,0,0,0,0.272773599892961,0.272773599892961,0,0.493599278865101,0.530880077093895,0.00141590725276792,0,0,0,8545.79072532699,297.449582493494,0.00156175037606886,99473.5839611235,0.187388281027476,0.0822385871221149,0.228545022389245,3.62374444265652e-05,0.000144557756624759,79.6804112554113,115.086273448773,-1.90222278721068,0.0275596301296341,0.000123386012534716,0.137692942906415,1872.49947534144,2.10588624742296,0.511741161346436,192.914415147569,0.310730775197347,9.3162841796875,7.64289855957031,7.92908053927951,15.8458065456814,1.10773722330729,78.5282931857639,,,,,,,,,,,,,,,,,,,,,,,0.202048234786113,2.92753297035565,7.45382551144601,9.36578208313835,80.4887787717816,15.1239519730459,11.9584582823256,1.81912326196705,76.0239951130919,0.0176355627787303,249.593775099513,24.4513836254677,2.20735576412128
"6",8.514,45.738,8.58,45.804,8.547,45.771,8.76277087451172,209.773216128925,0,3.35474891546232,3,2,20479.97265625,5,0.0649574052292945,0.173713115177597,0.00767708817710185,0.594469821992457,0.135546498658181,0.00897179900981974,0.000267452003002757,0.0143968197525461,19,0,0,0,7,0,0,0,0,0.984628522630231,0,0.0153714773697694,0,0,0,0,0.232963602550478,0,0,0,0,0,0,0,0.456476616504353,0.456476616504353,0,0.586364612962556,0.717189720150071,0,0.342357462378265,0.114119154126088,0.798834078882618,5813.54022988506,295.796776204963,0.0014584882143994,96511.4753301711,-0.193609339985447,0.196464316374591,0.263495393350822,3.09287950921904e-05,0.000242398145540094,99.1277678571429,138.165249433107,-1.88338337322418,0.027021709809751,0.000108382806040315,0.137520730992568,,1.46634578704834,0.354154374864366,182.41838921441,0.281644609239366,7.59607103135851,6.40711127387153,6.17295710245768,16.8813171386719,0.552729924519857,84.158203125,,0.0148809523809524,,,,,,,,,,,,,,,,,,,,,0.10833380549314,1.69597809921045,9.98615528268677,11.5674816975686,81.5705528061887,13.3040198172326,12.3156735949131,2.00655110104127,73.7696987005873,0.0174184841457388,210.361582772266,23.0234572021333,2.09691217724056
"7",8.514,45.804,8.58,45.87,8.547,45.837,1.21207913427734,193.880497685185,0,0.140557751739743,3,2,5331.3681640625,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,0.851115360101976,0,0.148884639898024,0,0.00778391324595835,0,0,0.0243330450402501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6974.53032104637,295.432339023841,0.00148354447814175,95833.1894741621,-0.17361043059096,0.219314162693326,0.248526603456527,2.66605039899733e-05,0.000271741591083099,87.7148178210678,127.301684483317,-1.8973498119248,0.0263493077058281,0.000159679880955331,0.13753241923641,,1.2261282602946,0.267600933710734,176.71484375,0.284859471850925,7.11528184678819,5.95945612589518,4.91572274102105,14.6965128580729,0.463439411587185,84.4501546223958,,,,,,,,,,,,,,,,,,,,,,,0.112632388595562,1.85656080583021,9.60192447323633,10.9602564157576,83.1919115416518,13.1687512985036,12.6356933403723,1.8922172265458,71.8134172138721,0.0281646987864902,243.692601779289,23.138267945386,2.20319490648243
"8",8.514,45.87,8.58,45.936,8.547,45.903,5.77462234106445,,,,3,2,15305.6982421875,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,1,0,0,0,0.0277435470441299,0,0,0.0093255620316403,0,0,0,0,0.116885928393006,0,0,0,0,0,0,0,0,0,0,0,4581.48632580262,294.562761049422,0.00157732910885217,94231.2421952505,-0.129909397117675,0.258761765464904,0.26305916195824,3.03964615095713e-05,0.0003641192574481,120.600749559083,144.226899092971,-1.81336339785474,0.0269728611577881,0.000160352168240982,0.137797531108812,,0.986467838287354,0.194441080093384,169.654795328776,0.283293982346853,6.57942326863607,5.47064272562663,3.67362181345622,12.6858698527018,0.402490536371867,82.3546702067057,,,,,,,,,,,,,,,,,,,,,,,0.121166775114305,2.11827127590356,9.20061705217218,10.3606415292078,84.5191872045434,13.0535301242233,12.9544216411586,1.76000938165779,70.3391163192292,0.0369068631650226,263.625099742156,23.138794820459,2.28229939432016
"9",8.58,45.012,8.646,45.078,8.613,45.045,1.97078264941406,87.0930791841097,172.653121948242,0.305189428446041,2,4,8185.416015625,2,0.585656565656566,0.300579124579125,0.00478114478114478,0.104390572390572,0.00459259259259259,0,0,0,4,0.004739336492891,0.186808846761453,0,7,0,0,0.204742921394255,0,0.777675559644281,0.0175815189614638,0,0,0,0,0,0.0517017961125236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507412626297127,0.507412626297127,6218.47816091954,297.740727939303,0.000469828505193121,99443.1419968378,0.987089184541551,0.310308861354041,0.156649574400887,3.57488151905389e-05,0.000158354523661914,104.582159054098,150.959710074506,-1.72131106123056,0.0278945109227546,0.000231353844675176,0.137310242006064,1881.49714199549,1.83533965216743,0.280769771999783,168.050306532118,0.345346715715196,8.93604871961806,7.07694668240017,5.72566011216905,10.1514112684462,0.791684097713894,85.3039889865451,,,,,,,,,,,,,,,,,,,,,,,0.213428905411716,5.99147195377182,4.69873391410761,5.05194624857983,82.2233913920468,13.8486812929497,13.6043295003869,1.5238442980267,74.0470696137662,0.0285156801172297,293.078785254085,24.4360570266784,2.61662406258756
"10",8.58,45.078,8.646,45.144,8.613,45.111,19.4449674470215,95.5486874638329,62.2639083862305,0.388017247258886,2,4,1397.96313476563,2,0.882210454928449,0.0707005802204427,0.00554463313216285,0.0120222771768542,0.0232567698093561,0.00340596935175607,0.00053158330992814,0.00232773207105132,12,0.0159335679811158,0.098636373216431,0.390077349463612,7,0,0,0.00153280196198651,0,0.998467198038014,0,0,0,0,0,0,0.334367306745446,0.169604464139176,0,0,0,0,0,0,0.205708752709314,3.18848566699436,0,0.249606039998024,1.07829247177527,0.00145345272601986,0.102854376354657,0.205708752709314,0.411417505418628,7310.79666666667,297.977280828688,0.000535419070596424,99870.5507269965,0.861298633946313,0.360720025168525,0.156955718994141,3.46527207236921e-05,0.000281937504099351,110.859410430839,159.923696145125,-1.86119053345114,0.02777262692462,0.000176128493458217,0.137671226693447,1867.87552453997,1.69760428534614,0.262664900885688,171.638861762153,0.34009133444892,8.98174370659722,7.15833875868056,5.4739252726237,10.8535410563151,0.809011618296305,84.6460503472222,,,,,,,,,,,,,,,,,,,,,,,0.188047890855559,5.35237628775771,4.78158231279181,5.4108816447854,81.658125834659,14.0400713401752,12.90596147487,1.62167707284162,73.9559802496174,0.0239445506692233,291.60533509469,24.5339553535683,2.50638540670285
