fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int
"1",8.448,45.276,8.514,45.342,8.481,45.309,1.78035081054688,115.278863252423,315.729278564453,0.382622744052717,2,4,1838.14538574219,2,0.842632674765207,0.0819340633004299,0,0.0676143257290933,0.00781893620526954,0,0,0,12,0,0.0165270018621974,0.419925512104283,7,0,0,0,0,0.956108683260498,0.0438913167395022,0,0,0,0,0,0.0418958375772391,0,0,0.143410063149318,0,0,0,0,0,0,0,0.20384802032539,0,0,0,0,0,2713.1275862069,280.092814339532,0.00292186412395563,99512.3847927517,-0.745671596792009,-0.267011953724755,0.41246775786082,9.88118620139981e-05,,87.8020833333333,127.36755952381,0.0416133713332281,0.0341326055855157,0.000228642519273885,0.145003088874558,1920.11474476436,2.71528275807699,3.56707286834717,326.175903320313,0.17283022403717,22.2508188883464,19.3726387023926,23.8012186686198,46.9351908365885,2.27999258041382,16.794921875,,,,,,,,,,,,,,,,,,,,,,,0.484681591726671,5.23097358420591,24.0779322257918,36.883473461422,17.8378232495716,24.5582090526891,19.8660303132462,3.12589758653315,96.9098931222495,0.0255220618518083,55.9266261955938,6.20731194287583,2.39478618295623
"2",8.514,45.144,8.58,45.21,8.547,45.177,13.6426189526367,102.247671195966,146.465850830078,0.583363997595534,2,4,1156.98901367188,2,0.852166520082087,0.0830215967946839,0.00126844522622887,0.0421342714746409,0.00927391771718948,0.0073487735756865,0.00295709957979087,0.00182937554969217,12,0.0364920192250638,0.169079689076129,0.346347831246662,7,0,0,0.00116166505324298,0,0.997676669893514,0.00116166505324298,0,0,0,0,0,0.1761815552488,0,0,0.18278774732137,0,0,0,0,0.219899127170168,0.439798254340335,0,0.299643215955081,0.731568513348392,0.00280978289526662,0,0,0,3101.06539833531,280.03960766868,0.00300669848830011,99614.1297084263,-0.938939903463636,-0.166455201686375,0.404906112050253,0.000101130877117974,,85.7872023809524,124.416666666667,0.0240648111988021,0.0340745246818953,2.93545379327751e-05,0.144287901921946,1917.1416303955,2.54797723558214,2.27895228068034,320.36083984375,0.17121328247918,22.305172390408,19.5282457139757,21.927005343967,45.5335354275174,1.85885789659288,18.9879845513238,,,,,,,,,,,,,,,,,,,,,,,0.476943765132014,5.13023946200162,23.3565289864004,32.5424335345587,18.6206731018295,23.8469048295341,19.5029282156876,2.91098371349031,95.5092856356086,0.0322573668317185,55.7753502623738,6.22430603771902,2.66369413261139
"3",8.514,45.21,8.58,45.276,8.547,45.243,26.8328793740234,109.311062339594,39.6490707397461,0.558838489293905,2,4,616.273559570313,2,0.877877460673909,0.0595482834913273,0,0.0282470952975406,0.0272026176217444,0.00349799590845957,0.00138995875317486,0.00223658825384423,12,0.000614429885869649,0.0514124207001429,0.592064638023993,7,0,0,0,0,0.994289521271533,0.00571047872846674,0,4,0,0,0,0.498295987750868,0,0,0.193318954872487,0,0,0,0,0.59628337969161,0.26087397861508,0,0.502577620589043,0.751814397598855,0.00187824061528511,0,0,0,2920.37336504162,280.113282084735,0.00298781441592063,99633.366475008,-0.840588989306469,-0.250032476692243,0.407586279369536,9.62239658465514e-05,,74.1156462585034,107.673469387755,-0.00593955589498569,0.0336795889656242,5.79610025525791e-05,0.144539206297435,1920.29857761978,2.51120885213216,3.02921199798584,327.460367838542,0.176912824312846,22.6172231038411,19.7309684753418,22.8706563313802,47.3742472330729,2.26721016565959,17.9568735758464,,,,,,,,,,,,,,,,,,,,,,,0.490001246203686,5.08514998463369,23.7001153258338,35.6616420839112,17.9270469356913,24.1481953823862,19.5858590240035,3.03896546883965,95.2563135679342,0.026112837608129,55.4890315458554,6.288053055614,2.49328287774567
"4",8.514,45.276,8.58,45.342,8.547,45.309,32.6639450583496,121.301777265762,24.8869781494141,0.444355241717016,2,4,3165.40869140625,2,0.862889766592763,0.0312612669932769,0,0.0274812672216757,0.0477704200742949,0.0203356483180877,0.00202540773260376,0.0082362230672977,12,0.000335908632851864,0.0795108175020839,0.563468070018288,7,0,0,0,0,0.957586273375747,0.0424137266242529,0,4,0,0,0,0.565563917203221,0,0,0.300525301760337,0,0,0,0,1.377665800001,1.86750252889025,0,0.719363465342717,0.7411102721614,0.00393245316171897,0,0,0,3192.58505747126,280.161783581688,0.00297068427933362,99575.4475407676,-0.736799882517921,-0.335537056128184,0.410103374057346,9.71926017302547e-05,,82.6955782312925,120.011904761905,0.0165169624660899,0.0342181550224486,0.000129764490077045,0.144769633242048,1920.20297258507,2.81173049079047,4.15062204996745,338.560953776042,0.17870749367608,23.3195427788628,20.2928771972656,24.3247748480903,50.2273084852431,2.69069353739421,16.5160335964627,,,,,,,,,,,,,,,,,,,,,,,0.500109770261568,5.08302068729073,24.2328931613445,38.8394975973133,17.2194752507508,24.3632421653087,19.5894178237534,3.11306921622466,95.4546289064992,0.0237688544774658,54.97177923487,6.32278848946752,2.3091141578929
"5",8.514,45.342,8.58,45.408,8.547,45.375,3.66604392944336,127.9629916294,180.575225830078,0.198798456483833,2,4,2366.263671875,2,0.942808825780493,0.0396460357608846,0,0.00676439073103529,0.00931561568347316,0.00146513204411432,0,0,12,0,0.0318167010533174,0.776740145509827,7,0,0,0,0,0.948976677772489,0.0510233222275107,0,0,0,0,0,0.0905625505371376,0,0,0.00828396508193205,0,0,0,0,0.272773599892961,0.272773599892961,0,0.493599278865101,0.530880077093895,0.00141590725276792,0,0,0,3106.02853745541,279.979402057708,0.0029347812225153,98956.3841727121,-0.612272904978858,-0.397011326418983,0.408956620428297,9.54955177454983e-05,,95.7693452380953,138.854166666667,0.0274491760942378,0.0336826729397647,0.000109051247323482,0.145177251976449,1917.12531121198,3.09858915540907,5.2668957180447,349.345106336806,0.177696810828315,23.8905198838976,20.8243153889974,25.850343492296,52.3098822699653,2.93639140658908,15.0916748046875,,,,,,,,,,,,,,,,,,,,,,,0.498935088103105,5.10860358924133,24.6327744982407,41.1082650374345,16.5626173150542,24.3771777521483,19.4200529077515,3.15805159645975,95.8682126188403,0.0235228278297898,54.1171032055162,6.3197559504826,2.11866848711517
"6",8.514,45.738,8.58,45.804,8.547,45.771,8.76277087451172,209.773216128925,0,3.35474891546232,3,2,20479.97265625,5,0.0649574052292945,0.173713115177597,0.00767708817710185,0.594469821992457,0.135546498658181,0.00897179900981974,0.000267452003002757,0.0143968197525461,19,0,0,0,7,0,0,0,0,0.984628522630231,0,0.0153714773697694,0,0,0,0,0.232963602550478,0,0,0,0,0,0,0,0.456476616504353,0.456476616504353,0,0.586364612962556,0.717189720150071,0,0.342357462378265,0.114119154126088,0.798834078882618,4236.44137931034,279.529870969638,0.00211272793416904,95832.0620532393,-0.266020913378181,0.127330455785436,0.356992507467465,0.000102339671083941,,137.51282051282,108.318027210884,-0.184279423685473,0.03308483623875,0.00015109116752063,0.145579833832449,1868.52370775823,1.2982243431939,2.58150312635634,310.833062065972,0.161632405387031,18.6742587619358,16.9559105767144,19.3388366699219,38.709716796875,1.16842036777072,18.8922068277995,,0.0329365079365079,,,,,,,,,,,,,,,,,,,,,0.422179950546514,5.38339230279328,25.3470454446036,43.6030631313617,16.6049457734469,22.9178686478335,16.5736641739731,2.76008964954373,93.0114566487858,0.0318092706847548,51.5300684979498,6.21949331017967,1.63678725345551
"7",8.514,45.804,8.58,45.87,8.547,45.837,1.21207913427734,193.880497685185,0,0.140557751739743,3,2,5331.3681640625,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,0.851115360101976,0,0.148884639898024,0,0.00778391324595835,0,0,0.0243330450402501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4797.50891795482,279.325052209452,0.00208492164447121,95118.9326598152,-0.210787003407943,0.138853298158062,0.338567418035736,8.27419599815885e-05,,104.938271604938,90.7755102040816,-0.150460573103304,0.0332605124899688,0.00010159960557739,0.145467898249288,,0.973032633463542,1.72062767876519,279.284776475694,0.17180875937144,15.6085459391276,14.057745191786,16.5480753580729,32.9056735568576,1.00402651892768,22.2308553059896,,,,,,,,,,,,,,,,,,,,,,,0.444518560603312,5.45914883738779,25.1535696804742,41.0194013283268,17.1545337231165,22.3260136545485,16.4604192712533,2.49675054226996,92.772150164383,0.0318104997181293,52.3406389581504,6.61415134438947,1.74940881793019
"8",8.514,45.87,8.58,45.936,8.547,45.903,5.77462234106445,,,,3,2,15305.6982421875,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,1,0,0,0,0.0277435470441299,0,0,0.0093255620316403,0,0,0,0,0.116885928393006,0,0,0,0,0,0,0,0,0,0,0,2268.09393579073,278.711233683995,0.00206241992490052,93434.3344455295,-0.118141241489895,0.159318067724743,0.34545836372981,7.52974370569778e-05,,96.9621212121212,74.0669642857143,0.0584146553871584,0.0335209190817894,6.80924885398205e-05,0.145280663331822,,0.661424557367961,1.14138984680176,247.76552327474,0.172920982042948,13.1202061971029,11.6404215494792,13.6861699422201,26.6681187947591,0.85656992594401,24.6768315633138,,,,,,,,,,,,,,,,,,,,,,,0.461067253674311,5.55703805805772,25.0942870700362,39.0775339549604,17.6087495119694,22.0002046120901,16.7087322802366,2.29879310807194,93.4290115795545,0.0300193746848893,53.0375457508763,6.91789000920602,1.87930016384951
"9",8.58,45.012,8.646,45.078,8.613,45.045,1.97078264941406,87.0930791841097,172.653121948242,0.305189428446041,2,4,8185.416015625,2,0.585656565656566,0.300579124579125,0.00478114478114478,0.104390572390572,0.00459259259259259,0,0,0,4,0.004739336492891,0.186808846761453,0,7,0,0,0.204742921394255,0,0.777675559644281,0.0175815189614638,0,0,0,0,0,0.0517017961125236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507412626297127,0.507412626297127,4611.17471264368,279.702619007656,0.00334783105042257,98906.3622233073,-0.978189565832653,-0.00208794976037647,0.400722927517361,7.91099342926638e-05,,68.3418367346939,99.1751700680272,0.0180200725819948,0.0339986374832516,0.000118396789735415,0.143532263637264,1895.8257885704,2.9417232937283,1.66757678985596,312.742241753472,0.162477254867554,22.3431125217014,19.9387936062283,21.2648027208116,43.5307244194878,1.68827385372586,20.6212361653646,,,,,,,,,,,,,,,,,,,,,,,0.463072860963962,5.23010647050479,23.8181158887633,29.3361664420282,19.324914734154,22.9685075958951,19.0955163434966,2.49831963616334,95.2919026034289,0.060255425249522,55.0998514641888,6.06434998864624,2.91127896511843
"10",8.58,45.078,8.646,45.144,8.613,45.111,19.4449674470215,95.5486874638329,62.2639083862305,0.388017247258886,2,4,1397.96313476563,2,0.882210454928449,0.0707005802204427,0.00554463313216285,0.0120222771768542,0.0232567698093561,0.00340596935175607,0.00053158330992814,0.00232773207105132,12,0.0159335679811158,0.098636373216431,0.390077349463612,7,0,0,0.00153280196198651,0,0.998467198038014,0,0,0,0,0,0,0.334367306745446,0.169604464139176,0,0,0,0,0,0,0.205708752709314,3.18848566699436,0,0.249606039998024,1.07829247177527,0.00145345272601986,0.102854376354657,0.205708752709314,0.411417505418628,3940.53444444444,279.890723546346,0.00307412345416264,99362.140001085,-1.08376100990507,-0.111087050702837,0.397976345486111,8.24050623525646e-05,,68.5425170068027,99.4557823129252,0.0862223206443249,0.0341897280140071,0.000101200050013895,0.143824531691491,1901.76964094152,2.90158462524414,1.97900051540799,318.541069878472,0.16755305396186,22.499994913737,19.9132944742839,21.6382700602214,45.3832329644097,1.66768455505371,19.8507300482856,,,,,,,,,,,,,,,,,,,,,,,0.462274601335164,5.06654069700341,23.1121564079818,30.1180554041793,18.8419754525819,23.0761086619034,18.887468126429,2.69004104427441,94.5841133360014,0.0431187992425523,54.7402116096535,6.25626237276969,2.75835740107301
