fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int
"1",8.448,45.276,8.514,45.342,8.481,45.309,1.78035081054688,115.278863252423,315.729278564453,0.382622744052717,2,4,1838.14538574219,2,0.842632674765207,0.0819340633004299,0,0.0676143257290933,0.00781893620526954,0,0,0,12,0,0.0165270018621974,0.419925512104283,7,0,0,0,0,0.956108683260498,0.0438913167395022,0,0,0,0,0,0.0418958375772391,0,0,0.143410063149318,0,0,0,0,0,0,0,0.20384802032539,0,0,0,0,0,2894.36781609195,286.579378657871,0.00256445706750928,99479.7428927951,-0.549753288427989,-0.756494005521139,0.342467082871331,,,,0,-1.38751717701215,0.0354281931368931,,0.155826784875503,,4.06064987182617,0.583720207214355,201.45703125,0.962493737538656,17.0023193359375,14.8446400960286,11.6278419494629,18.6449241638184,1.54520146052043,62.2514088948568,,,,,,,,,,,,,,,,,,,,,,,0.318598202718967,9.96392041616715,15.2617652911302,19.9525901219315,57.0257267860085,26.6951176114209,19.7074368405147,2.59351230883705,91.6159560996093,0.0399091944303868,110.23323583626,13.5535228000494,2.59105028394779
"2",8.514,45.144,8.58,45.21,8.547,45.177,13.6426189526367,102.247671195966,146.465850830078,0.583363997595534,2,4,1156.98901367188,2,0.852166520082087,0.0830215967946839,0.00126844522622887,0.0421342714746409,0.00927391771718948,0.0073487735756865,0.00295709957979087,0.00182937554969217,12,0.0364920192250638,0.169079689076129,0.346347831246662,7,0,0,0.00116166505324298,0,0.997676669893514,0.00116166505324298,0,0,0,0,0,0.1761815552488,0,0,0.18278774732137,0,0,0,0,0.219899127170168,0.439798254340335,0,0.299643215955081,0.731568513348392,0.00280978289526662,0,0,0,3793.46848989298,286.767484891982,0.00252391780780293,99579.0521685888,-0.404001093099988,-0.66136247960348,0.34551467403533,,,,0,-1.0517984972971,0.0346892544899677,,0.155942166549083,,3.33213678995768,0.420685529708862,192.067816840278,0.971882608201769,16.420401679145,13.9347983466254,9.34153747558594,14.4046054416233,1.16146839989556,63.7006157769097,,,,,,,,,,,,,,,,,,,,,,,0.322901646072737,9.62693376374738,16.2728476109905,21.2186069070465,57.0394541197165,26.683637001077,19.6561332781665,2.53668641823601,91.6674631383084,0.0327848892559422,109.47488620834,13.5600305612593,2.87641937707058
"3",8.514,45.21,8.58,45.276,8.547,45.243,26.8328793740234,109.311062339594,39.6490707397461,0.558838489293905,2,4,616.273559570313,2,0.877877460673909,0.0595482834913273,0,0.0282470952975406,0.0272026176217444,0.00349799590845957,0.00138995875317486,0.00223658825384423,12,0.000614429885869649,0.0514124207001429,0.592064638023993,7,0,0,0,0,0.994289521271533,0.00571047872846674,0,4,0,0,0,0.498295987750868,0,0,0.193318954872487,0,0,0,0,0.59628337969161,0.26087397861508,0,0.502577620589043,0.751814397598855,0.00187824061528511,0,0,0,3217.09988109394,286.750878727625,0.0025875137190051,99598.0114939856,-0.439790323342866,-0.733510973502179,0.343590139531765,,,,0,-1.43341866237732,0.0337875996615621,,0.156531952741939,,3.67535146077474,0.457623799641927,194.358337402344,0.957698822021484,16.4154828389486,14.1007970174154,10.0068613688151,15.8129183451335,1.30773862202962,63.1043345133464,,,,,,,,,,,,,,,,,,,,,,,0.32731460687835,9.70161188374333,15.5978799541454,20.4348480785295,56.7247652477687,27.1250914313119,19.1964980444521,2.46564073324164,90.5372583135702,0.0346183415056349,109.451844689478,13.6454258114255,2.68355814178032
"4",8.514,45.276,8.58,45.342,8.547,45.309,32.6639450583496,121.301777265762,24.8869781494141,0.444355241717016,2,4,3165.40869140625,2,0.862889766592763,0.0312612669932769,0,0.0274812672216757,0.0477704200742949,0.0203356483180877,0.00202540773260376,0.0082362230672977,12,0.000335908632851864,0.0795108175020839,0.563468070018288,7,0,0,0,0,0.957586273375747,0.0424137266242529,0,4,0,0,0,0.565563917203221,0,0,0.300525301760337,0,0,0,0,1.377665800001,1.86750252889025,0,0.719363465342717,0.7411102721614,0.00393245316171897,0,0,0,2915.71264367816,286.699492938935,0.00264566990375586,99541.8845098586,-0.475071688493093,-0.807345797145177,0.34065608372764,,,,0,-1.53072655900086,0.0339204959915025,,0.156062622271447,,4.14100180731879,0.55675909254286,200.251315646701,0.962284935845269,16.9752824571398,14.7786729600694,11.3709716796875,18.4197743733724,1.60185559590658,61.714850531684,,,,,,,,,,,,,,,,,,,,,,,0.325957758633616,9.83395647564223,15.0040034034401,19.6017385606052,56.155528770632,26.7926938774017,18.9770473584592,2.48537678186888,89.7991592465293,0.0368436287587406,109.492003644665,13.640344345778,2.49268485820007
"5",8.514,45.342,8.58,45.408,8.547,45.375,3.66604392944336,127.9629916294,180.575225830078,0.198798456483833,2,4,2366.263671875,2,0.942808825780493,0.0396460357608846,0,0.00676439073103529,0.00931561568347316,0.00146513204411432,0,0,12,0,0.0318167010533174,0.776740145509827,7,0,0,0,0,0.948976677772489,0.0510233222275107,0,0,0,0,0,0.0905625505371376,0,0,0.00828396508193205,0,0,0,0,0.272773599892961,0.272773599892961,0,0.493599278865101,0.530880077093895,0.00141590725276792,0,0,0,2381.46135552913,286.361025870793,0.00278742299693367,98937.4956209698,-0.464552448855506,-0.881251741969396,0.332710095814296,,,,0,-1.39316963173386,0.0353800363307421,,0.155954741922466,,4.45943408542209,0.710676934983995,207.092149522569,0.970202128092448,17.6149122450087,15.5099605984158,13.0843285454644,21.1735568576389,1.92682435777452,59.8278198242188,,,,,,,,,,,,,,,,,,,,,,,0.319343916912692,9.9816582201137,14.4410295307972,18.6569297864401,55.4209575887897,25.6337103955425,18.9103187564779,2.5898518835753,89.3030802373334,0.0396865902662197,109.27967979245,13.5781763807445,2.30760538641232
"6",8.514,45.738,8.58,45.804,8.547,45.771,8.76277087451172,209.773216128925,0,3.35474891546232,3,2,20479.97265625,5,0.0649574052292945,0.173713115177597,0.00767708817710185,0.594469821992457,0.135546498658181,0.00897179900981974,0.000267452003002757,0.0143968197525461,19,0,0,0,7,0,0,0,0,0.984628522630231,0,0.0153714773697694,0,0,0,0,0.232963602550478,0,0,0,0,0,0,0,0.456476616504353,0.456476616504353,0,0.586364612962556,0.717189720150071,0,0.342357462378265,0.114119154126088,0.798834078882618,5625.78390804598,284.357711564927,0.00450453332712734,95878.7012615593,0.00493853662560045,-0.472696747909598,0.339974902925037,,,,0,-1.4184530665564,0.0362867160337826,,0.154768621161268,,2.87694104512533,0.843378172980415,244.1083984375,0.83475563261244,19.2978752983941,17.3589206271701,13.3092278374566,27.8552042643229,1.12388695610894,55.0758463541667,,0.0819444444444444,,,,,,,,,,,,,,,,,,,,,0.309599532711048,9.84247082758441,18.4595689757312,25.8138917938855,57.5000907671012,23.7732257719503,19.7700636421896,1.85293249695763,86.4653360166719,0.084792751812633,96.4848226357402,12.8173247638634,1.73626534328261
"7",8.514,45.804,8.58,45.87,8.547,45.837,1.21207913427734,193.880497685185,0,0.140557751739743,3,2,5331.3681640625,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,0.851115360101976,0,0.148884639898024,0,0.00778391324595835,0,0,0.0243330450402501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7037.68965517241,283.920565873317,0.00506802416651309,95176.9991640536,0.0427390897895744,-0.423822604339409,0.328096391933035,,,,0,-1.36628651118819,0.0362855643934643,,0.15484312264982,,2.53351656595866,0.695170455508762,236.553819444444,0.811147107018365,18.535654703776,16.7208472357856,11.5137074788411,25.2389831542969,1.00767940945095,57.3242323133681,,,,,,,,,,,,,,,,,,,,,,,0.330188670775272,9.64186764567875,19.0015343844262,26.2962865282752,58.649997500342,24.3727605174772,20.2171185888475,1.62847099094318,87.097637569254,0.102145609254898,95.1721746340569,12.6867637704191,1.82169586820029
"8",8.514,45.87,8.58,45.936,8.547,45.903,5.77462234106445,,,,3,2,15305.6982421875,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,1,0,0,0,0.0277435470441299,0,0,0.0093255620316403,0,0,0,0,0.116885928393006,0,0,0,0,0,0,0,0,0,0,0,3080.36385255648,282.940829821995,0.00612815779813618,93518.9351050967,0.107865400730617,-0.348699537534562,0.344892153664241,,,,0,-1.34809631989546,0.0366678876800287,,0.154906185472843,,1.9795093536377,0.573478023211161,227.611694335938,0.741276105244954,17.3621444702148,15.5810178120931,9.54972076416016,22.4421310424805,0.880475680033366,59.6109822591146,,,,,,,,,,,,,,,,,,,,,,,0.348040190952264,9.43142790981619,19.1926018199251,26.1713448759754,59.6811480528213,24.8416382730794,20.764407228545,1.46802000526264,88.393658216727,0.118941044755563,94.2389855853205,12.4843575309005,1.92596351019157
"9",8.58,45.012,8.646,45.078,8.613,45.045,1.97078264941406,87.0930791841097,172.653121948242,0.305189428446041,2,4,8185.416015625,2,0.585656565656566,0.300579124579125,0.00478114478114478,0.104390572390572,0.00459259259259259,0,0,0,4,0.004739336492891,0.186808846761453,0,7,0,0,0.204742921394255,0,0.777675559644281,0.0175815189614638,0,0,0,0,0,0.0517017961125236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507412626297127,0.507412626297127,6382.58505747126,286.551669665745,0.00217214872604717,98890.9162558904,-0.199717878349244,-0.47773948359111,0.339029993329729,,,,0,-1.01271553954144,0.0342626752083168,,0.155189241609824,,3.22281201680501,0.418486436208089,188.407877604167,0.990771187676324,15.8565555148655,13.2340579562717,9.3930918375651,13.084971110026,1.4099252488878,63.0696614583333,,,,,,,,,,,,,,,,,,,,,,,0.301670331224596,9.51782171757644,18.0487578515835,23.2778911899213,55.763944059885,24.5009984514755,20.8449204007613,2.75219427846429,93.0281788834596,0.0269775203084066,108.3993937564,13.2048246004098,3.18002476468998
"10",8.58,45.078,8.646,45.144,8.613,45.111,19.4449674470215,95.5486874638329,62.2639083862305,0.388017247258886,2,4,1397.96313476563,2,0.882210454928449,0.0707005802204427,0.00554463313216285,0.0120222771768542,0.0232567698093561,0.00340596935175607,0.00053158330992814,0.00232773207105132,12,0.0159335679811158,0.098636373216431,0.390077349463612,7,0,0,0.00153280196198651,0,0.998467198038014,0,0,0,0,0,0,0.334367306745446,0.169604464139176,0,0,0,0,0,0,0.205708752709314,3.18848566699436,0,0.249606039998024,1.07829247177527,0.00145345272601986,0.102854376354657,0.205708752709314,0.411417505418628,5216.49444444444,286.757608095805,0.00241514951569613,99336.2932400174,-0.263252569569482,-0.601693166626824,0.341609213087294,,,,0,-0.925182356627129,0.0358489496162346,,0.155399489814676,,3.37566312154134,0.412751303778754,189.844156901042,0.986209445529514,16.1190287272135,13.5743713378906,9.25444200303819,13.5649236043294,1.30321481492784,63.1082967122396,,,,,,,,,,,,,,,,,,,,,,,0.316528195882976,9.39276286323283,17.0184065475979,21.9412659490345,56.2850309801466,25.4036435456611,19.6780566170926,2.58762489876166,91.4461462615433,0.0288565883226742,108.355609845192,13.4806215171532,2.98520108606609
