fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int
"1",8.448,45.276,8.514,45.342,8.481,45.309,1.78035081054688,115.278863252423,315.729278564453,0.382622744052717,2,4,1838.14538574219,2,0.842632674765207,0.0819340633004299,0,0.0676143257290933,0.00781893620526954,0,0,0,12,0,0.0165270018621974,0.419925512104283,7,0,0,0,0,0.956108683260498,0.0438913167395022,0,0,0,0,0,0.0418958375772391,0,0,0.143410063149318,0,0,0,0,0,0,0,0.20384802032539,0,0,0,0,0,8581.78390804598,295.772442499797,0.00488419061242672,99771.2590060764,-0.892022060023414,-0.357563336690267,0.380620691511366,3.82038267929278e-05,0.000167054422005428,147.172363945578,211.605569727891,-0.942767764540442,0.036762390875273,9.71477428766173e-05,0.147123130487687,1905.72610472293,1.49361864725749,0.261223713556925,179.551106770833,0.628740866978963,11.867239634196,8.75268109639486,6.80514907836914,22.8494542439779,1.20127646128337,75.2491607666016,,,,,,,,,,,,,,,,,,,,,,,0.235543980546274,3.55736457474291,7.98762075663439,6.13832659300977,71.2335813338498,14.0420954699593,13.1692299394087,1.7280762608969,83.9902620607281,0.046805333337097,237.941412122548,23.8071461001892,2.55525809547433
"2",8.514,45.144,8.58,45.21,8.547,45.177,13.6426189526367,102.247671195966,146.465850830078,0.583363997595534,2,4,1156.98901367188,2,0.852166520082087,0.0830215967946839,0.00126844522622887,0.0421342714746409,0.00927391771718948,0.0073487735756865,0.00295709957979087,0.00182937554969217,12,0.0364920192250638,0.169079689076129,0.346347831246662,7,0,0,0.00116166505324298,0,0.997676669893514,0.00116166505324298,0,0,0,0,0,0.1761815552488,0,0,0.18278774732137,0,0,0,0,0.219899127170168,0.439798254340335,0,0.299643215955081,0.731568513348392,0.00280978289526662,0,0,0,8253.36979785969,296.337821566869,0.00385376446222224,99865.1602957589,-0.664755778653281,-0.219377199808757,0.330390419278826,3.98542773401592e-05,0.000340453249517896,157.363095238095,225.658630952381,-0.864334507686306,0.0371959126602967,0.000218414410189544,0.146874072284286,1898.8802948812,1.16124661763509,0.189927260080973,175.622395833333,0.765960905287001,12.3579779730903,8.79603068033854,5.49938413831923,20.5101148817274,1.03465906778971,75.7686496310764,,,,,,,,,,,,,,,,,,,,,,,0.231313042570984,4.78849108386748,7.42118487546915,5.63241202777195,68.4809160648674,15.0987570693436,13.8737453654175,2.17399304061725,83.3085746419521,0.0433060205386903,239.805381445153,23.877688962399,2.78372360332333
"3",8.514,45.21,8.58,45.276,8.547,45.243,26.8328793740234,109.311062339594,39.6490707397461,0.558838489293905,2,4,616.273559570313,2,0.877877460673909,0.0595482834913273,0,0.0282470952975406,0.0272026176217444,0.00349799590845957,0.00138995875317486,0.00223658825384423,12,0.000614429885869649,0.0514124207001429,0.592064638023993,7,0,0,0,0,0.994289521271533,0.00571047872846674,0,4,0,0,0,0.498295987750868,0,0,0.193318954872487,0,0,0,0,0.59628337969161,0.26087397861508,0,0.502577620589043,0.751814397598855,0.00187824061528511,0,0,0,8591.5790725327,296.117631946832,0.00438586455158253,99884.6887112918,-0.771659287330515,-0.269020632010739,0.352730662373999,4.55823602942592e-05,0.000145138637172349,156.522837706511,224.908357628766,-0.999339733320929,0.036834052723969,0.000167591719490159,0.147146107083916,1901.55098036799,1.21394491195679,0.197106738885244,177.129028320313,0.723399718602498,12.2713826497396,8.89357248942057,5.75932057698568,21.8897272745768,1.20352554321289,75.1889851888021,,,,,,,,,,,,,,,,,,,,,,,0.233399214076825,4.22864077152907,7.80903190411834,6.10104798739065,69.4910486076786,14.5387285031933,13.4466012916187,1.82637173185722,82.893927275251,0.0400545307787154,238.536564005421,23.8693718052155,2.61161150883987
"4",8.514,45.276,8.58,45.342,8.547,45.309,32.6639450583496,121.301777265762,24.8869781494141,0.444355241717016,2,4,3165.40869140625,2,0.862889766592763,0.0312612669932769,0,0.0274812672216757,0.0477704200742949,0.0203356483180877,0.00202540773260376,0.0082362230672977,12,0.000335908632851864,0.0795108175020839,0.563468070018288,7,0,0,0,0,0.957586273375747,0.0424137266242529,0,4,0,0,0,0.565563917203221,0,0,0.300525301760337,0,0,0,0,1.377665800001,1.86750252889025,0,0.719363465342717,0.7411102721614,0.00393245316171897,0,0,0,8565.90114942529,295.854732907008,0.00489478913031085,99831.679640997,-0.875621949869489,-0.317663298712836,0.375094640822638,4.18871258084249e-05,0.000184451127537549,144.585714285714,207.968707482993,-1.00108081201932,0.0365453083982838,0.000142735445697508,0.147103639681586,1897.45597457566,1.46109623379178,0.24393449889289,180.053046332465,0.686062388949924,12.3158806694878,9.09570821126302,6.70817142062717,23.3543904622396,1.40284135606554,74.3376939561632,,,,,,,,,,,,,,,,,,,,,,,0.239681572280707,3.63728319866273,8.29734500318002,6.80812528424693,70.5717181545962,14.0060014953912,12.9862034236139,1.60771584089946,82.4523951763127,0.0404621526651081,235.878342556056,23.7782652169521,2.45432823459656
"5",8.514,45.342,8.58,45.408,8.547,45.375,3.66604392944336,127.9629916294,180.575225830078,0.198798456483833,2,4,2366.263671875,2,0.942808825780493,0.0396460357608846,0,0.00676439073103529,0.00931561568347316,0.00146513204411432,0,0,12,0,0.0318167010533174,0.776740145509827,7,0,0,0,0,0.948976677772489,0.0510233222275107,0,0,0,0,0,0.0905625505371376,0,0,0.00828396508193205,0,0,0,0,0.272773599892961,0.272773599892961,0,0.493599278865101,0.530880077093895,0.00141590725276792,0,0,0,8689.8644470868,295.303597314017,0.00515539005559177,99247.445265997,-0.943106911485157,-0.335186322530111,0.380640455654689,4.47347491563569e-05,,153.268537414966,220.213605442177,-1.03314426190015,0.0371056505929665,0.000213461720677865,0.146534361713311,1897.82515041296,1.68721495734321,0.332900418175591,182.56292046441,0.653946187761095,12.3661431206597,9.23420715332031,7.87297905815972,24.4112531873915,1.53718990749783,73.3851657443576,,,,,,,,,,,,,,,,,,,,,,,0.245063772898343,3.06530223035425,8.75007982588356,7.59352400630333,71.5072790383898,13.5456269014875,12.4892946588712,1.4932425018177,81.9533304087488,0.0451480387801975,231.930553343331,23.6291614774723,2.31600899354332
"6",8.514,45.738,8.58,45.804,8.547,45.771,8.76277087451172,209.773216128925,0,3.35474891546232,3,2,20479.97265625,5,0.0649574052292945,0.173713115177597,0.00767708817710185,0.594469821992457,0.135546498658181,0.00897179900981974,0.000267452003002757,0.0143968197525461,19,0,0,0,7,0,0,0,0,0.984628522630231,0,0.0153714773697694,0,0,0,0,0.232963602550478,0,0,0,0,0,0,0,0.456476616504353,0.456476616504353,0,0.586364612962556,0.717189720150071,0,0.342357462378265,0.114119154126088,0.798834078882618,6165.33908045977,293.308520574418,0.00714345920248947,96285.8307180945,-0.55351735526472,-0.0567212591365892,0.373834994915121,3.51408859046225e-05,0.000743027722391303,241.337209302326,330.974489795918,-1.01583404118751,0.0356758210838511,0.000350672088662312,0.145276950239526,,0.952769597371419,0.355234119627211,171.907728407118,0.3627364370558,9.36490885416667,6.91291724310981,6.94148423936632,22.6908077663845,0.641865836249457,70.8863864474826,,0.150793650793651,,,,,,,,,,,,,,,,,,,,,0.212446174510534,1.05673629095496,9.55391387434933,11.0139356943904,73.016059171141,12.4642344414237,9.68017670190643,0.997467818829883,82.8516019708687,0.138607460934038,203.775140984049,21.823215196901,1.82451955774877
"7",8.514,45.804,8.58,45.87,8.547,45.837,1.21207913427734,193.880497685185,0,0.140557751739743,3,2,5331.3681640625,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,0.851115360101976,0,0.148884639898024,0,0.00778391324595835,0,0,0.0243330450402501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7238.17717003567,292.959004205371,0.00845258185170943,95605.7320786387,-0.466499007072578,-0.00729226309155661,0.360511412155601,3.65490044870549e-05,0.000340466913365513,242.568376068376,295.149659863946,-1.00800942085623,0.0372665286432656,0.000336803923839369,0.145466778520783,,0.772055202060276,0.272737661997477,165.769517686632,0.320055511262682,8.677369011773,6.4019046359592,5.70440377129449,20.6889444986979,0.589549276563856,71.6046481662326,,,,,,,,,,,,,,,,,,,,,,,0.229444023314712,0.975690092139054,8.97504753003063,10.1524709426311,73.3714240928201,12.3590720906893,9.80338801122377,1.03853796040097,83.2800496073967,0.112797940544331,201.117233466028,21.5245066185235,1.85968221021408
"8",8.514,45.87,8.58,45.936,8.547,45.903,5.77462234106445,,,,3,2,15305.6982421875,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,1,0,0,0,0.0277435470441299,0,0,0.0093255620316403,0,0,0,0,0.116885928393006,0,0,0,0,0,0,0,0,0,0,0,3257.90487514863,292.192644845872,0.0108883546415354,93998.2788473462,-0.323963925005898,0.0701497244456458,0.369787095085023,3.89149723159807e-05,0.000218439780692879,211.326666666667,230.085119047619,-1.04690858465107,0.0372033043422753,0.000183454454407271,0.145751128986021,,0.572068889935811,0.201875507831573,159.214640299479,0.276599446932475,8.00995826721191,5.8461488087972,4.38863372802734,19.1319376627604,0.496666550636292,70.4439849853516,,,,,,,,,,,,,,,,,,,,,,,0.244013105988693,0.951508078337054,8.44847692407983,9.23783867429472,73.4155023873511,12.4466389403585,10.2286737110035,1.08268955358827,84.3413006153463,0.0867325963593177,198.336766926418,21.1137863196325,1.9540500965309
"9",8.58,45.012,8.646,45.078,8.613,45.045,1.97078264941406,87.0930791841097,172.653121948242,0.305189428446041,2,4,8185.416015625,2,0.585656565656566,0.300579124579125,0.00478114478114478,0.104390572390572,0.00459259259259259,0,0,0,4,0.004739336492891,0.186808846761453,0,7,0,0,0.204742921394255,0,0.777675559644281,0.0175815189614638,0,0,0,0,0,0.0517017961125236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507412626297127,0.507412626297127,5943.25747126437,296.587966646467,0.00215552870811195,99198.0407521081,-0.198883029203566,-0.00996279338049511,0.263638254195925,4.67033343879209e-05,0.000430754952516447,223.176241134752,305.576190476191,-0.72335109224285,0.0363024704597681,0.00022559082657588,0.146770048209565,,1.19402917226156,0.201586961746216,172.811848958333,0.944541189405653,13.106201171875,9.18883599175347,5.76177724202474,18.2834930419922,1.18887286716037,75.3076375325521,,,,,,,,,,,,,,,,,,,,,,,0.253345193423757,5.91590237249509,7.31966022861122,6.05553614191848,66.2525060218735,16.2212072431635,14.467151121249,3.01129774993861,82.571310607009,0.0443284896355193,237.089743272999,23.6675151559885,3.07225810839687
"10",8.58,45.078,8.646,45.144,8.613,45.111,19.4449674470215,95.5486874638329,62.2639083862305,0.388017247258886,2,4,1397.96313476563,2,0.882210454928449,0.0707005802204427,0.00554463313216285,0.0120222771768542,0.0232567698093561,0.00340596935175607,0.00053158330992814,0.00232773207105132,12,0.0159335679811158,0.098636373216431,0.390077349463612,7,0,0,0.00153280196198651,0,0.998467198038014,0,0,0,0,0,0,0.334367306745446,0.169604464139176,0,0,0,0,0,0,0.205708752709314,3.18848566699436,0,0.249606039998024,1.07829247177527,0.00145345272601986,0.102854376354657,0.205708752709314,0.411417505418628,7167.26444444444,296.683320999146,0.00242522262929904,99628.1478949653,-0.413215246465471,-0.0712169011433919,0.271828227572971,4.04615974970314e-05,0.000267258684481119,171.599319727891,246.265986394558,-0.698259285143404,0.0354529913421455,0.000208600537298973,0.14645898824374,1908.60282006408,1.22257508171929,0.194838576846653,174.427652994792,0.875871499379476,12.9237747192383,9.08990987141927,5.68561553955078,19.6835700141059,1.16476027170817,75.2512071397569,,,,,,,,,,,,,,,,,,,,,,,0.232217178529005,5.53329880331449,7.26124715344856,5.84593074689088,66.3224666010558,15.7193674584628,14.0931059947881,2.57767847619018,82.1477236711755,0.0461995780432196,236.86068510029,23.7605394507698,2.86929248127536
