fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int
"1",8.448,45.276,8.514,45.342,8.481,45.309,1.78035081054688,115.278863252423,315.729278564453,0.382622744052717,2,4,1838.14538574219,2,0.842632674765207,0.0819340633004299,0,0.0676143257290933,0.00781893620526954,0,0,0,12,0,0.0165270018621974,0.419925512104283,7,0,0,0,0,0.956108683260498,0.0438913167395022,0,0,0,0,0,0.0418958375772391,0,0,0.143410063149318,0,0,0,0,0,0,0,0.20384802032539,0,0,0,0,0,3083.74942528736,275.668431599935,2.77957703313329e-06,101418.157714844,-0.228925436735153,0.574991901715596,0.378551145394643,0.00012161307303401,,126.559523809524,182.428571428571,-0.920266913073724,0.0367800719636276,8.70177159652791e-05,0.153172022454494,1877.90983575254,2.66583093007406,8.89270655314128,441.598063151042,0.558034658432007,34.6647872924805,28.8538258870443,37.9944814046224,74.8535868326823,1.42596213022868,16.3519477844238,,,,,,,,,,,,,,,,,,,,,,,1.06672908455538,5.5341814175943,30.1319436506612,56.039631325522,10.991011536443,59.3271249040427,48.6508876652847,3.35120129995571,87.2894510481817,0.000411417095226032,74.1992405061283,1.58056713810091,1.32491029197944
"2",8.514,45.144,8.58,45.21,8.547,45.177,13.6426189526367,102.247671195966,146.465850830078,0.583363997595534,2,4,1156.98901367188,2,0.852166520082087,0.0830215967946839,0.00126844522622887,0.0421342714746409,0.00927391771718948,0.0073487735756865,0.00295709957979087,0.00182937554969217,12,0.0364920192250638,0.169079689076129,0.346347831246662,7,0,0,0.00116166505324298,0,0.997676669893514,0.00116166505324298,0,0,0,0,0,0.1761815552488,0,0,0.18278774732137,0,0,0,0,0.219899127170168,0.439798254340335,0,0.299643215955081,0.731568513348392,0.00280978289526662,0,0,0,3207.17835909631,275.390644981748,4.63752607143555e-06,101527.406040737,-0.483002076546351,0.767357820556277,0.376816610495249,0.000118697230613638,,134.060119047619,192.875892857143,-0.881101516669479,0.03567902498751,0.000179101985187191,0.152702031587059,1885.18989047653,2.75332789950901,5.73448859320747,446.260172526042,0.488968902164035,35.4625278049045,30.0825975206163,34.093265109592,69.6211547851563,1.37078422970242,18.2076670328776,,,,,,,,,,,,,,,,,,,,,,,1.00502242536283,6.00805911474891,29.1940384205419,53.0983375091549,10.6021843089071,61.150470224928,51.2938174905423,3.55360586213474,89.2252600272334,0.000504228217947061,77.5246763364815,1.7426438176501,1.39031234325209
"3",8.514,45.21,8.58,45.276,8.547,45.243,26.8328793740234,109.311062339594,39.6490707397461,0.558838489293905,2,4,616.273559570313,2,0.877877460673909,0.0595482834913273,0,0.0282470952975406,0.0272026176217444,0.00349799590845957,0.00138995875317486,0.00223658825384423,12,0.000614429885869649,0.0514124207001429,0.592064638023993,7,0,0,0,0,0.994289521271533,0.00571047872846674,0,4,0,0,0,0.498295987750868,0,0,0.193318954872487,0,0,0,0,0.59628337969161,0.26087397861508,0,0.502577620589043,0.751814397598855,0.00187824061528511,0,0,0,3182.1498216409,275.49971667439,3.89977673591477e-06,101545.62040617,-0.368310050291269,0.66781646134902,0.376785609186912,0.000113802898787144,,128.28537414966,184.778231292517,-0.912017931151784,0.0361500225181609,9.90464610164217e-05,0.153183417907619,1882.19971080462,2.60807593663534,7.16429392496745,450.520955403646,0.512525200843811,35.4952748616536,29.8865381876628,36.5618108113607,75.7185211181641,1.45006688435872,17.1247304280599,,,,,,,,,,,,,,,,,,,,,,,1.05566016156308,5.67740236364835,29.9505257076169,58.2613121477439,10.5189645778216,61.7587620630108,49.523820167517,3.53776343431461,89.252368570716,0.000345355064900917,76.3180582631981,1.63172048603434,1.28053832607353
"4",8.514,45.276,8.58,45.342,8.547,45.309,32.6639450583496,121.301777265762,24.8869781494141,0.444355241717016,2,4,3165.40869140625,2,0.862889766592763,0.0312612669932769,0,0.0274812672216757,0.0477704200742949,0.0203356483180877,0.00202540773260376,0.0082362230672977,12,0.000335908632851864,0.0795108175020839,0.563468070018288,7,0,0,0,0,0.957586273375747,0.0424137266242529,0,4,0,0,0,0.565563917203221,0,0,0.300525301760337,0,0,0,0,1.377665800001,1.86750252889025,0,0.719363465342717,0.7411102721614,0.00393245316171897,0,0,0,3473.98045977011,275.624411083403,3.20535221374842e-06,101483.55578032,-0.242046996241524,0.561860260509309,0.376545361110142,0.000115421026072457,,124.145578231293,178.991836734694,-0.930134626300554,0.0361829160522443,8.94064349359777e-05,0.152991483360696,1880.87907155718,2.80364142523872,9.46805996365017,453.406141493056,0.528460502624512,35.3366360134549,29.6857333713108,38.3116861979167,76.5714314778646,1.50656890869141,16.4494120279948,,,,,,,,,,,,,,,,,,,,,,,1.09236378764728,5.42660349128692,30.6219331665141,62.2235105391097,10.3990123776327,60.9487293512214,47.8150767525254,3.42738215178005,88.6756594121816,0.000347329448150311,74.0316831657418,1.59941620285938,1.22012292709553
"5",8.514,45.342,8.58,45.408,8.547,45.375,3.66604392944336,127.9629916294,180.575225830078,0.198798456483833,2,4,2366.263671875,2,0.942808825780493,0.0396460357608846,0,0.00676439073103529,0.00931561568347316,0.00146513204411432,0,0,12,0,0.0318167010533174,0.776740145509827,7,0,0,0,0,0.948976677772489,0.0510233222275107,0,0,0,0,0,0.0905625505371376,0,0,0.00828396508193205,0,0,0,0,0.272773599892961,0.272773599892961,0,0.493599278865101,0.530880077093895,0.00141590725276792,0,0,0,3491.56956004756,275.80909329369,2.66795968564165e-06,100843.366978237,-0.161001845484688,0.449991720063346,0.36815098069963,0.000119271698698284,,113.888095238095,164.791666666667,-0.936530126366299,0.0358531217560826,0.000109039457005631,0.152280976068393,1877.05128072657,3.00028864542643,11.4454735649957,451.902370876736,0.544250594245063,34.9135606553819,29.2204081217448,39.1614786783854,74.5921902126736,1.51967673831516,16.2994283040365,,,,,,,,,,,,,,,,,,,,,,,1.10602983486521,5.25635912922132,31.0634512057561,63.5881295309672,10.2632517958724,58.4101575288638,46.1601414530025,3.18541829365029,87.5981991125474,0.00043326346664224,70.8580181093767,1.59245079406205,1.18497882132823
"6",8.514,45.738,8.58,45.804,8.547,45.771,8.76277087451172,209.773216128925,0,3.35474891546232,3,2,20479.97265625,5,0.0649574052292945,0.173713115177597,0.00767708817710185,0.594469821992457,0.135546498658181,0.00897179900981974,0.000267452003002757,0.0143968197525461,19,0,0,0,7,0,0,0,0,0.984628522630231,0,0.0153714773697694,0,0,0,0,0.232963602550478,0,0,0,0,0,0,0,0.456476616504353,0.456476616504353,0,0.586364612962556,0.717189720150071,0,0.342357462378265,0.114119154126088,0.798834078882618,4038.19655172414,276.958628803694,1.03580143077921e-06,97662.7704912043,-0.905700726776707,0.246238748232524,0.319798495493779,9.01693814472412e-05,,54.4229591836735,72.9103984450923,-1.06941844095456,0.0350943766486908,5.4627694353112e-05,0.151547872104744,,0.886964056226942,1.97216690911187,287.879557291667,1.03393893771701,20.0600789388021,17.3496907552083,20.7670593261719,38.2548421223958,0.826032214694553,41.8871595594618,,0.00111111111111111,,,,,,,,,,,,,,,,,,,,,0.958263766699587,4.85491387928977,37.0098506999635,63.5544531518922,15.3037528452235,38.9507231706907,37.7661060187742,2.79152757701099,68.5286355533821,0.00101266637984507,57.9898436578654,1.45287841742778,1.23063803310934
"7",8.514,45.804,8.58,45.87,8.547,45.837,1.21207913427734,193.880497685185,0,0.140557751739743,3,2,5331.3681640625,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,0.851115360101976,0,0.148884639898024,0,0.00778391324595835,0,0,0.0243330450402501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4682.17835909631,276.962515539053,1.20510494605899e-06,96941.5075235172,-0.849736055752047,0.250477577553314,0.300988002699249,8.14631456040052e-05,,54.1997619047619,75.045286686103,-1.08621317777634,0.0361230554520718,0.000102523889857204,0.15130669176964,,0.681811703575982,1.20992236667209,242.034776475694,1.04603587256538,15.8409796820747,13.7862124972873,16.0480516221788,31.1482747395833,0.699762132432726,48.0750834147135,,,,,,,,,,,,,,,,,,,,,,,0.99922035250862,4.86596239402026,37.8433172611295,60.9212323774555,16.9559816164886,38.5013520772931,37.2884562723438,2.94170520496789,57.0345856301934,0.00063244960662262,61.2128887570701,2.19380825143235,1.42538045177138
"8",8.514,45.87,8.58,45.936,8.547,45.903,5.77462234106445,,,,3,2,15305.6982421875,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,1,0,0,0,0.0277435470441299,0,0,0.0093255620316403,0,0,0,0,0.116885928393006,0,0,0,0,0,0,0,0,0,0,0,1875.77645659929,276.78085290818,1.61426520523242e-06,95233.1837565104,-0.752162846780959,0.271530554408119,0.309499059404646,7.20288795761347e-05,,63.9281179138322,54.6605017006803,-1.03206278435019,0.0330416009937555,0.000150658749580624,0.151241957306098,,0.515990853309631,0.719936370849609,201.509562174479,1.03123291333516,12.1473477681478,10.6905186971029,11.5257924397786,22.753428141276,0.575825850168864,53.680165608724,,,,,,,,,,,,,,,,,,,,,,,1.02527875170737,4.92927881881018,38.4168141335372,58.3596431733306,18.2210575908386,38.4515862873195,37.289158337953,3.04903368049712,44.605306042092,0.000219223739827581,63.1840513923597,3.01882776221025,1.63123022994527
"9",8.58,45.012,8.646,45.078,8.613,45.045,1.97078264941406,87.0930791841097,172.653121948242,0.305189428446041,2,4,8185.416015625,2,0.585656565656566,0.300579124579125,0.00478114478114478,0.104390572390572,0.00459259259259259,0,0,0,4,0.004739336492891,0.186808846761453,0,7,0,0,0.204742921394255,0,0.777675559644281,0.0175815189614638,0,0,0,0,0,0.0517017961125236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507412626297127,0.507412626297127,4264.93218390805,275.773174104236,8.73019610059784e-06,100800.822149368,-0.266952973036539,0.837524090494428,0.376016912006196,9.88144423034073e-05,,151.359183673469,217.273469387755,-0.88139081345708,0.0361554290761013,0.000130945251023526,0.152984929689915,1893.64189556868,3.18503740098741,4.58958986070421,443.831271701389,0.430798106723362,34.9682074652778,30.2635531955295,31.8041042751736,63.3045518663194,1.29095141092936,18.7663285997179,,,,,,,,,,,,,,,,,,,,,,,0.877251206727047,6.81424721195251,28.5290897527349,46.479368073735,10.3502335928037,57.917874889879,54.4766709751138,3.49740265589933,88.1205545612496,0.00111339759336875,77.7253333745085,2.26489390675723,1.62864704370806
"10",8.58,45.078,8.646,45.144,8.613,45.111,19.4449674470215,95.5486874638329,62.2639083862305,0.388017247258886,2,4,1397.96313476563,2,0.882210454928449,0.0707005802204427,0.00554463313216285,0.0120222771768542,0.0232567698093561,0.00340596935175607,0.00053158330992814,0.00232773207105132,12,0.0159335679811158,0.098636373216431,0.390077349463612,7,0,0,0.00153280196198651,0,0.998467198038014,0,0,0,0,0,0,0.334367306745446,0.169604464139176,0,0,0,0,0,0,0.205708752709314,3.18848566699436,0,0.249606039998024,1.07829247177527,0.00145345272601986,0.102854376354657,0.205708752709314,0.411417505418628,3529.09555555556,275.338940938314,6.78566108784177e-06,101265.71500651,-0.639200578133265,0.884788552920024,0.375495751698812,0.000111400935856488,,153.396598639456,220.012925170068,-0.874663170547083,0.0365810668428358,0.000101280009161798,0.153014338327297,1892.09522615822,3.00430255466037,5.09262975056966,445.079264322917,0.451620207892524,35.1879543728299,30.3121744791667,32.4568481445313,65.4758436414931,1.34358342488607,18.6636962890625,,,,,,,,,,,,,,,,,,,,,,,0.938170140394127,6.36712234736539,28.6117277188888,50.3283323825058,10.1503845503588,59.9192358600979,52.4449009987106,3.51269224828425,89.5793414137644,0.000816475059632533,77.1978330769851,1.93457727118376,1.44515107272149
