fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int
"1",8.448,45.276,8.514,45.342,8.481,45.309,1.78035081054688,115.278863252423,315.729278564453,0.382622744052717,2,4,1838.14538574219,2,0.842632674765207,0.0819340633004299,0,0.0676143257290933,0.00781893620526954,0,0,0,12,0,0.0165270018621974,0.419925512104283,7,0,0,0,0,0.956108683260498,0.0438913167395022,0,0,0,0,0,0.0418958375772391,0,0,0.143410063149318,0,0,0,0,0,0,0,0.20384802032539,0,0,0,0,0,2219.07586206897,282.464265187581,0.000293283689543437,100241.935736762,-0.807672361532847,-0.820615530014038,0.241856667730543,4.48452455589042e-05,0.00040609135771775,93.2819302721089,134.951261337868,-1.21344786817517,0.0373943393440212,2.13545217583987e-05,0.168520931875266,,3.76350021362305,0.506738583246867,187.646809895833,0.245841781298319,10.5798072814941,7.88688723246257,10.4451580047607,11.7211112976074,1.86924823125203,70.0356852213542,,,,,,,,,,,,,,,,,,,,,,,0.426630727622964,3.4713783172202,13.1427765930005,14.9486465781816,68.1363558770421,23.7320047688843,15.4786417394129,1.92833329361482,69.448262643022,0.0206374943065705,193.125317827107,7.9980113216562,3.80112310886979
"2",8.514,45.144,8.58,45.21,8.547,45.177,13.6426189526367,102.247671195966,146.465850830078,0.583363997595534,2,4,1156.98901367188,2,0.852166520082087,0.0830215967946839,0.00126844522622887,0.0421342714746409,0.00927391771718948,0.0073487735756865,0.00295709957979087,0.00182937554969217,12,0.0364920192250638,0.169079689076129,0.346347831246662,7,0,0,0.00116166505324298,0,0.997676669893514,0.00116166505324298,0,0,0,0,0,0.1761815552488,0,0,0.18278774732137,0,0,0,0,0.219899127170168,0.439798254340335,0,0.299643215955081,0.731568513348392,0.00280978289526662,0,0,0,2811.44233055886,282.522437988766,0.000314027352308361,100344.461034381,-0.597888353325072,-0.745355064906771,0.240680181790912,4.48147238955096e-05,0.000771452878839903,100.63253968254,145.592509920635,-1.17728613680399,0.037369968435776,4.89966370168003e-05,0.168362916735306,,3.42804336547852,0.406814999050564,185.555148654514,0.263259940677219,10.1736475626628,7.62910970052083,8.31206597222222,10.5359547932943,1.60226885477702,72.5904405381944,,,,,,,,,,,,,,,,,,,,,,,0.403149319733652,3.66046527630696,13.1926848467017,14.7383929436133,69.2980748589786,22.8771342458783,14.4108794282599,2.11562463655522,68.8401383130244,0.0249634538751448,191.076249137194,8.20000265723146,4.10524600153884
"3",8.514,45.21,8.58,45.276,8.547,45.243,26.8328793740234,109.311062339594,39.6490707397461,0.558838489293905,2,4,616.273559570313,2,0.877877460673909,0.0595482834913273,0,0.0282470952975406,0.0272026176217444,0.00349799590845957,0.00138995875317486,0.00223658825384423,12,0.000614429885869649,0.0514124207001429,0.592064638023993,7,0,0,0,0,0.994289521271533,0.00571047872846674,0,4,0,0,0,0.498295987750868,0,0,0.193318954872487,0,0,0,0,0.59628337969161,0.26087397861508,0,0.502577620589043,0.751814397598855,0.00187824061528511,0,0,0,2383.07847800238,282.538026173909,0.000305420695466071,100364.164779421,-0.704366743834922,-0.750163304832787,0.241381787929405,4.51615147883179e-05,0.00021919046513997,94.0843537414966,136.081235827664,-1.15580162927796,0.0379111275184723,1.85534376770991e-05,0.168622765736443,,3.64077281951904,0.409375389417013,186.670715332031,0.256821076075236,10.2943204243978,7.68621253967285,8.86241086324056,10.9280064900716,1.78838062286377,71.9530843098958,,,,,,,,,,,,,,,,,,,,,,,0.419255709445577,3.55930262536938,12.9563980099587,14.7329245536748,68.2206762945225,22.7755064336257,14.7672783275105,1.98140349402828,68.1344394861773,0.0228844014056799,190.090648519325,8.25732593722742,3.88945853623832
"4",8.514,45.276,8.58,45.342,8.547,45.309,32.6639450583496,121.301777265762,24.8869781494141,0.444355241717016,2,4,3165.40869140625,2,0.862889766592763,0.0312612669932769,0,0.0274812672216757,0.0477704200742949,0.0203356483180877,0.00202540773260376,0.0082362230672977,12,0.000335908632851864,0.0795108175020839,0.563468070018288,7,0,0,0,0,0.957586273375747,0.0424137266242529,0,4,0,0,0,0.565563917203221,0,0,0.300525301760337,0,0,0,0,1.377665800001,1.86750252889025,0,0.719363465342717,0.7411102721614,0.00393245316171897,0,0,0,2767.6091954023,282.500296759227,0.000297827661584318,100306.863192119,-0.805280970202552,-0.756807694359431,0.240463665553502,4.39380476023543e-05,0.00037495796496463,99.56469063816,143.877097505669,-1.15255463953271,0.0375889397411794,2.77518903243449e-05,0.16874073081358,1877.67429678821,3.86018202039931,0.478405210706923,189.166191948785,0.249377833472358,10.579963684082,7.95094723171658,9.98439534505208,11.803454928928,2.03411504957411,70.3056233723958,,,,,,,,,,,,,,,,,,,,,,,0.436647610925763,3.508210087604,12.9770082828165,14.8998141070104,66.9816796581761,22.8561992475793,15.0896865813409,1.87905313672745,67.7578433413382,0.0210844029299045,190.026875678605,8.214460851572,3.6615287367345
"5",8.514,45.342,8.58,45.408,8.547,45.375,3.66604392944336,127.9629916294,180.575225830078,0.198798456483833,2,4,2366.263671875,2,0.942808825780493,0.0396460357608846,0,0.00676439073103529,0.00931561568347316,0.00146513204411432,0,0,12,0,0.0318167010533174,0.776740145509827,7,0,0,0,0,0.948976677772489,0.0510233222275107,0,0,0,0,0,0.0905625505371376,0,0,0.00828396508193205,0,0,0,0,0.272773599892961,0.272773599892961,0,0.493599278865101,0.530880077093895,0.00141590725276792,0,0,0,2384.25921521998,282.098414163741,0.000351530906489202,99687.3718726748,-0.855568852689531,-0.74887524332319,0.237761932706076,4.06732032481289e-05,0.000386191349306085,78.7142361111111,114.272569444444,-1.18318585938031,0.0376434056210855,1.92945783088409e-05,0.16889424985856,1873.3262735201,4.00614081488715,0.58613035413954,192.039279513889,0.242433309555054,10.911387125651,8.23967488606771,11.1520885891385,12.6791314019097,2.20436223347982,68.5487942165799,,,,,,,,,,,,,,,,,,,,,,,0.446417838024034,3.4852634754899,13.1031964849391,15.125764235435,65.6650875178382,23.11694032517,15.3689957028688,1.80739937067006,67.569389446202,0.0192737923634134,190.396964537178,8.1072826724226,3.42877707090485
"6",8.514,45.738,8.58,45.804,8.547,45.771,8.76277087451172,209.773216128925,0,3.35474891546232,3,2,20479.97265625,5,0.0649574052292945,0.173713115177597,0.00767708817710185,0.594469821992457,0.135546498658181,0.00897179900981974,0.000267452003002757,0.0143968197525461,19,0,0,0,7,0,0,0,0,0.984628522630231,0,0.0153714773697694,0,0,0,0,0.232963602550478,0,0,0,0,0,0,0,0.456476616504353,0.456476616504353,0,0.586364612962556,0.717189720150071,0,0.342357462378265,0.114119154126088,0.798834078882618,4356.65517241379,280.572926380737,0.000569961574794356,96556.1888723914,-0.58439211010122,-0.311811788282157,0.268136915436137,3.12718259370985e-05,0.00024372560840325,66.9294444444444,98.4800372529964,-1.45770465405297,0.0358482447334124,2.71772361825415e-05,0.170942483907684,,2.55155754089355,0.466730965508355,207.115261501736,0.209451807869805,12.9268129136827,9.86422983805338,9.05250379774306,13.6105779012044,1.27207925584581,68.3975762261285,,0.0107142857142857,,,,,,,,,,,,,,,,,,,,,0.329957823442631,3.20846655962173,15.306042907797,19.0833113080625,64.8621810047983,24.0017800874041,17.2841743652994,2.2624217055782,65.846291115554,0.0108432010107109,189.088051845277,7.22953422926697,2.71715990180408
"7",8.514,45.804,8.58,45.87,8.547,45.837,1.21207913427734,193.880497685185,0,0.140557751739743,3,2,5331.3681640625,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,0.851115360101976,0,0.148884639898024,0,0.00778391324595835,0,0,0.0243330450402501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5424.08561236623,280.186620067847,0.000535032819764269,95838.6231127542,-0.509370630155075,-0.248998031594586,0.251267054724315,3.26237582372663e-05,0.000191458454805943,64.9987080103359,94.0675008098477,-1.51397646695856,0.0357147985800011,3.2099661141864e-05,0.171708009889549,,2.24229960971408,0.386718591054281,199.415052625868,0.209606912400987,12.2009514702691,9.14030456542969,7.57813347710503,12.0974926418728,1.19139438205295,71.05126953125,,,,,,,,,,,,,,,,,,,,,,,0.345732470620587,3.12017373836214,15.4804941146367,18.3314635962451,66.5946071286413,23.7447951297316,17.6083268057382,2.21437188500061,64.5126445508068,0.0113225962900695,190.241334926851,7.5374268425106,2.8315104031011
"8",8.514,45.87,8.58,45.936,8.547,45.903,5.77462234106445,,,,3,2,15305.6982421875,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,1,0,0,0,0.0277435470441299,0,0,0.0093255620316403,0,0,0,0,0.116885928393006,0,0,0,0,0,0,0,0,0,0,0,2852.37931034483,279.128734104217,0.000465137476308384,94142.7947397383,-0.394899955817631,-0.13506435591077,0.265063089037698,3.06358946317973e-05,0.000325538158546839,83.2641865079365,100.398958333333,-1.53819204382624,0.0351168014693635,5.25343337280471e-05,0.17209825512603,,1.8456981976827,0.325022161006927,191.317118326823,0.205358366171519,11.4285825093587,8.44484583536784,6.19017601013184,10.7919031778971,1.08280801773071,72.7956695556641,,,,,,,,,,,,,,,,,,,,,,,0.357722186967305,3.03289353522844,15.6551180849739,17.7095883586631,68.3994331644935,23.5341055820906,17.8629816284146,2.10736830221912,63.6011185469689,0.0120727756700907,191.853501429191,7.7542962831653,2.97008090214433
"9",8.58,45.012,8.646,45.078,8.613,45.045,1.97078264941406,87.0930791841097,172.653121948242,0.305189428446041,2,4,8185.416015625,2,0.585656565656566,0.300579124579125,0.00478114478114478,0.104390572390572,0.00459259259259259,0,0,0,4,0.004739336492891,0.186808846761453,0,7,0,0,0.204742921394255,0,0.777675559644281,0.0175815189614638,0,0,0,0,0,0.0517017961125236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507412626297127,0.507412626297127,5365.70804597701,282.118189554366,0.000383184964709363,99638.6816445003,-0.119136338196104,-0.663595869427636,0.232928442576575,4.14737085490697e-05,0.000248155809317468,93.3009482580911,135.111214182643,-1.27725574211343,0.0376166404110476,2.99109624788568e-05,0.167954697333854,,3.44775644938151,0.437270588344998,186.379557291667,0.260048071543376,10.330086602105,7.68215179443359,8.57923889160156,10.7299109564887,1.73105727301704,72.2871365017361,,,,,,,,,,,,,,,,,,,,,,,0.389969182970437,4.10744123221062,14.5171287686472,15.641113757776,69.8458734524623,22.812308473347,13.1860556412652,2.38865342453769,69.3015873761853,0.0312282975407195,191.854709428902,7.96552872603578,4.38829506277968
"10",8.58,45.078,8.646,45.144,8.613,45.111,19.4449674470215,95.5486874638329,62.2639083862305,0.388017247258886,2,4,1397.96313476563,2,0.882210454928449,0.0707005802204427,0.00554463313216285,0.0120222771768542,0.0232567698093561,0.00340596935175607,0.00053158330992814,0.00232773207105132,12,0.0159335679811158,0.098636373216431,0.390077349463612,7,0,0,0.00153280196198651,0,0.998467198038014,0,0,0,0,0,0,0.334367306745446,0.169604464139176,0,0,0,0,0,0,0.205708752709314,3.18848566699436,0,0.249606039998024,1.07829247177527,0.00145345272601986,0.102854376354657,0.205708752709314,0.411417505418628,4315.38222222222,282.318082597521,0.000343283712937742,100095.443549262,-0.315975685914357,-0.700687805811564,0.231388515896267,4.26511456298011e-05,0.000271115536082471,102.832199546485,148.730158730159,-1.15118312291517,0.0373689304828173,2.26253714392202e-05,0.168727868388871,,3.52560234069824,0.415625784132216,186.085503472222,0.262194527520074,10.2445271809896,7.69106970893012,8.30770958794488,10.7313181559245,1.66200870937771,72.4763387044271,,,,,,,,,,,,,,,,,,,,,,,0.385499958899721,3.84101354390934,13.5905396285729,14.9716061477577,69.2373314236747,22.34967680704,13.5661989946095,2.25096713703724,68.1143098175602,0.0281433974297114,189.864412108144,8.28190291619203,4.17984204583789
"11",8.58,45.144,8.646,45.21,8.613,45.177,37.7078272724609,102.557282933973,47.9277038574219,0.378096222012756,2,4,1666.59655761719,2,0.900302016600314,0.0399355829824881,0.0094915465030661,0.00590607100004664,0.0286300996216666,0.0102321019479152,0.000185138861212278,0.00531744248329157,12,0.0188599577762139,0.0758837221891409,0.692924809180967,7,0,0,0,0,1,0,0,4,0,0,0,0.992141260028936,0,0,0,0,0,0,0.0265196929214303,0.79559078764291,0.556913551350037,0,0.707164696289828,0.810774303777228,0.00500969228621961,0.0530393858428607,0.0265196929214303,0.132598464607152,2672.62988505747,282.584494272868,0.000323184693318934,100477.751708984,-0.531260245376163,-0.699664195378621,0.241080270873176,4.19360341589096e-05,0.000931889827681217,115.785522959184,167.243445294785,-1.12381555041918,0.0371806369161505,3.85325620755806e-05,0.168416842530146,,3.67046440972222,0.410125652949015,186.4609375,0.262518750296699,10.2412117852105,7.72158389621311,8.33270857069227,10.8787460327148,1.66139623853895,72.4423014322917,,,,,,,,,,,,,,,,,,,,,,,0.397385257877689,3.67769036457883,12.8760717146594,14.5448230603022,68.3688871801119,21.9788191300683,13.9947215792816,2.08453496761318,67.0780115715666,0.0253868775241859,187.975754790809,8.46602391557021,3.97851908442905
"12",8.58,45.21,8.646,45.276,8.613,45.243,37.9793629555664,109.513052613706,102.190444946289,0.342393111544036,2,4,1505.34204101563,2,0.910654015469071,0.0318269989652209,0.0109595383832892,0.00449690443201151,0.0266587158215971,0.0118378729150955,0,0.00356595401371521,12,0.00323770800391537,0.00549657405315865,0.789559736250497,7,0,0,0,0,0.997341183173488,0.0026588168265122,0,4,0,0,0,0.936158657011192,0,0,0.0638413429888084,0,0,0,0.0263300888213934,0.710912398177621,0.526601776427867,0,0.608445634947005,0.698661699321233,0.00237720539788733,0,0,0,2443.77011494253,282.584281134227,0.000312685346275119,100459.462398469,-0.662981863059695,-0.696535961968558,0.241853002517942,4.49288953745687e-05,0.000376740868633939,101.285714285714,146.469387755102,-1.10999288073219,0.038198172611085,1.62184453961561e-05,0.168533805308509,,3.91814231872559,0.437746445337931,188.692932128906,0.257609605789185,10.4616858164469,7.82578913370768,9.00678380330404,11.4066276550293,1.87366676330566,71.7628072102865,,,,,,,,,,,,,,,,,,,,,,,0.422013466193586,3.60324535199252,12.6809534259682,14.6276480138982,67.3293355594549,21.8256048455741,14.385567964255,1.93649458050585,66.3703503152213,0.0234053367070537,186.829836033753,8.51158789085614,3.77243195203653
