fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int
"1",8.448,45.276,8.514,45.342,8.481,45.309,1.78035081054688,115.278863252423,315.729278564453,0.382622744052717,2,4,1838.14538574219,2,0.842632674765207,0.0819340633004299,0,0.0676143257290933,0.00781893620526954,0,0,0,12,0,0.0165270018621974,0.419925512104283,7,0,0,0,0,0.956108683260498,0.0438913167395022,0,0,0,0,0,0.0418958375772391,0,0,0.143410063149318,0,0,0,0,0,0,0,0.20384802032539,0,0,0,0,0,7918.10689655172,296.929008377923,0.00354454197247075,99931.2205403646,-0.172994944784376,-0.109906911849976,0.24749845928616,4.55851358671817e-05,0.000151528086796548,165.319409013605,236.1625,-0.218124709136726,0.0255565723599415,,0.143549458792618,1855.29310945475,2.23897075653076,0.423726320266724,133.690836588542,0.314999500910441,8.05219268798828,6.01582272847493,7.30083020528158,17.4204266866048,1.1908712387085,68.8668518066406,,,,,,,,,,,,,,,,,,,,,,,0.305566866453732,5.45798412724048,8.62649848488303,9.57167860115146,68.433636531655,13.613655039176,11.6503142379507,1.66576130131973,76.084990192125,0.0137085269283776,307.312925948612,23.4822920919482,2.49870667558574
"2",8.514,45.144,8.58,45.21,8.547,45.177,13.6426189526367,102.247671195966,146.465850830078,0.583363997595534,2,4,1156.98901367188,2,0.852166520082087,0.0830215967946839,0.00126844522622887,0.0421342714746409,0.00927391771718948,0.0073487735756865,0.00295709957979087,0.00182937554969217,12,0.0364920192250638,0.169079689076129,0.346347831246662,7,0,0,0.00116166505324298,0,0.997676669893514,0.00116166505324298,0,0,0,0,0,0.1761815552488,0,0,0.18278774732137,0,0,0,0,0.219899127170168,0.439798254340335,0,0.299643215955081,0.731568513348392,0.00280978289526662,0,0,0,7844.07015457788,297.080050771199,0.00264419972549863,100031.101988777,0.199204461915152,0.0632986908867246,0.22792026731703,3.91359262472607e-05,0.000204958184425128,130.296130952381,186.204464285714,-0.32936446754252,0.026391758014947,1.3503408412895e-05,0.143474556320982,1860.90331457856,1.70568741692437,0.282796170976427,129.413004557292,0.373265902201335,7.91706678602431,5.67266845703125,5.8516599867079,13.4439315795898,1.03717666202121,72.7791341145833,,,,,,,,,,,,,,,,,,,,,,,0.315999909505683,6.68078466482502,8.56480835281285,9.42621394952301,67.5813052911305,13.1589534540116,12.1089494854321,2.3234173133706,75.5512248526764,0.0108164589990051,310.07482134644,23.6485569292928,2.64452776475053
"3",8.514,45.21,8.58,45.276,8.547,45.243,26.8328793740234,109.311062339594,39.6490707397461,0.558838489293905,2,4,616.273559570313,2,0.877877460673909,0.0595482834913273,0,0.0282470952975406,0.0272026176217444,0.00349799590845957,0.00138995875317486,0.00223658825384423,12,0.000614429885869649,0.0514124207001429,0.592064638023993,7,0,0,0,0,0.994289521271533,0.00571047872846674,0,4,0,0,0,0.498295987750868,0,0,0.193318954872487,0,0,0,0,0.59628337969161,0.26087397861508,0,0.502577620589043,0.751814397598855,0.00187824061528511,0,0,0,8033.75386444709,297.056805407379,0.00295251814862359,100048.041437473,0.051092154044413,-0.00358652419784442,0.233679782235974,4.06827109410458e-05,0.000105916030578009,164.436929057337,235.279397473275,-0.294960525137723,0.0275906240107323,2.44384255969597e-05,0.143339335128083,1855.61217986591,1.86357021331787,0.30774066845576,130.96376546224,0.34080704053243,7.87933158874512,5.76805051167806,6.19219398498535,15.0023778279622,1.17789769172668,71.2935892740885,,,,,,,,,,,,,,,,,,,,,,,0.314950709348519,6.14854481412246,8.77566547031351,9.77306340543117,67.2266354005926,12.9521186393401,11.6710660944481,1.93420120263216,75.4855207372929,0.0118420393618117,306.647634048028,23.5999466744685,2.49714371430013
"4",8.514,45.276,8.58,45.342,8.547,45.309,32.6639450583496,121.301777265762,24.8869781494141,0.444355241717016,2,4,3165.40869140625,2,0.862889766592763,0.0312612669932769,0,0.0274812672216757,0.0477704200742949,0.0203356483180877,0.00202540773260376,0.0082362230672977,12,0.000335908632851864,0.0795108175020839,0.563468070018288,7,0,0,0,0,0.957586273375747,0.0424137266242529,0,4,0,0,0,0.565563917203221,0,0,0.300525301760337,0,0,0,0,1.377665800001,1.86750252889025,0,0.719363465342717,0.7411102721614,0.00393245316171897,0,0,0,7886.78965517241,296.989185651143,0.00323991491645706,99992.2778320313,-0.0987852773969135,-0.0719995990632072,0.23936032492017,4.28982520086295e-05,9.22336423597823e-05,165.036516034985,236.195068027211,-0.221063160073961,0.0275086565681925,2.19451248995018e-06,0.143614771910159,1856.54665149703,2.20858595106337,0.405581871668498,133.379584418403,0.323127905527751,7.98333570692274,5.95045767890082,7.00990634494358,17.0701633029514,1.33679601881239,69.3006591796875,,,,,,,,,,,,,,,,,,,,,,,0.313988902108076,5.56895592938211,9.0345743175787,10.2313728759723,67.0858573537436,12.9807071162976,11.272391440921,1.58077346479037,75.1492869031846,0.0132568796218932,303.542042048893,23.4544953215534,2.37252863874801
"5",8.514,45.342,8.58,45.408,8.547,45.375,3.66604392944336,127.9629916294,180.575225830078,0.198798456483833,2,4,2366.263671875,2,0.942808825780493,0.0396460357608846,0,0.00676439073103529,0.00931561568347316,0.00146513204411432,0,0,12,0,0.0318167010533174,0.776740145509827,7,0,0,0,0,0.948976677772489,0.0510233222275107,0,0,0,0,0,0.0905625505371376,0,0,0.00828396508193205,0,0,0,0,0.272773599892961,0.272773599892961,0,0.493599278865101,0.530880077093895,0.00141590725276792,0,0,0,8016.11890606421,296.566437509325,0.00317658179774753,99405.7526584201,-0.257066391763233,-0.128720332705785,0.242894350536286,4.64733995374849e-05,4.25387119434821e-05,117.106030328798,168.113931405896,-0.251801756014375,0.02795273679017,5.30100891138841e-06,0.143903875679172,1864.32864657711,2.56000137329102,0.583123207092285,136.085340711806,0.317283789316813,8.12923092312283,6.0932125515408,8.30099572075738,19.0142890082465,1.51740392049154,67.7884385850694,,,,,,,,,,,,,,,,,,,,,,,0.306391277736336,4.9981229952193,9.2295845187522,10.5800018712014,67.0739937911321,13.2792674892253,10.8996284867799,1.28665965306413,74.5327741063196,0.0153962801884562,300.26380542465,23.2517082952904,2.2663616667269
"6",8.514,45.738,8.58,45.804,8.547,45.771,8.76277087451172,209.773216128925,0,3.35474891546232,3,2,20479.97265625,5,0.0649574052292945,0.173713115177597,0.00767708817710185,0.594469821992457,0.135546498658181,0.00897179900981974,0.000267452003002757,0.0143968197525461,19,0,0,0,7,0,0,0,0,0.984628522630231,0,0.0153714773697694,0,0,0,0,0.232963602550478,0,0,0,0,0,0,0,0.456476616504353,0.456476616504353,0,0.586364612962556,0.717189720150071,0,0.342357462378265,0.114119154126088,0.798834078882618,6731.03448275862,294.097021624074,0.00368535830968248,96449.0018966571,-0.620189379402299,-0.0323416256850539,0.314931248861646,4.38619112123262e-05,0.000113675007484297,126.102325581395,161.241496598639,-0.441656505070753,0.0270179727980199,,0.143786788994905,,1.51863532596164,0.410453531477186,133.130805121528,0.166282892227173,6.77968470255534,4.95845201280382,6.94817479451497,20.7601250542535,0.795077111985948,70.8326144748264,,0.0234126984126984,,,,,,,,,,,,,,,,,,,,,0.174246595397315,2.90019180364377,8.78756952016525,11.9269465884964,73.6233261803764,17.6634692597924,9.88245933478446,1.20685690354433,69.9079492359602,0.0239603220803565,282.940108087375,21.6683405631418,2.00147783222465
"7",8.514,45.804,8.58,45.87,8.547,45.837,1.21207913427734,193.880497685185,0,0.140557751739743,3,2,5331.3681640625,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,0.851115360101976,0,0.148884639898024,0,0.00778391324595835,0,0,0.0243330450402501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7544.6837098692,293.664464502918,0.00408778565096887,95769.9452073147,-0.573882241638339,0.00615052084803852,0.308369545709519,3.82631223378593e-05,0.000152804289099936,79.9046511627907,104.554421768707,-0.599328555470448,0.0247798446959498,,0.143507337262348,,1.25289641486274,0.302504248089261,128.955403645833,0.150744862026638,6.3696297539605,4.56951438056098,5.5885984632704,18.8009440104167,0.699372821384006,72.1919352213542,,,,,,,,,,,,,,,,,,,,,,,0.193478132259585,2.78870751405826,8.38586718230395,11.4999935967327,75.9590718273213,18.3943106505971,10.0254557349135,1.23157348357032,67.0797708430416,0.0255793228667761,284.165051256658,21.6168657215886,2.1034548464873
"8",8.514,45.87,8.58,45.936,8.547,45.903,5.77462234106445,,,,3,2,15305.6982421875,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,1,0,0,0,0.0277435470441299,0,0,0.0093255620316403,0,0,0,0,0.116885928393006,0,0,0,0,0,0,0,0,0,0,0,4320.03210463734,292.743975457691,0.00482961600611029,94164.0318002852,-0.49160657420991,0.064466775409759,0.330734949263315,4.20560947516381e-05,0.000199589807825588,85.1487654320988,78.1172619047619,-0.698704198381678,0.0274461514040243,2.53440986421241e-05,0.143877097656414,,0.986586491266886,0.221267302831014,124.497639973958,0.13419904311498,5.89617602030436,4.19201374053955,4.30834102630615,17.250296274821,0.603193124135335,71.5445353190104,,,,,,,,,,,,,,,,,,,,,,,0.211895058625082,2.72466809580153,8.08966977278715,11.0565615859598,77.7498409288798,18.6990536129637,10.2085003282317,1.23193350453955,64.6922195471288,0.0273340240651906,285.446647946118,21.4603225603155,2.24461489824044
"9",8.58,45.012,8.646,45.078,8.613,45.045,1.97078264941406,87.0930791841097,172.653121948242,0.305189428446041,2,4,8185.416015625,2,0.585656565656566,0.300579124579125,0.00478114478114478,0.104390572390572,0.00459259259259259,0,0,0,4,0.004739336492891,0.186808846761453,0,7,0,0,0.204742921394255,0,0.777675559644281,0.0175815189614638,0,0,0,0,0,0.0517017961125236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507412626297127,0.507412626297127,5708.81034482759,296.793534066942,0.00137353976303103,99368.87406219,0.695952523322332,0.219389502964323,0.20427846151685,5.03627330812793e-05,0.000349945971710088,88.987074829932,128.637755102041,-0.270516979064984,0.0282822937102531,2.53151568039783e-05,0.143753808066095,1877.4322557589,1.72558954026964,0.296514246198866,129.108371310764,0.456919511159261,8.21007198757595,5.80013105604384,6.31942409939236,12.0634994506836,1.14116838243273,75.2417602539063,,,,,,,,,,,,,,,,,,,,,,,0.333367819092886,7.72982155244287,8.82686474611018,9.92298023430424,68.0296024242506,13.5458005978611,12.8559881869578,3.10650234129275,73.9858147882516,0.00817853042912543,313.85731804885,23.5188372420565,2.88153655135449
"10",8.58,45.078,8.646,45.144,8.613,45.111,19.4449674470215,95.5486874638329,62.2639083862305,0.388017247258886,2,4,1397.96313476563,2,0.882210454928449,0.0707005802204427,0.00554463313216285,0.0120222771768542,0.0232567698093561,0.00340596935175607,0.00053158330992814,0.00232773207105132,12,0.0159335679811158,0.098636373216431,0.390077349463612,7,0,0,0.00153280196198651,0,0.998467198038014,0,0,0,0,0,0,0.334367306745446,0.169604464139176,0,0,0,0,0,0,0.205708752709314,3.18848566699436,0,0.249606039998024,1.07829247177527,0.00145345272601986,0.102854376354657,0.205708752709314,0.411417505418628,6818.60333333333,297.047331809998,0.00144049206986741,99799.1319986979,0.527162220742967,0.230329328113132,0.203117158677843,4.3116055642174e-05,0.000264756945682326,101.799319727891,146.797619047619,-0.264727041063125,0.027527529712916,2.43318403330643e-05,0.143986172727158,1874.84659974142,1.7058720058865,0.271507157219781,128.699544270833,0.424936532974243,8.06045362684462,5.72074042426215,6.0049680074056,12.5646413167318,1.11975797017415,74.2073025173611,,,,,,,,,,,,,,,,,,,,,,,0.317856524119598,7.42154855612425,8.67855888596612,9.64090679145178,66.7439328209814,13.0886553117417,12.2702582610943,2.75631240402463,74.2245381790187,0.00977351726593114,309.930430004711,23.5712485419183,2.69331020352698
