fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int
"1",8.448,45.276,8.514,45.342,8.481,45.309,1.78035081054688,115.278863252423,315.729278564453,0.382622744052717,2,4,1838.14538574219,2,0.842632674765207,0.0819340633004299,0,0.0676143257290933,0.00781893620526954,0,0,0,12,0,0.0165270018621974,0.419925512104283,7,0,0,0,0,0.956108683260498,0.0438913167395022,0,0,0,0,0,0.0418958375772391,0,0,0.143410063149318,0,0,0,0,0,0,0,0.20384802032539,0,0,0,0,0,3058.85977011494,287.313325564067,0.000246856149961314,100142.126383464,-0.850518094168769,0.0607944064670139,0.378047969606188,5.21397382205954e-05,0.000499123795171835,111.0625,160.47619047619,-1.61180955383339,0.034442776925973,5.26943615687061e-05,0.126255821525879,1874.13863181958,2.08378760019938,1.46002070109049,217.914855957031,0.0455671548843384,14.8432693481445,12.539010365804,16.0054982503255,21.4201151529948,1.53037611643473,31.2901560465495,,,,,,,,,,,,,,,,,,,,,,,0.440823949918602,-0.88035326797324,14.6655008446827,20.3399669472236,35.4000298874756,18.0871410033077,12.1632313478042,1.70101308305568,90.4338232069103,0.00224388412926931,126.710565332494,13.4005695965013,2.15892953262206
"2",8.514,45.144,8.58,45.21,8.547,45.177,13.6426189526367,102.247671195966,146.465850830078,0.583363997595534,2,4,1156.98901367188,2,0.852166520082087,0.0830215967946839,0.00126844522622887,0.0421342714746409,0.00927391771718948,0.0073487735756865,0.00295709957979087,0.00182937554969217,12,0.0364920192250638,0.169079689076129,0.346347831246662,7,0,0,0.00116166505324298,0,0.997676669893514,0.00116166505324298,0,0,0,0,0,0.1761815552488,0,0,0.18278774732137,0,0,0,0,0.219899127170168,0.439798254340335,0,0.299643215955081,0.731568513348392,0.00280978289526662,0,0,0,3440.44114149822,287.523180901058,0.000101752604072292,100242.781517392,-0.766345648538499,0.305128188360305,0.352724521879166,4.44308009501101e-05,0.000143380880467684,179.122023809524,255.78125,-1.57250620792707,0.033995779608786,9.45728037080829e-05,0.126161441815915,1877.85683749127,1.6160528394911,0.809177504645454,217.522108289931,0.0446309414174822,15.0463019476997,12.7466074625651,12.6724989149306,19.4635670979818,1.51904127332899,36.0145738389757,,,,,,,,,,,,,,,,,,,,,,,0.483581617095806,0.476707971551776,13.5012533599972,18.4564808786898,35.5152743129568,18.5456456822772,12.4561962860392,1.52551569463451,90.3151439047976,0.00658196198151525,134.349276998536,13.3941246226279,2.5116506613978
"3",8.514,45.21,8.58,45.276,8.547,45.243,26.8328793740234,109.311062339594,39.6490707397461,0.558838489293905,2,4,616.273559570313,2,0.877877460673909,0.0595482834913273,0,0.0282470952975406,0.0272026176217444,0.00349799590845957,0.00138995875317486,0.00223658825384423,12,0.000614429885869649,0.0514124207001429,0.592064638023993,7,0,0,0,0,0.994289521271533,0.00571047872846674,0,4,0,0,0,0.498295987750868,0,0,0.193318954872487,0,0,0,0,0.59628337969161,0.26087397861508,0,0.502577620589043,0.751814397598855,0.00187824061528511,0,0,0,3211.74435196195,287.480262148678,0.000156200635401118,100261.043652454,-0.821502736906886,0.205795149684223,0.363665915941165,5.25722872851083e-05,0.000958853967969403,125.061224489796,180.391156462585,-1.60915472898697,0.0329007098444771,6.93571412366305e-05,0.126002969362352,1885.2329090657,1.6402268409729,0.925097227096558,217.305399576823,0.0439579387505849,14.8542594909668,12.4743932088216,13.5572255452474,20.5897979736328,1.62493896484375,34.8694203694661,,,,,,,,,,,,,,,,,,,,,,,0.480074490019855,-0.122449112748706,14.6659216214642,20.7447193353279,34.7397023000634,18.5272091573607,12.0899120460729,1.66701878136854,89.8515843345705,0.00316228140357792,131.801669740936,13.4576779883055,2.25312182651566
"4",8.514,45.276,8.58,45.342,8.547,45.309,32.6639450583496,121.301777265762,24.8869781494141,0.444355241717016,2,4,3165.40869140625,2,0.862889766592763,0.0312612669932769,0,0.0274812672216757,0.0477704200742949,0.0203356483180877,0.00202540773260376,0.0082362230672977,12,0.000335908632851864,0.0795108175020839,0.563468070018288,7,0,0,0,0,0.957586273375747,0.0424137266242529,0,4,0,0,0,0.565563917203221,0,0,0.300525301760337,0,0,0,0,1.377665800001,1.86750252889025,0,0.719363465342717,0.7411102721614,0.00393245316171897,0,0,0,3516.9367816092,287.412562673054,0.000216434580753335,100203.91383386,-0.867245057272533,0.100350758386037,0.372642184060717,5.11681439181764e-05,0.000437443364334397,119.761904761905,171.676870748299,-1.55949542436169,0.0328214827471736,3.78455753200398e-05,0.126092699119346,1887.01282063878,2.06834390428331,1.36137220594618,222.219862196181,0.0443875723414951,15.0858527289497,12.6356285942925,15.8763936360677,22.5515272352431,1.76416450076633,33.1583387586806,,,,,,,,,,,,,,,,,,,,,,,0.465040713566959,-0.707364873887187,15.4605429351058,22.3644282644269,34.149842483685,18.2434266493804,11.7970004265122,1.78008590577067,89.1102430925784,0.00127125600697879,127.280002217721,13.474322427136,2.03336990609414
"5",8.514,45.342,8.58,45.408,8.547,45.375,3.66604392944336,127.9629916294,180.575225830078,0.198798456483833,2,4,2366.263671875,2,0.942808825780493,0.0396460357608846,0,0.00676439073103529,0.00931561568347316,0.00146513204411432,0,0,12,0,0.0318167010533174,0.776740145509827,7,0,0,0,0,0.948976677772489,0.0510233222275107,0,0,0,0,0,0.0905625505371376,0,0,0.00828396508193205,0,0,0,0,0.272773599892961,0.272773599892961,0,0.493599278865101,0.530880077093895,0.00141590725276792,0,0,0,3298.83828775268,287.073529334295,0.000379649106103498,99596.4676533048,-0.854659523282732,-0.0239617483956473,0.37889982405163,4.65983794572237e-05,0.000425421572332313,144.050595238095,206.498511904762,-1.50591752755619,0.0317264986738546,8.08410323225164e-05,0.126471412583833,,2.43567742241753,1.93545892503526,228.648057725694,0.0444892777336968,15.2224561903212,12.8127805921766,18.1480882432726,24.1767391628689,1.86247931586372,31.5855509440104,,,,,,,,,,,,,,,,,,,,,,,0.433441639864581,-1.23100091096999,15.743298153364,22.8604352848981,33.7056890572073,17.5822144911158,11.5472308816826,1.84989222839402,88.2947299409919,0.000461462811739067,121.215701562954,13.4373925169695,1.84773430001255
"6",8.514,45.738,8.58,45.804,8.547,45.771,8.76277087451172,209.773216128925,0,3.35474891546232,3,2,20479.97265625,5,0.0649574052292945,0.173713115177597,0.00767708817710185,0.594469821992457,0.135546498658181,0.00897179900981974,0.000267452003002757,0.0143968197525461,19,0,0,0,7,0,0,0,0,0.984628522630231,0,0.0153714773697694,0,0,0,0,0.232963602550478,0,0,0,0,0,0,0,0.456476616504353,0.456476616504353,0,0.586364612962556,0.717189720150071,0,0.342357462378265,0.114119154126088,0.798834078882618,5026.40229885057,286.267333878411,0.0012518272748441,96533.7393724091,-0.47833637693842,-0.0668527685325432,0.338834937737913,5.96559317968003e-05,0.000377641549940084,67.1047619047619,95.9489795918367,-1.68961572264023,0.0289743396288743,0.000111528262378038,0.126139155858106,,0.958552254570855,0.716949674818251,194.849310980903,0.0514692299895816,10.2593655056424,8.77523973253038,9.55708482530382,15.6153598361545,0.808164914449056,41.9293789333767,,0.00257936507936508,,,,,,,,,,,,,,,,,,,,,0.235522537262463,-2.66559990031867,13.5300653792718,17.8288084057425,37.1475591578013,14.1266601491819,10.7168192356832,1.8949808453125,78.1856822414342,0.00245452944831325,110.028358312911,12.6003270089408,1.59444990775003
"7",8.514,45.804,8.58,45.87,8.547,45.837,1.21207913427734,193.880497685185,0,0.140557751739743,3,2,5331.3681640625,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,0.851115360101976,0,0.148884639898024,0,0.00778391324595835,0,0,0.0243330450402501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6206.92152199762,285.974447892637,0.00138944982141976,95833.8075413433,-0.409347966144415,-0.0349158808217297,0.325171663106975,4.48606774478953e-05,0.000238984998343066,67.8410852713178,106.238095238095,-1.49876140412246,0.0297287687066675,3.11354166406467e-05,0.126381677301186,,0.782288922203912,0.521473619672987,180.730685763889,0.0545856886439853,8.9125476413303,7.54012129041884,7.54991488986545,13.0359870062934,0.669144418504503,43.1104193793403,,,,,,,,,,,,,,,,,,,,,,,0.257384453219901,-2.6203916143363,12.9662090229067,16.9274958766313,38.362908933525,13.5933625706622,10.8242303257502,1.84865660764918,73.7186255108052,0.00252285167437118,122.724738015524,12.7600541605311,1.73819115907905
"8",8.514,45.87,8.58,45.936,8.547,45.903,5.77462234106445,,,,3,2,15305.6982421875,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,1,0,0,0,0.0277435470441299,0,0,0.0093255620316403,0,0,0,0,0.116885928393006,0,0,0,0,0,0,0,0,0,0,0,2371.10939357907,285.242363717821,0.00166910514273089,94179.523952908,-0.307025156323872,0.0258839925130208,0.336143372550843,4.43356916027296e-05,0.000336399005833463,103.824561403509,84.6994047619047,-1.59660292470886,0.0303105394257774,0.000112727057116204,0.12678667368435,,0.606501698493958,0.366679946581523,167.247863769531,0.057534063855807,7.64561208089193,6.29808934529622,5.77511024475098,10.3894322713216,0.549276073773702,43.3058675130208,,,,,,,,,,,,,,,,,,,,,,,0.276425697499144,-2.50101778391583,12.577265248402,16.3857530581875,39.3369631556794,13.226435444078,10.9869778262919,1.79617385357023,69.7560427446919,0.00263922397497412,130.259412082789,12.844389210304,1.88435693678557
"9",8.58,45.012,8.646,45.078,8.613,45.045,1.97078264941406,87.0930791841097,172.653121948242,0.305189428446041,2,4,8185.416015625,2,0.585656565656566,0.300579124579125,0.00478114478114478,0.104390572390572,0.00459259259259259,0,0,0,4,0.004739336492891,0.186808846761453,0,7,0,0,0.204742921394255,0,0.777675559644281,0.0175815189614638,0,0,0,0,0,0.0517017961125236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507412626297127,0.507412626297127,4777.4908045977,287.731055744111,3.22942075102274e-05,99554.955500527,-0.287331145907205,0.496584211077009,0.304310329376705,4.9765256776383e-05,0.000444119800734744,101.592592592593,134.289115646258,-1.43457261085195,0.0305730736610001,9.93406913244101e-05,0.126214385799064,1883.80459513438,2.0096869998508,0.744359387291802,217.120741102431,0.0442956884702047,15.4006517198351,12.9393030802409,12.1349656846788,18.1219465467665,1.41235415140788,37.8437025282118,,,,,,,,,,,,,,,,,,,,,,,0.482856591898118,1.94228405975885,11.3514592909956,14.8514294637631,36.8029279758689,18.2573265614936,13.1224187533552,1.21125536437502,89.7774571481651,0.0184145251053513,135.636229597698,13.2161769543906,2.98409415807916
"10",8.58,45.078,8.646,45.144,8.613,45.111,19.4449674470215,95.5486874638329,62.2639083862305,0.388017247258886,2,4,1397.96313476563,2,0.882210454928449,0.0707005802204427,0.00554463313216285,0.0120222771768542,0.0232567698093561,0.00340596935175607,0.00053158330992814,0.00232773207105132,12,0.0159335679811158,0.098636373216431,0.390077349463612,7,0,0,0.00153280196198651,0,0.998467198038014,0,0,0,0,0,0,0.334367306745446,0.169604464139176,0,0,0,0,0,0,0.205708752709314,3.18848566699436,0,0.249606039998024,1.07829247177527,0.00145345272601986,0.102854376354657,0.205708752709314,0.411417505418628,4319.97666666667,287.696899308099,3.55727955880791e-05,99998.6420084635,-0.567746029959785,0.469453599717882,0.310058169894748,4.41421674333118e-05,0.000555228100614752,156.369047619048,223.477891156463,-1.45880412962645,0.0324877751112634,7.72358669380779e-05,0.126294841386415,1883.38514087672,1.80323282877604,0.735552628835042,217.13818359375,0.0439652701218923,15.1737721761068,12.757556491428,12.1647567749023,18.9304656982422,1.54006873236762,37.6432189941406,,,,,,,,,,,,,,,,,,,,,,,0.491805344554103,1.43258330618191,12.3637969798209,16.6160488213599,35.4152940115301,18.3020840354946,12.5371058974654,1.38101687482064,88.9312511675626,0.011781963439822,135.130766011029,13.3449207290305,2.71244210540534
