fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int
"1",8.448,45.276,8.514,45.342,8.481,45.309,1.78035081054688,115.278863252423,315.729278564453,0.382622744052717,2,4,1838.14538574219,2,0.842632674765207,0.0819340633004299,0,0.0676143257290933,0.00781893620526954,0,0,0,12,0,0.0165270018621974,0.419925512104283,7,0,0,0,0,0.956108683260498,0.0438913167395022,0,0,0,0,0,0.0418958375772391,0,0,0.143410063149318,0,0,0,0,0,0,0,0.20384802032539,0,0,0,0,0,3211.09195402299,288.968248791165,0.0044637425304632,100229.995117188,-1.02769707971149,-0.932111952039931,0.39084439807468,8.89791973978295e-05,0.000929481317175864,31.6392857142857,46.1821428571429,-0.299564628100051,0.033483832726463,0.000148156782760543,0.136910766877491,1876.5067955377,2.80656369527181,0.902947982152303,207.743326822917,0.835030794143677,12.7296714782715,10.2876510620117,12.2786801656087,22.0892537434896,1.87097962697347,44.7139180501302,,,,,,,,,,,,,,,,,,,,,,,0.153774316217372,6.60591169835296,12.3493234715895,13.9454349280826,45.7840243694245,19.1933781811664,14.096685444656,3.43828813560937,83.1304364949579,0.0676543501042987,124.235623252507,15.0595395347173,3.44613687072921
"2",8.514,45.144,8.58,45.21,8.547,45.177,13.6426189526367,102.247671195966,146.465850830078,0.583363997595534,2,4,1156.98901367188,2,0.852166520082087,0.0830215967946839,0.00126844522622887,0.0421342714746409,0.00927391771718948,0.0073487735756865,0.00295709957979087,0.00182937554969217,12,0.0364920192250638,0.169079689076129,0.346347831246662,7,0,0,0.00116166505324298,0,0.997676669893514,0.00116166505324298,0,0,0,0,0,0.1761815552488,0,0,0.18278774732137,0,0,0,0,0.219899127170168,0.439798254340335,0,0.299643215955081,0.731568513348392,0.00280978289526662,0,0,0,3625.58263971463,289.18325360616,0.00325673149098352,100327.156327505,-0.892701361860548,-0.801767379518539,0.36731297439999,7.27051174376813e-05,0.000732193845831346,26.7178571428571,38.9160714285714,-0.422942375120993,0.0335347488851146,0.000136366645368312,0.137526240766396,1878.90152691456,2.41808594597711,0.64551125632392,199.404459635417,0.822866068945991,12.1509891086155,9.64994896782769,9.95009104410807,19.3543429904514,1.64425033993191,48.4187147352431,,,,,,,,,,,,,,,,,,,,,,,0.142663028452254,7.40879064659094,11.9829671739688,13.6335683444942,44.7100609936894,19.7439641265973,14.4667557347777,3.37562393655953,82.9921316855875,0.0594998286351506,124.976430199502,15.0594746262588,3.86021088702443
"3",8.514,45.21,8.58,45.276,8.547,45.243,26.8328793740234,109.311062339594,39.6490707397461,0.558838489293905,2,4,616.273559570313,2,0.877877460673909,0.0595482834913273,0,0.0282470952975406,0.0272026176217444,0.00349799590845957,0.00138995875317486,0.00223658825384423,12,0.000614429885869649,0.0514124207001429,0.592064638023993,7,0,0,0,0,0.994289521271533,0.00571047872846674,0,4,0,0,0,0.498295987750868,0,0,0.193318954872487,0,0,0,0,0.59628337969161,0.26087397861508,0,0.502577620589043,0.751814397598855,0.00187824061528511,0,0,0,3342.69084423306,289.148829985638,0.00371828299596873,100346.94560259,-0.956105185609286,-0.901308245669687,0.378044104630174,8.22218176622477e-05,0.000693489682884699,24.8979591836735,36.3469387755102,-0.375490628791925,0.0335523322267384,0.000105934439012407,0.137374633987011,1880.72418108082,2.55269527435303,0.684640169143677,201.815104166667,0.826060851414998,12.3146807352702,9.78297170003255,10.6170272827148,20.6099739074707,1.78053951263428,47.3802490234375,,,,,,,,,,,,,,,,,,,,,,,0.15676080096292,7.00539925193972,12.2393427369338,14.2147429481799,44.7190577535704,19.9866674594984,14.373992912011,3.46580903704314,82.0100096611196,0.0605748555117149,123.42377649563,15.1093664250527,3.52617405493891
"4",8.514,45.276,8.58,45.342,8.547,45.309,32.6639450583496,121.301777265762,24.8869781494141,0.444355241717016,2,4,3165.40869140625,2,0.862889766592763,0.0312612669932769,0,0.0274812672216757,0.0477704200742949,0.0203356483180877,0.00202540773260376,0.0082362230672977,12,0.000335908632851864,0.0795108175020839,0.563468070018288,7,0,0,0,0,0.957586273375747,0.0424137266242529,0,4,0,0,0,0.565563917203221,0,0,0.300525301760337,0,0,0,0,1.377665800001,1.86750252889025,0,0.719363465342717,0.7411102721614,0.00393245316171897,0,0,0,3449.36781609195,289.078310436673,0.00420993690079438,100291.721679688,-1.01984443456408,-1.00206247965495,0.386407261803037,8.56671498223207e-05,0.000963672745520966,28.3061224489796,41.334693877551,-0.339195756349212,0.0328643929390854,9.80311978828142e-05,0.137046637997746,1877.75419915289,2.87018288506402,0.833462397257487,206.741943359375,0.844722165001763,12.7936672634549,10.2553982204861,12.0351147121853,22.3482360839844,2.06657494439019,45.232428656684,,,,,,,,,,,,,,,,,,,,,,,0.170596764426872,6.56484860891078,12.7233320160162,14.8992973608981,44.7551565856487,19.6265886059683,14.0617355067552,3.46560641909682,81.5226422071981,0.0632947637032181,121.783052731093,15.1198382812608,3.23654150641201
"5",8.514,45.342,8.58,45.408,8.547,45.375,3.66604392944336,127.9629916294,180.575225830078,0.198798456483833,2,4,2366.263671875,2,0.942808825780493,0.0396460357608846,0,0.00676439073103529,0.00931561568347316,0.00146513204411432,0,0,12,0,0.0318167010533174,0.776740145509827,7,0,0,0,0,0.948976677772489,0.0510233222275107,0,0,0,0,0,0.0905625505371376,0,0,0.00828396508193205,0,0,0,0,0.272773599892961,0.272773599892961,0,0.493599278865101,0.530880077093895,0.00141590725276792,0,0,0,3401.7514863258,288.692039277818,0.00521938441141377,99689.7095269097,-1.05275509944038,-1.0642810397678,0.392120486214047,9.48724875906966e-05,0.000825076635418631,24.7934523809524,36.1875,-0.271913880033989,0.0327295529298768,0.000129542813345696,0.136792308364003,1876.66161800938,3.126587761773,1.04141532050239,211.602728949653,0.862917794121636,13.2394341362847,10.7164645724826,13.6737331814236,23.7658233642578,2.30092684427897,43.061767578125,,,,,,,,,,,,,,,,,,,,,,,0.176114488545764,6.11898844381547,13.1056301685828,15.2023001983189,44.7131066308617,18.6741546115261,13.5006365273803,3.37954186821667,81.3183675620529,0.0670015643592214,120.144808051699,15.097507703937,2.98409641732469
"6",8.514,45.738,8.58,45.804,8.547,45.771,8.76277087451172,209.773216128925,0,3.35474891546232,3,2,20479.97265625,5,0.0649574052292945,0.173713115177597,0.00767708817710185,0.594469821992457,0.135546498658181,0.00897179900981974,0.000267452003002757,0.0143968197525461,19,0,0,0,7,0,0,0,0,0.984628522630231,0,0.0153714773697694,0,0,0,0,0.232963602550478,0,0,0,0,0,0,0,0.456476616504353,0.456476616504353,0,0.586364612962556,0.717189720150071,0,0.342357462378265,0.114119154126088,0.798834078882618,5377.62988505747,286.963009352046,0.0112758526767538,96650.2233803678,-0.634702495301391,-0.172898774784979,0.366006066199063,4.90643634584714e-05,0.000408949626354105,52.4651215805471,71.2880223517979,-0.367071209313239,0.0303522317466235,5.89354065493034e-05,0.13627187544287,1853.18555265789,1.64611879984538,0.70909039179484,212.759304470486,0.765313201480442,11.9327579074436,9.8505359225803,11.3075688680013,22.6481357150608,1.13569121890598,41.8149074978299,,0.117063492063492,,,,,,,,,,,,,,,,,,,,,0.104268671417,3.94284540214623,14.4113554338197,17.8930105713036,43.8141219148324,13.8105461232049,9.48301226648776,2.10813992804929,80.9371747552875,0.117127759845714,114.881707416387,14.3167481984396,2.24988305347998
"7",8.514,45.804,8.58,45.87,8.547,45.837,1.21207913427734,193.880497685185,0,0.140557751739743,3,2,5331.3681640625,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,0.851115360101976,0,0.148884639898024,0,0.00778391324595835,0,0,0.0243330450402501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6690.43876337693,286.563108392313,0.011753743896106,95951.8374676694,-0.565838507649039,-0.111775871847763,0.351087157147812,4.90313449685975e-05,0.00047678445580672,46.6248892580288,61.4333819241983,-0.38244240573677,0.0310539840316866,9.13260980905501e-05,0.135750168238867,,1.34288342793783,0.569978396097819,204.209757486979,0.710855219099257,11.0186564127604,9.01342942979601,9.63501146104601,20.584952460395,1.04834259880914,44.4739854600694,,,,,,,,,,,,,,,,,,,,,,,0.122975356985318,3.73611435116292,14.3287559242862,17.6783728772076,44.3777177607805,13.3444599099151,9.26266584076475,1.90355513127977,79.7440981034009,0.125957863358138,115.178008891158,14.5706679030893,2.41054284429585
"8",8.514,45.87,8.58,45.936,8.547,45.903,5.77462234106445,,,,3,2,15305.6982421875,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,1,0,0,0,0.0277435470441299,0,0,0.0093255620316403,0,0,0,0,0.116885928393006,0,0,0,0,0,0,0,0,0,0,0,2641.44946492271,285.679727614872,0.0125242762099417,94300.7107669891,-0.454114415342846,-0.0163679577055432,0.355996903919038,4.80013789234153e-05,0.000228835688511955,46.6961996336996,46.0498086734694,-0.349547971718884,0.0333356563153609,0.000124803660763873,0.135563971890238,,1.00846393903097,0.459253708521525,195.471740722656,0.626171787579854,10.0068403879801,8.09402465820313,7.91434605916341,18.622428894043,0.908911943435669,46.3114827473958,,,,,,,,,,,,,,,,,,,,,,,0.14166020317664,3.57634765135426,14.1189979815616,17.206755821764,45.1683079451897,13.0208910499852,9.24123428262497,1.75558447983849,78.8969591139739,0.13539555512573,115.738198380819,14.7601997944074,2.54683235340213
"9",8.58,45.012,8.646,45.078,8.613,45.045,1.97078264941406,87.0930791841097,172.653121948242,0.305189428446041,2,4,8185.416015625,2,0.585656565656566,0.300579124579125,0.00478114478114478,0.104390572390572,0.00459259259259259,0,0,0,4,0.004739336492891,0.186808846761453,0,7,0,0,0.204742921394255,0,0.777675559644281,0.0175815189614638,0,0,0,0,0,0.0517017961125236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507412626297127,0.507412626297127,4723.7183908046,288.944515561301,0.00244649593285778,99636.8050130208,-0.728294994149889,-0.57433585515098,0.327319902087015,6.26041678418244e-05,0.000371775141848418,81.3078231292517,117.521768707483,-0.334046006550228,0.033202290681619,7.158575913157e-05,0.137854613461705,1881.64686648916,2.31158277723524,0.575100368923611,196.67083062066,0.819827715555827,11.4577789306641,8.97764417860243,9.81390635172526,17.7208065456814,2.02568202548557,49.4765964084201,,,,,,,,,,,,,,,,,,,,,,,0.140640458912662,8.06757499988647,13.0188896142099,14.5438261649871,43.7234145181182,18.3013417002367,14.2269219617579,2.98507037794659,84.2743883591212,0.0543919007317559,125.903723944338,14.8070097318308,4.45807575886816
"10",8.58,45.078,8.646,45.144,8.613,45.111,19.4449674470215,95.5486874638329,62.2639083862305,0.388017247258886,2,4,1397.96313476563,2,0.882210454928449,0.0707005802204427,0.00554463313216285,0.0120222771768542,0.0232567698093561,0.00340596935175607,0.00053158330992814,0.00232773207105132,12,0.0159335679811158,0.098636373216431,0.390077349463612,7,0,0,0.00153280196198651,0,0.998467198038014,0,0,0,0,0,0,0.334367306745446,0.169604464139176,0,0,0,0,0,0,0.205708752709314,3.18848566699436,0,0.249606039998024,1.07829247177527,0.00145345272601986,0.102854376354657,0.205708752709314,0.411417505418628,4555.75222222222,289.217294269138,0.00242575558238594,100081.777235243,-0.746039754814572,-0.700711568196615,0.326361444261339,6.55351770838081e-05,0.000441010107484737,61.2414965986395,88.7585034013606,-0.450257397266836,0.0332364397006794,0.000117522176183363,0.137816606649198,1877.58426591053,2.41931872897678,0.584429634941949,197.527180989583,0.828727616204156,11.7232733832465,9.24824354383681,9.78416103786892,18.1729888916016,1.84483867221408,49.0306328667535,,,,,,,,,,,,,,,,,,,,,,,0.133187585294405,7.81809041223629,12.1202526817562,13.7273858775825,43.5470078894659,19.1770911062311,14.2316801232591,3.17403777860176,82.8637990648888,0.0552104641083706,124.37453844312,15.04338391743,4.05519565827649
