fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int
"1",8.448,45.276,8.514,45.342,8.481,45.309,1.78035081054688,115.278863252423,315.729278564453,0.382622744052717,2,4,1838.14538574219,2,0.842632674765207,0.0819340633004299,0,0.0676143257290933,0.00781893620526954,0,0,0,12,0,0.0165270018621974,0.419925512104283,7,0,0,0,0,0.956108683260498,0.0438913167395022,0,0,0,0,0,0.0418958375772391,0,0,0.143410063149318,0,0,0,0,0,0,0,0.20384802032539,0,0,0,0,0,2219.07586206897,288.808348655701,3.5697772555052e-05,100674.540364583,0.227452470196618,-0.290082507663303,0.269667704900106,6.27311288515433e-05,0.000270607752936373,227.021575745683,323.751766091052,-1.21402421635063,0.0385699534165511,0.000168970008315642,0.160287087476082,1906.36384378526,5.982697168986,0.926492055257161,260.73828125,0.584828495979309,30.7942225138346,25.389653523763,13.8168767293294,24.6020584106445,2.23835023244222,75.2708994547526,,,,,,,,,,,,,,,,,,,,,,,0.421434092438477,4.3686605211007,15.8009460175575,18.7475699940433,75.6991614462965,35.8177426456195,25.6099498504136,2.34763191574521,63.9069272150764,0,259.342423771617,14.5317842626771,2.98036891567612
"2",8.514,45.144,8.58,45.21,8.547,45.177,13.6426189526367,102.247671195966,146.465850830078,0.583363997595534,2,4,1156.98901367188,2,0.852166520082087,0.0830215967946839,0.00126844522622887,0.0421342714746409,0.00927391771718948,0.0073487735756865,0.00295709957979087,0.00182937554969217,12,0.0364920192250638,0.169079689076129,0.346347831246662,7,0,0,0.00116166505324298,0,0.997676669893514,0.00116166505324298,0,0,0,0,0,0.1761815552488,0,0,0.18278774732137,0,0,0,0,0.219899127170168,0.439798254340335,0,0.299643215955081,0.731568513348392,0.00280978289526662,0,0,0,2811.44233055886,288.7161078226,3.93254218121594e-05,100779.760726686,0.51414004867039,-0.070521733117482,0.269124203258091,5.52258206560243e-05,0.000231854379335121,232.144243851387,331.078780743066,-1.29010827280819,0.038809073207989,0.000133855553009423,0.160122107699916,1902.9224035743,5.15675947401259,0.69776635699802,252.629991319444,0.61368645562066,31.1479729546441,26.2630428738064,10.8624471028646,23.4336853027344,2.05081346299913,79.7611897786458,,,,,,,,,,,,,,,,,,,,,,,0.411023132406885,5.39312823028877,15.7933894766088,18.4825813805526,76.8017602400889,33.5244816988788,24.1196576440531,2.15580022046868,63.0224857824742,0,258.133946241699,14.7554853802659,3.27726144928264
"3",8.514,45.21,8.58,45.276,8.547,45.243,26.8328793740234,109.311062339594,39.6490707397461,0.558838489293905,2,4,616.273559570313,2,0.877877460673909,0.0595482834913273,0,0.0282470952975406,0.0272026176217444,0.00349799590845957,0.00138995875317486,0.00223658825384423,12,0.000614429885869649,0.0514124207001429,0.592064638023993,7,0,0,0,0,0.994289521271533,0.00571047872846674,0,4,0,0,0,0.498295987750868,0,0,0.193318954872487,0,0,0,0,0.59628337969161,0.26087397861508,0,0.502577620589043,0.751814397598855,0.00187824061528511,0,0,0,2383.07847800238,288.810243340577,3.85119862496638e-05,100796.803580286,0.415427983888423,-0.178339748425819,0.269441405661793,5.98185187306868e-05,0.000308363997419397,229.919921235227,328.110590429978,-1.25006769549705,0.0389421184690591,7.94029343570237e-05,0.160438405877093,1904.50452920508,5.55963452657064,0.741234381993612,258.988362630208,0.599250197410583,30.8569361368815,26.1535720825195,11.6714019775391,24.5451405843099,2.23345724741618,78.0958302815755,,,,,,,,,,,,,,,,,,,,,,,0.422140053255282,5.01143369278264,15.4949854195066,18.4220729372087,75.6220510291674,35.3809455865687,25.0310488464053,2.02097936862612,62.9022423315294,0,255.910033933943,14.7390142590421,3.11252651254041
"4",8.514,45.276,8.58,45.342,8.547,45.309,32.6639450583496,121.301777265762,24.8869781494141,0.444355241717016,2,4,3165.40869140625,2,0.862889766592763,0.0312612669932769,0,0.0274812672216757,0.0477704200742949,0.0203356483180877,0.00202540773260376,0.0082362230672977,12,0.000335908632851864,0.0795108175020839,0.563468070018288,7,0,0,0,0,0.957586273375747,0.0424137266242529,0,4,0,0,0,0.565563917203221,0,0,0.300525301760337,0,0,0,0,1.377665800001,1.86750252889025,0,0.719363465342717,0.7411102721614,0.00393245316171897,0,0,0,2767.6091954023,288.857618801177,3.71951341423238e-05,100738.14031498,0.312832176685333,-0.290523196023608,0.268350601196289,6.40447441277282e-05,0.00015189621652736,239.037639231517,340.283475368169,-1.2686643682714,0.0389582988441221,0.000161980443654675,0.160471864017611,1905.37695629487,6.12328508165148,0.917694303724501,266.471489800347,0.612179544236925,31.2553270128038,26.2414720323351,13.4037501017253,26.208736843533,2.49619589911567,75.6776394314236,,,,,,,,,,,,,,,,,,,,,,,0.4339161679355,4.67254433537851,15.667015145564,18.8213969704235,74.2615714627304,36.5265344706416,25.7558234102189,2.11928132723051,62.9739932321564,0,254.06435203513,14.6358391724647,2.91359784879489
"5",8.514,45.342,8.58,45.408,8.547,45.375,3.66604392944336,127.9629916294,180.575225830078,0.198798456483833,2,4,2366.263671875,2,0.942808825780493,0.0396460357608846,0,0.00676439073103529,0.00931561568347316,0.00146513204411432,0,0,12,0,0.0318167010533174,0.776740145509827,7,0,0,0,0,0.948976677772489,0.0510233222275107,0,0,0,0,0,0.0905625505371376,0,0,0.00828396508193205,0,0,0,0,0.272773599892961,0.272773599892961,0,0.493599278865101,0.530880077093895,0.00141590725276792,0,0,0,2384.25921521998,288.513450032189,5.70687817824726e-05,100129.381634425,0.178260253535377,-0.382013623676603,0.262686702940199,6.59600000373449e-05,0.000129123268009412,218.148179499072,311.513913467485,-1.27794269717889,0.0392305033153268,0.000154692949294566,0.160321311100787,1905.5351060822,6.5243165757921,1.15584288703071,271.388129340278,0.626466274261475,31.6624654134115,26.2941657172309,15.3745574951172,27.3502536349826,2.67030737135145,73.6780734592014,,,,,,,,,,,,,,,,,,,,,,,0.441450273520348,4.38338334660185,16.0900091023906,19.4345165464472,72.8405858235396,36.7935678403149,26.1875250498551,2.4481997184208,63.1443236286724,0,252.59454234928,14.470285296152,2.69917434004592
"6",8.514,45.738,8.58,45.804,8.547,45.771,8.76277087451172,209.773216128925,0,3.35474891546232,3,2,20479.97265625,5,0.0649574052292945,0.173713115177597,0.00767708817710185,0.594469821992457,0.135546498658181,0.00897179900981974,0.000267452003002757,0.0143968197525461,19,0,0,0,7,0,0,0,0,0.984628522630231,0,0.0153714773697694,0,0,0,0,0.232963602550478,0,0,0,0,0,0,0,0.456476616504353,0.456476616504353,0,0.586364612962556,0.717189720150071,0,0.342357462378265,0.114119154126088,0.798834078882618,4356.65517241379,287.00252069097,0.000151988286333795,97068.6845326672,-0.174523096641445,-0.0575256390906786,0.271456205925974,4.99481716508496e-05,0.000164114734097414,137.458489314303,201.446415829069,-1.88060621759313,0.0377644097299919,0.000117080273675734,0.161221309806855,,4.2441643608941,0.636502901713053,240.875596788194,1.22144805060493,27.2893456353082,19.6905992296007,10.4013112386068,19.626227484809,1.33008914523655,83.8928493923611,,0,,,,,,,,,,,,,,,,,,,,,0.304722837570186,3.0250640543908,18.6507526316395,22.6970078094298,76.6114204735202,32.8199955132208,24.2611131674308,3.17801090065726,61.6464138073799,1.40869668034575e-06,250.539183180079,13.3641629608308,2.17961091712892
"7",8.514,45.804,8.58,45.87,8.547,45.837,1.21207913427734,193.880497685185,0,0.140557751739743,3,2,5331.3681640625,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,0.851115360101976,0,0.148884639898024,0,0.00778391324595835,0,0,0.0243330450402501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5424.08561236623,286.638799046713,0.000132422105021588,96368.6376222364,-0.170396165107113,-0.0060433152040927,0.258969058255219,4.63337376275566e-05,0.000283959252947019,141.695522499181,206.455593159675,-1.92884951414908,0.0372787457289033,8.96591905315542e-05,0.161237155006985,,3.84582095675998,0.479028065999349,225.621785481771,1.42331716749403,24.9945916069878,17.771976047092,8.29451666937934,16.7701585557726,1.18119780222575,87.3604125976563,,,,,,,,,,,,,,,,,,,,,,,0.310287956119842,2.80090833955764,19.2562856977462,22.5303647616267,79.7107818555309,31.9672353920372,24.0899711444452,2.94334973263103,58.0756089467761,2.2516161144289e-06,253.436041915888,13.9699940652974,2.29270951703416
"8",8.514,45.87,8.58,45.936,8.547,45.903,5.77462234106445,,,,3,2,15305.6982421875,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,1,0,0,0,0.0277435470441299,0,0,0.0093255620316403,0,0,0,0,0.116885928393006,0,0,0,0,0,0,0,0,0,0,0,2852.37931034483,285.765618475657,8.65997566857496e-05,94713.226624504,-0.159122653423794,0.0844966646224733,0.282740320478167,4.51823663908342e-05,0.000302786328408468,148.125821995465,201.239151671741,-1.91748742468889,0.0373460203411292,0.000108294510924091,0.161577219042757,,3.22064050038656,0.352873245875041,208.211303710938,1.83110761642456,22.3640060424805,15.5920015970866,6.41298675537109,13.941712697347,1.03192090988159,89.4713033040365,,,,,,,,,,,,,,,,,,,,,,,0.311761457517481,2.58426166675655,19.9356990243752,22.6216065664085,82.4450387104283,31.1467437748548,24.0829048284341,2.70820254333177,54.2964217256735,2.920190266138e-08,257.798442968574,14.4735938143611,2.3334740914317
"9",8.58,45.012,8.646,45.078,8.613,45.045,1.97078264941406,87.0930791841097,172.653121948242,0.305189428446041,2,4,8185.416015625,2,0.585656565656566,0.300579124579125,0.00478114478114478,0.104390572390572,0.00459259259259259,0,0,0,4,0.004739336492891,0.186808846761453,0,7,0,0,0.204742921394255,0,0.777675559644281,0.0175815189614638,0,0,0,0,0,0.0517017961125236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507412626297127,0.507412626297127,5365.70804597701,288.172587334164,2.91352616210293e-05,100092.192894345,0.862415490642427,0.0732434287903801,0.262500762939453,5.05554785331761e-05,0.000261350943045907,202.976325205407,290.734535589127,-1.61074418724166,0.0385011459645759,8.89855078071463e-05,0.159535180576897,1891.48560285132,5.12054951985677,0.640509552425808,241.604437934028,0.624773131476508,30.3356153700087,25.2494167751736,10.9323077731662,20.5788896348741,2.15131272210015,80.3860134548611,,,,,,,,,,,,,,,,,,,,,,,0.399840093444402,6.64139794934424,17.5268581816887,19.8787313799004,77.3532747839744,28.8514881711106,21.7671315236989,2.66501522654904,62.448034835679,0,259.023200634148,14.6630228519545,3.4767463864856
"10",8.58,45.078,8.646,45.144,8.613,45.111,19.4449674470215,95.5486874638329,62.2639083862305,0.388017247258886,2,4,1397.96313476563,2,0.882210454928449,0.0707005802204427,0.00554463313216285,0.0120222771768542,0.0232567698093561,0.00340596935175607,0.00053158330992814,0.00232773207105132,12,0.0159335679811158,0.098636373216431,0.390077349463612,7,0,0,0.00153280196198651,0,0.998467198038014,0,0,0,0,0,0,0.334367306745446,0.169604464139176,0,0,0,0,0,0,0.205708752709314,3.18848566699436,0,0.249606039998024,1.07829247177527,0.00145345272601986,0.102854376354657,0.205708752709314,0.411417505418628,4315.38222222222,288.390771547953,3.63609647734285e-05,100537.486545139,0.735687130027347,0.105268478393555,0.261515299479167,5.45643100722411e-05,0.000314815980877138,220.989149059557,315.638143659062,-1.43306828017169,0.0387175734480416,0.00011117223801761,0.159850389669485,1900.8743305113,5.2258800930447,0.643642531500922,246.520317925347,0.629478560553657,30.7272440592448,25.7791917588976,10.6141798231337,22.3246561686198,2.12181981404622,80.4781697591146,,,,,,,,,,,,,,,,,,,,,,,0.401832827115656,6.18840681548266,16.4237298599675,19.0082289780134,76.6742995868399,31.0037214967433,22.8017069226193,2.32551203449801,62.3287051788967,0,255.8054934337,14.7777935142872,3.37078443009806
