fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int
"1",8.448,45.276,8.514,45.342,8.481,45.309,1.78035081054688,115.278863252423,315.729278564453,0.382622744052717,2,4,1838.14538574219,2,0.842632674765207,0.0819340633004299,0,0.0676143257290933,0.00781893620526954,0,0,0,12,0,0.0165270018621974,0.419925512104283,7,0,0,0,0,0.956108683260498,0.0438913167395022,0,0,0,0,0,0.0418958375772391,0,0,0.143410063149318,0,0,0,0,0,0,0,0.20384802032539,0,0,0,0,0,8506.85977011494,297.543695343865,0.000322803071435754,99975.7948947483,-0.978076683150398,-0.82977948586146,0.281910724110074,3.81855394081869e-05,0.000264497452108824,154.572539068075,220.989504543076,-2.129992223133,0.0272924667837943,0.000149032394575688,0.137378043480277,1868.93267583237,3.68375396728516,0.441677769025167,207.318074544271,0.350951115290324,11.2668482462565,8.73820622762044,7.61513900756836,18.0673179626465,1.31488482157389,91.1953837076823,,,,,,,,,,,,,,,,,,,,,,,0.240378144858308,3.64462861293005,8.04775110759924,9.75673997969672,93.4209111246438,19.9741084145765,14.8775245679601,2.1821824106057,71.8557770243473,0.00498020894591516,302.551480766648,24.7676912495117,2.98441043240882
"2",8.514,45.144,8.58,45.21,8.547,45.177,13.6426189526367,102.247671195966,146.465850830078,0.583363997595534,2,4,1156.98901367188,2,0.852166520082087,0.0830215967946839,0.00126844522622887,0.0421342714746409,0.00927391771718948,0.0073487735756865,0.00295709957979087,0.00182937554969217,12,0.0364920192250638,0.169079689076129,0.346347831246662,7,0,0,0.00116166505324298,0,0.997676669893514,0.00116166505324298,0,0,0,0,0,0.1761815552488,0,0,0.18278774732137,0,0,0,0,0.219899127170168,0.439798254340335,0,0.299643215955081,0.731568513348392,0.00280978289526662,0,0,0,8322.1355529132,297.749590903994,0.000234495615573665,100069.220738002,-0.665497119464571,-0.705517538956233,0.25243652245355,3.89697641534574e-05,0.000246902618016089,124.747023809524,179.657984872271,-1.95074676928924,0.027839318109664,7.63828419679073e-05,0.136629039699587,1860.36219102164,3.74190097384983,0.260306941138373,192.296047634549,0.33157918188307,9.4264890882704,7.00679651896159,5.33100806342231,12.5697835286458,1.02214898003472,93.6259358723958,,,,,,,,,,,,,,,,,,,,,,,0.242317864260391,5.3904870891402,7.44074204913999,8.74143736060649,91.7205441785467,19.0279596461581,15.1001758850573,2.05304765853206,70.6141234061362,0.00223129218456141,328.668148924037,24.7694420704325,3.16297375438161
"3",8.514,45.21,8.58,45.276,8.547,45.243,26.8328793740234,109.311062339594,39.6490707397461,0.558838489293905,2,4,616.273559570313,2,0.877877460673909,0.0595482834913273,0,0.0282470952975406,0.0272026176217444,0.00349799590845957,0.00138995875317486,0.00223658825384423,12,0.000614429885869649,0.0514124207001429,0.592064638023993,7,0,0,0,0,0.994289521271533,0.00571047872846674,0,4,0,0,0,0.498295987750868,0,0,0.193318954872487,0,0,0,0,0.59628337969161,0.26087397861508,0,0.502577620589043,0.751814397598855,0.00187824061528511,0,0,0,8445.16527942925,297.698998779937,0.000240607304610178,100088.801520315,-0.805191065178436,-0.770416819184275,0.262188448657254,3.89155232347888e-05,0.000214217383108829,134.807131643866,193.362319653136,-2.08109553223662,0.0269924875987405,0.000133961821544122,0.137370309041639,1872.47712365148,3.66999594370524,0.304136693477631,199.256815592448,0.327652831872304,10.0893300374349,7.65128389994303,5.94215393066406,15.3287302652995,1.17545207341512,92.7101338704427,,,,,,,,,,,,,,,,,,,,,,,0.241651043639759,4.61187871320931,8.12481804599412,9.86296811336493,91.5637249027984,19.9829523850525,14.64389428827,2.09531746262758,70.436174745935,0.00291895952484121,320.074462036982,24.8264601056241,3.03337919861474
"4",8.514,45.276,8.58,45.342,8.547,45.309,32.6639450583496,121.301777265762,24.8869781494141,0.444355241717016,2,4,3165.40869140625,2,0.862889766592763,0.0312612669932769,0,0.0274812672216757,0.0477704200742949,0.0203356483180877,0.00202540773260376,0.0082362230672977,12,0.000335908632851864,0.0795108175020839,0.563468070018288,7,0,0,0,0,0.957586273375747,0.0424137266242529,0,4,0,0,0,0.565563917203221,0,0,0.300525301760337,0,0,0,0,1.377665800001,1.86750252889025,0,0.719363465342717,0.7411102721614,0.00393245316171897,0,0,0,8474.46896551724,297.60270108117,0.000244692550027808,100035.952880859,-0.94517443482838,-0.832793641658056,0.270915515839108,3.92172143182474e-05,0.000203314051444588,162.311504821709,232.153509755551,-2.16090838986455,0.0269892104011102,0.00011582380857893,0.137517971105603,1877.08601005004,3.79309124416775,0.4050133228302,208.492974175347,0.34653017255995,11.1564542982313,8.65311855740017,7.56787109375,18.5817498101128,1.411116388109,92.1852891710069,,,,,,,,,,,,,,,,,,,,,,,0.244594917731496,3.78664913964812,8.71346450192561,10.7836197195354,91.5710773414107,20.2081396283019,14.3036443863253,2.15738369287405,70.4303581665532,0.00412477178262982,306.457417545739,24.7350337411314,2.88399460223228
"5",8.514,45.342,8.58,45.408,8.547,45.375,3.66604392944336,127.9629916294,180.575225830078,0.198798456483833,2,4,2366.263671875,2,0.942808825780493,0.0396460357608846,0,0.00676439073103529,0.00931561568347316,0.00146513204411432,0,0,12,0,0.0318167010533174,0.776740145509827,7,0,0,0,0,0.948976677772489,0.0510233222275107,0,0,0,0,0,0.0905625505371376,0,0,0.00828396508193205,0,0,0,0,0.272773599892961,0.272773599892961,0,0.493599278865101,0.530880077093895,0.00141590725276792,0,0,0,8457.42330558859,297.098698192173,0.000295576936966287,99453.861735026,-1.04206944079626,-0.8406777731956,0.262672140484764,3.6875988974969e-05,0.000149807945595348,166.564004447933,237.654663788592,-2.25066298872829,0.0272464710094446,0.000139879733311478,0.137535342521172,1866.86183043095,3.95044284396701,0.546309683057997,216.677381727431,0.361021041870117,12.08556705051,9.51110331217448,9.48139360215929,21.0728251139323,1.59316984812419,91.5979682074653,,,,,,,,,,,,,,,,,,,,,,,0.247416625898341,3.00374197303765,9.00497793195285,11.2272678736105,91.6473743726384,19.6693714218301,14.0640762915077,2.24950641852628,70.3905916476496,0.00586334072049063,288.099362793727,24.5412197316514,2.73025808047783
"6",8.514,45.738,8.58,45.804,8.547,45.771,8.76277087451172,209.773216128925,0,3.35474891546232,3,2,20479.97265625,5,0.0649574052292945,0.173713115177597,0.00767708817710185,0.594469821992457,0.135546498658181,0.00897179900981974,0.000267452003002757,0.0143968197525461,19,0,0,0,7,0,0,0,0,0.984628522630231,0,0.0153714773697694,0,0,0,0,0.232963602550478,0,0,0,0,0,0,0,0.456476616504353,0.456476616504353,0,0.586364612962556,0.717189720150071,0,0.342357462378265,0.114119154126088,0.798834078882618,6489.72068965517,295.411475030203,0.000684330045061555,96502.3012368684,-0.445214778928259,-0.128548625780612,0.261558761942684,4.22735553779438e-05,0.000119711957347048,172.459659090909,228.93853255588,-2.20475890223508,0.0284641464231574,0.000241559632433272,0.137469584874245,,2.37360339694553,0.375459988911947,178.838026258681,0.350698682996962,9.56975809733073,7.19755215115017,6.04337522718641,15.9732326931424,0.676475101047092,91.40673828125,,0.00535714285714286,,,,,,,,,,,,,,,,,,,,,0.143647022316231,0.518132252724211,8.85841939758289,9.96439815859622,100.699847126428,18.097077769039,14.7324231104803,2.44556484562585,69.5805865166756,0.00673307657279998,238.939066749624,23.3191415010314,2.44943798673588
"7",8.514,45.804,8.58,45.87,8.547,45.837,1.21207913427734,193.880497685185,0,0.140557751739743,3,2,5331.3681640625,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,0.851115360101976,0,0.148884639898024,0,0.00778391324595835,0,0,0.0243330450402501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7749.07966706302,295.038999754285,0.000843118336630045,95823.1304602245,-0.351133722026332,-0.0775465558445643,0.241488043683456,3.59897177231903e-05,0.000168642267920905,123.115395021645,172.134815354713,-2.09661052418009,0.0277907762090612,0.000171800367351758,0.137331718112921,,2.03541904025608,0.285924010806614,167.859103732639,0.341286341349284,8.92015584309896,6.67844814724392,4.73131730821398,14.1170874701606,0.585672643449571,92.6800062391493,,,,,,,,,,,,,,,,,,,,,,,0.141744503561544,0.501345205143829,8.2793269368282,8.99101265009395,103.245822522859,18.2080925827861,15.1627622884669,2.33483270336762,69.1327882510413,0.00362663682763836,275.656388567525,23.4267394416302,2.57463673922135
"8",8.514,45.87,8.58,45.936,8.547,45.903,5.77462234106445,,,,3,2,15305.6982421875,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,1,0,0,0,0.0277435470441299,0,0,0.0093255620316403,0,0,0,0,0.116885928393006,0,0,0,0,0,0,0,0,0,0,0,4167.6694411415,294.144679705302,0.00121573038168787,94218.4528808594,-0.201654333916921,0.00523600786451309,0.246312338208395,3.67571398782189e-05,0.000372246904884601,158.774643257977,213.150469619666,-1.86693736155841,0.0264283879347519,0.000168237654916817,0.137207927595162,,1.65604686737061,0.211320718129476,158.412994384766,0.325621485710144,8.28047688802083,6.19311396280925,3.546630859375,12.4113184611003,0.509849508603414,91.196278889974,,,,,,,,,,,,,,,,,,,,,,,0.146639240465063,0.58150396171263,7.74087337971841,8.104738109062,105.427615115152,18.2904877555687,15.6234225101443,2.20946942075198,69.4283143872022,0.00303808121163529,298.751966576546,23.3915485504398,2.68151850004399
"9",8.58,45.012,8.646,45.078,8.613,45.045,1.97078264941406,87.0930791841097,172.653121948242,0.305189428446041,2,4,8185.416015625,2,0.585656565656566,0.300579124579125,0.00478114478114478,0.104390572390572,0.00459259259259259,0,0,0,4,0.004739336492891,0.186808846761453,0,7,0,0,0.204742921394255,0,0.777675559644281,0.0175815189614638,0,0,0,0,0,0.0517017961125236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507412626297127,0.507412626297127,6089.14482758621,297.558839086502,0.000121877556432015,99402.6403808594,-0.209522056201148,-0.452108168412769,0.212307142832923,3.76407359275576e-05,0.000420993542697692,128.153846153846,184.471480900052,-1.79534062017623,0.027709647218764,0.000133692760378319,0.136861269088336,1867.76741508112,3.58810424804688,0.245897822909885,185.153428819444,0.348474661509196,8.70603179931641,6.32937452528212,5.45385572645399,9.84100850423177,0.938563346862793,95.4162868923611,,,,,,,,,,,,,,,,,,,,,,,0.262645114078052,6.94307593462189,6.71707271639308,7.31393524591031,91.4673338907283,16.3714748409152,15.932423263154,1.95009028226143,69.8359112049227,0.0012503299561943,337.414523762737,24.3565738220111,3.31653868953687
"10",8.58,45.078,8.646,45.144,8.613,45.111,19.4449674470215,95.5486874638329,62.2639083862305,0.388017247258886,2,4,1397.96313476563,2,0.882210454928449,0.0707005802204427,0.00554463313216285,0.0120222771768542,0.0232567698093561,0.00340596935175607,0.00053158330992814,0.00232773207105132,12,0.0159335679811158,0.098636373216431,0.390077349463612,7,0,0,0.00153280196198651,0,0.998467198038014,0,0,0,0,0,0,0.334367306745446,0.169604464139176,0,0,0,0,0,0,0.205708752709314,3.18848566699436,0,0.249606039998024,1.07829247177527,0.00145345272601986,0.102854376354657,0.205708752709314,0.411417505418628,7255.00888888889,297.767156918844,0.000126001482358208,99832.4181586371,-0.350997673140632,-0.553587350580427,0.208029958936903,3.92750998907528e-05,0.000181211822675275,140.635848845033,202.167787994319,-1.88305891763159,0.02678209579756,0.00013696406667485,0.136884799150024,1861.52002567814,3.70469623141819,0.240196519427829,188.579549153646,0.338284810384115,9.0250727335612,6.61650466918945,5.3470942179362,10.8683369954427,1.00353177388509,94.9825642903646,,,,,,,,,,,,,,,,,,,,,,,0.245300546136555,6.49731106106272,7.03428398410037,7.98367284437781,90.2017499201535,17.3047654232045,15.1864714703651,1.99694373852677,69.3957733348974,0.0013155671775835,334.764459060624,24.5203106046571,3.1978331438178
