fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int
"1",8.448,45.276,8.514,45.342,8.481,45.309,1.78035081054688,115.278863252423,315.729278564453,0.382622744052717,2,4,1838.14538574219,2,0.842632674765207,0.0819340633004299,0,0.0676143257290933,0.00781893620526954,0,0,0,12,0,0.0165270018621974,0.419925512104283,7,0,0,0,0,0.956108683260498,0.0438913167395022,0,0,0,0,0,0.0418958375772391,0,0,0.143410063149318,0,0,0,0,0,0,0,0.20384802032539,0,0,0,0,0,2975.27471264368,286.564791679382,0.000297407919675807,100341.940890842,0.480650259388818,-0.212985343403286,0.307996908823649,5.76150910367483e-05,0.000127843016311088,254.67711038961,362.466296897547,-1.68003614199163,0.0394569738474857,4.63903242580964e-05,0.169708817487334,,5.16567420959473,0.693759202957153,230.327962239583,1.00150871276855,23.3276596069336,21.5161692301432,12.7443491617839,20.9745051066081,1.80665795008341,84.6599578857422,,,,,,,,,,,,,,,,,,,,,,,0.397349883641863,5.22491372647426,15.440064127346,19.0432924374523,80.4535512428706,24.0189774342515,19.6228974385228,2.89364195348259,66.0319225127915,0,286.458393485421,13.725371015763,2.76601856771361
"2",8.514,45.144,8.58,45.21,8.547,45.177,13.6426189526367,102.247671195966,146.465850830078,0.583363997595534,2,4,1156.98901367188,2,0.852166520082087,0.0830215967946839,0.00126844522622887,0.0421342714746409,0.00927391771718948,0.0073487735756865,0.00295709957979087,0.00182937554969217,12,0.0364920192250638,0.169079689076129,0.346347831246662,7,0,0,0.00116166505324298,0,0.997676669893514,0.00116166505324298,0,0,0,0,0,0.1761815552488,0,0,0.18278774732137,0,0,0,0,0.219899127170168,0.439798254340335,0,0.299643215955081,0.731568513348392,0.00280978289526662,0,0,0,3291.72770511296,286.238699004764,0.00026094686169915,100452.865618025,0.705210951585618,-0.048614882287525,0.3089229473992,5.67887250274842e-05,0.000215021903476792,284.18488257774,403.492398573649,-1.68579151148212,0.0390744279748099,8.40126963242819e-05,0.169653573504725,1909.68198294891,4.97452969021267,0.540684700012207,220.957248263889,0.936070972018772,22.8887244330512,21.0034603542752,9.90894911024306,17.5476837158203,1.47967105441623,88.1071980794271,,,,,,,,,,,,,,,,,,,,,,,0.386258524115639,5.59567416496953,16.6144636280003,20.037138937596,81.8076574425166,22.8335843215873,18.2968435973931,3.00617085212531,65.2014381905628,0,283.685253040857,13.807882332857,2.97643010839149
"3",8.514,45.21,8.58,45.276,8.547,45.243,26.8328793740234,109.311062339594,39.6490707397461,0.558838489293905,2,4,616.273559570313,2,0.877877460673909,0.0595482834913273,0,0.0282470952975406,0.0272026176217444,0.00349799590845957,0.00138995875317486,0.00223658825384423,12,0.000614429885869649,0.0514124207001429,0.592064638023993,7,0,0,0,0,0.994289521271533,0.00571047872846674,0,4,0,0,0,0.498295987750868,0,0,0.193318954872487,0,0,0,0,0.59628337969161,0.26087397861508,0,0.502577620589043,0.751814397598855,0.00187824061528511,0,0,0,2882.31034482759,286.424890970157,0.00026611994032432,100467.607185485,0.644039279344131,-0.13865370950461,0.307695786698875,5.76719570899724e-05,0.000149931984303315,287.868851783137,408.438997113997,-1.68949010685277,0.0395106011319948,9.83289834146284e-05,0.169280135157813,,5.11462148030599,0.579145630200704,224.749247233073,0.960016012191772,22.9858652750651,21.1331799825033,10.7506764729818,19.1385332743327,1.70656458536784,87.0670369466146,,,,,,,,,,,,,,,,,,,,,,,0.398742772644803,5.42281514719182,15.9674030707066,19.4735158004592,80.5471873319907,23.978853454397,18.9587549266304,2.92832847142011,64.7599519944593,0,281.945168980523,13.945388562823,2.84319953348758
"4",8.514,45.276,8.58,45.342,8.547,45.309,32.6639450583496,121.301777265762,24.8869781494141,0.444355241717016,2,4,3165.40869140625,2,0.862889766592763,0.0312612669932769,0,0.0274812672216757,0.0477704200742949,0.0203356483180877,0.00202540773260376,0.0082362230672977,12,0.000335908632851864,0.0795108175020839,0.563468070018288,7,0,0,0,0,0.957586273375747,0.0424137266242529,0,4,0,0,0,0.565563917203221,0,0,0.300525301760337,0,0,0,0,1.377665800001,1.86750252889025,0,0.719363465342717,0.7411102721614,0.00393245316171897,0,0,0,3088.03908045977,286.55567394741,0.000265700976099982,100406.158772786,0.577883259644584,-0.232552076142932,0.305365759228903,5.64702639760873e-05,0.000158193437394921,269.37664399093,382.797680890538,-1.65107251928171,0.039389523588629,9.20960097487735e-05,0.169466530379661,,5.4246097140842,0.685821215311686,231.567111545139,1.00101110670302,23.6137220594618,21.8611551920573,12.3600082397461,21.3713141547309,2.03660435146756,84.5818549262153,,,,,,,,,,,,,,,,,,,,,,,0.407126968126717,5.28460526323298,15.3604019352955,18.8757061966497,79.0206044898547,24.4677119151107,19.5495995075861,2.86869056693747,64.8589374095713,0,281.650186697332,13.8832424319571,2.67462830079704
"5",8.514,45.342,8.58,45.408,8.547,45.375,3.66604392944336,127.9629916294,180.575225830078,0.198798456483833,2,4,2366.263671875,2,0.942808825780493,0.0396460357608846,0,0.00676439073103529,0.00931561568347316,0.00146513204411432,0,0,12,0,0.0318167010533174,0.776740145509827,7,0,0,0,0,0.948976677772489,0.0510233222275107,0,0,0,0,0,0.0905625505371376,0,0,0.00828396508193205,0,0,0,0,0.272773599892961,0.272773599892961,0,0.493599278865101,0.530880077093895,0.00141590725276792,0,0,0,2861.02378121284,286.297871619936,0.000229617101225234,99790.4079047309,0.480538119399358,-0.3283696420609,0.295666772221762,5.92662277826283e-05,0.000233946566785788,296.272938767582,419.576087602873,-1.65017582406115,0.0397801183346281,6.46165467114844e-05,0.169712802504551,,5.6274651421441,0.823045624627007,238.145833333333,1.0347343020969,24.2873840332031,22.5493587917752,14.0847557915582,23.2617424858941,2.32284164428711,81.9781087239583,,,,,,,,,,,,,,,,,,,,,,,0.405963123231205,5.16788407278133,14.760016712137,18.260494476992,77.2200112889107,24.2976609810304,20.0014376267962,2.81634883500281,65.2373983357995,0,281.864135705429,13.6945213594108,2.49308848897969
"6",8.514,45.738,8.58,45.804,8.547,45.771,8.76277087451172,209.773216128925,0,3.35474891546232,3,2,20479.97265625,5,0.0649574052292945,0.173713115177597,0.00767708817710185,0.594469821992457,0.135546498658181,0.00897179900981974,0.000267452003002757,0.0143968197525461,19,0,0,0,7,0,0,0,0,0.984628522630231,0,0.0153714773697694,0,0,0,0,0.232963602550478,0,0,0,0,0,0,0,0.456476616504353,0.456476616504353,0,0.586364612962556,0.717189720150071,0,0.342357462378265,0.114119154126088,0.798834078882618,6343.29195402299,284.815058690891,0.000296543268763157,96692.7093680246,0.118642149463532,-0.0793660133063388,0.296647506506265,6.3708867325286e-05,0.000244893793645124,237.818412698413,332.924173955296,-2.33478023761109,0.0388190185397381,7.64750683729476e-05,0.169170840689633,,3.0613407558865,0.502450201246474,237.830864800347,1.12491300370958,20.9862942165799,18.226565890842,11.0069758097331,21.104500664605,1.2334689034356,82.1995035807292,,0,,,,,,,,,,,,,,,,,,,,,0.320695005544721,4.18023259929707,18.659548336169,25.115912190302,81.4329597635716,23.7266970580539,20.2728404561998,1.83110620616885,65.8195285987702,1.34563564809212e-06,279.664564877269,12.3332910338054,2.16758631116321
"7",8.514,45.804,8.58,45.87,8.547,45.837,1.21207913427734,193.880497685185,0,0.140557751739743,3,2,5331.3681640625,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,0.851115360101976,0,0.148884639898024,0,0.00778391324595835,0,0,0.0243330450402501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6697.63495838288,284.410552552498,0.000346416885609431,95983.8641299293,0.136009627053527,-0.032096430017294,0.282759121486119,5.58825939404372e-05,0.000247341940044366,230.351388888889,319.167938127632,-2.40243500676767,0.0380301899953566,7.92603677456487e-05,0.169270054940321,,2.72837066650391,0.379155185487535,226.303032769097,1.16510634952121,19.417471991645,16.7059444851345,8.97571563720703,18.4032355414497,1.07757896847195,85.6583862304688,,,,,,,,,,,,,,,,,,,,,,,0.332083649196342,3.95742774405723,19.0904042705101,25.5700738085385,84.4807907233031,23.3581885856554,20.2509555918884,1.65966898187255,64.4196167875707,0,282.674453708306,12.621595964643,2.27478379339044
"8",8.514,45.87,8.58,45.936,8.547,45.903,5.77462234106445,,,,3,2,15305.6982421875,5,0,0,0,1,0,0,0,0,19,0,0,0,7,0,0,0,0,1,0,0,0,0.0277435470441299,0,0,0.0093255620316403,0,0,0,0,0.116885928393006,0,0,0,0,0,0,0,0,0,0,0,2851.36623067776,283.371867058769,0.000437286431784654,94310.0843680246,0.170064753010159,0.0497674923094492,0.300336474464053,5.21352195531308e-05,0.00028218180655407,249.855641389262,336.115108998145,-2.43652462707037,0.0392346159770636,0.000110575464079914,0.169505991296339,,2.219855149587,0.284395039081573,213.593872070313,1.14677715301514,17.8223698933919,15.2008565266927,7.00748189290365,15.707026163737,0.928478320439657,87.8206481933594,,,,,,,,,,,,,,,,,,,,,,,0.343407702731696,3.73969362379133,19.2623692464742,25.679257213883,87.3863259266291,22.926727396679,20.2705483245617,1.51956960032588,62.90948592599,4.76168970440633e-05,286.903214970716,12.8561350393749,2.3226355968369
"9",8.58,45.012,8.646,45.078,8.613,45.045,1.97078264941406,87.0930791841097,172.653121948242,0.305189428446041,2,4,8185.416015625,2,0.585656565656566,0.300579124579125,0.00478114478114478,0.104390572390572,0.00459259259259259,0,0,0,4,0.004739336492891,0.186808846761453,0,7,0,0,0.204742921394255,0,0.777675559644281,0.0175815189614638,0,0,0,0,0,0.0517017961125236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507412626297127,0.507412626297127,6047.76896551724,285.447044932653,0.00013916587361148,99766.2252410404,0.847020203158969,0.0977004350177826,0.306075096130371,4.89902367995561e-05,0.000236223019755411,234.425843714109,334.452847719174,-1.90038568416548,0.0391900574862888,4.98414423111759e-05,0.169327736239651,1867.38609893231,4.9514660305447,0.55895365609063,219.637586805556,0.912764761182997,22.6794857449002,20.6457824707031,10.2178802490234,16.2451985677083,1.71257527669271,86.6120876736111,,,,,,,,,,,,,,,,,,,,,,,0.361984288442528,6.1274626354446,18.1889935942635,21.3014295887665,82.5070596667996,19.4445511255065,16.6537313291713,3.16336369521109,65.7846267546464,0,284.780841707551,13.2297400876821,3.10406407179227
"10",8.58,45.078,8.646,45.144,8.613,45.111,19.4449674470215,95.5486874638329,62.2639083862305,0.388017247258886,2,4,1397.96313476563,2,0.882210454928449,0.0707005802204427,0.00554463313216285,0.0120222771768542,0.0232567698093561,0.00340596935175607,0.00053158330992814,0.00232773207105132,12,0.0159335679811158,0.098636373216431,0.390077349463612,7,0,0,0.00153280196198651,0,0.998467198038014,0,0,0,0,0,0,0.334367306745446,0.169604464139176,0,0,0,0,0,0,0.205708752709314,3.18848566699436,0,0.249606039998024,1.07829247177527,0.00145345272601986,0.102854376354657,0.205708752709314,0.411417505418628,4905.07444444444,285.725241237217,0.000148904085501068,100214.637939453,0.865679522355397,0.0673262410693699,0.301475842793783,5.30144192671887e-05,2.79780823150825e-05,266.385918616531,378.842004594045,-1.70381581995093,0.0393920400050314,7.36898255482096e-05,0.169379694764088,1876.41957966542,5.12532382541233,0.536353058285183,219.952202690972,0.918862660725911,22.7806650797526,20.8945549858941,9.88053131103516,16.8158348931207,1.63832251230876,87.4630669487847,,,,,,,,,,,,,,,,,,,,,,,0.369728459442738,5.85669170143264,17.3951157625328,20.6580665739509,81.6710970266931,21.1956721690984,17.2693651937436,3.06486513713422,64.9424920249584,0,282.483682318087,13.6201689556632,3.00321115368264
