Unnamed: 0,fid,AGRI_AREA,AGRI_AREA_SURR,AGRI_AREA_BLOCK,BUILT_AREA,BUILT_AREA_SURR,BUILT_AREA_BLOCK,NAT_AREA,NAT_AREA_SURR,NAT_AREA_BLOCK,URBAN_AREA,URBAN_AREA_SURR,URBAN_AREA_BLOCK,INDUSTRIAL_AREA,INDUSTRIAL_AREA_SURR,INDUSTRIAL_AREA_BLOCK,SIARL_2,SIARL_2_SURR,SIARL_2_BLOCK,SIARL_9,SIARL_9_SURR,SIARL_9_BLOCK,SIARL_12,SIARL_12_SURR,SIARL_12_BLOCK,ROADS,ROADS_SURR,ROADS_BLOCK,FARMS,FARMS_SURR,FARMS_BLOCK
0,1,0.842632675,0.873894842372,0.872145320675,0.007818936,0.050521750001,0.049344372237,0.081934063,0.043769565402,0.044750255897,0.007818936,0.036798725518,0.035995988262,0.0,0.013723024483,0.013348383975,0.0,0.000434797703,0.0004227218169999,0.016527002,0.064802740489,0.063455235637,0.419925512,0.587991391808,0.5827825717039999,0.20384802,1.347601332752,1.315556934034,0.0,0.002913453232,0.0028330281839999
1,2,0.85216652,0.8948112256830001,0.891311735789,0.019579792,0.035421890806,0.03385448621,0.084290042,0.053803207304,0.056927892235,0.009273918,0.026819963966,0.025072110472,0.010305874,0.00860192684,0.008782375738,0.036492019,0.009503266122,0.012235477847,0.169079689,0.0521514205389999,0.063996424722,0.346347831,0.651943362728,0.621700813144,1.031211729,1.362655639462,1.330388587127,0.002809783,0.1829652195319999,0.16485886325
2,3,0.877877461,0.8905134181509999,0.887819601894,0.032090573,0.051959580103,0.04908644663,0.059548283,0.0390776437159999,0.041952212747,0.027202618,0.035074027092,0.033924381041,0.004887955,0.016885553011,0.015162065589,0.00061443,0.00890987551,0.007720767202,0.051412421,0.056284721225,0.055574989375,0.592064638,0.651997074268,0.642770943488,1.254392019,1.37265319627,1.354774455255,0.001878241,0.103270325724,0.088661208933
3,4,0.862889767,0.900789299181,0.8913074793840001,0.070131476,0.047207376792,0.052381619021,0.031261267,0.036900047223,0.03557496262,0.04777042,0.0328857288629999,0.036244117075,0.022361056,0.014321647929,0.016137501946,0.000335909,0.00203306718,0.001649214503,0.079510818,0.031338957757,0.04218360828,0.56346807,0.689505944246,0.660363051812,1.460473737,1.261891065561,1.306198122823,0.003932453,0.074496200715,0.058554685297
4,5,0.942808826,0.8846840291870001,0.8882477653159999,0.010780748,0.068526109068,0.06589847394,0.039646036,0.023347000035,0.024120633508,0.009315616,0.0455495839769999,0.043901881689,0.001465132,0.0229765250909999,0.021996592251,0.0,0.001298313619,0.001239591729,0.031816701,0.0578438706799999,0.056749852418,0.776740146,0.6148001660060001,0.622855420846,1.024479356,1.338608705866,1.324794932338,0.001415907,0.109275229283,0.104413177279
5,6,0.064957405,0.1727899248089999,0.161824445416,0.14478575,0.189078740558,0.184493315864,0.181390203,0.352884058602,0.335409574913,0.135546499,0.141491403904,0.140809619672,0.009239251,0.047587336654,0.043683696192,0.0,0.002038044731,0.001830757977,0.0,0.0206141883059999,0.018524848315,0.0,0.0,0.0,1.303554333,1.482295350243,1.463375072697,1.255310695,1.5541612333529995,1.523307826435
6,7,0.0,0.130124577568,0.128805436938,0.0,0.166657657356,0.164909933368,0.0,0.33130913723,0.327914287385,0.0,0.133077865834,0.13167967869,0.0,0.0335797915219999,0.033230254678,0.0,0.000890609722,0.000881621812,0.0,0.01368869206,0.0135536327169999,0.0,0.0,0.0,0.0,1.2413963337240002,1.228407950955,0.0,1.45245927496,1.437427284633
7,8,0.0,0.079532320927,0.073582436485,0.0,0.173196249773,0.160278364448,0.0,0.2739331240829999,0.253574223652,0.0,0.135480838226,0.125391451336,0.0,0.037715411547,0.034886913112,0.0,0.000599688474,0.000554257529,0.0,0.004990977501,0.0046138782959999,0.0,0.0,0.0,0.0,1.14112382196,1.056076212512,0.0,1.189064328519,1.100446994399
8,9,0.585656566,0.892003240611,0.886148489604,0.004592593,0.0403355585249999,0.039592227606,0.30536027,0.053106126021,0.058695218732,0.004592593,0.02792190204,0.027436660066,0.0,0.012413656485,0.01215556754,0.004739336,0.018178900452,0.017904263526,0.186808847,0.100323196713,0.1023256872299999,0.0,0.466324901838,0.456569790526,0.0,1.1704641507720002,1.145792225334,1.014825252,0.466769430117,0.479146416818
9,10,0.882210455,0.888242096636,0.888241613296,0.0271943219999999,0.042540047929,0.040872139389,0.076245213,0.0533464887139999,0.05601574777,0.02325677,0.02975776454,0.0290577707329999,0.003937552,0.0127822833889999,0.011814368656,0.015933568,0.0181510963149999,0.017919480515,0.098636373,0.0819810344059999,0.083922441018,0.390077349,0.5636289655639999,0.544822872561,1.327898512,1.2471867872109998,1.256843050245,0.721434087,0.256043380817,0.307551928777
