,Features,Final Borda Count
24,no_cams,78
19,n_wind,76
34,nox_int,74
21,aod_055,68
20,e_wind,64
33,no2_int,63
31,o3_cams,62
25,co_cams,60
23,nh3_cams,60
17,temp_2m,55
32,nh3_int,53
27,pm25_cams,53
26,pm10_cams,51
18,press,47
0,h_mean,47
2,slope_mean,47
28,no2_cams,46
6,soil_text4,45
35,o3_int,45
22,aod_047,44
29,nmvocs_cams,44
38,air_hum_int,43
36,pm10_int,41
30,so2_cams,38
5,soil_text3,38
37,so2_int,30
4,dsf2,30
16,ndvi,25
1,aspect_major,22
3,pop,18
12,sec_road,18
11,prim_road,17
15,farm_sheep,14
13,farm_pigs,12
9,int_sec,11
7,int_prim,9
10,highway,4
14,farm_poultry,4
8,int_prim_sec,4
