Features,Pearson,Spearmanr,Kendall,Fisher,RF Importance,RFS,Final Score,Borda Count Voting
dsf2,0.502067830016228,0.4979227753943023,0.35555555555555557,48.09460220668762,0.004925072823682385,72,6,501
no2_int,0.3187318472224576,0.35214667119355536,0.24928615766604592,15.065728586344676,0.015521154441551801,51,6,443
farms,0.25150241347934565,0.34938390530683033,0.22502493601252782,12.773994861293904,0.005028320475360152,49,6,416
temp_2m,0.4561380553209399,0.5832011276068192,0.4031036623215394,28.443886235499328,0.042602073667215246,54,6,498
pm10_cams,0.39375438804105856,0.4300770599915635,0.2743637492240844,29.722228308720528,0.010975091981625175,21,5,430
co_s5p,0.39718567893275813,0.4214759714806012,0.2748603351955307,21.91134972038626,0.00397450388077692,37,5,426
pm10_int,0.5059257517405708,0.4694568762410362,0.3307262569832402,57.14809154157295,0.03624337862358574,20,5,453
dust_cams,0.6619914591554019,0.7230984495406237,0.5042830540037244,71.81657276850041,0.5042622000888658,8,5,463
pm25_cams,0.4381383068870736,0.49106659670565966,0.3169459962756052,36.13196487768359,0.025649288535735497,9,5,437
nh3_cams,0.3835020139380194,0.44576478697902194,0.2938547486033519,27.447506789814437,0.008669140497440555,31,5,431
temp_int,0.35272784130913315,0.33002870458964784,0.21675977653631284,16.153105542340505,0.0037576797356749327,19,5,371
siarl12,0.415258706593146,0.3795263469624744,0.30384832959694397,27.14084153428523,0.0009450162699178192,62,5,420
nox_int,0.2817445268030936,0.33424694177803843,0.2338919925512104,9.353136744256748,0.00913346196091134,50,5,417
so2_cams,0.3928710598302765,0.3905634947580687,0.24841713221601489,28.63480003180994,0.005207228529971024,11,5,404
rad_glob_int,0.32003327053021835,0.29062831157340246,0.20285536933581627,11.682338294018791,0.00261071875897162,58,5,394
soil_text4,0.20964988235379634,0.26261489591937365,0.17895641020817774,10.36283037254733,0.004899717483140648,28,5,364
siarl9,0.3832007436831016,0.4418525586174915,0.3030416145238128,28.515658781507206,0.0013005243019429513,63,5,422
soil_text7,0.38270984014740006,0.5110310289748832,0.39329814641767363,22.660658605561476,0.0005291611047784805,12,4,358
no2_cams,0.20795601240323253,0.263602786094221,0.15630043451272502,8.221824330824916,0.0028548671661982514,10,4,314
uvai,0.37895660705853357,0.33793429838369493,0.24543761638733705,15.970507936606714,0.001915442880196148,39,4,380
so2_int,0.26717394240109715,0.24665987633363165,0.17032898820608317,3.5504206981237325,0.012026296179437108,40,4,356
press,0.42606150130803266,0.4778316203174995,0.34537554314090624,26.06516354943398,0.0023685043289597644,44,4,425
ch2o_s5p,0.30283722672930696,0.31123594349619843,0.20186219739292363,10.116953083211676,0.0012999276055553526,35,4,340
area,-0.05263793084431437,0.25427791861514293,0.19791408148580766,0.0729258570777113,0.004226822692160715,77,4,325
co_int,0.24724976238962543,0.2534028828050248,0.18497827436374922,8.489223943904811,0.010296952493255133,17,4,344
dsf4,-0.03542385553887716,0.2902902036408312,0.20964522855457898,0.08275561461446927,0.001871642525827524,70,3,305
farm_sheep,-0.3564608082506008,-0.37267861677991826,-0.2705053527262131,10.93610245971555,0.011000809580199892,55,3,245
soil_text5,0.3027315963433239,0.21272836669029135,0.15563926022485425,9.374223572257431,0.0009991735242767799,30,3,298
siarl2,0.1382770239167057,0.32011420448827443,0.22020778243015485,0.5900499761562972,0.001887991072986217,64,3,332
dsf3,-0.4537720067883856,-0.36238894327450255,-0.24712126396955286,33.49354704377098,0.007944242027713275,71,3,270
prec_int,-0.3181164061068136,-0.3123040518359857,-0.2177071157325465,10.167985638245469,0.0018350100651968579,56,2,201
aod_047,0.20673351014162694,0.15664791950778303,0.09329898511585982,4.913092034855639,0.005536921392710607,43,2,321
clim_zone,0.17998870109952259,0.1605544675457524,0.11625170388802747,5.218245282971848,0.0021216769978950976,75,2,325
co_cams,0.2091860750778512,0.21508482772102017,0.12327746741154562,8.55929305239288,0.0023877282698150587,27,2,303
no_cams,0.1616111245554686,0.2516065310657736,0.15170701427684666,4.777105980525559,0.0021439380040700813,29,2,294
o3_s5p,0.25498501675125573,0.1785363745794623,0.11893234016139043,7.351899812894186,0.002991733670360162,33,2,313
dsf5,-0.029527159450116226,0.02934252979528171,0.0190582612490926,1.3061957599218696,0.0038362348984482255,69,2,273
e_wind,-0.5457866871624895,-0.5232589483214503,-0.3625077591558038,49.43729549764926,0.004704575899193692,6,2,188
prec,-0.3737509048071113,-0.5851888432770559,-0.4139044072004966,18.193718086403013,0.00705101716535357,46,2,219
